Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tony Gipson,0.0,21,15,681,102,220,0.463636363636,10,42,0.238095238095,92,178,0.517,0.486363636364,56,66,0.848484848485,23,35,58,88,27,3,74,50,270
Tony Harris,0.0,12,0,213,21,62,0.338709677419,14,32,0.4375,7,30,0.233,0.451612903226,17,24,0.708333333333,2,7,9,20,7,0,9,29,73
Tony Kitchings,51.0,64,50,1482,230,414,0.555555555556,0,1,0.0,230,413,1.106,0.555555555556,81,152,0.532894736842,130,262,392,56,38,76,117,219,541
Tony Mitchell,90.0,95,66,2959,674,1567,0.430121250798,162,508,0.318897637795,512,1059,2.044,0.481812380345,277,376,0.73670212766,203,381,584,231,109,85,248,259,1787
Tony Rutland,28.0,3,0,20,2,6,0.333333333333,1,4,0.25,1,2,0.5,0.416666666667,0,0,0.0,0,3,3,0,2,0,5,1,5
Tony Taylor,0.0,50,24,1129,115,272,0.422794117647,28,69,0.405797101449,87,203,0.429,0.474264705882,91,114,0.798245614035,15,68,83,159,31,2,73,125,349
Tony Wroten,42.0,27,5,670,136,326,0.41717791411,38,126,0.301587301587,98,200,0.991,0.475460122699,78,145,0.537931034483,17,49,66,77,28,5,75,68,388
Toree Morris,0.0,46,2,642,66,142,0.464788732394,0,0,0.0,66,142,1.346,0.464788732394,68,94,0.723404255319,56,108,164,8,8,28,62,128,200
Tornike Shengelia,43.0,14,14,475,104,196,0.530612244898,16,46,0.347826086957,88,150,1.196,0.571428571429,72,102,0.705882352941,39,63,102,46,25,15,64,55,296
Torraye Braggs,29.0,14,8,400,47,106,0.443396226415,0,1,0.0,47,105,0.448,0.443396226415,64,85,0.752941176471,29,64,93,35,14,3,55,58,158
Torrian Jones,23.0,15,0,217,27,63,0.428571428571,2,13,0.153846153846,25,50,0.5,0.444444444444,37,43,0.860465116279,6,13,19,16,10,1,15,24,93
Tory Jackson,0.0,45,20,987,118,319,0.369905956113,14,63,0.222222222222,104,256,0.406,0.391849529781,66,81,0.814814814815,20,111,131,137,63,4,61,92,316
Tory Walker,23.0,23,5,358,58,124,0.467741935484,13,29,0.448275862069,45,95,0.474,0.520161290323,9,12,0.75,31,34,65,16,9,3,17,48,138
Toure' Murry,200.0,183,133,5269,747,1772,0.421557562077,190,566,0.335689045936,557,1206,3.692,0.475169300226,333,491,0.678207739308,161,610,771,829,276,49,436,424,2017
