Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Akeem Richmond,47.0,43,10,732,130,344,0.377906976744,117,313,0.373801916933,13,31,0.728,0.547965116279,35,43,0.813953488372,16,51,67,35,16,1,19,49,412
Akeem Scott,0.0,5,0,85,20,31,0.645161290323,2,5,0.4,18,26,0.692,0.677419354839,10,15,0.666666666667,0,9,9,15,5,2,12,19,52
Akeem Wright,0.0,2,0,28,2,11,0.181818181818,0,1,0.0,2,10,0.2,0.181818181818,4,7,0.571428571429,1,4,5,0,0,0,3,1,8
Akil Mitchell,46.0,53,34,1450,219,385,0.568831168831,10,51,0.196078431373,209,334,1.111,0.581818181818,66,137,0.481751824818,141,327,468,89,51,39,93,130,514
Akin Akingbala,23.0,14,7,311,42,84,0.5,0,0,0.0,42,84,0.5,0.5,23,36,0.638888888889,27,68,95,16,8,20,31,36,107
Al Nolen,0.0,2,0,34,2,7,0.285714285714,2,4,0.5,0,3,0.0,0.428571428571,0,2,0.0,1,1,2,7,1,0,2,3,6
Alade Aminu,0.0,92,62,2538,490,946,0.517970401691,0,2,0.0,490,944,1.57,0.517970401691,272,404,0.673267326733,254,392,646,52,92,74,146,256,1252
Alan Anderson,81.0,44,24,1386,281,518,0.542471042471,50,125,0.4,231,393,1.818,0.590733590734,181,216,0.837962962963,66,129,195,143,46,2,144,137,793
Alan Williams,24.0,1,1,28,7,14,0.5,0,0,0.0,7,14,0.5,0.5,6,8,0.75,3,6,9,1,1,0,2,4,20
Alando Tucker,74.0,46,41,1562,344,696,0.494252873563,61,160,0.38125,283,536,1.397,0.538074712644,183,225,0.813333333333,97,119,216,80,49,2,66,52,932
Alec Brown,46.0,67,47,1482,257,558,0.460573476703,71,198,0.358585858586,186,360,0.969,0.524193548387,63,79,0.79746835443,122,197,319,61,44,129,69,207,648
Alec Burks,25.0,1,1,21,5,17,0.294117647059,1,8,0.125,4,9,0.444,0.323529411765,2,3,0.666666666667,2,3,5,3,1,0,3,2,13
Alejandro Carmona,22.0,7,0,84,8,26,0.307692307692,0,0,0.0,8,26,0.308,0.307692307692,1,2,0.5,6,5,11,3,2,0,5,11,17
Alejo Rodriguez,0.0,14,1,173,7,21,0.333333333333,0,1,0.0,7,20,0.833,0.333333333333,9,21,0.428571428571,27,44,71,5,8,6,8,30,23
Aleks Ugrinoski,0.0,18,0,150,16,48,0.333333333333,1,5,0.2,15,43,0.349,0.34375,6,7,0.857142857143,3,4,7,29,5,0,21,13,39
Aleksander Czyz,0.0,74,24,1722,308,638,0.48275862069,32,96,0.333333333333,276,542,1.49,0.507836990596,184,280,0.657142857143,180,306,486,74,72,32,130,164,832
Alex Acker,49.0,21,13,749,139,317,0.438485804416,26,74,0.351351351351,113,243,0.957,0.479495268139,74,89,0.831460674157,26,77,103,92,37,10,58,57,378
Alex Caruso,22.0,50,46,1513,204,444,0.459459459459,61,152,0.401315789474,143,292,0.49,0.528153153153,125,167,0.748502994012,42,153,195,260,108,28,156,132,594
Alex Davis,99.0,152,120,3852,437,953,0.458551941238,30,79,0.379746835443,407,874,1.86,0.474291710388,326,454,0.718061674009,289,470,759,137,97,219,231,534,1230
Alex Hamilton,23.0,43,5,1004,165,362,0.455801104972,12,53,0.22641509434,153,309,0.495,0.472375690608,148,212,0.698113207547,32,114,146,193,49,7,97,67,490
Alex Johnson,29.0,10,0,79,6,17,0.352941176471,3,6,0.5,3,11,0.273,0.441176470588,6,10,0.6,2,11,13,10,2,0,5,5,21
Alex Kirk,23.0,41,37,1164,211,431,0.489559164733,7,32,0.21875,204,399,0.511,0.497679814385,72,99,0.727272727273,101,164,265,48,27,49,74,115,501
Alex Oriakhi,0.0,86,52,1604,238,478,0.497907949791,0,6,0.0,238,472,1.514,0.497907949791,140,182,0.769230769231,194,338,532,16,30,74,100,262,616
Alex Poythress,23.0,46,45,1430,330,625,0.528,31,77,0.402597402597,299,548,0.546,0.5528,159,203,0.783251231527,117,208,325,69,34,63,123,177,850
Alex Ruoff,0.0,74,2,1892,224,536,0.417910447761,108,296,0.364864864865,116,240,1.533,0.518656716418,68,86,0.790697674419,48,174,222,112,78,18,92,144,624
Alex Scales,52.0,35,15,948,148,335,0.441791044776,29,98,0.295918367347,119,237,0.991,0.485074626866,79,99,0.79797979798,14,67,81,65,48,11,64,75,404
Alex Smith,0.0,3,0,17,0,3,0.0,0,0,0.0,0,3,0.0,0.0,3,4,0.75,3,1,4,0,0,0,2,4,3
Alex Stepheson,28.0,32,31,1060,205,354,0.579096045198,0,3,0.0,205,351,0.584,0.579096045198,84,173,0.485549132948,152,276,428,33,14,42,73,90,494
Alex Zampier,0.0,1,0,3,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0
Alexander Johnson,49.0,27,14,847,178,314,0.566878980892,0,1,0.0,178,313,1.116,0.566878980892,216,294,0.734693877551,69,218,287,37,17,32,104,96,572
Alexis Ajinca,41.0,33,21,822,161,308,0.522727272727,0,6,0.0,161,302,1.044,0.522727272727,130,171,0.760233918129,90,151,241,13,18,88,94,126,452
Alexis Wangmene,50.0,19,0,76,3,16,0.1875,0,0,0.0,3,16,0.188,0.1875,1,2,0.5,5,14,19,3,1,1,11,19,7
Alfonzo McKinnie,24.0,50,34,1525,291,573,0.507853403141,41,133,0.308270676692,250,440,0.568,0.543630017452,120,170,0.705882352941,132,328,460,37,28,25,70,131,743
Alfred Aboya,177.0,102,12,1618,132,294,0.448979591837,2,10,0.2,130,284,2.542,0.452380952381,102,130,0.784615384615,150,146,296,50,54,38,74,294,368
Alfred Neale,25.0,17,0,267,32,85,0.376470588235,16,44,0.363636363636,16,41,0.39,0.470588235294,19,28,0.678571428571,8,40,48,7,7,0,9,18,99
Ali Berdiel,0.0,24,11,676,84,202,0.415841584158,16,47,0.340425531915,68,155,0.439,0.455445544554,54,71,0.760563380282,20,69,89,116,37,7,63,62,238
Allan Ray,22.0,2,0,35,10,18,0.555555555556,2,6,0.333333333333,8,12,0.667,0.611111111111,7,7,1.0,2,3,5,4,0,0,2,10,29
Allen Crabbe,21.0,6,6,231,39,95,0.410526315789,12,38,0.315789473684,27,57,0.474,0.473684210526,6,8,0.75,10,30,40,7,6,5,8,17,96
Allen Durham,27.0,24,7,565,90,163,0.552147239264,4,9,0.444444444444,86,154,0.558,0.564417177914,28,41,0.682926829268,78,100,178,24,13,19,26,48,212
Alonzo Gee,22.0,36,35,1376,272,530,0.51320754717,25,62,0.403225806452,247,468,0.528,0.53679245283,196,279,0.702508960573,81,159,240,46,53,20,117,105,765
Aloysius Anagonye,25.0,24,23,670,92,217,0.423963133641,0,3,0.0,92,214,0.43,0.423963133641,60,83,0.722891566265,61,75,136,33,28,13,43,81,244
Alpha Bangura,0.0,138,69,3625,749,1608,0.4657960199,28,120,0.233333333333,721,1488,2.393,0.474502487562,504,656,0.768292682927,211,317,528,186,160,22,267,304,2030
Alton Ford,110.0,79,65,2032,236,533,0.44277673546,4,32,0.125,232,501,1.68,0.446529080675,221,292,0.756849315068,118,384,502,89,37,34,151,295,697
Altron Jackson,22.0,13,0,87,7,23,0.304347826087,2,4,0.5,5,19,0.263,0.347826086957,3,4,0.75,2,10,12,2,2,0,3,16,19
Alvin Broussard,23.0,7,1,80,10,23,0.434782608696,2,5,0.4,8,18,0.444,0.478260869565,10,16,0.625,6,10,16,5,6,0,7,20,32
Alvin Pettway,24.0,1,0,5,1,1,1.0,0,0,0.0,1,1,1.0,1.0,0,0,0.0,0,0,0,0,0,1,0,1,2
Amadou Mbodji,81.0,38,3,406,40,62,0.645161290323,0,0,0.0,40,62,2.139,0.645161290323,21,32,0.65625,45,57,102,6,8,16,17,83,101
Amara Sy,0.0,16,15,553,90,170,0.529411764706,11,26,0.423076923077,79,144,0.549,0.561764705882,49,64,0.765625,44,72,116,56,15,10,53,56,240
Amir Johnson,37.0,40,34,1283,276,430,0.641860465116,2,4,0.5,274,426,1.294,0.644186046512,170,231,0.735930735931,130,210,340,67,42,96,112,164,724
Amir Williams,47.0,67,26,1022,99,171,0.578947368421,0,0,0.0,99,171,1.167,0.578947368421,77,118,0.652542372881,114,191,305,29,26,63,50,143,275
Andrae Nelson,0.0,2,0,8,0,2,0.0,0,0,0.0,0,2,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2,6,0
Andray Blatche,19.0,6,2,148,25,49,0.510204081633,1,5,0.2,24,44,0.545,0.520408163265,16,19,0.842105263158,6,35,41,8,8,9,19,16,67
Andre Barrett,247.0,247,222,8543,1383,3045,0.454187192118,279,736,0.379076086957,1104,2309,4.136,0.5,663,811,0.817509247842,148,632,780,1793,293,21,664,418,3708
Andre Brown,52.0,33,30,1233,261,462,0.564935064935,0,4,0.0,261,458,1.14,0.564935064935,95,188,0.505319148936,133,206,339,36,21,22,95,124,617
Andre Dawkins,168.0,170,56,4802,862,1971,0.43734145104,566,1345,0.420817843866,296,626,3.457,0.580923389143,278,354,0.785310734463,67,347,414,295,115,25,240,370,2568
Andre Emmett,136.0,155,90,4792,1049,2054,0.510710808179,156,416,0.375,893,1638,2.563,0.548685491723,513,709,0.723554301834,246,530,776,356,224,27,353,232,2767
Andre Ingram,238.0,337,142,8763,1162,2506,0.463687150838,610,1331,0.45830202855,552,1175,4.061,0.585395051875,540,636,0.849056603774,209,847,1056,547,338,40,313,596,3474
Andre Jones,0.0,7,3,125,15,42,0.357142857143,2,7,0.285714285714,13,35,0.371,0.380952380952,15,21,0.714285714286,4,16,20,11,4,1,5,12,47
Andre Joseph,25.0,2,2,55,4,12,0.333333333333,0,0,0.0,4,12,0.333,0.333333333333,0,0,0.0,0,1,1,5,2,0,7,5,8
Andre McCollum,57.0,70,47,1967,296,704,0.420454545455,73,209,0.349282296651,223,495,0.887,0.472301136364,191,233,0.81974248927,39,194,233,204,61,12,188,149,856
Andre Owens,26.0,50,43,1927,284,633,0.448657187994,46,146,0.315068493151,238,487,0.489,0.484992101106,214,277,0.772563176895,56,227,283,158,53,5,112,157,828
Andre Patterson,122.0,126,40,2855,348,685,0.50802919708,3,17,0.176470588235,345,668,2.47,0.510218978102,152,202,0.752475247525,199,373,572,160,84,125,147,289,851
Andre Roberson,22.0,17,17,539,116,225,0.515555555556,10,32,0.3125,106,193,0.549,0.537777777778,28,61,0.459016393443,56,108,164,27,42,22,37,47,270
Andre Smith,0.0,8,0,99,11,37,0.297297297297,2,17,0.117647058824,9,20,0.45,0.324324324324,5,8,0.625,3,3,6,10,7,0,8,16,29
Andre Stringer,47.0,88,38,1911,229,577,0.396880415945,135,352,0.383522727273,94,225,0.845,0.513864818024,78,100,0.78,42,163,205,289,71,5,140,151,671
Andre Woolridge,29.0,3,3,102,12,29,0.413793103448,3,9,0.333333333333,9,20,0.45,0.465517241379,11,18,0.611111111111,0,9,9,18,2,0,14,6,38
Andreas Glyniadakis,97.0,100,65,2501,424,800,0.53,0,0,0.0,424,800,2.08,0.53,321,401,0.800498753117,192,331,523,48,35,129,218,390,1169
Andres Sandoval,0.0,2,1,34,3,13,0.230769230769,0,3,0.0,3,10,0.3,0.230769230769,4,9,0.444444444444,0,4,4,2,3,0,1,1,10
Andrew Drevo,0.0,50,37,1372,218,461,0.472885032538,49,140,0.35,169,321,0.526,0.526030368764,86,99,0.868686868687,97,218,315,103,40,38,97,148,571
Andrew Gonzalez,0.0,1,0,3,0,1,0.0,0,0,0.0,0,1,0.0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0
Andrew Goudelock,95.0,103,103,3809,833,1752,0.475456621005,194,530,0.366037735849,639,1222,2.197,0.530821917808,314,376,0.835106382979,60,344,404,533,120,14,292,165,2174
Andrew Harrison,21.0,46,45,1622,262,599,0.437395659432,76,208,0.365384615385,186,391,0.476,0.500834724541,249,318,0.783018867925,22,177,199,226,67,24,148,146,849
Andrew Warren,81.0,58,6,906,80,252,0.31746031746,44,176,0.25,36,76,1.421,0.404761904762,26,32,0.8125,34,68,102,46,54,4,32,90,230
Andy Rautins,26.0,48,31,1424,223,507,0.439842209073,152,348,0.436781609195,71,159,0.447,0.589743589744,48,62,0.774193548387,21,114,135,115,48,5,103,93,646
Ansu Sesay,25.0,45,41,1376,230,522,0.44061302682,3,21,0.142857142857,227,501,0.453,0.443486590038,163,220,0.740909090909,54,151,205,112,39,35,107,117,626
Anthony Bennett,45.0,8,6,177,33,84,0.392857142857,12,37,0.324324324324,21,47,0.939,0.464285714286,13,18,0.722222222222,8,27,35,11,10,6,11,10,91
Anthony Blakes,0.0,52,5,612,67,169,0.396449704142,6,34,0.176470588235,61,135,0.452,0.414201183432,40,56,0.714285714286,48,67,115,59,29,5,53,45,180
Anthony Brown,47.0,31,26,1141,203,451,0.450110864745,72,169,0.426035502959,131,282,0.926,0.529933481153,112,141,0.794326241135,20,138,158,87,28,7,90,85,590
Anthony Coleman,102.0,68,19,1451,150,374,0.401069518717,21,68,0.308823529412,129,306,1.882,0.429144385027,78,102,0.764705882353,75,220,295,70,33,42,82,157,399
Anthony Danridge,0.0,41,1,672,119,207,0.574879227053,0,4,0.0,119,203,0.586,0.574879227053,55,66,0.833333333333,34,45,79,37,14,7,40,42,293
Anthony Fuqua,69.0,113,48,1757,117,237,0.493670886076,0,1,0.0,117,236,1.455,0.493670886076,124,187,0.663101604278,197,228,425,41,35,80,114,270,358
Anthony Goods,0.0,123,100,3838,616,1528,0.403141361257,243,633,0.383886255924,373,895,2.302,0.482657068063,430,495,0.868686868687,42,371,413,272,91,8,299,177,1905
Anthony Grundy,26.0,44,43,1753,340,787,0.432020330368,101,256,0.39453125,239,531,0.45,0.496188055909,231,292,0.791095890411,61,176,237,193,109,7,144,119,1012
Anthony Gurley,0.0,1,0,6,0,1,0.0,0,0,0.0,0,1,0.0,0.0,2,2,1.0,0,0,0,0,0,1,1,1,2
Anthony Harris,270.0,180,58,3797,683,1526,0.447575360419,42,157,0.267515923567,641,1369,4.405,0.461336828309,253,359,0.704735376045,109,400,509,597,120,16,361,390,1661
Anthony Johnson,27.0,18,13,399,73,159,0.459119496855,3,13,0.230769230769,70,146,0.979,0.468553459119,32,43,0.744186046512,10,37,47,44,31,1,32,41,181
Anthony Kent,139.0,190,64,3721,404,813,0.49692496925,1,1,1.0,403,812,2.704,0.4975399754,182,334,0.544910179641,330,491,821,103,86,182,200,505,991
Anthony Kyle,0.0,30,0,406,38,92,0.413043478261,7,20,0.35,31,72,0.646,0.451086956522,14,21,0.666666666667,12,37,49,93,23,0,40,35,97
Anthony Mason,0.0,97,66,3172,586,1192,0.491610738255,53,168,0.315476190476,533,1024,1.575,0.513842281879,225,288,0.78125,147,380,527,258,115,86,214,305,1450
Anthony McHenry,23.0,19,8,243,19,55,0.345454545455,5,12,0.416666666667,14,43,0.326,0.390909090909,6,15,0.4,13,26,39,24,11,12,21,36,49
Anthony Moody,0.0,6,1,79,11,32,0.34375,4,10,0.4,7,22,0.318,0.40625,1,3,0.333333333333,1,7,8,7,5,1,6,4,27
Anthony Newell,0.0,1,1,27,1,6,0.166666666667,0,3,0.0,1,3,0.333,0.166666666667,0,0,0.0,1,5,6,0,2,0,3,3,2
Anthony Pelle,29.0,29,24,731,68,156,0.435897435897,0,1,0.0,68,155,0.439,0.435897435897,46,73,0.630136986301,58,123,181,20,12,49,58,89,182
Anthony Richardson,0.0,164,122,4844,874,1864,0.468884120172,92,260,0.353846153846,782,1604,2.86,0.49356223176,354,484,0.731404958678,370,600,970,248,210,216,298,442,2194
Anthony Roberson,45.0,28,4,741,173,382,0.452879581152,69,164,0.420731707317,104,218,0.95,0.543193717277,64,79,0.810126582278,23,46,69,50,33,4,38,67,479
Anthony Simpson,0.0,8,4,156,24,49,0.489795918367,0,1,0.0,24,48,0.5,0.489795918367,7,11,0.636363636364,3,40,43,13,6,5,9,22,55
Anthony Stover,0.0,25,5,371,20,40,0.5,0,1,0.0,20,39,0.513,0.5,5,13,0.384615384615,22,37,59,8,8,33,16,45,45
Anthony Terrell,77.0,128,36,2587,343,718,0.477715877437,0,9,0.0,343,709,1.476,0.477715877437,127,230,0.552173913043,197,284,481,113,65,56,130,198,813
Anthony Tolliver,115.0,73,53,2444,382,789,0.484157160963,129,340,0.379411764706,253,449,2.796,0.565906210393,189,250,0.756,183,408,591,124,84,80,147,258,1082
Anthony Vereen,112.0,127,16,2084,360,687,0.524017467249,3,21,0.142857142857,357,666,1.927,0.526200873362,203,284,0.714788732394,151,271,422,103,38,22,119,314,926
Anthony Walker,45.0,16,2,148,17,30,0.566666666667,0,0,0.0,17,30,0.84,0.566666666667,7,11,0.636363636364,5,15,20,2,5,19,6,21,41
Anthony Washington,0.0,2,0,21,3,7,0.428571428571,0,0,0.0,3,7,0.429,0.428571428571,0,0,0.0,1,1,2,1,0,2,1,3,6
Anthony Wilkins,102.0,113,25,1794,197,506,0.389328063241,51,178,0.286516853933,146,328,1.745,0.439723320158,76,109,0.697247706422,44,184,228,106,38,1,75,111,521
Antoine Agudio,194.0,301,204,8204,1032,2322,0.444444444444,480,1110,0.432432432432,552,1212,3.191,0.547803617571,572,707,0.809052333805,90,554,644,616,240,6,422,456,3116
Antoine Hood,53.0,67,6,1280,153,370,0.413513513514,48,147,0.326530612245,105,223,0.887,0.478378378378,98,133,0.736842105263,40,106,146,134,45,5,91,125,452
Antoine Jordan,48.0,8,0,75,6,20,0.3,1,3,0.333333333333,5,17,0.682,0.325,3,8,0.375,1,3,4,5,2,0,5,12,16
Antoine Landry,0.0,10,2,206,22,73,0.301369863014,1,9,0.111111111111,21,64,0.328,0.308219178082,11,17,0.647058823529,1,9,10,23,5,1,18,18,56
Antoine Pettway,22.0,47,1,951,122,267,0.456928838951,4,21,0.190476190476,118,246,0.48,0.464419475655,83,103,0.805825242718,19,63,82,146,41,2,40,75,331
Antoine Walker,69.0,87,56,2539,432,1066,0.405253283302,124,434,0.285714285714,308,632,0.97,0.463414634146,117,219,0.534246575342,129,359,488,250,50,40,208,241,1105
Antoine Wright,55.0,29,14,894,140,339,0.412979351032,60,165,0.363636363636,80,174,0.922,0.501474926254,52,71,0.732394366197,31,124,155,60,41,8,52,85,392
Antonio Anderson,125.0,127,96,4345,500,1105,0.452488687783,115,351,0.327635327635,385,754,2.427,0.504524886878,262,362,0.723756906077,65,370,435,573,131,46,347,352,1377
Antonio Barton,24.0,3,0,32,1,9,0.111111111111,0,4,0.0,1,5,0.2,0.111111111111,1,2,0.5,0,1,1,1,0,0,4,1,3
Antonio Daniels,71.0,62,56,2256,248,570,0.435087719298,40,115,0.347826086957,208,455,0.916,0.470175438596,318,374,0.850267379679,24,240,264,535,87,8,157,99,854
Antonio Grant,0.0,45,7,565,77,187,0.411764705882,18,50,0.36,59,137,0.431,0.459893048128,23,45,0.511111111111,41,59,100,25,27,5,28,49,195
Antonio Graves,0.0,27,3,637,87,216,0.402777777778,24,64,0.375,63,152,0.414,0.458333333333,41,54,0.759259259259,13,40,53,46,10,4,40,64,239
Antonio Meeking,151.0,175,119,5397,928,2110,0.43981042654,55,214,0.257009345794,873,1896,2.719,0.452843601896,692,1006,0.687872763419,377,806,1183,276,110,48,362,518,2603
Antonio Smith,0.0,10,9,217,20,44,0.454545454545,0,0,0.0,20,44,0.455,0.454545454545,4,11,0.363636363636,32,45,77,6,2,2,10,21,44
Antwain Smith,26.0,36,23,1036,189,418,0.452153110048,5,22,0.227272727273,184,396,0.465,0.458133971292,111,157,0.707006369427,82,177,259,25,28,29,48,76,494
Antwaine Wiggins,28.0,39,10,731,141,250,0.564,17,48,0.354166666667,124,202,0.614,0.598,41,71,0.577464788732,53,73,126,26,24,16,33,44,340
Antwan Jones,25.0,7,4,110,10,26,0.384615384615,0,0,0.0,10,26,0.385,0.384615384615,4,5,0.8,5,7,12,4,1,0,8,2,24
Antywane Robinson,45.0,52,3,936,152,353,0.43059490085,37,112,0.330357142857,115,241,1.012,0.483002832861,27,39,0.692307692308,43,93,136,44,18,28,32,69,368
Anwar Ferguson,0.0,9,0,86,9,16,0.5625,0,0,0.0,9,16,0.563,0.5625,4,8,0.5,2,11,13,2,0,9,3,15,22
Aqeel Quinn,24.0,1,0,9,3,4,0.75,2,3,0.666666666667,1,1,1.0,1.0,1,1,1.0,0,4,4,0,0,0,0,0,9
Aquille Carr,0.0,10,0,140,35,88,0.397727272727,9,23,0.391304347826,26,65,0.4,0.448863636364,28,41,0.682926829268,1,8,9,19,12,0,21,21,107
Archie Goodwin,61.0,48,44,1587,304,682,0.445747800587,46,169,0.272189349112,258,513,1.537,0.479472140762,261,363,0.719008264463,79,181,260,103,63,12,126,111,915
Arinze Onuaku,101.0,116,78,3156,686,1137,0.603342128408,0,1,0.0,686,1136,2.315,0.603342128408,324,614,0.527687296417,421,781,1202,116,79,103,243,317,1696
Aristide Sawadogo,0.0,61,0,329,30,57,0.526315789474,0,0,0.0,30,57,2.594,0.526315789474,10,22,0.454545454545,40,53,93,1,3,22,10,62,70
Armon Johnson,68.0,17,4,446,99,199,0.497487437186,4,19,0.210526315789,95,180,1.027,0.507537688442,30,42,0.714285714286,22,46,68,75,16,3,35,40,232
Arnett Moultrie,45.0,15,4,410,63,137,0.459854014599,0,1,0.0,63,136,0.928,0.459854014599,26,35,0.742857142857,22,57,79,24,12,5,29,29,152
Aron Baynes,53.0,13,13,362,82,158,0.518987341772,0,0,0.0,82,158,1.025,0.518987341772,34,46,0.739130434783,49,68,117,19,7,16,28,50,198
Art Long,30.0,10,9,223,47,82,0.573170731707,1,3,0.333333333333,46,79,0.582,0.579268292683,22,32,0.6875,14,62,76,24,5,15,32,38,117
Arthur Edwards,24.0,47,3,967,119,288,0.413194444444,60,181,0.331491712707,59,107,0.551,0.517361111111,56,73,0.767123287671,27,150,177,57,40,33,78,86,354
Artie Griffin,0.0,44,42,1504,201,541,0.371534195933,103,270,0.381481481481,98,271,0.362,0.466728280961,125,150,0.833333333333,41,120,161,123,48,9,96,97,630
Asaad Woods,24.0,23,1,175,12,30,0.4,5,17,0.294117647059,7,13,0.538,0.483333333333,9,12,0.75,4,17,21,3,3,1,7,35,38
Asauhn Dixon-Tatum,72.0,89,9,1384,175,338,0.51775147929,0,1,0.0,175,337,1.45,0.51775147929,81,129,0.627906976744,153,166,319,16,13,78,65,188,431
Ashanti Cook,0.0,17,4,294,24,66,0.363636363636,12,27,0.444444444444,12,39,0.308,0.454545454545,4,5,0.8,6,19,25,31,7,0,9,33,64
Ashton Mitchell,0.0,11,3,226,18,52,0.346153846154,6,28,0.214285714286,12,24,0.5,0.403846153846,18,29,0.620689655172,4,19,23,49,7,1,33,35,60
Ashton Pitts,27.0,2,0,15,1,1,1.0,0,0,0.0,1,1,1.0,1.0,0,0,0.0,0,0,0,0,0,0,2,3,2
Ashton Smith,26.0,24,0,256,22,57,0.385964912281,8,24,0.333333333333,14,33,0.424,0.456140350877,8,14,0.571428571429,6,17,23,29,4,1,22,26,60
Askia Booker,45.0,89,40,2307,452,1067,0.423617619494,108,317,0.340694006309,344,750,0.916,0.474226804124,239,326,0.733128834356,58,260,318,387,85,5,200,223,1251
Ater Majok,27.0,23,18,507,57,95,0.6,0,0,0.0,57,95,0.6,0.6,17,24,0.708333333333,53,68,121,17,17,64,25,94,131
Atila Santos,0.0,20,0,311,30,68,0.441176470588,0,0,0.0,30,68,0.441,0.441176470588,30,37,0.810810810811,22,53,75,4,8,13,30,52,90
Aubrey Coleman,0.0,62,29,1662,284,640,0.44375,26,113,0.230088495575,258,527,1.754,0.4640625,148,226,0.654867256637,74,206,280,128,81,15,105,110,742
Augustine Okosun,0.0,14,0,79,6,13,0.461538461538,0,0,0.0,6,13,0.462,0.461538461538,2,3,0.666666666667,8,14,22,1,1,7,7,22,14
Augustus Gilchrist,0.0,69,3,1108,177,322,0.549689440994,1,12,0.0833333333333,176,310,1.103,0.551242236025,126,193,0.652849740933,112,187,299,24,23,65,66,154,481
Austin Daye,51.0,11,5,324,68,167,0.407185628743,14,49,0.285714285714,54,118,0.919,0.449101796407,37,42,0.880952380952,7,76,83,28,8,13,33,43,187
Austin Freeman,0.0,41,1,779,158,343,0.460641399417,63,169,0.372781065089,95,174,0.546,0.552478134111,60,78,0.769230769231,10,80,90,97,24,7,54,56,439
Austin Nichols,45.0,95,51,2447,382,857,0.445740956826,22,64,0.34375,360,793,0.908,0.458576429405,241,276,0.873188405797,77,181,258,124,60,15,94,229,1027
Austin Witter,23.0,22,0,315,35,79,0.443037974684,15,47,0.31914893617,20,32,0.625,0.537974683544,1,8,0.125,17,41,58,16,11,22,10,39,86
Avery Bradley,20.0,9,6,290,57,126,0.452380952381,10,27,0.37037037037,47,99,0.475,0.492063492063,30,35,0.857142857143,7,36,43,47,27,3,39,29,154
Awvee Storey,29.0,3,0,73,13,26,0.5,2,5,0.4,11,21,0.524,0.538461538462,0,2,0.0,7,11,18,2,5,0,3,10,28
Axel Toupane,47.0,68,27,1942,319,715,0.446153846154,72,219,0.328767123288,247,496,0.995,0.496503496503,336,421,0.79809976247,43,283,326,245,72,11,190,199,1046
Ayinde Ubaka,0.0,12,0,169,14,29,0.48275862069,1,5,0.2,13,24,0.542,0.5,9,11,0.818181818182,1,12,13,10,4,0,7,7,38
B.J. Elder,24.0,45,45,1640,356,729,0.488340192044,67,180,0.372222222222,289,549,0.526,0.534293552812,117,161,0.726708074534,54,113,167,86,30,11,111,126,896
B.J. Jenkins,0.0,23,10,568,67,166,0.403614457831,20,66,0.30303030303,47,100,0.47,0.463855421687,47,52,0.903846153846,11,41,52,63,25,3,34,46,201
B.J. McKie,24.0,56,0,1032,140,335,0.417910447761,24,77,0.311688311688,116,258,0.45,0.453731343284,123,163,0.754601226994,41,86,127,177,41,0,116,111,427
BJ Young,0.0,58,2,540,196,374,0.524064171123,4,22,0.181818181818,192,352,1.636,0.529411764706,70,110,0.636363636364,28,62,90,76,18,4,70,54,466
Babacar Camara,25.0,6,3,64,5,21,0.238095238095,0,0,0.0,5,21,0.238,0.238095238095,0,1,0.0,5,6,11,8,0,0,2,17,10
Badou Gaye,25.0,12,1,138,22,44,0.5,0,1,0.0,22,43,0.512,0.5,8,18,0.444444444444,18,33,51,5,2,7,16,28,52
Bakari Hendrix,54.0,87,44,1980,307,725,0.423448275862,47,177,0.265536723164,260,548,0.945,0.455862068966,161,210,0.766666666667,112,283,395,87,30,33,135,205,822
Bamba Fall,0.0,17,0,249,29,48,0.604166666667,0,0,0.0,29,48,0.604,0.604166666667,18,36,0.5,30,38,68,3,0,32,9,44,76
Baron Davis,36.0,6,0,135,27,76,0.355263157895,14,44,0.318181818182,13,32,0.406,0.447368421053,9,10,0.9,2,13,15,21,7,2,12,18,77
Bayonne Taty,30.0,23,0,234,12,33,0.363636363636,0,0,0.0,12,33,0.364,0.363636363636,12,19,0.631578947368,23,45,68,1,5,7,15,44,36
Beau Beech,22.0,36,12,695,87,236,0.368644067797,52,142,0.366197183099,35,94,0.372,0.478813559322,39,50,0.78,23,77,100,44,39,5,37,102,265
Ben Adams,51.0,15,0,243,36,69,0.521739130435,1,8,0.125,35,61,1.135,0.528985507246,28,37,0.756756756757,6,23,29,35,13,1,28,28,101
Ben Bentil,21.0,20,4,434,77,212,0.36320754717,27,87,0.310344827586,50,125,0.4,0.426886792453,60,75,0.8,24,67,91,12,15,5,27,40,241
Ben Colon,0.0,11,0,181,12,28,0.428571428571,0,0,0.0,12,28,0.429,0.428571428571,6,13,0.461538461538,17,27,44,5,8,4,12,29,30
Ben Gordon,33.0,25,17,737,130,280,0.464285714286,72,158,0.455696202532,58,122,0.475,0.592857142857,47,53,0.88679245283,5,62,67,85,23,6,42,62,379
