Player,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,TS%,FTr,3PAr,FG%,2P%,3P%,FT%,eFG%
Malik Monk,38,1218,251,558,147,296,104,262,148,180,12,83,95,87,36,19,75,72,754,661,3.9,1.9,5.8,21.5,1.1,7.2,4.2,13.3,1.6,1.5,10.4,27.2,118,100.7,6.7,1.3,8,8.243021346,18.32512315,4.827586207,9.720853859,3.41543514,8.604269294,4.860426929,5.911330049,0.39408867,2.725779967,3.119868637,2.857142857,1.18226601,0.623973727,2.463054187,2.36453202,24.76190476,59.1650973,0.322580645,0.46953405,0.449820789,0.496621622,0.396946565,0.822222222,0.543010753
Markelle Fultz,25,892,209,439,157,313,52,126,109,168,33,110,143,148,39,30,80,63,579,582,3.3,0.5,3.8,27.9,4,13.9,8.9,35.5,2.4,3.1,13.4,31.4,116.3,110.8,7.7,1.4,9.1,9.372197309,19.68609865,7.040358744,14.03587444,2.331838565,5.650224215,4.887892377,7.533632287,1.479820628,4.932735426,6.412556054,6.6367713,1.748878924,1.34529148,3.587443946,2.825112108,25.96412556,56.44155034,0.382687927,0.287015945,0.476082005,0.501597444,0.412698413,0.648809524,0.535307517
Melo Trimble,104,3415,489,1139,312,623,177,516,503,598,26,358,384,402,125,13,282,192,1658,1654,9.6,5.2,14.8,20.55885798,0.97625183,11.27792094,6.524040996,25.10275256,2.196954612,0.406969253,16.55191801,26.30612006,113.6709517,100.9961933,5.417745242,1.221288433,6.608316252,5.727672035,13.34114202,3.654465593,7.297218155,2.073206442,6.043923865,5.891654466,7.004392387,0.304538799,4.193265007,4.497803807,4.70863836,1.464128843,0.1522694,3.303074671,2.248901903,19.42020498,59.12475394,0.525021949,0.453028973,0.429323968,0.500802568,0.343023256,0.841137124,0.507023705
Nigel Williams-Goss,100,3415,574,1236,477,943,97,293,291,361,69,440,509,496,133,13,258,191,1536,1606,8,5.5,13.5,21.65310751,2.696785523,14.70960668,8.942954492,36.12934284,2.308626637,0.45131418,18.13350256,28.50419587,122.0238355,117.5002483,3.713124324,1.337970488,5.051094812,22960,49440,19080,37720,3880,11720,11640,14440,2760,17600,20360,19840,5320,520,10320,7640,61440,55.06007858,0.292071197,0.237055016,0.464401294,0.50583245,0.33105802,0.806094183,0.503640777
OG Anunoby,50,868,134,238,107,164,27,74,47,90,70,107,177,41,48,47,54,85,342,329,2.1,1.6,3.6,21.81359447,10.05691244,13.73778802,12.01682028,8.637788018,3.214746544,5.553686636,16.22004608,19.02834101,117.6410138,98.43364055,4.648387097,5.075806452,9.724193548,6.175115207,10.96774194,4.930875576,7.557603687,1.244239631,3.410138249,2.165898618,4.147465438,3.225806452,4.930875576,8.156682028,1.889400922,2.211981567,2.165898618,2.488479263,3.917050691,15.76036866,61.59942363,0.378151261,0.31092437,0.56302521,0.652439024,0.364864865,0.522222222,0.619747899
Omer Yurtseven,22,416,53,116,52,113,1,3,23,32,30,66,96,26,4,16,28,62,130,140,0.3,0.3,0.6,12.5,8.4,16.9,12.8,11.1,0.5,3.8,17.6,18.6,100,110.8,-1.4,1.4,0,5.096153846,11.15384615,5,10.86538462,0.096153846,0.288461538,2.211538462,3.076923077,2.884615385,6.346153846,9.230769231,2.5,0.384615385,1.538461538,2.692307692,5.961538462,12.5,49.96924969,0.275862069,0.025862069,0.456896552,0.460176991,0.333333333,0.71875,0.461206897
Semi Ojeleye,58,1338,221,460,140,265,81,195,186,237,89,179,268,56,22,18,55,79,709,638,5.8,2.4,8.3,16.08223606,5.469774864,9.718066607,7.709695248,5.239419049,0.867582601,1.333819664,6.498633796,15.38693025,85.33442698,64.15881286,4.748579127,0.57833085,5.316222378,8840,18400,5600,10600,3240,7800,7440,9480,3560,7160,10720,2240,880,720,2200,3160,28360,62.823421,0.515217391,0.423913043,0.480434783,0.528301887,0.415384615,0.784810127,0.568478261
Tacko Fall,66,1476,264,363,264,362,0,1,84,171,183,336,519,30,12,164,139,165,612,565,2.9,3.8,6.8,25.65840108,13.48448509,22.94911924,18.58096206,4.886720867,0.407520325,12.15487805,24.04911924,19.80928184,111.9982385,92.52926829,0.537601626,6.837601626,7.375203252,7.154471545,9.837398374,7.154471545,9.810298103,0,0.027100271,2.276422764,4.634146341,4.959349594,9.105691057,14.06504065,0.81300813,0.325203252,4.444444444,3.766937669,4.471544715,16.58536585,69.82475356,0.47107438,0.002754821,0.727272727,0.729281768,0,0.49122807,0.727272727
Thomas Bryant,69,1745,305,515,277,440,28,75,204,284,146,282,428,84,43,84,136,203,842,799,5.5,2.7,8.2,23.86647564,10.37994269,18.01593123,14.42527221,9.029398281,1.418681948,4.974727794,17.27472779,22.15467049,122.0181089,101.1747278,4.642578797,3.401375358,8.043954155,6.991404011,11.80515759,6.349570201,10.08595989,0.641833811,1.719197708,4.676217765,6.510028653,3.346704871,6.464183381,9.810888252,1.925501433,0.985673352,1.925501433,3.11747851,4.653295129,19.3008596,65.78536159,0.551456311,0.145631068,0.59223301,0.629545455,0.373333333,0.718309859,0.619417476
Tony Bradley,38,553,102,178,102,178,0,0,65,105,98,97,195,23,10,22,25,69,269,270,2.1,1,3.1,26.1,18.7,18.9,18.8,7.2,1,4.4,9.9,20.7,129.1,97.6,5.8,4,9.8,7.377938517,12.87522604,7.377938517,12.87522604,0,0,4.701627486,7.594936709,7.088607595,7.016274864,14.10488246,1.663652803,0.723327306,1.591320072,1.808318264,4.990958409,19.45750452,59.99107939,0.58988764,0,0.573033708,0.573033708,,0.619047619,0.573033708
Tyler Dorsey,75,2252,342,752,187,379,155,373,216,295,81,209,290,138,59,11,128,133,1055,973,6.1,3.1,9.2,18.73436945,4.365630551,10.26944938,7.469449378,11.37326821,1.5,0.544271758,12.54271758,22.61145648,118.1031083,102.6022647,5.363365897,0.551909414,5.963365897,6.074600355,13.35701599,3.321492007,6.731793961,2.753108348,6.625222025,3.836589698,5.239786856,1.438721137,3.712255773,5.150976909,2.451154529,1.047957371,0.195381883,2.273534636,2.362344583,18.73889876,59.82082105,0.392287234,0.496010638,0.454787234,0.493403694,0.415549598,0.73220339,0.557845745
Tyler Lydon,71,2349,278,585,180,339,98,246,169,209,145,382,527,111,77,116,106,184,823,797,5.6,3.9,9.5,20.25223499,7.17458493,17.91034483,12.69693487,9.271519796,1.986590038,5.798595147,13.40893997,17.33128991,121.061175,99.83409962,4.031289911,5.25083014,9.282120051,4.733929332,9.961685824,3.0651341,5.772669221,1.668795232,4.189016603,2.877820349,3.55896126,2.469135802,6.5048957,8.974031503,1.890166028,1.311196254,1.975308642,1.805023414,3.133248191,14.01447424,60.7864571,0.357264957,0.420512821,0.475213675,0.530973451,0.398373984,0.80861244,0.558974359
Zach Collins,39,673,135,207,125,186,10,21,110,148,65,164,229,16,18,69,60,105,390,360,2.6,2.4,5,30.9,12,23.2,18.3,4.4,1.5,9.8,17.8,24.8,125.1,79.4,4,7.5,11.5,8.023774146,12.30312036,7.429420505,11.05497771,0.59435364,1.248142645,6.537890045,8.796433878,3.863298663,9.747399703,13.61069837,0.950965825,1.069836553,4.101040119,3.566121843,6.240713224,23.17979198,71.65956196,0.714975845,0.101449275,0.652173913,0.672043011,0.476190476,0.743243243,0.676328502
