Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_PCT,2P_PCT,3P_PCT,FT_PCT,eFG_PCT,FG_PER_36,FGA_PER_36,2P_PER_36,2PA_PER_36,3P_PER_36,3PA_PER_36,FT_PER_36,FTA_PER_36,ORB_PER_36,DRB_PER_36,TRB_PER_36,AST_PER_36,STL_PER_36,BLK_PER_36,TOV_PER_36,PF_PER_36,PTS_PER_36,TS_PCT,3PAr,FTr
Al-Farouq Aminu,20,LAC,NBA,2010-11,81,14,1452,160,406,115,263,45,143,92,119,75,192,267,60,59,25,103,121,457,0.39408867,0.437262357,0.314685315,0.773109244,0.449507389,3.966942149,10.0661157,2.851239669,6.520661157,1.115702479,3.545454545,2.280991736,2.950413223,1.859504132,4.760330579,6.619834711,1.487603306,1.462809917,0.619834711,2.553719008,3,11.33057851,49.851645,0.352216749,0.293103448
Alan Anderson,23,CHA,NBA,2005-06,36,7,564,75,181,51,123,24,58,33,41,23,47,70,32,11,4,32,48,207,0.414364641,0.414634146,0.413793103,0.804878049,0.480662983,4.787234043,11.55319149,3.255319149,7.85106383,1.531914894,3.70212766,2.106382979,2.617021277,1.468085106,3,4.468085106,2.042553191,0.70212766,0.255319149,2.042553191,3.063829787,13.21276596,51.99959807,0.320441989,0.226519337
Alan Williams,23,PHO,NBA,2015-16,10,0,68,10,24,10,24,0,0,9,14,14,24,38,5,4,5,6,15,29,0.416666667,0.416666667,0,0.642857143,0.416666667,5.294117647,12.70588235,5.294117647,12.70588235,0,0,4.764705882,7.411764706,7.411764706,12.70588235,20.11764706,2.647058824,2.117647059,2.647058824,3.176470588,7.941176471,15.35294118,48.07692308,0,0.583333333
Alando Tucker,23,PHO,NBA,2007-08,6,0,48,8,22,7,18,1,4,5,6,4,4,8,0,0,1,0,2,22,0.363636364,0.388888889,0.25,0.833333333,0.386363636,6,16.5,5.25,13.5,0.75,3,3.75,4.5,3,3,6,0,0,0.75,0,1.5,16.5,44.64285714,0.181818182,0.272727273
Alec Burks,20,UTA,NBA,2011-12,59,0,939,153,357,138,312,15,45,104,143,57,75,132,55,27,5,51,84,425,0.428571429,0.442307692,0.333333333,0.727272727,0.449579832,5.865814696,13.68690096,5.290734824,11.96166134,0.575079872,1.725239617,3.987220447,5.482428115,2.185303514,2.875399361,5.060702875,2.108626198,1.03514377,0.191693291,1.955271566,3.220447284,16.29392971,50.60487712,0.12605042,0.400560224
Alex Acker,23,DET,NBA,2005-06,5,0,35,4,16,3,11,1,5,0,0,1,4,5,4,1,0,4,4,9,0.25,0.272727273,0.2,0,0.28125,4.114285714,16.45714286,3.085714286,11.31428571,1.028571429,5.142857143,0,0,1.028571429,4.114285714,5.142857143,4.114285714,1.028571429,0,4.114285714,4.114285714,9.257142857,28.125,0.3125,0
Alex Kirk,23,CLE,NBA,2014-15,5,0,14,1,4,1,4,0,0,2,2,1,0,1,1,0,0,0,1,4,0.25,0.25,0,1,0.25,2.571428571,10.28571429,2.571428571,10.28571429,0,0,5.142857143,5.142857143,2.571428571,0,2.571428571,2.571428571,0,0,0,2.571428571,10.28571429,40.98360656,0,0.5
Alex Len,20,PHO,NBA,2013-14,42,3,362,33,78,33,78,0,0,20,31,39,60,99,4,4,18,26,68,86,0.423076923,0.423076923,0,0.64516129,0.423076923,3.281767956,7.756906077,3.281767956,7.756906077,0,0,1.988950276,3.082872928,3.878453039,5.966850829,9.845303867,0.397790055,0.397790055,1.790055249,2.585635359,6.762430939,8.552486188,46.92274116,0,0.397435897
Alex Poythress,23,PHI,NBA,2016-17,6,1,157,25,54,19,35,6,19,8,10,11,18,29,5,3,2,3,14,64,0.462962963,0.542857143,0.315789474,0.8,0.518518519,5.732484076,12.38216561,4.356687898,8.025477707,1.375796178,4.356687898,1.834394904,2.292993631,2.522292994,4.127388535,6.649681529,1.146496815,0.687898089,0.458598726,0.687898089,3.210191083,14.67515924,54.79452055,0.351851852,0.185185185
Alex Scales,27,SAS,NBA,2005-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
