Player,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,TS%,FTr,3PAr,FG%,2P%,3P%,FT%,eFG%,y
Darius Morris,67,1996,253,539,230,436,23,103,137,197,45,152,197,319,56,6,154,135,666,776,3.9,2.4,6.2,17.01653307,2.771793587,9.398597194,6.065731463,35.40230461,1.822144289,0.333567134,20.63637275,22.23937876,103.3419339,102.64499,3.297895792,1.221442886,4.519338677,5.070140281,10.80160321,4.609218437,8.73747495,0.460921844,2.064128257,2.745490982,3.947895792,0.901803607,3.046092184,3.947895792,6.392785571,1.122244489,0.120240481,3.086172345,2.705410822,13.34669339,53.22209436,0.365491651,0.19109462,0.469387755,0.527522936,0.223300971,0.695431472,0.490723562,0.444444444
Darrun Hilliard,132,3537,491,1125,282,556,209,569,320,428,71,329,400,248,176,47,206,274,1511,1382,8.1,6.1,14.2,18.56669494,2.39112242,11.07314108,6.710573933,15.41198756,2.977523325,1.487249081,13.49558948,22.35501838,112.2266327,97.53104326,4.494769579,2.85060786,7.344925078,5.552728301,12.72264631,3.189143342,6.287814532,2.363584959,6.434831778,3.618886062,4.840260107,0.802940345,3.720667232,4.523607577,2.804636698,1.990387334,0.53152389,2.329657902,3.09867119,17.08792762,57.52596473,0.380444444,0.505777778,0.436444444,0.507194245,0.367311072,0.747663551,0.529333333,0.38
David Nwaba,88,2291,373,788,369,764,4,24,297,457,164,302,466,180,96,49,141,174,1047,1042,5.1,3.1,8.2,23.0091663,7.719816674,16.19576604,11.68878219,17.53784374,2.75072021,2.489044086,11.98943693,27.1697512,108.2840244,101.9408992,1.414622436,1.769882148,3.184504583,6.512439983,13.7581842,6.442601484,13.33915321,0.069838498,0.419030991,5.185508512,7.97904845,2.863378437,5.272806635,8.136185072,3.142732431,1.676123963,0.855521606,2.461807071,3.037974684,18.28022698,52.92797347,0.579949239,0.030456853,0.473350254,0.482984293,0.166666667,0.649890591,0.475888325,0.2
David Stockton,138,2741,223,526,153,297,70,229,145,207,20,205,225,423,167,11,202,230,661,807,3.3,4.8,8.2,12.98478657,0.838963882,8.211309741,4.713279825,26.02520978,3.510616563,0.40167822,25.5937614,15.3670923,103.9668734,96.96928128,1.309084276,2.283801532,3.61309741,3.254286757,7.676030646,2.232761766,4.334184604,1.021524991,3.341846042,2.116016053,3.02079533,0.291864283,2.991608902,3.283473185,6.172929588,2.437066764,0.160525356,2.947829259,3.356439256,9.646114557,53.55869579,0.393536122,0.435361217,0.423954373,0.515151515,0.305676856,0.700483092,0.490494297,0.5
David Wear,130,2832,354,748,294,606,60,142,120,163,191,369,560,96,69,25,120,221,888,859,4.4,3.7,8.1,22.01028018,12.02981289,24.36009909,18.12362831,10.19795353,2.00136771,1.568268601,17.54236004,25.68260719,164.1485792,154.325491,2.662429379,1.857062147,4.519491525,5,10.56497175,4.152542373,8.559322034,0.847457627,2.005649718,1.694915254,2.302259887,2.697740113,5.211864407,7.90960452,1.355932203,0.974576271,0.353107345,1.694915254,3.121468927,12.54237288,54.16483677,0.217914439,0.189839572,0.473262032,0.485148515,0.422535211,0.736196319,0.513368984,0
DeAndre Liggins,67,1646,148,350,98,214,50,136,91,144,40,179,219,120,66,36,72,136,437,448,2.4,3,5.4,14.01336574,2.848845687,11.55668287,7.416281896,12.74009721,2.381105711,2.164823815,14.65668287,15.04301337,110.1003038,96.21597813,2.115978129,3.137484812,5.25346294,3.596597813,8.505467801,2.381530984,5.200486027,1.215066829,3.304981774,2.211421628,3.499392467,0.972053463,4.349939247,5.32199271,2.916160389,1.603888214,0.874848117,1.749696233,3.304981774,10.61968408,52.85949294,0.411428571,0.388571429,0.422857143,0.457943925,0.367647059,0.631944444,0.494285714,0
DeMarcus Cousins,38,893,206,369,205,363,1,6,162,268,154,220,374,38,37,67,78,122,575,555,3.8,2.7,6.5,34.2,19.8,24.8,22.5,9.2,2.4,7.5,13.6,30.5,118.5,83.9,0,0,0,9.227323628,16.52855543,9.182530795,16.25979843,0.044792833,0.268756999,7.25643897,12.00447928,6.898096305,9.854423292,16.7525196,1.70212766,1.657334826,3.001119821,3.493840985,5.464725644,25.75587906,59.04460692,0.726287263,0.016260163,0.558265583,0.564738292,0.166666667,0.604477612,0.559620596,0.166666667
DeQuan Jones,79,1253,168,359,159,313,9,46,77,122,73,140,213,38,42,39,93,101,422,401,0.8,1.8,2.6,14.2056664,7.207821229,13.30614525,10.26113328,6.386751796,2.042617717,3.433918595,18.09265762,21.16807662,95.92003192,100.271668,-1.246368715,1.209497207,-0.036871508,5.363128492,11.46049481,5.075818037,9.992019154,0.287310455,1.468475658,2.458100559,3.894652833,2.330407023,4.469273743,6.799680766,1.213088587,1.340782123,1.245011971,2.968874701,3.224261772,13.471668,51.12920423,0.339832869,0.128133705,0.467966574,0.50798722,0.195652174,0.631147541,0.480501393,0.257142857
Dejounte Murray,34,1139,202,486,168,368,34,118,110,166,48,155,203,151,62,10,110,90,548,565,1.2,1.6,2.8,16.8,4.1,13.7,8.8,25.6,2.8,0.8,16.3,25.9,99.7,102.1,1.8,2.5,4.3,7.093942054,17.06760316,5.899912204,12.92361721,1.194029851,4.143985953,3.863037752,5.829675154,1.685689201,5.443371378,7.129060579,5.302897278,2.177348551,0.35118525,3.863037752,3.160667252,19.24495171,49.01259302,0.341563786,0.242798354,0.41563786,0.456521739,0.288135593,0.662650602,0.450617284,0.391304348
Delon Wright,68,2367,339,634,301,507,38,127,306,376,76,321,397,352,155,77,152,110,1022,1114,9.5,6.3,15.7,28.08280524,4.30468948,15.37579214,10.3156316,30.76561048,4.05078158,3.50468948,15.77422898,22.08905788,127.4640473,88.9695395,7.479678918,7.09531052,14.62577102,5.728770596,10.71398395,5.08660752,8.567807351,0.642163076,2.146176595,5.171102662,6.354034643,1.284326151,5.424588086,6.708914237,5.948457964,2.619349387,1.30122518,2.568652302,1.858893114,17.27080693,63.91974382,0.593059937,0.200315457,0.534700315,0.593688363,0.299212598,0.813829787,0.56466877,0.384615385
Demetrius Jackson,103,3242,415,888,282,539,133,349,241,308,90,232,322,335,114,23,170,197,1204,1247,8.8,2.3,11.1,18.70222085,3.588834053,8.26662554,6.02751388,19.22338063,2.179148674,0.717396669,14.32843924,20.11832202,119.0420111,109.3987662,5.63917335,0.763294263,6.402467613,5.120296114,10.95619988,3.479333745,6.650215916,1.640962369,4.305983961,2.973473165,3.800123381,1.110425663,2.862430598,3.972856262,4.13325108,1.406539173,0.283775447,2.097470697,2.430598396,14.85502776,58.8166328,0.346846847,0.393018018,0.467342342,0.523191095,0.381088825,0.782467532,0.54222973,1
Dennis Horner,36,1005,151,318,120,224,31,94,97,124,62,116,178,50,36,35,57,85,430,401,2.6,1.7,4.2,21.2,7.2,12.9,10.1,11.2,2.2,3.4,13.1,22.4,113.7,97.5,0,0,0,6.009950249,12.65671642,4.776119403,8.915422886,1.233830846,3.741293532,3.860696517,4.935323383,2.467661692,4.616915423,7.084577114,1.990049751,1.432835821,1.393034826,2.268656716,3.383084577,17.11442786,57.70882542,0.389937107,0.295597484,0.474842767,0.535714286,0.329787234,0.782258065,0.523584906,0
Denzel Valentine,144,4182,579,1309,314,659,265,650,222,285,157,698,855,639,132,40,317,303,1645,1755,10.9,7.8,18.9,20.71750359,4.598015304,18.77895744,12.01948828,30.0689144,1.934146341,1.074605452,18.68582018,22.2896461,113.3377571,96.31743185,6.628790053,3.909397418,10.53593974,5.538020086,12.5203252,3.003347681,6.303204209,2.534672406,6.217120995,2.12338594,2.725968436,1.50167384,6.676231468,8.177905308,6.111908178,1.262553802,0.382592061,3.032042085,2.898134864,15.73409852,57.34104852,0.217723453,0.496562261,0.442322383,0.476479514,0.407692308,0.778947368,0.543544691,0.350961538
Derrick Caracter,27,720,148,261,144,246,4,15,80,119,72,146,218,30,26,23,77,82,380,360,1.6,1.8,3.4,23.9,12,21.7,17.1,9,2.1,3.6,19.5,27.4,106.4,88.4,0,0,0,8.222222222,14.5,8,13.66666667,0.222222222,0.833333333,4.444444444,6.611111111,4,8.111111111,12.11111111,1.666666667,1.444444444,1.277777778,4.277777778,4.555555556,21.11111111,60.63313761,0.455938697,0.057471264,0.567049808,0.585365854,0.266666667,0.672268908,0.574712644,0
Derrick Favors,36,989,179,293,179,292,0,1,90,143,108,195,303,37,32,74,90,94,448,420,2.3,2.5,4.8,24.5,12.6,19.9,16.5,7.9,1.8,7.9,20,21.8,111.5,88.6,0,0,0,7.239635996,11.85035389,7.239635996,11.809909,0,0.040444894,3.640040445,5.783619818,4.368048534,7.886754297,12.25480283,1.496461072,1.294236603,2.992922144,3.640040445,3.80182002,18.11931244,62.93549112,0.488054608,0.003412969,0.610921502,0.613013699,0,0.629370629,0.610921502,0
Derrick Williams,69,2016,388,662,342,572,46,90,405,563,173,360,533,65,56,46,160,184,1227,1121,9.2,3,12.2,13.12826686,4.904524697,9.83920909,7.46750027,3.246388619,0.676055177,1.177026589,6.696548044,13.24596574,59.31626675,50.08395212,0.541439689,0.153015564,0.694455253,7.698412698,13.13492063,6.785714286,11.34920635,0.912698413,1.785714286,8.035714286,11.17063492,3.432539683,7.142857143,10.57539683,1.28968254,1.111111111,0.912698413,3.174603175,3.650793651,24.3452381,67.43833267,0.850453172,0.135951662,0.586102719,0.597902098,0.511111111,0.719360568,0.620845921,0.268115942
Devin Booker,38,816,135,287,77,146,58,141,53,64,17,59,76,42,17,2,37,58,381,324,2.7,1.8,4.5,6.204985432,0.831595986,2.494787957,1.727160893,3.486306248,0.415797993,0.095953383,3.326383943,7.292457106,39.37287148,29.48967303,2.206927808,0.63968922,2.846617028,6.617647059,14.06862745,3.774509804,7.156862745,2.843137255,6.911764706,2.598039216,3.137254902,0.833333333,2.892156863,3.725490196,2.058823529,0.833333333,0.098039216,1.81372549,2.843137255,18.67647059,60.44548801,0.222996516,0.491289199,0.470383275,0.52739726,0.411347518,0.828125,0.571428571,0.342560554
Devin Ebanks,34,1161,144,315,141,285,3,30,117,152,99,176,275,83,36,23,75,54,408,419,2.6,2.1,4.6,19.7,9.5,18,13.6,14.7,1.9,2.2,16.2,20.1,111.7,96.4,0,0,0,4.96124031,10.85271318,4.857881137,9.819121447,0.103359173,1.033591731,4.031007752,5.236864772,3.410852713,6.063738157,9.47459087,2.85960379,1.240310078,0.792420327,2.583979328,1.860465116,14.05684755,53.41992249,0.482539683,0.095238095,0.457142857,0.494736842,0.1,0.769736842,0.461904762,0.4
Dewayne Dedmon,51,1156,153,294,153,290,0,4,54,88,119,206,325,25,48,85,78,157,360,361,1.2,2.5,3.6,19.14359862,12.23797578,22.11686851,16.86764706,4.484948097,2.362024221,6.831920415,18.36539792,19.93460208,99.69437716,92.9083045,-0.797750865,5.471020761,4.673269896,5.294117647,10.17301038,5.294117647,10.03460208,0,0.138408304,1.868512111,3.044982699,4.117647059,7.128027682,11.24567474,0.865051903,1.660899654,2.941176471,2.698961938,5.432525952,12.4567474,54.09954316,0.299319728,0.013605442,0.520408163,0.527586207,0,0.613636364,0.520408163,0
Dexter Pittman,34,648,140,214,140,214,0,0,75,135,101,98,199,17,12,63,60,90,355,333,2.1,1.3,3.4,27.6,16.6,15.3,15.9,5.1,1,8.9,17.7,23.6,117.3,93.4,0,0,0,8.641975309,13.20987654,8.641975309,13.20987654,0,0,4.62962963,8.333333333,6.234567901,6.049382716,12.28395062,1.049382716,0.740740741,3.888888889,3.703703704,5.555555556,21.91358025,64.92318947,0.630841121,0,0.654205607,0.654205607,0,0.555555556,0.654205607,0
Deyonta Davis,35,650,119,199,119,199,0,0,23,38,72,119,191,26,9,64,30,80,261,242,1.7,1.6,3.3,23.9,13.5,19,16.5,7.5,0.8,10.2,12.1,19.2,121.4,90.9,3.2,7.5,10.8,7.323076923,12.24615385,7.323076923,12.24615385,0,0,1.415384615,2.338461538,4.430769231,7.323076923,11.75384615,1.6,0.553846154,3.938461538,1.846153846,4.923076923,16.06153846,60.49508622,0.190954774,0,0.59798995,0.59798995,0,0.605263158,0.59798995,0
Diamond Stone,35,807,167,294,167,294,0,0,102,134,77,111,188,15,18,55,53,80,436,408,2.6,1.5,4.1,26.6,12.4,14.5,13.6,4.2,1.3,7.1,12.9,26.7,118.3,97.9,2.4,2.9,5.3,8.277571252,14.57249071,8.277571252,14.57249071,0,0,5.055762082,6.641883519,3.816604709,5.501858736,9.318463445,0.743494424,0.892193309,2.726146221,2.627013631,3.965303594,21.61090458,61.76337262,0.455782313,0,0.568027211,0.568027211,0,0.76119403,0.568027211,0
Diante Garrett,64,2187,327,776,249,537,78,239,116,152,25,175,200,359,95,14,188,118,848,921,3,2.8,5.9,15.9136717,1.261179698,8.303109282,4.809007773,32.23447645,2.438820302,0.653726566,19.1698674,22.49597622,101.4850937,101.8894376,1.203109282,0.323914037,1.52702332,5.98079561,14.19295839,4.554183813,9.821673525,1.426611797,4.371284865,2.121627801,2.780064015,0.457247371,3.200731596,3.657978967,6.566072245,1.737540009,0.256058528,3.438500229,2.15820759,15.50983082,50.30372058,0.195876289,0.307989691,0.421391753,0.463687151,0.326359833,0.763157895,0.471649485,0.2
Dion Waiters,71,1445,248,547,179,349,69,198,125,166,30,108,138,142,105,16,78,115,690,641,4.4,2.7,7.2,23.30955017,2.476678201,8.454948097,5.523321799,19.70477509,4.446643599,1.231626298,11.16678201,25.05141869,115.5712111,94.93515571,6.019792388,2.169965398,8.189757785,6.865051903,15.14186851,4.955017301,9.660899654,1.910034602,5.480968858,3.460207612,4.595155709,0.830449827,2.989619377,3.820069204,3.930795848,2.906574394,0.442906574,2.15916955,3.183391003,19.10034602,55.64157151,0.303473492,0.361974406,0.453382084,0.512893983,0.348484848,0.753012048,0.516453382,0.310344828
Domantas Sabonis,74,1971,384,608,379,594,5,14,229,314,192,502,694,97,39,43,151,219,1002,972,7.5,4.7,12.3,27.38158295,12.36727549,26.32328767,20.03272451,9.7152207,1.183409437,2.199543379,16.70898021,23.89010654,124.308067,91.24170472,4.666362253,3.541248097,8.20761035,7.792998478,12.33891426,7.691527144,12.05479452,0.101471334,0.284119736,4.647387113,6.372399797,3.896499239,10.18772197,14.08422121,1.968543886,0.791476408,0.872653475,3.064434297,4.444444444,20.3348554,67.14377613,0.516447368,0.023026316,0.631578947,0.638047138,0.357142857,0.729299363,0.635690789,0.320754717
Dominique Jones,33,1224,222,493,170,326,52,167,209,282,37,164,201,120,56,19,97,93,705,669,4.3,1.9,6.2,26.6,3.6,14.9,9.4,24.4,2.8,1.6,13.4,30.8,113.9,98.8,0,0,0,7.254901961,16.11111111,5.555555556,10.65359477,1.699346405,5.45751634,6.830065359,9.215686275,1.209150327,5.359477124,6.568627451,3.921568627,1.830065359,0.620915033,3.169934641,3.039215686,23.03921569,57.12387373,0.572008114,0.338742394,0.45030426,0.521472393,0.311377246,0.741134752,0.503042596,0
Donald Sloan,34,1130,200,450,153,321,47,129,157,204,23,99,122,79,22,2,80,56,604,552,3.1,1.5,4.6,20.2,2.3,9.9,6.1,16.8,1.2,0.2,12.8,28.3,110.7,101.4,0,0,0,7.079646018,15.92920354,5.415929204,11.36283186,1.663716814,4.566371681,5.557522124,7.221238938,0.814159292,3.504424779,4.318584071,2.796460177,0.778761062,0.07079646,2.831858407,1.982300885,21.38053097,55.95079295,0.453333333,0.286666667,0.444444444,0.476635514,0.364341085,0.769607843,0.496666667,0.08
Dorian Finney-Smith,134,3834,480,1169,295,657,185,512,284,432,347,606,953,256,105,92,240,321,1429,1475,6.8,7.7,14.6,25.92494793,15.18534239,25.38504498,20.24211215,20.44731661,2.106911025,3.328281748,20.15086738,31.6014063,147.8809602,128.2186545,5.768325906,6.222422423,11.99074833,5.007824726,12.1961398,3.077725613,6.854460094,1.930099113,5.341679708,2.962962963,4.507042254,3.620239958,6.322378717,9.942618675,2.670839854,1.095461659,0.959833073,2.503912363,3.348982786,14.90871153,52.57232834,0.369546621,0.43798118,0.410607357,0.449010654,0.361328125,0.657407407,0.489734816,0.293193717
Doron Lamb,78,2327,336,693,192,390,144,303,202,249,34,149,183,122,41,8,94,157,1018,899,8.1,2.8,10.9,19.01469703,1.777954448,6.995530726,4.544091104,9.958143532,1.038977224,0.385302965,10.39712076,19.88530297,128.2741298,102.1118178,6.82939407,-0.061022776,6.822045552,5.775676837,11.91233348,3.300386764,6.703910615,2.475290073,5.208422862,3.472281908,4.280189085,0.584443489,2.561237645,3.145681135,2.097120756,0.70477009,0.137516115,1.615814353,2.69875376,17.49892566,63.42204944,0.359307359,0.437229437,0.484848485,0.492307692,0.475247525,0.81124498,0.588744589,0.378378378
Doug McDermott,145,4569,1141,2075,867,1477,274,598,594,715,281,807,1088,194,34,14,321,265,3150,2684,21.6,5.3,26.8,30.23026921,8.186101992,20.69610418,14.88093675,10.44528343,0.448894725,0.348194353,12.02317794,32.31216896,122.8347997,103.4756402,7.97975487,-1.466031954,6.512322171,9.989056686,18.16590063,7.590282337,12.93061939,2.398774349,5.235281243,5.20026264,6.259575399,2.460056905,7.065003283,9.525060188,1.698402276,0.297658131,0.122565113,2.810242942,2.319982491,27.57715036,65.91061265,0.344578313,0.288192771,0.549879518,0.587000677,0.45819398,0.830769231,0.615903614,0.317073171
Draymond Green,108,3197,498,1082,407,831,91,251,308,443,244,730,974,394,159,107,253,330,1395,1469,8.9,8.1,17,25.25470754,9.442164529,26.01867376,17.89787301,26.3723178,3.109978104,3.825086018,16.27491398,24.4546137,112.3521114,88.97328746,4.047607132,4.934532374,8.982139506,6.230841414,13.53769159,5.092274007,10.39724742,1.138567407,3.140444166,3.853612762,5.542696278,3.052862058,9.133562715,12.18642477,4.92962152,1.98936503,1.338755083,3.165467626,4.128870816,17.453863,54.6236256,0.409426987,0.231977819,0.46025878,0.48977136,0.362549801,0.695259594,0.502310536,0.208955224
Drew Gordon,67,1954,355,660,353,656,2,4,173,241,213,480,693,64,56,81,149,185,885,833,4.6,5.1,9.7,24.05383828,13.49790174,29.02226203,21.40255885,7.444677584,1.759211873,4.750818833,16.09564995,24.37876151,110.00348,87.4357216,0.715609007,4.22814739,4.888587513,7.267144319,13.51074719,7.226202661,13.42886387,0.040941658,0.081883316,3.541453429,4.933469806,4.360286592,9.825997953,14.18628454,1.31013306,1.146366428,1.658137155,3.050153531,3.787103378,18.11668373,57.76460759,0.365151515,0.006060606,0.537878788,0.538109756,0.5,0.717842324,0.539393939,0
Duje Dukan,97,970,106,248,62,114,44,134,42,64,50,117,167,37,14,4,36,83,298,295,1.8,1.4,3.1,14.27752577,6.804948454,15.21670103,11.11154639,7.523505155,0.963814433,0.40742268,11.44319588,18.61,112.1661856,101.5479381,3.346391753,0.837628866,4.184020619,4.371134021,10.22680412,2.556701031,4.701030928,1.81443299,5.525773196,1.731958763,2.639175258,2.06185567,4.824742268,6.886597938,1.525773196,0.577319588,0.164948454,1.484536082,3.422680412,12.28865979,53.95422943,0.258064516,0.540322581,0.427419355,0.543859649,0.328358209,0.65625,0.516129032,0.4
Dwight Buycks,68,1769,194,438,140,288,54,150,79,115,52,155,207,189,75,3,137,109,521,550,1.8,2.1,3.9,13.28377614,3.816223855,10.78801583,7.273487846,19.29406444,2.658111928,0.142736009,21.38292821,18.38631995,99.69236857,102.0521764,1.32481628,0.512832109,1.837648389,4.386659129,9.903900509,3.1656303,6.512153759,1.22102883,3.39174675,1.786319955,2.600339175,1.17580554,3.504804975,4.680610514,4.273600904,1.695873375,0.067834935,3.097795365,2.464669305,11.78066704,53.31559558,0.262557078,0.342465753,0.442922374,0.486111111,0.36,0.686956522,0.50456621,0.294117647
Dwight Powell,136,3569,515,1110,482,996,33,114,402,557,225,628,853,240,125,118,283,390,1465,1481,6.1,6.9,13,18.17663211,7.322331185,22.24003923,14.46752592,12.3072009,2.198683105,3.669431213,17.75533763,22.32135052,102.9880639,93.38610255,0.549453628,4.842476884,5.388147941,5.771924909,12.44045951,5.40207341,11.1627907,0.369851499,1.277668815,4.505463715,6.242644999,2.521714766,7.038386103,9.560100869,2.689829084,1.400952648,1.3224993,3.171756795,4.370972261,16.41916503,54.0558491,0.501801802,0.102702703,0.463963964,0.483935743,0.289473684,0.721723519,0.478828829,0.272727273
E'Twaun Moore,69,2255,433,970,312,649,121,321,200,278,83,226,309,201,92,28,134,150,1187,1104,6.1,4.5,10.6,22.57175166,4.231529933,11.63152993,7.931529933,20.33804878,2.506518847,1.293481153,10.87281596,28.51086475,110.1087361,94.18478936,3.47286031,1.663059867,5.135920177,7.680709534,17.20620843,5.534368071,11.51219512,2.146341463,5.694013304,3.54767184,4.931263858,1.472283814,4.00886918,5.481152993,3.5654102,1.631929047,0.496674058,2.376940133,2.66075388,21.05543237,54.33389483,0.286597938,0.330927835,0.446391753,0.480739599,0.37694704,0.71942446,0.508762887,0.377777778
Ed Davis,23,641,111,192,111,192,0,0,87,132,66,154,220,22,10,64,46,42,309,282,1.8,1.3,3.1,26.4,10.8,24.2,17.6,6.8,0.9,9.5,15.3,21.5,116.5,93.3,0,0,0,6.926677067,11.98127925,6.926677067,11.98127925,0,0,5.429017161,8.237129485,4.118564743,9.609984399,13.72854914,1.372854914,0.624024961,3.99375975,2.870514821,2.620904836,19.28237129,61.78023033,0.6875,0,0.578125,0.578125,0,0.659090909,0.578125,0
Edwin Ubiles,30,926,188,398,159,325,29,73,54,82,31,80,111,67,33,7,58,38,459,415,1.9,1.6,3.5,19.3,3.7,9.6,6.6,15.2,2,0.7,11.7,25.8,106.9,97.5,0,0,0,8.120950324,17.19222462,6.86825054,14.03887689,1.252699784,3.153347732,2.332613391,3.542116631,1.339092873,3.455723542,4.794816415,2.894168467,1.425485961,0.30237581,2.505399568,1.641468683,19.82721382,52.87043863,0.206030151,0.183417085,0.472361809,0.489230769,0.397260274,0.658536585,0.50879397,0.2
Ekpe Udoh,36,1264,191,390,184,364,7,26,111,162,129,222,351,97,29,133,87,87,500,542,3.4,2.6,6.1,24.9,12.9,17.7,15.6,14.4,1.4,11,15.7,22.1,114.3,93.3,0,0,0,6.044303797,12.34177215,5.82278481,11.51898734,0.221518987,0.82278481,3.512658228,5.126582278,4.082278481,7.025316456,11.10759494,3.069620253,0.917721519,4.208860759,2.753164557,2.753164557,15.82278481,54.197017,0.415384615,0.066666667,0.48974359,0.505494505,0.269230769,0.685185185,0.498717949,0
Elfrid Payton,100,3155,501,1032,471,920,30,112,394,645,148,360,508,486,197,51,336,226,1426,1566,6.1,4.9,11,19.52095087,4.940507132,13.66012678,9.171473851,30.98767036,3.389920761,1.523645008,22.22719493,24.98047544,100.9169889,98.38671949,0.856703645,2.02481775,2.904532488,6.351822504,13.08399366,5.971473851,11.66402536,0.380348653,1.419968304,4.995245642,8.177496038,1.876386688,4.564183835,6.440570523,6.161648178,2.497622821,0.64659271,4.259904913,2.865293185,18.0792393,54.1875665,0.625,0.108527132,0.485465116,0.511956522,0.267857143,0.610852713,0.5,0.261904762
Elias Harris,135,3785,666,1289,588,1070,78,219,447,618,270,709,979,177,123,72,242,290,1857,1747,12.4,7.8,20.2,24.17593131,9.022166447,21.73527081,15.63793923,9.728005284,1.911862616,2.077912814,13.31878468,24.57207398,117.2234082,93.16610304,2.653817701,2.338467635,4.968929987,7.038309115,13.62219287,6.214002642,11.30779392,0.824306473,2.314398943,4.723910172,6.531043593,2.85336856,7.492734478,10.34610304,1.870541612,1.2998679,0.760898283,2.557463672,3.064729194,19.62483487,59.48415037,0.479441427,0.169899147,0.516679597,0.54953271,0.356164384,0.723300971,0.546935609,0
Elijah Millsap,34,1124,182,418,163,339,19,79,164,236,92,232,324,60,56,11,118,111,547,531,1.7,3,4.7,21.6,9.5,24.5,16.9,13.5,3.1,1.1,18.2,29.8,100.1,87,0,0,0,6.476868327,14.87544484,5.800711744,12.06405694,0.676156584,2.8113879,5.836298932,8.398576512,3.274021352,8.256227758,11.53024911,2.135231317,1.992882562,0.391459075,4.199288256,3.950177936,19.46619217,52.4107006,0.564593301,0.188995215,0.435406699,0.480825959,0.240506329,0.694915254,0.458133971,0.311111111
Elliot Williams,34,1133,178,388,118,224,60,164,194,256,25,110,135,128,45,4,100,69,610,598,4.1,1.5,5.6,23.6,2.7,11.3,7.1,24,2.4,0.4,16.4,27.7,116.7,101.2,0,0,0,6.284201236,13.69814651,4.165931156,7.908208297,2.118270079,5.789938217,6.849073257,9.037952339,0.882612533,3.883495146,4.766107679,4.518976169,1.58870256,0.141218005,3.530450132,2.436010591,21.53574581,60.92201981,0.659793814,0.422680412,0.458762887,0.526785714,0.365853659,0.7578125,0.536082474,0.296296296
Eric Bledsoe,37,1122,144,312,95,184,49,128,82,123,19,95,114,107,52,12,112,82,419,405,1.5,2.1,3.5,14.5,1.9,8.5,5.5,16.8,2.6,1.1,23.2,20.4,102.6,95.7,0,0,0,5.13368984,11.12299465,3.386809269,6.559714795,1.74688057,4.563279857,2.923351159,4.385026738,0.677361854,3.386809269,4.064171123,3.814616756,1.853832442,0.427807487,3.992869875,2.923351159,14.93761141,57.22167595,0.394230769,0.41025641,0.461538462,0.516304348,0.3828125,0.666666667,0.540064103,0.275862069
Eric Moreland,89,2227,238,445,230,421,8,24,156,294,211,551,762,116,70,184,161,211,640,697,2.7,4.1,6.7,23.08890885,19.57202515,23.22173327,21.83030983,11.59537494,4.23129771,15.4792546,14.40193085,17.48432869,98.25936237,91.62096991,0.543915582,11.70996857,12.22128424,4.27480916,7.992815447,4.131118096,7.561742254,0.143691064,0.431073193,2.801975752,5.28064661,3.789851819,9.896722048,13.68657387,2.083520431,1.257296812,3.304894477,2.891782667,3.789851819,11.49528514,55.71418622,0.660674157,0.053932584,0.534831461,0.54631829,0.333333333,0.530612245,0.543820225,0
Erick Green,129,3648,592,1356,452,942,140,414,418,520,59,273,332,326,156,26,178,208,1742,1666,11.4,4.1,15.5,19.19690241,1.897532895,8.301507675,5.055372807,19.76779057,2.636430921,1.002576754,11.75397478,23.58643092,107.754523,101.7743147,4.934512061,0.296628289,5.231140351,6.49122807,14.86842105,4.956140351,10.32894737,1.535087719,4.539473684,4.583333333,5.701754386,0.646929825,2.993421053,3.640350877,3.574561404,1.710526316,0.285087719,1.951754386,2.280701754,19.10087719,54.95961636,0.383480826,0.305309735,0.436578171,0.479830149,0.338164251,0.803846154,0.48820059,0.29787234
Erik Murphy,136,2488,397,773,254,444,143,329,115,152,160,347,507,95,58,85,139,297,1052,939,7.4,4.7,12.1,21.53774116,9.263866559,17.76519293,13.50514469,7.639027331,1.71840836,3.373673633,15.09248392,20.74344855,118.2290595,93.30200965,3.909807074,2.340675241,6.276768489,6.382636656,12.42765273,4.083601286,7.138263666,2.29903537,5.289389068,1.848874598,2.443729904,2.572347267,5.578778135,8.151125402,1.52733119,0.932475884,1.366559486,2.234726688,4.774919614,16.91318328,62.62799448,0.196636481,0.425614489,0.513583441,0.572072072,0.434650456,0.756578947,0.606080207,0
Evan Turner,31,1108,237,457,217,402,20,55,138,183,62,222,284,185,54,28,136,86,632,682,4,2.8,6.8,30,7.3,23.5,15.9,37.5,3,2.9,20,33.1,111.2,88.5,0,0,0,8.555956679,16.49819495,7.833935018,14.51263538,0.722021661,1.985559567,4.981949458,6.606498195,2.238267148,8.014440433,10.25270758,6.678700361,1.949458484,1.010830325,4.909747292,3.104693141,22.81588448,58.7885102,0.400437637,0.120350109,0.518599562,0.539800995,0.363636364,0.754098361,0.5404814,0.318181818
