Player,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,TS%,FTr,3PAr,FG%,2P%,3P%,FT%,eFG%,y
Alex Poythress,112,2480,356,646,327,550,29,96,225,328,201,396,597,51,44,76,149,302,966,902,5.8,4.3,10.1,16.87524194,9.968629032,15.75298387,12.98629032,3.961532258,1.061854839,4.362419355,15.64612903,18.8983871,110.426371,95.30596774,1.801370968,3.176451613,5.00733871,5.741935484,10.41935484,5.274193548,8.870967742,0.467741935,1.548387097,3.629032258,5.290322581,3.241935484,6.387096774,9.629032258,0.822580645,0.709677419,1.225806452,2.403225806,4.870967742,15.58064516,61.11448527,0.507739938,0.148606811,0.551083591,0.594545455,0.302083333,0.68597561,0.573529412,0.315789474
Alex Stepheson,62,1841,233,450,233,450,0,0,103,204,204,310,514,14,17,83,101,143,569,572,2.3,3.7,6,17.33927213,14.47202607,19.24942966,16.86072787,2.071645845,0.517816404,5.621835959,15.91455731,20.01493753,101.259207,93.05632808,-0.196360674,1.021075502,0.824714829,5.062466051,9.777294948,5.062466051,9.777294948,0,0,2.237914177,4.43237371,4.43237371,6.735469853,11.16784356,0.30418251,0.369364476,1.803367735,2.194459533,3.107007061,12.36284628,52.70861123,0.453333333,0,0.517777778,0.517777778,0,0.504901961,0.517777778,0
Allen Crabbe,98,3402,533,1195,324,648,209,547,262,320,85,474,559,219,84,57,182,165,1537,1380,8.6,4.9,13.6,19.90455614,3.051940035,16.57757202,10.00097002,13.43339212,1.454232804,1.725455614,11.74226925,22.94979424,113.3964139,99.43974133,5.264638448,2.135126396,7.398677249,6.266901822,14.0505585,3.80952381,7.619047619,2.457378013,6.431510876,3.080540858,3.762492651,0.999412111,5.57319224,6.57260435,2.574955908,0.987654321,0.670194004,2.139917695,1.940035273,18.07172252,57.53106753,0.267782427,0.457740586,0.446025105,0.5,0.382084095,0.81875,0.533472803,0.428571429
Andre Dawkins,142,2468,330,763,99,195,231,568,123,160,32,194,226,66,61,13,88,200,1014,834,6.3,3.2,9.5,16.56211507,1.470421394,9.105429498,5.293841167,5.149027553,1.545137763,0.595259319,9.176094003,19.81057536,122.0775122,101.7917342,4.682860616,-0.354619125,4.328241491,5.348460292,12.36628849,1.604538088,3.160453809,3.743922204,9.205834684,1.993517018,2.593192869,0.518638574,3.144246353,3.662884927,1.069692058,0.988654781,0.210696921,1.426256078,3.241491086,16.43435981,60.83513319,0.209698558,0.744429882,0.432503277,0.507692308,0.406690141,0.76875,0.583879423,0.166666667
Andre Drummond,34,967,157,292,157,290,0,2,26,88,114,143,257,15,28,92,52,75,340,328,1.4,1.5,2.9,21.9,14.2,17,15.6,3.4,1.8,9.9,13.5,20.9,103.1,97.3,0.7,5.3,6,6.494312306,12.07859359,6.494312306,11.9958635,0,0.082730093,1.07549121,3.640124095,4.715615305,5.915201655,10.63081696,0.620475698,1.158221303,3.805584281,2.15098242,3.10237849,14.06411582,51.40299952,0.301369863,0.006849315,0.537671233,0.54137931,0,0.295454545,0.537671233,0.5
Andre Roberson,105,2970,382,741,332,598,50,143,198,340,309,736,1045,119,164,150,183,274,1012,1058,6.2,7.6,13.7,23.54744108,12.64383838,29.20276094,21.05757576,8.438922559,3.31013468,5.449494949,16.90996633,18.94986532,111.6181145,87.90558923,3.052996633,6.498888889,9.551885522,5.144781145,9.97979798,4.471380471,8.053872054,0.673400673,1.925925926,2.666666667,4.579124579,4.161616162,9.912457912,14.07407407,1.602693603,2.208754209,2.02020202,2.464646465,3.69023569,13.62962963,56.81562991,0.458839406,0.192982456,0.515519568,0.555183946,0.34965035,0.582352941,0.54925776,0.153846154
Andrew Goudelock,71,2512,568,1253,340,684,228,569,171,208,50,241,291,288,71,20,187,124,1535,1472,9.2,2,11.3,25.09323248,2.35183121,10.36648089,6.559156051,24.17125796,1.655493631,0.759156051,11.84140127,31.07914013,114.5816879,106.7366242,3.130971338,-1.252388535,1.926751592,9.044585987,19.9522293,5.414012739,10.89171975,3.630573248,9.060509554,2.722929936,3.312101911,0.796178344,3.837579618,4.633757962,4.585987261,1.130573248,0.318471338,2.977707006,1.974522293,24.44267516,57.08356886,0.166001596,0.454110136,0.453312051,0.497076023,0.400702988,0.822115385,0.544293695,0.373333333
Andrew Harrison,79,2261,222,597,153,409,69,188,285,367,45,168,213,298,61,17,173,189,798,861,4.4,3.9,8.3,15.58204334,2.271517028,8.1,5.36377709,25.03281734,1.840557276,0.812074303,17.72229102,21.3120743,111.1114551,96.71764706,3.844891641,2.737151703,6.582043344,3.927465723,10.56169836,2.706766917,7.2357364,1.220698806,3.325961964,5.042016807,6.492702344,0.796107917,2.972136223,3.76824414,5.272003538,1.07916851,0.30075188,3.060592658,3.343653251,14.11764706,52.60521042,0.614740369,0.314907873,0.371859296,0.37408313,0.367021277,0.776566757,0.429648241,0.275641026
Andrew Nicholson,93,2918,655,1151,626,1075,29,76,388,522,207,500,707,80,44,163,234,272,1727,1499,10.2,4.1,14.4,27.61291981,9.027964359,20.47179575,14.89705278,7.205209047,0.883207676,6.070185058,14.03046607,28.78666895,116.1345785,99.79413982,2.625154215,0.989033585,3.55013708,8.97875257,15.77793009,8.581220014,14.73612063,0.397532557,1.041809459,5.318711446,7.155586018,2.837559973,6.854009596,9.691569568,1.096641535,0.603152844,2.234407128,3.207676491,3.72858122,23.67374914,62.54164615,0.453518679,0.06602954,0.569070374,0.582325581,0.381578947,0.743295019,0.581668115,0
Andrew Wiggins,35,1148,189,422,146,296,43,126,176,227,76,129,205,54,41,34,80,94,597,564,3.2,1.7,4.9,21.4,8.4,12.3,10.4,9.2,2.1,3.1,13.1,26.3,116.1,102.8,5.4,3,8.5,6.585365854,14.70383275,5.087108014,10.31358885,1.49825784,4.390243902,6.132404181,7.909407666,2.648083624,4.494773519,7.142857143,1.881533101,1.428571429,1.18466899,2.787456446,3.275261324,20.80139373,57.19705679,0.537914692,0.298578199,0.447867299,0.493243243,0.341269841,0.775330396,0.498815166,0.30952381
Andy Rautins,35,1137,130,297,32,56,98,241,66,81,18,100,118,171,69,8,98,76,424,441,2.9,2.1,4.9,18.5,2,8.8,5.8,23.9,3.4,0.8,22.6,18.4,116.8,96,0,0,0,4.573438874,10.44854881,1.125769569,1.970096746,3.447669305,8.478452067,2.321899736,2.849604222,0.633245383,3.518029903,4.151275286,6.015831135,2.427440633,0.281442392,3.447669305,2.673702726,14.91644679,63.73256373,0.272727273,0.811447811,0.437710438,0.571428571,0.406639004,0.814814815,0.602693603,0.25
Anthony Bennett,35,950,202,379,166,283,36,96,124,177,86,199,285,34,24,43,65,80,564,488,3.5,2.2,5.7,28.3,10.3,24,17.1,8.8,1.5,4.6,12.3,27.5,117.6,89.6,5.3,3.2,8.5,8.505263158,15.95789474,6.989473684,11.91578947,1.515789474,4.042105263,5.221052632,7.452631579,3.621052632,8.378947368,12,1.431578947,1.010526316,1.810526316,2.736842105,3.368421053,23.74736842,61.72299072,0.46701847,0.253298153,0.53298153,0.586572438,0.375,0.700564972,0.580474934,0.245283019
Anthony Brown,144,4200,518,1211,300,670,218,541,308,410,139,552,691,231,99,23,228,257,1562,1479,8.1,5.9,13.9,23.72328571,5.814047619,27.0232381,16.33638095,18.53314286,2.446714286,1.080047619,28.57633333,34.33647619,185.4897619,182.7078095,3.213619048,3.137285714,6.350904762,4.933333333,11.53333333,2.857142857,6.380952381,2.076190476,5.152380952,2.933333333,3.904761905,1.323809524,5.257142857,6.580952381,2.2,0.942857143,0.219047619,2.171428571,2.447619048,14.87619048,56.13051603,0.338563171,0.446738233,0.427745665,0.447761194,0.402957486,0.751219512,0.517753922,0.285714286
Anthony Davis,40,1281,210,337,207,317,3,20,144,203,119,296,415,50,54,186,41,78,567,550,5.9,4.1,9.9,35.1,11.6,25.6,19,7.5,2.5,13.7,8.6,18.8,139,80.7,7.8,10.8,18.7,6.557377049,10.52302888,6.463700234,9.898516784,0.093676815,0.6245121,4.496487119,6.338797814,3.715846995,9.242779079,12.95862607,1.56128025,1.68618267,5.807962529,1.280249805,2.43559719,17.70491803,66.49934322,0.602373887,0.059347181,0.623145401,0.652996845,0.15,0.709359606,0.627596439,0
Archie Goodwin,33,1048,157,357,140,293,17,64,135,212,48,104,152,88,36,15,101,97,466,467,1.6,1.5,3.1,16.9,5.6,11.2,8.5,16.8,2.1,1.4,18.1,27.2,100.1,99.1,1.2,1.2,2.4,5.992366412,13.6259542,5.34351145,11.18320611,0.648854962,2.442748092,5.152671756,8.091603053,1.832061069,3.969465649,5.801526718,3.358778626,1.374045802,0.572519084,3.854961832,3.702290076,17.78625954,51.74558053,0.593837535,0.179271709,0.43977591,0.4778157,0.265625,0.636792453,0.463585434,0.138888889
Arinze Onuaku,32,728,153,229,153,229,0,0,30,70,67,97,164,20,29,35,43,85,336,285,1.9,1.5,3.4,22.8,11.5,13.3,12.5,5.1,2.2,5.2,14.1,20.2,117.9,93.9,0,0,0,8.406593407,12.58241758,8.406593407,12.58241758,0,0,1.648351648,3.846153846,3.681318681,5.32967033,9.010989011,1.098901099,1.593406593,1.923076923,2.362637363,4.67032967,18.46153846,64.66512702,0.305676856,0,0.668122271,0.668122271,0,0.428571429,0.668122271,0
Armon Johnson,34,1172,219,442,202,371,17,71,80,118,26,89,115,189,28,12,114,61,535,574,2.5,0.5,3,18.8,2.6,8,5.5,30.4,1.4,0.9,18.6,25.7,106.3,110.5,0,0,0,7.47440273,15.08532423,6.894197952,12.66211604,0.580204778,2.423208191,2.730375427,4.027303754,0.887372014,3.037542662,3.924914676,6.450511945,0.955631399,0.409556314,3.890784983,2.081911263,18.25938567,54.15856819,0.266968326,0.160633484,0.495475113,0.544474394,0.23943662,0.677966102,0.514705882,0.416666667
Arnett Moultrie,63,2028,311,604,294,546,17,58,178,242,175,359,534,76,70,50,143,139,817,805,4.4,3.7,8.1,20.96183432,10.26928008,20.62746548,15.4867357,7.517998028,2.012179487,2.617998028,16.66563116,21.84018738,108.7405819,95.26711045,2.116370809,0.476183432,2.53964497,6.134122288,11.91321499,5.798816568,10.76923077,0.33530572,1.143984221,3.510848126,4.773175542,3.451676529,7.08086785,10.53254438,1.499013807,1.380670611,0.986193294,2.820512821,2.741617357,16.11439842,57.4963405,0.400662252,0.09602649,0.514900662,0.538461538,0.293103448,0.73553719,0.52897351,0
