Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Yr
D. Bembry,SF,22,ATL,38,371,8.8,0.481,0.184,0.163,4.2,13.1,8.7,11.5,1.1,1.2,13.2,14.2,-0.1,0.4,0.3,0.038,-4.4,0.1,-4.3,-0.2,2017
D. Bender,PF,19,PHO,43,574,5.3,0.44,0.627,0.068,4.2,15.6,9.7,5.5,0.8,3.1,16.2,14.4,-0.7,0.3,-0.3,-0.029,-4,-0.3,-4.3,-0.3,2017
A. Bennett,PF,23,BRK,23,264,14.7,0.533,0.522,0.391,10.1,21,15.6,7.1,0.9,0.9,10,19.4,0.3,0.2,0.5,0.09,-0.8,-2.2,-3,-0.1,2017
B. Bentil,PF,21,DAL,3,10,-17.6,0,0.333,0,0,24.4,11.6,0,0,0,25,18.9,-0.1,0,-0.1,-0.473,-22.4,-4.5,-26.9,-0.1,2017
D. Bertans,PF,24,SAS,67,808,12.9,0.609,0.739,0.145,3.2,10.6,6.9,8.3,1.3,2.8,11.4,15.7,1.1,1.2,2.3,0.135,1.2,0.5,1.7,0.8,2017
P. Beverley,SG,28,HOU,67,2058,13,0.546,0.53,0.175,5,15.9,10.4,18.8,2.3,1,14.6,14.1,2.9,2.4,5.3,0.124,0.8,1.5,2.3,2.2,2017
B. Biyombo,C,24,ORL,81,1793,12.2,0.546,0,0.69,9.3,25.6,17.2,6,0.7,4.1,17.7,13.2,0.8,2.1,2.9,0.077,-4.2,2,-2.2,-0.1,2017
N. Bjelica,PF,28,MIN,65,1190,11,0.526,0.497,0.171,5.5,18.6,12,9.6,1.7,1.4,13.4,16.4,0.6,0.9,1.5,0.059,-0.7,-0.4,-1.1,0.3,2017
T. Black,C,25,LAL,67,1091,15,0.56,0.007,0.371,13.8,20.7,17.1,5.3,1.3,3.3,14.5,15.7,1.5,0.9,2.4,0.105,-1.8,0.2,-1.6,0.1,2017
E. Bledsoe,PG,27,PHO,66,2176,20.6,0.563,0.3,0.443,2.5,13.8,8,31.1,2,1.2,15.3,28.1,4,1.4,5.4,0.119,3.7,-0.4,3.3,2.9,2017
B. Bogdanovic,SF,27,TOT,81,2083,13.5,0.585,0.464,0.288,1.9,12.3,7.2,8.7,0.8,0.3,12,22.4,2,0.9,2.9,0.067,-0.1,-2.8,-2.8,-0.4,2017
B. Bogdanovic,SF,27,BRK,55,1482,13.1,0.572,0.453,0.273,1.7,12.3,7,10.1,0.8,0.2,11.8,22.4,1.1,0.6,1.6,0.053,-0.3,-2.6,-3,-0.4,2017
B. Bogdanovic,SF,27,WAS,26,601,14.7,0.617,0.491,0.325,2.6,12.3,7.5,5.2,0.8,0.6,12.4,22.2,0.9,0.3,1.3,0.102,0.6,-3.1,-2.6,-0.1,2017
A. Bogut,C,32,TOT,27,583,9.3,0.46,0.012,0.136,10.6,33.9,21.7,12.3,1.2,3.9,33.4,10.4,-0.3,1,0.7,0.055,-5.6,5.3,-0.3,0.3,2017
A. Bogut,C,32,DAL,26,582,9.4,0.46,0.012,0.136,10.7,33.9,21.7,12.3,1.2,3.9,33.4,10.4,-0.3,1,0.7,0.055,-5.6,5.3,-0.3,0.3,2017
A. Bogut,C,32,CLE,1,1,-35.3,,,,0,0,0,0,0,0,,0,0,0,0,0.02,-5.7,0,-5.7,0,2017
J. Bolomboy,PF,23,UTA,12,53,19.7,0.59,0.25,0.375,9,27.6,18.5,6.3,1,3.1,9.7,18.2,0.1,0.1,0.2,0.171,-1.3,0.5,-0.8,0,2017
D. Booker,SG,20,PHO,78,2730,14.6,0.531,0.283,0.308,1.8,8.3,5,16.3,1.3,0.6,12.9,28.6,1.4,0.6,2,0.035,0.4,-2.7,-2.3,-0.2,2017
T. Booker,PF,29,BRK,71,1754,15.7,0.554,0.132,0.186,8.7,25.5,17.2,12.9,2.1,1.2,16.6,18.7,0.9,2.2,3.1,0.086,-1.6,1.8,0.2,1,2017
A. Bradley,SG,26,BOS,55,1835,14.4,0.548,0.357,0.12,4,16.2,10.1,10.9,1.8,0.5,9.7,21.9,1.1,2,3.1,0.08,-0.2,-0.4,-0.5,0.7,2017
C. Brewer,SF,30,TOT,82,1281,9.1,0.491,0.339,0.195,2.7,11.5,7.1,10.7,2.3,1.2,12.7,14.3,0,1.2,1.2,0.045,-2.9,0.2,-2.7,-0.2,2017
C. Brewer,SF,30,HOU,58,923,7.5,0.491,0.414,0.194,2.5,11,6.7,9,1.9,1,12.7,12.9,0,0.8,0.9,0.044,-3.1,0,-3.2,-0.3,2017
C. Brewer,SF,30,LAL,24,358,13.3,0.49,0.198,0.198,3.2,13,7.9,15,3.3,1.8,12.6,18,0,0.3,0.3,0.047,-2.4,0.7,-1.7,0,2017
M. Brogdon,SG,24,MIL,75,1982,14.9,0.555,0.304,0.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,2.6,1.5,4.1,0.1,0.6,-1.1,-0.5,0.8,2017
A. Brooks,PG,32,IND,65,894,9.5,0.507,0.427,0.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,-0.2,0.5,0.3,0.016,-2.1,-2.6,-4.6,-0.6,2017
A. Brown,SF,24,TOT,11,159,7.2,0.43,0.54,0,5.3,16.9,11,7.6,1.5,0.5,10.7,15.6,-0.2,0.2,0,0.002,-3.8,-0.2,-4,-0.1,2017
A. Brown,SF,24,NOP,9,143,5.9,0.415,0.585,0,4.4,14.8,9.6,5.9,1.7,0.6,10.9,14.2,-0.2,0.2,0,-0.007,-4.3,0,-4.3,-0.1,2017
A. Brown,SF,24,ORL,2,16,18.5,0.5,0.333,0,13.2,35,23.8,23,0,0,10,27.5,0,0,0,0.076,0.9,-1.8,-0.9,0,2017
B. Brown,PG,32,HOU,25,123,10.8,0.509,0.583,0.033,0,5.3,2.7,17.6,0.4,0,7.6,22.7,0.1,0,0.1,0.04,-1.5,-6.1,-7.6,-0.2,2017
J. Brown,SF,20,BOS,78,1341,10.3,0.539,0.319,0.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,0.2,1.3,1.5,0.053,-3.1,-0.9,-4,-0.7,2017
N. Brussino,SF,23,DAL,54,521,10.7,0.498,0.674,0.156,5.5,16.2,10.6,13.9,1.7,1.4,14.7,16,0,0.6,0.6,0.055,-1.7,0.7,-1,0.1,2017
R. Bullock,SF,25,DET,31,467,11.7,0.538,0.57,0.055,2.9,12.4,7.5,8.8,1.9,0.5,7.1,13.4,0.4,0.5,1,0.101,-0.4,0.5,0.1,0.2,2017
T. Burke,PG,24,WAS,57,703,10.8,0.532,0.275,0.114,1.1,6.4,3.8,20.7,0.8,0.6,15.2,19.6,0.3,0.3,0.5,0.036,-2.3,-3.4,-5.7,-0.7,2017
A. Burks,SG,25,UTA,42,653,11.6,0.501,0.306,0.315,3.1,17.7,10.6,7.5,1.4,0.6,11,22.7,-0.1,0.9,0.8,0.056,-3.3,-0.9,-4.2,-0.4,2017
J. Butler,SF,27,CHI,76,2809,25.1,0.586,0.198,0.54,4.9,13.2,9,24.8,2.6,0.9,9.3,26.5,10.1,3.8,13.8,0.236,5.8,1.1,6.9,6.3,2017
B. Caboclo,SF,21,TOR,9,40,14.6,0.438,0.375,0,14.2,14.1,14.1,15.1,2.5,2.2,11.1,20.1,0,0.1,0.1,0.083,0.1,0.7,0.8,0,2017
J. Calderon,PG,35,TOT,41,539,8.9,0.506,0.478,0.09,3,12.2,7.5,23.3,1,0.2,22.7,14.4,0,0.3,0.3,0.023,-2.9,-1.8,-4.7,-0.4,2017
J. Calderon,PG,35,LAL,24,292,9.1,0.508,0.442,0.052,2.9,13.2,7.9,24.7,1.2,0.3,24.8,15.3,-0.1,0.1,0,0,-3,-2.1,-5.1,-0.2,2017
J. Calderon,PG,35,ATL,17,247,8.7,0.504,0.526,0.14,3.2,11,7.1,21.6,0.8,0,19.9,13.3,0.1,0.2,0.3,0.051,-2.8,-1.4,-4.2,-0.1,2017
K. Caldwell-Pope,SG,23,DET,76,2529,12.8,0.519,0.471,0.199,2.3,8.7,5.3,11.2,1.8,0.4,7.9,19.2,2,2.5,4.5,0.086,0.9,0,0.9,1.9,2017
I. Canaan,SG,25,CHI,39,592,8.1,0.483,0.543,0.191,1.1,7.9,4.5,9,1.9,0.1,9.6,15.3,0,0.5,0.5,0.044,-2.2,-1.2,-3.4,-0.2,2017
C. Capela,C,22,HOU,65,1551,21.4,0.638,0,0.314,12.5,24.5,18.5,6.9,1.1,4.2,12,19.9,3.9,2.1,6,0.185,0,1,1,1.2,2017
D. Carroll,SF,30,TOR,72,1882,11.9,0.531,0.583,0.213,3.8,12.7,8.3,5.7,2.2,1.2,8.3,15.5,1.7,2.1,3.8,0.097,0.6,0.4,1,1.4,2017
V. Carter,SF,40,MEM,73,1799,11.7,0.542,0.604,0.235,2.2,12.5,7.2,11.5,1.7,1.9,8.5,14.9,1.9,2.1,4,0.106,0.1,0.9,1,1.4,2017
M. Carter-Williams,PG,25,CHI,45,846,9.9,0.437,0.209,0.252,3,16.4,9.7,20,2.3,2.2,16.3,20.9,-1,1.3,0.2,0.013,-4.1,1.7,-2.4,-0.1,2017
O. Casspi,SF,28,TOT,36,643,9.9,0.523,0.261,0.176,4.9,15.2,10.1,8.6,1.8,0.4,14,14.5,0.1,0.4,0.5,0.037,-2.5,-0.6,-3,-0.2,2017
O. Casspi,SF,28,SAC,22,397,11.4,0.511,0.248,0.179,5.9,20.1,13.1,10.1,1.3,0.2,11.9,16.3,0.1,0.3,0.4,0.043,-2.5,-0.9,-3.4,-0.1,2017
O. Casspi,SF,28,NOP,1,24,10,0.667,0.444,0,4.4,4.4,4.4,0,0,0,18.2,20.3,0,0,0,0.015,-2.5,-5.6,-8.1,0,2017
O. Casspi,SF,28,MIN,13,222,7.3,0.529,0.256,0.205,3.1,7.5,5.3,6.8,3,0.8,19,10.5,0,0.2,0.1,0.027,-2.4,0.6,-1.8,0,2017
W. Cauley-Stein,C,23,SAC,75,1421,16.4,0.558,0.004,0.314,7,20.5,13.8,9.4,1.9,2.9,11.2,19.6,1.4,1.5,3,0.1,-2,0.9,-1.1,0.3,2017
T. Chandler,C,34,PHO,47,1298,16.6,0.703,0,0.544,12.6,33.1,22.6,3.3,1.2,1.5,19.2,11.3,2.7,1.3,4,0.149,-0.7,0.3,-0.4,0.5,2017
W. Chandler,SF,29,DEN,71,2197,14.9,0.545,0.347,0.207,5.2,17.7,11.5,9.8,1.2,1.1,10,22,2.4,1.1,3.6,0.078,0.5,-1.3,-0.8,0.7,2017
M. Chriss,PF,19,PHO,82,1743,12.3,0.529,0.354,0.286,5.8,16.1,10.8,5.2,1.8,3.2,13.2,19.7,0.3,1.5,1.8,0.05,-1.6,0,-1.6,0.2,2017
R. Christmas,PF,25,IND,29,219,10.4,0.529,0,0.674,13.5,15.2,14.4,2.5,0.7,2.4,12.5,13.1,0.3,0.2,0.5,0.099,-3,-1.2,-4.3,-0.1,2017
S. Christon,PG,24,OKC,64,973,5.7,0.387,0.283,0.139,2.2,7.9,5,18.1,1.4,0.5,15.4,12.2,-0.7,0.8,0.1,0.006,-5,-1.3,-6.3,-1.1,2017
I. Clark,SG,25,GSW,77,1137,13.1,0.575,0.376,0.134,2.3,9.1,5.9,11.2,1.7,0.6,10.7,19.5,1,1.3,2.3,0.099,-0.6,-1.4,-2,0,2017
J. Clarkson,SG,24,LAL,82,2397,13.1,0.526,0.332,0.157,2.2,9.3,5.6,14.4,1.8,0.3,12.5,23.3,0.5,0.7,1.2,0.024,-0.5,-2.3,-2.7,-0.4,2017
N. Cole,PG,28,OKC,13,125,5.4,0.381,0.25,0.192,0,9.8,4.9,16.3,3.1,0,11,21.5,-0.2,0.2,-0.1,-0.033,-6.5,-1.7,-8.2,-0.2,2017
D. Collison,PG,29,SAC,68,2063,15.3,0.57,0.245,0.239,1.3,7.2,4.3,24.5,1.6,0.4,12.6,19.8,3.1,0.8,3.9,0.091,0.8,-2.3,-1.5,0.3,2017
N. Collison,PF,36,OKC,20,128,12.8,0.622,0.043,0.348,7.8,18.2,13,13.2,0.8,1.2,13.1,10.1,0.3,0.1,0.4,0.144,-1.7,-0.1,-1.8,0,2017
M. Conley,PG,29,MEM,69,2292,23.2,0.604,0.415,0.365,1.5,10.8,6,34.5,2.1,0.8,11.8,26.3,7.5,2.5,10,0.209,6.5,-0.7,5.8,4.5,2017
P. Connaughton,SG,24,POR,39,316,11.8,0.645,0.458,0.125,3.5,14.8,9.1,12.7,0.9,0.5,18.3,13,0.4,0.2,0.6,0.09,-0.9,-1.6,-2.5,0,2017
Q. Cook,PG,23,TOT,14,188,11.8,0.579,0.394,0.076,0.6,3.6,2,22.8,1.1,0,16,19.6,0.1,0.1,0.2,0.047,-1.7,-4.2,-5.9,-0.2,2017
Q. Cook,PG,23,DAL,5,77,6.9,0.522,0.56,0.08,0,4.8,2.3,25.7,0.7,0,23.6,20.7,-0.1,0,-0.1,-0.046,-4.2,-4.5,-8.7,-0.1,2017
Q. Cook,PG,23,NOP,9,111,15.3,0.614,0.293,0.073,0.9,2.9,1.9,20.7,1.3,0,10.6,18.9,0.2,0.1,0.3,0.11,0,-4,-4,-0.1,2017
D. Cousins,C,26,TOT,72,2465,25.7,0.562,0.254,0.468,7.1,29.2,18.2,25.8,2,3.3,13.5,36.5,3.8,3.8,7.6,0.149,3.9,2.6,6.6,5.3,2017
D. Cousins,C,26,SAC,55,1891,26.5,0.562,0.239,0.491,7.1,28.3,17.9,27.4,2,3.5,13.2,37.5,3.3,2.7,6,0.152,4.5,2.6,7.1,4.3,2017
D. Cousins,C,26,NOP,17,574,23.3,0.564,0.306,0.385,6.9,32.2,19.5,20.6,2.1,2.7,14.4,33.1,0.5,1.1,1.6,0.137,2.1,2.8,4.9,1,2017
R. Covington,SF,26,PHI,67,2119,13.2,0.534,0.563,0.238,4.8,17.9,11.3,7.5,2.9,2.6,13.9,19.2,0,3.2,3.1,0.071,-0.7,2,1.4,1.8,2017
A. Crabbe,SG,24,POR,79,2254,11.6,0.602,0.467,0.192,0.9,10.2,5.5,6.1,1.2,0.7,8.1,14.9,3.1,1,4.1,0.088,0.3,-1.4,-1.1,0.5,2017
J. Crawford,SG,36,LAC,82,2157,12,0.526,0.371,0.234,0.9,5.7,3.3,15.1,1.4,0.5,12.3,22.7,0.5,1.4,1.9,0.042,-1,-2.1,-3,-0.6,2017
J. Crawford,SG,28,NOP,19,442,17.6,0.582,0.436,0.119,0.9,7.2,4.1,22.7,1.2,0.4,9.8,25.5,0.6,0.3,0.9,0.102,2.6,-3,-0.4,0.2,2017
J. Crowder,SF,26,BOS,72,2335,14.9,0.613,0.547,0.301,2.3,17.3,9.9,10.1,1.5,0.8,8.8,17,4.2,2.5,6.7,0.137,1.4,0.1,1.5,2.1,2017
D. Cunningham,SF,29,NOP,66,1649,10.2,0.586,0.504,0.075,3.6,14.2,8.9,3.1,1.2,1.4,7,10.7,1.4,1.6,3,0.088,-1.3,0.8,-0.5,0.6,2017
S. Curry,PG,26,DAL,70,2029,15.5,0.601,0.458,0.142,1.4,9.2,5.1,15.9,2,0.3,11,19.5,2.9,1.7,4.6,0.109,1.8,-0.4,1.4,1.7,2017
S. Curry,PG,28,GSW,79,2638,24.6,0.624,0.547,0.251,2.7,11.4,7.3,31.1,2.6,0.5,13,30.1,8.6,3.9,12.6,0.229,7.7,-0.4,7.3,6.2,2017
T. Daniels,SG,25,MEM,67,1183,10.4,0.531,0.717,0.109,2,7.9,4.8,6.6,0.9,0.3,8,21.7,0.5,0.8,1.3,0.051,0.3,-3.4,-3.1,-0.3,2017
A. Davis,C,23,NOP,75,2708,27.5,0.579,0.088,0.424,6.7,27.9,17.3,11.1,1.7,5.1,9.1,32.6,5.9,5.1,11,0.196,1.4,2.3,3.7,3.9,2017
D. Davis,C,20,MEM,36,238,10.6,0.528,0,0.383,9.3,19.8,14.4,1.3,0.7,6.8,12.7,12,0.1,0.4,0.5,0.097,-5.4,1.8,-3.6,-0.1,2017
E. Davis,PF,27,POR,46,789,11.5,0.563,0,0.57,13.4,20.7,17.1,4.8,0.9,2.2,17.2,12,1,0.7,1.7,0.104,-2.2,0.2,-2,0,2017
D. Dedmon,C,27,SAS,76,1330,16,0.645,0,0.359,11.2,30.5,21.1,4.8,1.4,3.7,16.9,12.3,2.2,3,5.2,0.188,-1.5,3.2,1.7,1.2,2017
S. Dekker,SF,22,HOU,77,1419,13,0.549,0.436,0.159,7.2,14.6,10.9,7.7,1.3,1.2,8.2,14.9,1.9,1.2,3.1,0.105,-0.4,-0.6,-1.1,0.3,2017
M. Delaney,PG,27,ATL,73,1248,7.5,0.456,0.284,0.24,1,9.8,5.5,23.1,1.5,0.1,18.1,18.3,-1.1,1.3,0.1,0.005,-4.6,-1.2,-5.8,-1.2,2017
M. Dellavedova,PG,26,MIL,76,1986,9.4,0.501,0.403,0.18,1.4,7.1,4.3,25.7,1.4,0,18.8,16.3,0.3,0.9,1.2,0.029,-1.9,-2.8,-4.7,-1.4,2017
L. Deng,SF,31,LAL,56,1486,10.1,0.47,0.389,0.149,4.5,17.7,10.8,7,1.6,1.1,8.7,14.2,0.1,0.8,0.9,0.029,-2.3,-0.2,-2.5,-0.2,2017
D. DeRozan,SG,27,TOR,74,2620,24,0.552,0.08,0.419,3,13.6,8.3,20.6,1.5,0.4,9,34.3,6.7,2.4,9,0.166,2.4,-1.5,0.9,1.9,2017
C. Diallo,PF,20,NOP,17,199,16.8,0.51,0,0.276,12.1,26.7,19.3,3.2,1,2.9,7.6,20.5,0.2,0.3,0.5,0.111,-4.6,-1,-5.6,-0.2,2017
B. Diaw,PF,34,UTA,73,1283,9,0.494,0.248,0.107,4.3,9.8,7.1,20.3,0.7,0.6,20.3,15.6,-0.1,1.2,1.1,0.041,-2.7,-0.2,-2.9,-0.3,2017
G. Dieng,PF,27,MIN,82,2653,14.2,0.555,0.065,0.253,8.1,20.5,14.2,8.6,1.7,3.1,12.7,14,3.2,2.5,5.7,0.103,-0.5,2.2,1.7,2.5,2017
S. Dinwiddie,PG,23,BRK,59,1334,12.7,0.581,0.334,0.526,2.2,10.7,6.5,20.3,1.6,1.3,15.1,14.1,1.9,0.9,2.8,0.101,-0.7,-0.2,-0.9,0.4,2017
