Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%,FG/36,FGA/36,2P/36,2PA/36,3P/36,3PA/36,FT/36,FTA/36,ORB/36,DRB/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,PTS/36,TS%,FTr,3PAr
Andre Dawkins,23,MIA,NBA,2014-15,4,0,22,1,6,0,0,1,6,0,0,0,2,2,1,0,0,1,3,3,0.166666666667,0.0,0.166666666667,0.0,0.25,1.63636363636,9.81818181818,0.0,0.0,1.63636363636,9.81818181818,0.0,0.0,0.0,3.27272727273,3.27272727273,1.63636363636,0.0,0.0,1.63636363636,4.90909090909,4.90909090909,25.0,0.0,1.0
Andre Drummond,19,DET,NBA,2012-13,60,10,1243,208,342,207,340,1,2,59,159,169,288,457,30,59,95,57,144,476,0.608187134503,0.608823529412,0.5,0.37106918239,0.609649122807,6.02413515688,9.90506838294,5.99517296862,9.84714400644,0.0289621882542,0.0579243765084,1.708769107,4.60498793242,4.89460981496,8.34111021722,13.2357200322,0.868865647627,1.708769107,2.75140788415,1.65084473049,4.17055510861,13.786001609,57.7725992815,0.464912280702,0.00584795321637
Andre Roberson,22,OKC,NBA,2013-14,40,16,399,33,68,31,55,2,13,7,10,36,58,94,15,19,10,19,74,75,0.485294117647,0.563636363636,0.153846153846,0.7,0.5,2.97744360902,6.13533834586,2.7969924812,4.96240601504,0.18045112782,1.17293233083,0.631578947368,0.902255639098,3.24812030075,5.23308270677,8.48120300752,1.35338345865,1.71428571429,0.902255639098,1.71428571429,6.67669172932,6.76691729323,51.7955801105,0.147058823529,0.191176470588
Andrew Goudelock,23,LAL,NBA,2011-12,40,0,419,68,174,40,99,28,75,11,12,5,26,31,20,4,0,21,32,175,0.390804597701,0.40404040404,0.373333333333,0.916666666667,0.471264367816,5.84248210024,14.9498806683,3.43675417661,8.50596658711,2.40572792363,6.44391408115,0.945107398568,1.03102625298,0.429594272076,2.2338902148,2.66348448687,1.71837708831,0.343675417661,0.0,1.80429594272,2.74940334129,15.0357995227,48.8063364569,0.0689655172414,0.431034482759
Andrew Harrison,22,MEM,NBA,2016-17,72,18,1474,117,360,74,204,43,156,148,194,23,113,136,198,54,20,85,194,425,0.325,0.362745098039,0.275641025641,0.762886597938,0.384722222222,2.85753052917,8.79240162822,1.80732700136,4.98236092266,1.05020352782,3.81004070556,3.61465400271,4.7381275441,0.561736770692,2.75983717775,3.32157394844,4.83582089552,1.31886024423,0.488466757123,2.07598371777,4.7381275441,10.3799185889,47.71420873,0.538888888889,0.433333333333
Andrew Nicholson,23,ORL,NBA,2012-13,75,28,1249,256,486,256,486,0,0,75,94,69,189,258,44,24,32,79,133,587,0.526748971193,0.526748971193,0.0,0.797872340426,0.526748971193,7.37870296237,14.0080064051,7.37870296237,14.0080064051,0.0,0.0,2.16172938351,2.709367494,1.98879103283,5.44755804644,7.43634907926,1.26821457166,0.691753402722,0.922337870296,2.27702161729,3.83346677342,16.9191353082,55.6545813107,0.19341563786,0.0
Andrew Wiggins,19,MIN,NBA,2014-15,82,82,2969,497,1137,458,1011,39,126,354,466,134,240,374,170,86,50,177,190,1387,0.437115215479,0.453016815035,0.309523809524,0.759656652361,0.454265611258,6.02627147188,13.7864600876,5.55338497811,12.2586729539,0.472886493769,1.52778713372,4.29235432806,5.6503873358,1.62478949141,2.91007073089,4.5348602223,2.06130010104,1.04277534523,0.606264735601,2.14617716403,2.30380599528,16.8177837656,51.6750618461,0.409850483729,0.110817941953
Andy Rautins,24,NYK,NBA,2010-11,5,0,24,3,7,2,3,1,4,1,2,0,1,1,3,1,0,7,0,8,0.428571428571,0.666666666667,0.25,0.5,0.5,4.5,10.5,3.0,4.5,1.5,6.0,1.5,3.0,0.0,1.5,1.5,4.5,1.5,0.0,10.5,0.0,12.0,50.7614213198,0.285714285714,0.571428571429
Anthony Bennett,20,CLE,NBA,2013-14,52,0,663,80,225,67,172,13,53,44,69,49,106,155,17,21,8,47,93,217,0.355555555556,0.389534883721,0.245283018868,0.63768115942,0.384444444444,4.34389140271,12.2171945701,3.63800904977,9.33936651584,0.705882352941,2.8778280543,2.38914027149,3.74660633484,2.66063348416,5.7556561086,8.41628959276,0.923076923077,1.14027149321,0.434389140271,2.5520361991,5.04977375566,11.7828054299,42.4890350877,0.306666666667,0.235555555556
Anthony Brown,23,LAL,NBA,2015-16,29,11,599,39,126,19,56,20,70,17,20,9,61,70,19,14,5,15,34,115,0.309523809524,0.339285714286,0.285714285714,0.85,0.388888888889,2.34390651085,7.57262103506,1.14190317195,3.36560934891,1.2020033389,4.20701168614,1.02170283806,1.2020033389,0.540901502504,3.66611018364,4.20701168614,1.14190317195,0.841402337229,0.300500834725,0.901502504174,2.04340567613,6.91151919866,42.6557863501,0.15873015873,0.555555555556
Anthony Davis,19,NOH,NBA,2012-13,64,60,1846,349,676,349,670,0,6,169,225,165,357,522,63,75,112,89,158,867,0.516272189349,0.520895522388,0.0,0.751111111111,0.516272189349,6.80606717226,13.1830985915,6.80606717226,13.0660888407,0.0,0.117009750813,3.29577464789,4.38786565547,3.21776814735,6.96208017335,10.1798483207,1.22860238353,1.46262188516,2.18418201517,1.73564463705,3.0812567714,16.9079089924,55.935483871,0.332840236686,0.00887573964497
Archie Goodwin,19,PHO,NBA,2013-14,52,0,533,76,167,71,131,5,36,37,55,25,62,87,20,20,11,44,45,194,0.455089820359,0.541984732824,0.138888888889,0.672727272727,0.47005988024,5.13320825516,11.2795497186,4.79549718574,8.84803001876,0.337711069418,2.43151969981,2.4990619137,3.7148217636,1.68855534709,4.18761726079,5.87617260788,1.35084427767,1.35084427767,0.74296435272,2.97185741088,3.03939962477,13.1031894934,50.7322175732,0.329341317365,0.215568862275
