Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%,FG/36,FGA/36,2P/36,2PA/36,3P/36,3PA/36,FT/36,FTA/36,ORB/36,DRB/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,PTS/36
Al Thornton,24,LAC,NBA,2007-08,79,31,2158,374,871,331,741,43,130,214,288,98,260,358,98,46,43,128,195,1005,0.429391504,0.446693657,0.330769231,0.743055556,0.454075775,7.21850899743,13.6702166728,6.38560411311,11.7664340801,0.832904884319,1.90378259273,4.83878075652,6.90121189864,0.0,0.0,8.47447668013,1.15020198311,1.3617333823,9.78332721263,0.0,0.0,20.1087036357
Al-Farouq Aminu,20,LAC,NBA,2010-11,81,14,1452,160,406,115,263,45,143,92,119,75,192,267,60,59,25,103,121,457,0.39408867,0.437262357,0.314685315,0.773109244,0.449507389,6.19793814433,13.8804123711,5.52989690722,11.4309278351,0.668041237113,2.44948453608,5.1587628866,7.38556701031,4.93608247423,7.38556701031,12.3216494845,1.52164948454,1.63298969072,1.63298969072,3.67422680412,3.37731958763,18.2226804124
Alan Anderson,23,CHA,NBA,2005-06,36,7,564,75,181,51,123,24,58,33,41,23,47,70,32,11,4,32,48,207,0.414364641,0.414634146,0.413793103,0.804878049,0.480662983,4.0899408284,8.12662721893,3.57869822485,6.73136094675,0.51124260355,1.39526627219,4.03668639053,4.85680473373,0.0,0.0,5.58106508876,3.26982248521,1.07573964497,0.244970414201,0.0,0.0,12.7278106509
Alan Williams,23,PHO,NBA,2015-16,10,0,68,10,24,10,24,0,0,9,14,14,24,38,5,4,5,6,15,29,0.416666667,0.416666667,0.0,0.642857143,0.416666667,7.57832121613,15.4064771976,7.57832121613,15.3707865169,0.0,0.0356906807667,5.44877726371,7.72108393919,4.79444811633,8.58955717118,13.3840052875,1.3919365499,1.2848645076,2.5697290152,2.33179114342,3.68803701256,20.605419696
Alando Tucker,23,PHO,NBA,2007-08,6,0,48,8,22,7,18,1,4,5,6,4,4,8,0,0,1,0,2,22,0.363636364,0.388888889,0.25,0.833333333,0.386363636,6.68559460088,13.9325110542,5.83942285315,11.1761694205,0.846171747731,2.7563416337,4.3565278101,6.84477542471,0.0,0.0,6.44263439609,1.78450081452,0.87130556202,0.242960204794,0.0,0.0,18.5738887596
Alec Burks,20,UTA,NBA,2011-12,59,0,939,153,357,138,312,15,45,104,143,57,75,132,55,27,5,51,84,425,0.428571429,0.442307692,0.333333333,0.727272727,0.449579832,7.25142857143,14.6571428571,6.44571428571,12.0857142857,0.805714285714,2.57142857143,6.82285714286,8.48571428571,2.55428571429,4.25142857143,6.80571428571,2.82857142857,1.30285714286,0.411428571429,2.69142857143,2.79428571429,22.1314285714
Alex Acker,23,DET,NBA,2005-06,5,0,35,4,16,3,11,1,5,0,0,1,4,5,4,1,0,4,4,9,0.25,0.272727273,0.2,0.0,0.28125,5.34700628515,11.7062520675,3.91796228912,8.22891167714,1.42904399603,3.47734039034,3.03671849156,3.69169698975,0.0,0.0,5.89480648363,2.96526629176,1.5838570956,0.452530598743,0.0,0.0,15.1597750579
Alex Kirk,23,CLE,NBA,2014-15,5,0,14,1,4,1,4,0,0,2,2,1,0,1,1,0,0,0,1,4,0.25,0.25,0.0,1.0,0.25,5.44514106583,11.15830721,4.95141065831,9.19749216301,0.493730407524,1.96081504702,2.86363636364,4.18965517241,2.69435736677,6.96865203762,9.66300940439,0.902821316614,0.507836990596,2.36990595611,1.86206896552,3.23040752351,14.2476489028
Alex Len,20,PHO,NBA,2013-14,42,3,362,33,78,33,78,0,0,20,31,39,60,99,4,4,18,26,68,86,0.423076923,0.423076923,0.0,0.64516129,0.423076923,5.51020408163,10.2367346939,5.48571428571,10.0163265306,0.0244897959184,0.220408163265,3.23265306122,4.87346938776,3.55102040816,6.6612244898,10.212244898,1.22448979592,0.29387755102,3.0612244898,2.27755102041,3.79591836735,14.2775510204
Alex Poythress,23,PHI,NBA,2016-17,6,1,157,25,54,19,35,6,19,8,10,11,18,29,5,3,2,3,14,64,0.462962963,0.542857143,0.315789474,0.8,0.518518519,5.16774193548,9.37741935484,4.74677419355,7.98387096774,0.420967741935,1.3935483871,3.26612903226,4.76129032258,2.91774193548,5.74838709677,8.66612903226,0.740322580645,0.638709677419,1.10322580645,2.16290322581,4.38387096774,14.0225806452
