Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%,FG/36,FGA/36,2P/36,2PA/36,3P/36,3PA/36,FT/36,FTA/36,ORB/36,DRB/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,PTS/36
Cleanthony Early,23,NYK,NBA,2014-15,39,7,647,76,214,54,130,22,84,36,48,22,75,97,36,24,12,40,57,210,0.355140187,0.415384615,0.261904762,0.75,0.406542056,6.79694656489,14.4732824427,4.72671755725,8.51908396947,2.07022900763,5.95419847328,5.12977099237,6.26564885496,2.50992366412,5.27633587786,7.78625954198,0.916030534351,1.06259541985,1.15419847328,2.4,3.35267175573,20.7938931298
Cliff Alexander,20,POR,NBA,2015-16,8,0,36,5,10,5,10,0,0,0,0,2,4,6,0,1,2,1,1,10,0.5,0.5,0.0,0.0,0.5,5.34146341463,9.43902439024,5.34146341463,9.43902439024,0.0,0.0,3.87804878049,5.78048780488,4.0243902439,6.80487804878,10.8292682927,0.878048780488,0.365853658537,2.70731707317,2.0487804878,4.17073170732,14.5609756098
Coby Karl,24,LAL,NBA,2007-08,17,0,71,9,26,5,13,4,13,8,10,3,11,14,9,4,2,5,4,30,0.346153846,0.384615385,0.307692308,0.8,0.423076923,4.77833820016,11.5731351208,2.23626227767,4.72099814176,2.54207592248,6.85213697903,4.12848420494,5.24661534377,0.0,0.0,4.84523493496,3.89912397133,1.08946110964,0.563843907619,0.0,0.0,16.2272365277
Cody Zeller,21,CHA,NBA,2013-14,82,3,1416,172,404,172,403,0,1,146,200,118,235,353,92,40,41,87,170,490,0.425742574,0.426799007,0.0,0.73,0.425742574,6.88260661236,11.6262577863,6.88260661236,11.591758505,0.0,0.034499281265,6.19262098706,8.19357930043,3.24293243891,5.81312889315,9.05606133206,1.58696693819,1.48346909439,1.50071873503,2.43219932918,3.05318639195,19.9578342118
Cole Aldrich,22,OKC,NBA,2010-11,18,0,142,8,15,8,15,0,0,2,4,13,22,35,4,5,7,8,30,18,0.533333333,0.533333333,0.0,0.5,0.533333333,5.57009345794,9.90654205607,5.57009345794,9.90654205607,0.0,0.0,4.03738317757,5.94392523364,4.11214953271,9.1214953271,13.2336448598,1.15887850467,1.00934579439,4.67289719626,2.09345794393,3.43925233645,15.1775700935
Corey Brewer,21,MIN,NBA,2007-08,79,35,1803,182,486,175,450,7,36,88,110,82,210,292,111,76,25,89,188,459,0.374485597,0.388888889,0.194444444,0.8,0.381687243,5.23035045934,10.9016672338,4.01769309289,7.49642735624,1.21265736645,3.40523987751,3.33174549166,4.70364069411,0.0,0.0,5.74481116026,3.67471929228,2.15583531814,0.538958829534,0.0,0.0,15.0051037768
Corsley Edwards,25,NOH,NBA,2004-05,10,0,110,10,31,10,31,0,0,7,12,12,13,25,3,3,4,2,19,27,0.322580645,0.322580645,0.0,0.583333333,0.322580645,6.90759270159,13.5609181872,6.90759270159,13.5397292525,0.0,0.0211889346675,4.5238375515,6.57916421424,0.0,0.0,10.2448499117,0.985285462036,1.22895821071,2.09770453208,0.0,0.0,18.3390229547
Cory Jefferson,24,BRK,NBA,2014-15,50,1,531,75,167,73,152,2,15,31,54,47,98,145,16,10,21,20,61,183,0.449101796,0.480263158,0.133333333,0.574074074,0.45508982,5.99304750869,11.0405561993,5.75666280417,10.3453070684,0.236384704519,0.695249130939,3.89339513326,5.89571263036,3.37891077636,6.66048667439,10.0393974508,0.709154113557,0.584009269988,2.30822711472,1.4044032445,3.14252607184,16.1158748552
Cory Joseph,20,SAS,NBA,2011-12,29,1,266,22,70,19,55,3,15,11,17,5,20,25,34,7,3,12,16,58,0.314285714,0.345454545,0.2,0.647058824,0.335714286,4.19897084048,9.94168096055,2.59348198971,6.05145797599,1.60548885077,3.89022298456,1.57461406518,2.2538593482,0.710120068611,3.24185248714,3.95197255575,3.3653516295,1.1423670669,0.339622641509,1.66723842196,2.00686106346,11.5780445969
Coty Clarke,23,BOS,NBA,2015-16,3,0,6,2,4,0,2,2,2,0,0,0,1,1,0,0,0,1,0,6,0.5,0.0,1.0,0.0,0.75,4.70809248555,10.0404624277,3.82369942197,8.03757225434,0.884393063584,2.00289017341,4.16184971098,5.35838150289,2.99132947977,6.1387283237,9.13005780347,3.01734104046,2.4710982659,0.988439306358,2.15895953757,5.02023121387,14.4624277457
Courtney Alexander,23,TOT,NBA,2000-01,65,24,1382,239,573,222,527,17,46,123,150,42,101,143,62,45,5,75,139,618,0.417102967,0.421252372,0.369565217,0.82,0.431937173,8.38541666667,18.40625,6.65625,13.6354166667,1.72916666667,4.77083333333,3.5,4.5625,0.0,0.0,4.59375,2.59375,1.33333333333,0.21875,2.29166666667,2.5625,22.0
Courtney Fortson,23,TOT,NBA,2011-12,10,0,95,11,32,8,19,3,13,10,15,6,9,15,10,3,0,10,5,35,0.34375,0.421052632,0.230769231,0.666666667,0.390625,5.82971619366,16.1669449082,4.32721202003,11.3589315526,1.50250417362,4.80801335559,6.25041736227,8.23372287145,1.50250417362,4.08681135225,5.58931552588,6.19031719533,1.50250417362,0.180300500835,5.52921535893,2.82470784641,19.4123539232
Courtney Lee,23,ORL,NBA,2008-09,77,42,1939,243,540,161,337,82,203,78,94,18,160,178,91,76,14,69,157,646,0.45,0.477744807,0.403940887,0.829787234,0.525925926,7.29643669447,15.7300985595,5.06747536012,10.1713419257,2.22896133434,5.55875663381,3.53904473086,4.33055344958,0.0,0.0,6.03184230478,2.55648218347,2.20166793025,0.709628506444,0.0,0.0,6.68688400303
Courtney Sims,24,IND,NBA,2007-08,3,0,11,0,1,0,1,0,0,0,0,1,1,2,1,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,5.93586005831,10.1341107872,5.91253644315,9.98250728863,0.0233236151603,0.151603498542,3.60349854227,5.24781341108,0.0,0.0,8.48979591837,0.909620991254,0.559766763848,2.48396501458,0.0,0.0,15.4985422741
Craig Brackins,23,PHI,NBA,2010-11,3,0,33,4,16,4,11,0,5,0,0,2,2,4,1,1,0,0,3,8,0.25,0.363636364,0.0,0.0,0.25,6.14946619217,14.6370106762,5.2846975089,11.8505338078,0.864768683274,2.78647686833,3.74733096085,4.93238434164,2.14590747331,6.59786476868,8.74377224199,2.20996441281,0.800711743772,1.21708185053,2.17793594306,2.04982206406,16.9110320285
Craig Smith,23,MIN,NBA,2006-07,82,5,1537,246,463,246,457,0,6,116,186,149,267,416,49,51,18,74,223,608,0.531317495,0.538293217,0.0,0.623655914,0.531317495,7.50985277463,13.4541336353,7.37938844847,12.9078142695,0.130464326161,0.546319365798,4.00362400906,6.22967157418,0.0,0.0,9.08357870895,1.99773499434,1.3617214043,0.815402038505,0.0,0.0,19.1537938845
Curtis Borchardt,23,UTA,NBA,2003-04,16,0,258,22,56,22,55,0,1,14,18,13,41,54,15,4,14,18,40,58,0.392857143,0.4,0.0,0.777777778,0.392857143,5.88218793829,11.0070126227,5.50350631136,9.99719495091,0.378681626928,1.00981767181,4.79663394109,6.94249649369,0.0,0.0,12.0673211781,2.07012622721,0.681626928471,3.63534361851,2.27208976157,3.81206171108,16.9396914446
D'Angelo Russell,19,LAL,NBA,2015-16,80,48,2259,392,956,262,586,130,370,140,190,47,227,274,266,93,13,196,142,1054,0.410041841,0.447098976,0.351351351,0.736842105,0.478033473,7.0,15.6060606061,4.12121212121,8.60606060606,2.87878787879,7.0,3.57575757576,4.72727272727,1.06060606061,4.93939393939,6.0,5.30303030303,1.66666666667,0.333333333333,3.09090909091,2.24242424242,20.4545454545
D.J. Augustin,21,CHA,NBA,2008-09,72,12,1908,267,621,159,375,108,246,208,233,17,116,133,250,42,2,119,140,850,0.429951691,0.424,0.43902439,0.892703863,0.516908213,5.35537190083,12.0901577761,3.7460555973,8.0871525169,1.60931630353,4.0030052592,4.36814425244,5.40946656649,0.0,0.0,2.85349361382,6.11269722014,1.35236664162,0.0405709992487,0.0,0.0,16.6882043576
D.J. Kennedy,22,CLE,NBA,2011-12,2,0,59,5,12,3,8,2,4,0,2,1,6,7,3,2,0,3,7,12,0.416666667,0.375,0.5,0.0,0.5,4.82208588957,10.6564417178,3.51533742331,7.1963190184,1.30674846626,3.46012269939,4.32515337423,5.65030674847,1.8773006135,5.15337423313,7.03067484663,3.0736196319,1.73006134969,0.680981595092,2.52147239264,2.30061349693,15.2760736196
D.J. Stephens,23,MIL,NBA,2013-14,3,0,15,3,7,3,7,0,0,1,1,1,4,5,0,0,0,0,0,7,0.428571429,0.428571429,0.0,1.0,0.428571429,4.37580739871,6.97592483852,4.01644157369,6.00352319436,0.359365825015,0.972401644157,1.71227246036,2.7058132707,3.3611274222,5.85554903112,9.21667645332,0.95126247798,1.37404580153,3.1708749266,1.03581914269,3.44568408691,10.8232530828
D.J. Strawberry,22,PHO,NBA,2007-08,33,0,270,29,92,23,67,6,25,9,19,9,19,28,30,12,6,11,36,73,0.315217391,0.343283582,0.24,0.473684211,0.347826087,4.79037111334,10.3991975928,3.94784353059,7.84754262788,0.842527582748,2.55165496489,3.12938816449,4.88665997994,0.0,0.0,4.45336008024,3.81544633902,2.43129388164,0.565697091274,0.0,0.0,13.5526579739
D.J. White,22,OKC,NBA,2008-09,7,0,130,26,50,26,50,0,0,10,13,10,22,32,6,3,5,3,10,62,0.52,0.52,0.0,0.769230769,0.52,6.52165289256,11.6033057851,6.50975206612,11.5676033058,0.0119008264463,0.0357024793388,4.1652892562,6.03371900826,0.0,0.0,8.90181818182,1.1067768595,0.809256198347,2.35636363636,0.0,0.0,17.2204958678
Daequan Cook,20,MIA,NBA,2007-08,59,19,1441,196,514,117,276,79,238,47,57,20,157,177,75,23,9,63,157,518,0.381322957,0.423913043,0.331932773,0.824561404,0.458171206,6.59220779221,14.8207792208,4.06753246753,8.74285714286,2.52467532468,6.07792207792,2.15064935065,3.08571428571,0.0,0.0,7.80779220779,1.87012987013,1.30909090909,0.467532467532,0.0,0.0,17.8597402597
Dahntay Jones,23,MEM,NBA,2003-04,20,0,154,15,53,14,49,1,4,5,11,7,16,23,12,5,6,12,23,36,0.283018868,0.285714286,0.25,0.454545455,0.29245283,5.86025083184,12.9552085999,4.85589966726,10.0342974149,1.00435116458,2.92091118505,3.9621192731,5.31661121065,0.0,0.0,5.51011005887,1.66777578705,1.2254927054,0.746352700282,2.56155618121,3.66726388533,16.6869721014
Dajuan Wagner,19,CLE,NBA,2002-03,47,24,1385,223,605,168,431,55,174,128,160,20,62,82,130,38,7,85,107,629,0.368595041,0.389791183,0.316091954,0.8,0.414049587,8.32460732984,20.3246073298,6.25130890052,13.7905759162,2.07329842932,6.53403141361,5.21465968586,7.22513089005,0.0,0.0,2.79581151832,4.02094240838,1.35078534031,0.628272251309,3.29842931937,3.17277486911,23.9371727749
Damian Jones,21,GSW,NBA,2016-17,10,0,85,8,16,8,16,0,0,3,10,9,14,23,0,1,4,6,15,19,0.5,0.5,0.0,0.3,0.5,6.81371087928,12.0312965723,6.80029806259,11.9239940387,0.0134128166915,0.107302533532,3.97019374069,7.02831594635,2.77645305514,5.67362146051,8.45007451565,0.952309985097,0.496274217586,2.23994038748,2.64232488823,4.03725782414,17.6110283159
Damian Lillard,22,POR,NBA,2012-13,82,82,3167,553,1288,368,785,185,503,271,321,42,215,257,531,74,19,243,172,1562,0.429347826,0.468789809,0.367793241,0.84423676,0.501164596,6.82707993475,15.2104404568,3.93474714519,7.88417618271,2.89233278956,7.32626427406,6.62153344209,7.60522022838,0.499184339315,4.25774877651,4.75693311582,4.00815660685,1.40946166395,0.190864600326,2.58401305057,2.09951060359,23.1680261011
Damien Wilkins,25,SEA,NBA,2004-05,29,7,520,73,168,57,109,16,59,21,34,29,37,66,26,22,10,16,55,183,0.43452381,0.52293578,0.271186441,0.617647059,0.482142857,4.23172103487,10.366704162,3.41169853768,7.67379077615,0.820022497188,2.69291338583,3.62429696288,5.00112485939,0.0,0.0,5.96287964004,3.08773903262,1.41732283465,0.566929133858,0.0,0.0,12.9077615298
Damion James,23,NJN,NBA,2010-11,25,9,403,46,103,46,100,0,3,18,28,17,68,85,20,16,12,25,36,110,0.446601942,0.46,0.0,0.642857143,0.446601942,7.34693877551,14.6588921283,6.08746355685,11.3702623907,1.25947521866,3.28862973761,5.42274052478,8.04664723032,3.74344023324,8.50145772595,12.2448979592,1.15451895044,1.99416909621,1.39941690962,2.4139941691,3.49854227405,21.3760932945
Damone Brown,22,PHI,NBA,2001-02,17,0,67,8,21,8,20,0,1,7,8,2,2,4,2,1,1,9,11,23,0.380952381,0.4,0.0,0.875,0.380952381,6.03351955307,12.0796089385,5.79469273743,11.0363128492,0.238826815642,1.04329608939,2.8282122905,3.77094972067,0.0,0.0,8.4217877095,1.75977653631,1.47067039106,1.1312849162,1.97346368715,3.45670391061,15.1340782123
Dan Dickau,24,ATL,NBA,2002-03,50,0,515,70,170,48,109,22,61,21,26,9,34,43,85,14,2,53,66,183,0.411764706,0.440366972,0.360655738,0.807692308,0.476470588,5.68848758465,12.5471783296,2.45417607223,5.47720090293,3.23431151242,7.06997742664,4.64830699774,5.39593679458,0.0,0.0,3.44559819413,5.41218961625,0.926410835214,0.113769751693,3.38058690745,2.27539503386,19.2595936795
Dan Gadzuric,24,MIL,NBA,2002-03,49,30,760,70,145,70,144,0,1,29,56,66,131,197,9,22,52,27,125,169,0.482758621,0.486111111,0.0,0.517857143,0.482758621,6.69653767821,12.2077393075,6.69653767821,12.1955193483,0.0,0.0122199592668,2.33401221996,5.19348268839,0.0,0.0,9.80040733198,0.91649694501,1.07535641548,2.24847250509,2.63951120163,4.17922606925,15.7270875764
Dan Langhi,23,HOU,NBA,2000-01,33,0,241,37,99,37,98,0,1,16,29,13,28,41,4,7,1,8,16,90,0.373737374,0.37755102,0.0,0.551724138,0.373737374,6.09253246753,12.8425324675,4.42694805195,8.56168831169,1.66558441558,4.28084415584,5.23051948052,6.23863636364,0.0,0.0,6.83766233766,0.993506493506,0.686688311688,0.292207792208,2.19155844156,2.04545454545,19.0811688312
Dan McClintock,23,DEN,NBA,2000-01,6,1,58,9,18,9,18,0,0,0,5,10,7,17,1,0,2,3,11,18,0.5,0.5,0.0,0.0,0.5,9.06293706294,14.3286713287,9.06293706294,14.3076923077,0.0,0.020979020979,4.61538461538,7.00699300699,0.0,0.0,8.30769230769,1.3006993007,0.524475524476,3.25174825175,3.25174825175,4.63636363636,22.7412587413
Daniel Ewing,22,LAC,NBA,2005-06,66,5,971,97,255,75,177,22,78,36,46,23,62,85,84,37,6,57,86,252,0.380392157,0.423728814,0.282051282,0.782608696,0.423529412,5.06088319833,11.7209302326,3.01959759603,6.50953749673,2.0412856023,5.21139273582,2.84086752025,3.80977266789,0.0,0.0,3.59341520773,2.75620590541,1.79670760387,0.225764306245,0.0,0.0,15.0039195192
Daniel Gibson,20,CLE,NBA,2006-07,60,16,988,98,231,46,107,52,124,28,39,28,64,92,69,23,8,44,94,276,0.424242424,0.429906542,0.419354839,0.717948718,0.536796537,4.71237756011,11.4764024933,1.90739091719,4.23152270703,2.80498664292,7.24487978629,2.75690115761,3.71861086376,0.0,0.0,3.92698130009,3.79875333927,1.66696349065,0.320569902048,0.0,0.0,14.9866429207
Daniel Ochefu,23,WAS,NBA,2016-17,19,0,75,12,27,12,27,0,0,0,2,5,17,22,3,2,0,3,17,24,0.444444444,0.444444444,0.0,0.0,0.444444444,4.75294117647,7.91764705882,4.75294117647,7.87058823529,0.0,0.0470588235294,2.43529411765,3.91764705882,3.44705882353,7.48235294118,10.9294117647,2.17647058824,1.28235294118,2.14117647059,2.58823529412,3.88235294118,11.9411764706
Daniel Orton,21,ORL,NBA,2011-12,16,2,187,17,30,17,29,0,1,11,25,19,20,39,5,8,9,7,30,45,0.566666667,0.586206897,0.0,0.44,0.566666667,3.4422310757,6.52589641434,3.4422310757,6.38247011952,0.0,0.143426294821,2.36653386454,4.51792828685,3.22709163347,5.80876494024,9.03585657371,1.07569721116,1.50597609562,3.80079681275,2.72509960159,6.31075697211,9.25099601594
Daniel Santiago,24,PHO,NBA,2000-01,54,2,581,64,134,64,134,0,0,42,61,35,67,102,11,17,21,47,101,170,0.47761194,0.47761194,0.0,0.68852459,0.47761194,5.89420654912,8.25188916877,5.89420654912,8.16120906801,0.0,0.0906801007557,5.80352644836,7.70780856423,0.0,0.0,7.79848866499,1.17884130982,0.544080604534,2.90176322418,0.0,0.0,17.5919395466
Danny Granger,22,IND,NBA,2005-06,78,17,1765,221,478,191,385,30,93,115,148,131,253,384,90,58,62,80,211,587,0.462343096,0.496103896,0.322580645,0.777027027,0.493723849,7.06641929499,14.239703154,6.02448979592,11.3944341373,1.04192949907,2.8452690167,6.01113172542,7.98812615955,0.0,0.0,10.4326530612,2.05714285714,1.97699443414,2.40445269017,0.0,0.0,21.1858998145
Danuel House,23,WAS,NBA,2016-17,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.47978812378,13.1876219682,3.45246724282,7.17591301924,2.02732088096,6.01170894898,3.88402564817,5.56007805966,1.50543629774,4.11485921383,5.62029551157,2.38862559242,0.85308056872,0.531920825202,2.28826317257,2.23808196264,16.8709227767
Darington Hobson,24,MIL,NBA,2011-12,5,0,39,2,13,2,7,0,6,0,0,0,3,3,6,0,0,2,1,4,0.153846154,0.285714286,0.0,0.0,0.153846154,5.91319148936,13.450212766,4.71829787234,10.1412765957,1.19489361702,3.30893617021,3.9829787234,6.0970212766,2.26723404255,7.65957446809,9.92680851064,4.90212765957,1.34808510638,0.459574468085,3.18638297872,2.08340425532,17.0042553191
Darius Johnson-Odom,23,LAL,NBA,2012-13,4,0,6,0,4,0,3,0,1,0,0,1,3,4,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.2038295244,13.975293391,3.74675725757,7.87152563311,2.45707226683,6.10376775788,3.46880790611,4.80296479308,0.622606547251,2.94626312539,3.56886967264,2.91290920321,1.0339715874,0.189005558987,2.47930821495,2.63495985176,18.3335392217
Darius Miller,22,NOH,NBA,2012-13,52,2,694,44,108,22,52,22,56,8,8,8,70,78,44,17,12,23,89,118,0.407407407,0.423076923,0.392857143,1.0,0.509259259,4.49851239669,9.86578512397,2.63008264463,5.01024793388,1.86842975207,4.85553719008,1.71371900826,2.09454545455,1.42809917355,3.07041322314,4.49851239669,2.45157024793,1.03537190083,0.92826446281,1.78512396694,3.08231404959,12.5791735537
Darius Morris,21,LAL,NBA,2011-12,19,0,169,18,42,14,33,4,9,6,9,2,14,16,21,2,0,19,16,46,0.428571429,0.424242424,0.444444444,0.666666667,0.476190476,4.56312625251,9.72144288577,4.14829659319,7.86372745491,0.414829659319,1.85771543086,2.47094188377,3.55310621242,0.811623246493,2.74148296593,3.55310621242,5.75350701403,1.01002004008,0.108216432866,2.77755511022,2.43486973948,12.0120240481
Darius Songaila,25,SAC,NBA,2003-04,73,7,976,133,273,133,273,0,0,71,88,91,134,225,48,42,12,43,126,337,0.487179487,0.487179487,0.0,0.806818182,0.487179487,6.73213760659,13.1784769186,6.60511614231,12.8079976478,0.127021464275,0.370479270803,6.08644516319,7.32490443987,0.0,0.0,8.60570420465,2.42399294325,1.49250220523,1.0161717142,3.80005880623,4.56218759188,19.6777418406
Darius Washington,22,SAS,NBA,2007-08,18,0,146,21,48,17,36,4,12,7,13,4,16,20,15,5,0,14,16,53,0.4375,0.472222222,0.333333333,0.538461538,0.479166667,5.50663129973,12.4456233422,4.0424403183,8.54641909814,1.46419098143,3.89920424403,4.29708222812,5.6976127321,0.0,0.0,3.7400530504,4.0424403183,1.71883289125,0.0954907161804,0.0,0.0,16.774535809
Darnell Jackson,23,CLE,NBA,2008-09,51,2,430,37,86,37,84,0,2,24,35,32,55,87,8,10,4,14,77,98,0.430232558,0.44047619,0.0,0.685714286,0.430232558,5.4008683068,9.30824891462,5.36613603473,9.20405209841,0.0347322720695,0.104196816208,3.89001447178,5.67872648336,0.0,0.0,10.6280752533,1.16353111433,1.11143270622,0.798842257598,0.0,0.0,14.7264833575
Darrell Arthur,20,MEM,NBA,2008-09,76,64,1464,191,436,191,434,0,2,40,60,108,238,346,43,52,52,47,206,422,0.438073394,0.440092166,0.0,0.666666667,0.438073394,7.76842105263,14.3578947368,7.72631578947,14.0,0.0421052631579,0.357894736842,3.03157894737,4.48421052632,0.0,0.0,8.98947368421,1.05263157895,1.11578947368,2.29473684211,0.0,0.0,18.6105263158
Darrun Hilliard,22,DET,NBA,2015-16,38,2,383,52,131,33,81,19,50,29,40,5,40,45,27,9,1,19,28,152,0.396946565,0.407407407,0.38,0.725,0.469465649,4.99745547074,11.4503816794,2.87022900763,5.65903307888,2.1272264631,5.79134860051,3.25699745547,4.35623409669,0.722646310433,3.34860050891,4.07124681934,2.52417302799,1.79134860051,0.478371501272,2.09669211196,2.78880407125,15.3791348601
Darryl Watkins,23,SAC,NBA,2007-08,9,0,71,5,15,5,15,0,0,2,5,5,7,12,0,2,2,7,8,12,0.333333333,0.333333333,0.0,0.4,0.333333333,3.63962494904,6.79494496535,3.63962494904,6.79494496535,0.0,0.0,2.0105992662,3.7130044843,0.0,0.0,9.01100693029,0.895230330208,1.36485935589,3.85976355483,0.0,0.0,9.28984916429
David Harrison,22,IND,NBA,2004-05,43,14,760,106,184,106,184,0,0,52,91,48,87,135,13,16,55,53,134,264,0.576086957,0.576086957,0.0,0.571428571,0.576086957,7.09838709677,11.8016129032,7.09838709677,11.7870967742,0.0,0.0145161290323,4.92096774194,8.89838709677,0.0,0.0,10.2629032258,0.754838709677,0.783870967742,3.26612903226,0.0,0.0,19.1177419355
David Lee,22,NYK,NBA,2005-06,67,14,1129,137,230,137,230,0,0,71,123,109,194,303,43,30,20,51,124,345,0.595652174,0.595652174,0.0,0.577235772,0.595652174,6.16461684011,10.6149479659,6.16461684011,10.5468306528,0.0,0.0681173131504,3.97350993377,5.83538315989,0.0,0.0,9.86565752129,2.84957426679,1.28287606433,1.23746452223,0.0,0.0,16.302743614
David Noel,22,MIL,NBA,2006-07,68,0,792,65,177,48,124,17,53,37,43,42,81,123,65,25,9,40,77,184,0.367231638,0.387096774,0.320754717,0.860465116,0.415254237,0.598371777476,8.01085481682,3.4803256445,5.80054274084,0.781546811398,2.21031207598,1.44097693351,2.45454545455,0.0,0.0,6.70420624152,3.01628222524,1.67299864315,0.732700135685,0.0,0.0,10.7462686567
David Nwaba,24,LAL,NBA,2016-17,20,2,397,47,81,46,76,1,5,25,39,16,46,62,14,13,7,11,36,120,0.580246914,0.605263158,0.2,0.641025641,0.586419753,5.86119598429,12.3823657791,5.79834133566,12.0052378874,0.0628546486251,0.37712789175,4.66695766041,7.18114360541,2.57704059363,4.74552597119,7.32256656482,2.82845918813,1.508511567,0.769969445657,2.21562636403,2.73417721519,16.4522042776
David Stockton,23,SAC,NBA,2014-15,3,0,33,2,6,1,4,1,2,3,6,0,2,2,9,2,0,4,1,8,0.333333333,0.25,0.5,0.5,0.416666667,2.92885808099,6.90842758117,2.0094855892,3.90076614374,0.919372491791,3.00766143743,1.90441444728,2.71871579715,0.262677854798,2.69244801167,2.95512586647,5.55563662897,2.19336008756,0.144472820139,2.65304633345,3.02079533017,8.68150310106
David Vanterpool,27,WAS,NBA,2000-01,22,0,411,46,110,46,104,0,6,30,50,15,22,37,66,23,3,37,44,122,0.418181818,0.442307692,0.0,0.6,0.418181818,4.6486784141,10.8634361233,3.59801762115,7.63215859031,1.05066079295,3.23127753304,4.26211453744,5.83810572687,0.0,0.0,6.24449339207,3.97466960352,0.465859030837,0.307268722467,3.63766519824,3.63766519824,14.6101321586
David Wear,24,SAC,NBA,2014-15,2,0,7,0,2,0,1,0,1,0,0,2,0,2,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4.5,9.50847457627,3.73728813559,7.70338983051,0.762711864407,1.80508474576,1.52542372881,2.07203389831,2.42796610169,4.6906779661,7.1186440678,1.22033898305,0.877118644068,0.317796610169,1.52542372881,2.8093220339,11.2881355932
David West,23,NOH,NBA,2003-04,71,1,930,108,228,108,226,0,2,57,80,117,180,297,60,27,28,48,117,273,0.473684211,0.477876106,0.0,0.7125,0.473684211,6.2080760095,11.680760095,6.0541567696,11.2104513064,0.153919239905,0.470308788599,5.66080760095,7.47363420428,0.0,0.0,11.1847980998,2.28313539192,1.48788598575,1.94964370546,2.73634204276,2.99287410926,18.2308788599
DeAndre Bembry,22,ATL,NBA,2016-17,38,1,371,47,98,46,80,1,18,6,16,14,45,59,28,8,5,16,21,101,0.479591837,0.575,0.055555556,0.375,0.484693878,5.72839506173,12.5432098765,4.54320987654,8.74074074074,1.18518518519,3.8024691358,3.06172839506,4.87901234568,1.35308641975,5.28395061728,6.63703703704,3.5950617284,1.41234567901,0.77037037037,2.44938271605,2.45925925926,15.7037037037
DeAndre Jordan,20,LAC,NBA,2008-09,53,13,771,93,147,93,147,0,0,42,109,72,165,237,11,11,59,41,96,228,0.632653061,0.632653061,0.0,0.385321101,0.632653061,5.786628734,9.37126600284,5.786628734,9.37126600284,0.0,0.0,2.66287339972,6.09388335704,0.0,0.0,10.7539118065,0.76813655761,0.358463726885,2.25320056899,2.91891891892,0.0,14.2361308677
DeAndre Liggins,23,ORL,NBA,2011-12,17,0,115,12,25,12,21,0,4,9,19,6,9,15,5,6,0,10,6,33,0.48,0.571428571,0.0,0.473684211,0.48,3.23693803159,7.65492102066,2.14337788578,4.68043742406,1.09356014581,2.9744835966,1.99027946537,3.14945321993,0.874848116646,3.91494532199,4.78979343864,2.62454434994,1.44349939247,0.787363304982,1.57472660996,2.9744835966,9.55771567436
DeMarcus Cousins,20,SAC,NBA,2010-11,81,62,2309,432,1004,429,986,3,18,276,402,217,482,699,204,85,68,268,332,1143,0.430278884,0.435091278,0.166666667,0.686567164,0.431772908,8.3045912654,14.875699888,8.26427771557,14.633818589,0.040313549832,0.241881298992,6.53079507279,10.804031355,6.20828667413,8.86898096305,15.0772676372,1.53191489362,1.49160134378,2.70100783875,3.1444568869,4.91825307951,23.1802911534
DeMarcus Nelson,23,GSW,NBA,2008-09,13,5,171,24,54,24,51,0,3,5,14,6,18,24,13,9,2,15,24,53,0.444444444,0.470588235,0.0,0.357142857,0.444444444,5.23294406884,11.2292562999,3.86109403811,7.55623847572,1.37185003073,3.67301782422,2.94283958205,5.02274124155,0.0,0.0,6.70436385986,2.45605408728,1.60417947142,0.442532267978,0.0,0.0,14.7805777505
DeQuan Jones,22,ORL,NBA,2012-13,63,17,803,95,218,86,183,9,35,34,51,17,88,105,16,19,22,30,55,233,0.435779817,0.469945355,0.257142857,0.666666667,0.456422018,4.82681564246,10.3144453312,4.56823623304,8.99281723863,0.258579409417,1.32162809258,2.21229050279,3.50518754988,2.09736632083,4.02234636872,6.11971268955,1.09177972865,1.20670391061,1.12051077414,2.67198723065,2.90183559457,12.1245011971
Dee Brown,22,UTA,NBA,2006-07,49,0,450,32,98,26,70,6,28,24,37,8,32,40,83,22,7,31,51,94,0.326530612,0.371428571,0.214285714,0.648648649,0.357142857,4.88888888889,11.5862068966,2.59770114943,5.2183908046,2.29118773946,6.36781609195,1.81609195402,2.50574712644,0.0,0.0,3.43295019157,5.24137931034,1.77011494253,0.0536398467433,0.0,0.0,13.8850574713
Dejounte Murray,20,SAS,NBA,2016-17,38,8,322,50,116,41,93,9,23,21,30,6,36,42,48,8,6,38,29,130,0.431034483,0.440860215,0.391304348,0.7,0.469827586,6.38454784899,15.3608428446,5.30992098332,11.6312554873,1.07462686567,3.72958735733,3.47673397717,5.24670763828,1.51712028095,4.89903424056,6.41615452151,4.77260755048,1.95961369622,0.316066725198,3.47673397717,2.84460052678,17.3204565408
