Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%
Ben McLemore,20,SAC,NBA,2013-14,82,55,2187,255,679,160,382,95,297,115,143,53,182,235,82,45,18,96,201,720,0.375552282769,0.418848167539,0.319865319865,0.804195804196,0.445508100147
Ben Uzoh,22,NJN,NBA,2010-11,42,0,438,61,144,58,136,3,8,33,56,30,31,61,69,13,8,25,29,158,0.423611111111,0.426470588235,0.375,0.589285714286,0.434027777778
Bernard James,27,DAL,NBA,2012-13,46,11,457,53,103,53,101,0,2,25,41,52,79,131,6,12,38,18,64,131,0.514563106796,0.524752475248,0.0,0.609756097561,0.514563106796
Bobby Portis,20,CHI,NBA,2015-16,62,4,1102,186,436,170,384,16,52,48,66,123,214,337,52,25,22,54,100,436,0.426605504587,0.442708333333,0.307692307692,0.727272727273,0.44495412844
Bradley Beal,19,WAS,NBA,2012-13,56,46,1745,282,687,191,451,91,236,125,159,43,168,211,137,50,29,90,113,780,0.410480349345,0.423503325942,0.385593220339,0.786163522013,0.476710334789
Branden Dawson,22,LAC,NBA,2015-16,6,0,29,2,5,2,5,0,0,1,1,2,2,4,0,0,1,0,2,5,0.4,0.4,0.0,1.0,0.4
Brandon Davies,22,PHI,NBA,2013-14,51,0,575,54,128,52,118,2,10,34,53,38,71,109,28,24,8,35,92,144,0.421875,0.440677966102,0.2,0.641509433962,0.4296875
Brandon Ingram,19,LAL,NBA,2016-17,79,40,2279,276,686,221,499,55,187,133,214,60,257,317,166,50,36,116,158,740,0.402332361516,0.442885771543,0.294117647059,0.621495327103,0.442419825073
Brandon Knight,20,DET,NBA,2011-12,66,60,2129,319,769,214,493,105,276,104,137,33,178,211,251,49,10,171,154,847,0.414824447334,0.434077079108,0.380434782609,0.759124087591,0.483094928479
Briante Weber,23,TOT,NBA,2015-16,7,4,169,14,39,14,34,0,5,3,4,8,17,25,21,9,3,9,12,31,0.358974358974,0.411764705882,0.0,0.75,0.358974358974
Brice Johnson,22,LAC,NBA,2016-17,3,0,9,2,7,2,7,0,0,0,0,1,2,3,1,2,1,1,0,4,0.285714285714,0.285714285714,0.0,0.0,0.285714285714
Bryce Cotton,22,UTA,NBA,2014-15,15,0,159,29,69,22,49,7,20,15,18,3,15,18,15,4,0,12,6,80,0.420289855072,0.448979591837,0.35,0.833333333333,0.471014492754
Bryce Dejean-Jones,23,NOP,NBA,2015-16,14,11,279,28,69,16,37,12,32,11,21,8,40,48,15,10,2,11,17,79,0.405797101449,0.432432432432,0.375,0.52380952381,0.492753623188
Bryn Forbes,23,SAS,NBA,2016-17,36,0,285,36,99,19,46,17,53,5,6,2,21,23,23,1,0,11,20,94,0.363636363636,0.413043478261,0.320754716981,0.833333333333,0.449494949495
Buddy Hield,23,TOT,NBA,2016-17,82,55,1888,327,768,179,389,148,379,64,76,35,234,269,121,38,9,101,115,866,0.42578125,0.460154241645,0.390501319261,0.842105263158,0.522135416667
C.J. McCollum,22,POR,NBA,2013-14,38,0,476,74,178,44,98,30,80,23,34,7,41,48,27,14,2,35,53,201,0.415730337079,0.448979591837,0.375,0.676470588235,0.5
C.J. Wilcox,24,LAC,NBA,2014-15,21,0,101,16,38,9,19,7,19,2,2,1,6,7,8,3,1,10,7,41,0.421052631579,0.473684210526,0.368421052632,1.0,0.513157894737
Cameron Bairstow,24,CHI,NBA,2014-15,18,1,64,3,14,3,14,0,0,4,5,6,2,8,1,2,1,3,8,10,0.214285714286,0.214285714286,0.0,0.8,0.214285714286
Cameron Payne,21,OKC,NBA,2015-16,57,1,698,114,278,78,167,36,111,19,24,9,76,85,108,36,6,44,80,283,0.410071942446,0.467065868263,0.324324324324,0.791666666667,0.474820143885
Caris LeVert,22,BRK,NBA,2016-17,57,26,1237,171,380,112,196,59,184,67,93,23,165,188,110,49,8,59,91,468,0.45,0.571428571429,0.320652173913,0.720430107527,0.527631578947
Carrick Felix,23,CLE,NBA,2013-14,7,0,38,7,14,5,9,2,5,3,4,1,5,6,4,0,0,4,4,19,0.5,0.555555555556,0.4,0.75,0.571428571429
Casper Ware,24,PHI,NBA,2013-14,9,0,116,18,42,11,21,7,21,5,6,0,9,9,10,8,0,5,11,48,0.428571428571,0.52380952381,0.333333333333,0.833333333333,0.511904761905
Chandler Parsons,23,HOU,NBA,2011-12,63,57,1804,248,549,188,371,60,178,43,78,90,210,300,134,73,29,81,142,599,0.451730418944,0.506738544474,0.337078651685,0.551282051282,0.506375227687
Charles Jenkins,22,GSW,NBA,2011-12,51,28,893,130,291,127,271,3,20,34,39,8,60,68,170,33,6,60,85,297,0.446735395189,0.468634686347,0.15,0.871794871795,0.451890034364
Chasson Randle,23,TOT,NBA,2016-17,26,0,299,40,98,24,51,16,47,41,43,6,26,32,34,9,2,19,39,137,0.408163265306,0.470588235294,0.340425531915,0.953488372093,0.489795918367
Cheick Diallo,20,NOP,NBA,2016-17,17,0,199,36,76,36,76,0,0,15,21,23,50,73,4,4,7,7,17,87,0.473684210526,0.473684210526,0.0,0.714285714286,0.473684210526
Chinanu Onuaku,20,HOU,NBA,2016-17,5,1,52,5,7,5,7,0,0,4,4,2,8,10,3,3,1,4,6,14,0.714285714286,0.714285714286,0.0,1.0,0.714285714286
Chris Babb,23,BOS,NBA,2013-14,14,0,132,8,30,2,3,6,27,0,0,4,13,17,3,6,0,3,13,22,0.266666666667,0.666666666667,0.222222222222,0.0,0.366666666667
Chris McCullough,20,BRK,NBA,2015-16,24,4,362,44,109,31,75,13,34,11,23,25,43,68,9,28,12,15,39,112,0.403669724771,0.413333333333,0.382352941176,0.478260869565,0.463302752294
Chris Singleton,22,WAS,NBA,2011-12,66,51,1431,116,312,72,185,44,127,30,44,43,190,233,49,70,30,38,176,306,0.371794871795,0.389189189189,0.346456692913,0.681818181818,0.442307692308
Chris Smith,26,NYK,NBA,2013-14,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Chris Wright Dos,23,DAL,NBA,2012-13,3,0,4,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0.5,0.5,0.0,0.0,0.5
Chris Wright Uno,23,GSW,NBA,2011-12,24,1,186,23,45,23,45,0,0,24,31,19,26,45,4,7,13,8,22,70,0.511111111111,0.511111111111,0.0,0.774193548387,0.511111111111
Christapher Johnson,22,MEM,NBA,2012-13,8,0,102,11,25,5,7,6,18,1,2,5,6,11,2,4,0,3,5,29,0.44,0.714285714286,0.333333333333,0.5,0.56
Christian Wood,20,PHI,NBA,2015-16,17,0,145,22,53,18,42,4,11,13,21,13,25,38,3,5,7,2,11,61,0.415094339623,0.428571428571,0.363636363636,0.619047619048,0.452830188679
Cleanthony Early,23,NYK,NBA,2014-15,39,7,647,76,214,54,130,22,84,36,48,22,75,97,36,24,12,40,57,210,0.355140186916,0.415384615385,0.261904761905,0.75,0.406542056075
Cliff Alexander,20,POR,NBA,2015-16,8,0,36,5,10,5,10,0,0,0,0,2,4,6,0,1,2,1,1,10,0.5,0.5,0.0,0.0,0.5
Cody Zeller,21,CHA,NBA,2013-14,82,3,1416,172,404,172,403,0,1,146,200,118,235,353,92,40,41,87,170,490,0.425742574257,0.426799007444,0.0,0.73,0.425742574257
Cole Aldrich,22,OKC,NBA,2010-11,18,0,142,8,15,8,15,0,0,2,4,13,22,35,4,5,7,8,30,18,0.533333333333,0.533333333333,0.0,0.5,0.533333333333
Cory Higgins,22,CHA,NBA,2011-12,38,0,423,52,160,48,140,4,20,42,60,7,28,35,36,5,6,39,40,150,0.325,0.342857142857,0.2,0.7,0.3375
Cory Jefferson,24,BRK,NBA,2014-15,50,1,531,75,167,73,152,2,15,31,54,47,98,145,16,10,21,20,61,183,0.449101796407,0.480263157895,0.133333333333,0.574074074074,0.455089820359
Cory Joseph,20,SAS,NBA,2011-12,29,1,266,22,70,19,55,3,15,11,17,5,20,25,34,7,3,12,16,58,0.314285714286,0.345454545455,0.2,0.647058823529,0.335714285714
Coty Clarke,23,BOS,NBA,2015-16,3,0,6,2,4,0,2,2,2,0,0,0,1,1,0,0,0,1,0,6,0.5,0.0,1.0,0.0,0.75
Courtney Fortson,23,TOT,NBA,2011-12,10,0,95,11,32,8,19,3,13,10,15,6,9,15,10,3,0,10,5,35,0.34375,0.421052631579,0.230769230769,0.666666666667,0.390625
Craig Brackins,23,PHI,NBA,2010-11,3,0,33,4,16,4,11,0,5,0,0,2,2,4,1,1,0,0,3,8,0.25,0.363636363636,0.0,0.0,0.25
D'Angelo Russell,19,LAL,NBA,2015-16,80,48,2259,392,956,262,586,130,370,140,190,47,227,274,266,93,13,196,142,1054,0.410041841004,0.447098976109,0.351351351351,0.736842105263,0.478033472803
D.J. Kennedy,22,CLE,NBA,2011-12,2,0,59,5,12,3,8,2,4,0,2,1,6,7,3,2,0,3,7,12,0.416666666667,0.375,0.5,0.0,0.5
D.J. Stephens,23,MIL,NBA,2013-14,3,0,15,3,7,3,7,0,0,1,1,1,4,5,0,0,0,0,0,7,0.428571428571,0.428571428571,0.0,1.0,0.428571428571
Damian Jones,21,GSW,NBA,2016-17,10,0,85,8,16,8,16,0,0,3,10,9,14,23,0,1,4,6,15,19,0.5,0.5,0.0,0.3,0.5
Damian Lillard,22,POR,NBA,2012-13,82,82,3167,553,1288,368,785,185,503,271,321,42,215,257,531,74,19,243,172,1562,0.429347826087,0.468789808917,0.367793240557,0.844236760125,0.501164596273
Damion James,23,NJN,NBA,2010-11,25,9,403,46,103,46,100,0,3,18,28,17,68,85,20,16,12,25,36,110,0.446601941748,0.46,0.0,0.642857142857,0.446601941748
Daniel Ochefu,23,WAS,NBA,2016-17,19,0,75,12,27,12,27,0,0,0,2,5,17,22,3,2,0,3,17,24,0.444444444444,0.444444444444,0.0,0.0,0.444444444444
Daniel Orton,21,ORL,NBA,2011-12,16,2,187,17,30,17,29,0,1,11,25,19,20,39,5,8,9,7,30,45,0.566666666667,0.586206896552,0.0,0.44,0.566666666667
Danuel House,23,WAS,NBA,2016-17,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Darington Hobson,24,MIL,NBA,2011-12,5,0,39,2,13,2,7,0,6,0,0,0,3,3,6,0,0,2,1,4,0.153846153846,0.285714285714,0.0,0.0,0.153846153846
Darius Johnson-Odom,23,LAL,NBA,2012-13,4,0,6,0,4,0,3,0,1,0,0,1,3,4,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Darius Miller,22,NOH,NBA,2012-13,52,2,694,44,108,22,52,22,56,8,8,8,70,78,44,17,12,23,89,118,0.407407407407,0.423076923077,0.392857142857,1.0,0.509259259259
Darius Morris,21,LAL,NBA,2011-12,19,0,169,18,42,14,33,4,9,6,9,2,14,16,21,2,0,19,16,46,0.428571428571,0.424242424242,0.444444444444,0.666666666667,0.47619047619
Darrun Hilliard,22,DET,NBA,2015-16,38,2,383,52,131,33,81,19,50,29,40,5,40,45,27,9,1,19,28,152,0.396946564885,0.407407407407,0.38,0.725,0.469465648855
David Nwaba,24,LAL,NBA,2016-17,20,2,397,47,81,46,76,1,5,25,39,16,46,62,14,13,7,11,36,120,0.58024691358,0.605263157895,0.2,0.641025641026,0.586419753086
David Stockton,23,SAC,NBA,2014-15,3,0,33,2,6,1,4,1,2,3,6,0,2,2,9,2,0,4,1,8,0.333333333333,0.25,0.5,0.5,0.416666666667
