Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%
Gary Payton,24,MIL,NBA,2016-17,6,0,99,8,22,7,13,1,9,3,5,0,12,12,13,3,4,10,9,20,0.363636363636,0.538461538462,0.111111111111,0.6,0.386363636364
Georges Niang,23,IND,NBA,2016-17,23,0,93,9,36,8,24,1,12,2,2,2,15,17,5,3,0,5,6,21,0.25,0.333333333333,0.0833333333333,1.0,0.263888888889
Glen Rice,23,WAS,NBA,2013-14,11,1,109,11,37,6,20,5,17,5,7,4,16,20,7,6,1,9,7,32,0.297297297297,0.3,0.294117647059,0.714285714286,0.364864864865
Glenn Robinson,21,TOT,NBA,2014-15,35,1,261,26,67,21,48,5,19,16,24,15,24,39,11,6,1,11,15,73,0.388059701493,0.4375,0.263157894737,0.666666666667,0.425373134328
Gordon Hayward,20,UTA,NBA,2010-11,72,17,1218,142,293,107,219,35,74,69,97,41,98,139,81,30,19,70,106,388,0.484641638225,0.488584474886,0.472972972973,0.711340206186,0.544368600683
Gorgui Dieng,24,MIN,NBA,2013-14,60,15,818,113,227,112,226,1,1,59,93,103,197,300,39,30,50,54,108,286,0.497797356828,0.495575221239,1.0,0.634408602151,0.5
Grant Jerrett,21,TOT,NBA,2014-15,8,0,51,7,26,6,11,1,15,1,1,2,7,9,3,2,2,3,11,16,0.269230769231,0.545454545455,0.0666666666667,1.0,0.288461538462
Greg Monroe,20,DET,NBA,2010-11,80,48,2222,303,550,303,549,0,1,145,233,248,353,601,105,93,45,81,196,751,0.550909090909,0.551912568306,0.0,0.622317596567,0.550909090909
Greg Smith,21,HOU,NBA,2011-12,8,0,69,7,11,7,11,0,0,0,0,5,15,20,1,2,5,1,17,14,0.636363636364,0.636363636364,0.0,0.0,0.636363636364
Greivis Vasquez,24,MEM,NBA,2010-11,70,1,860,95,233,70,147,25,86,34,44,12,61,73,151,22,4,70,83,249,0.407725321888,0.47619047619,0.290697674419,0.772727272727,0.461373390558
Hamady N'Diaye,24,WAS,NBA,2010-11,16,0,80,4,5,4,5,0,0,6,12,2,5,7,0,2,5,3,18,14,0.8,0.8,0.0,0.5,0.8
Harrison Barnes,20,GSW,NBA,2012-13,81,81,2058,276,628,224,483,52,145,144,190,53,280,333,98,52,14,101,140,748,0.43949044586,0.463768115942,0.358620689655,0.757894736842,0.480891719745
Hassan Whiteside,21,SAC,NBA,2010-11,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Henry Ellenson,20,DET,NBA,2016-17,19,2,146,23,64,13,29,10,35,4,8,8,33,41,7,1,1,14,6,60,0.359375,0.448275862069,0.285714285714,0.5,0.4375
Henry Sims,22,NOH,NBA,2012-13,2,0,5,2,3,2,3,0,0,0,0,2,0,2,0,0,0,1,1,4,0.666666666667,0.666666666667,0.0,0.0,0.666666666667
Hollis Thompson,22,PHI,NBA,2013-14,77,41,1742,171,372,104,205,67,167,52,73,73,174,247,73,53,12,60,144,461,0.459677419355,0.507317073171,0.40119760479,0.712328767123,0.549731182796
Ian Clark,22,UTA,NBA,2013-14,23,0,172,26,67,15,36,11,31,5,7,3,16,19,15,8,2,14,24,68,0.388059701493,0.416666666667,0.354838709677,0.714285714286,0.470149253731
Iman Shumpert,21,NYK,NBA,2011-12,59,35,1705,214,534,166,377,48,157,87,109,42,144,186,164,101,8,111,173,563,0.40074906367,0.440318302387,0.305732484076,0.798165137615,0.445692883895
Isaiah Canaan,22,HOU,NBA,2013-14,22,0,252,31,87,13,32,18,55,21,29,7,17,24,22,8,4,21,25,101,0.35632183908,0.40625,0.327272727273,0.724137931034,0.459770114943
Isaiah Taylor,22,HOU,NBA,2016-17,4,0,52,1,7,1,5,0,2,1,2,1,2,3,3,1,1,0,6,3,0.142857142857,0.2,0.0,0.5,0.142857142857
Isaiah Thomas,22,SAC,NBA,2011-12,65,37,1656,256,571,173,352,83,219,154,185,48,120,168,266,53,8,105,121,749,0.448336252189,0.491477272727,0.37899543379,0.832432432432,0.521015761821
Isaiah Whitehead,21,BRK,NBA,2016-17,73,26,1643,204,508,160,359,44,149,91,113,32,152,184,192,42,36,142,175,543,0.40157480315,0.445682451253,0.295302013423,0.805309734513,0.444881889764
Ivan Johnson,27,ATL,NBA,2011-12,56,0,934,141,275,139,269,2,6,72,100,65,161,226,32,43,18,69,116,356,0.512727272727,0.516728624535,0.333333333333,0.72,0.516363636364
J.J. O'Brien,23,UTA,NBA,2015-16,2,0,6,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0
JaJuan Johnson,22,BOS,NBA,2011-12,36,0,298,54,121,54,121,0,0,6,9,20,38,58,6,5,14,14,25,114,0.446280991736,0.446280991736,0.0,0.666666666667,0.446280991736
JaKarr Sampson,21,PHI,NBA,2014-15,74,32,1131,146,346,115,219,31,127,63,94,35,128,163,77,38,26,76,135,386,0.421965317919,0.525114155251,0.244094488189,0.670212765957,0.46676300578
JaMychal Green,24,TOT,NBA,2014-15,24,1,164,27,47,27,41,0,6,8,10,19,26,45,4,5,5,14,25,62,0.574468085106,0.658536585366,0.0,0.8,0.574468085106
Jabari Brown,22,LAL,NBA,2014-15,19,5,568,70,170,47,108,23,62,64,85,3,33,36,40,12,2,32,33,227,0.411764705882,0.435185185185,0.370967741935,0.752941176471,0.479411764706
Jabari Parker,19,MIL,NBA,2014-15,25,25,738,129,263,125,247,4,16,46,66,50,88,138,42,31,5,47,42,308,0.490494296578,0.506072874494,0.25,0.69696969697,0.498098859316
Jack Cooley,23,UTA,NBA,2014-15,16,0,87,9,22,9,22,0,0,9,21,10,15,25,1,6,3,3,23,27,0.409090909091,0.409090909091,0.0,0.428571428571,0.409090909091
Jae Crowder,22,DAL,NBA,2012-13,78,16,1353,141,367,78,175,63,192,47,73,35,152,187,94,63,17,49,128,392,0.384196185286,0.445714285714,0.328125,0.643835616438,0.470027247956
Jahlil Okafor,20,PHI,NBA,2015-16,53,48,1591,397,781,396,775,1,6,133,194,122,251,373,65,22,61,124,140,928,0.508322663252,0.510967741935,0.166666666667,0.685567010309,0.508962868118
Jake Layman,22,POR,NBA,2016-17,35,1,249,26,89,13,38,13,51,13,17,6,18,24,11,9,3,11,22,78,0.292134831461,0.342105263158,0.254901960784,0.764705882353,0.365168539326
Jakob Poeltl,21,TOR,NBA,2016-17,54,4,626,67,115,67,115,0,0,31,57,78,87,165,12,17,20,29,113,165,0.582608695652,0.582608695652,0.0,0.543859649123,0.582608695652
Jamaal Franklin,22,MEM,NBA,2013-14,21,0,161,16,39,11,28,5,11,2,2,4,19,23,6,4,2,11,23,39,0.410256410256,0.392857142857,0.454545454545,1.0,0.474358974359
Jamal Murray,19,DEN,NBA,2016-17,82,10,1764,295,730,180,386,115,344,106,120,41,173,214,170,52,24,113,124,811,0.404109589041,0.466321243523,0.334302325581,0.883333333333,0.482876712329
James Anderson,21,SAS,NBA,2010-11,26,2,286,31,81,13,35,18,46,14,18,2,21,23,18,3,6,13,24,94,0.382716049383,0.371428571429,0.391304347826,0.777777777778,0.493827160494
James Ennis,24,MIA,NBA,2014-15,62,3,1051,101,247,70,152,31,95,79,94,51,125,176,48,25,17,39,89,312,0.408906882591,0.460526315789,0.326315789474,0.840425531915,0.471659919028
James Michael McAdoo,22,GSW,NBA,2014-15,15,0,137,24,44,24,44,0,0,14,25,15,22,37,2,5,9,6,21,62,0.545454545455,0.545454545455,0.0,0.56,0.545454545455
James Nunnally,23,TOT,NBA,2013-14,13,0,165,15,46,7,21,8,25,6,9,1,18,19,8,6,2,7,11,44,0.326086956522,0.333333333333,0.32,0.666666666667,0.413043478261
James Southerland,23,TOT,NBA,2013-14,4,0,30,5,15,2,9,3,6,1,2,0,8,8,0,1,2,1,3,14,0.333333333333,0.222222222222,0.5,0.5,0.433333333333
James Young,19,BOS,NBA,2014-15,31,0,332,36,102,19,36,17,66,16,29,9,33,42,13,8,2,5,22,105,0.352941176471,0.527777777778,0.257575757576,0.551724137931,0.436274509804
Jared Cunningham,21,DAL,NBA,2012-13,8,0,26,6,14,4,11,2,3,2,2,1,2,3,1,1,0,2,3,16,0.428571428571,0.363636363636,0.666666666667,1.0,0.5
Jared Sullinger,20,BOS,NBA,2012-13,45,5,892,111,225,110,220,1,5,47,63,92,172,264,35,22,22,29,154,270,0.493333333333,0.5,0.2,0.746031746032,0.495555555556
Jarell Eddie,24,WAS,NBA,2015-16,26,0,147,20,65,5,18,15,47,8,8,2,21,23,5,5,1,1,5,63,0.307692307692,0.277777777778,0.31914893617,1.0,0.423076923077
Jarell Martin,21,MEM,NBA,2015-16,27,0,380,54,116,54,114,0,2,45,62,39,47,86,15,8,7,19,58,153,0.465517241379,0.473684210526,0.0,0.725806451613,0.465517241379
Jarnell Stokes,21,MEM,NBA,2014-15,19,2,126,21,37,21,37,0,0,15,28,16,18,34,4,5,5,7,25,57,0.567567567568,0.567567567568,0.0,0.535714285714,0.567567567568
Jarrod Uthoff,23,DAL,NBA,2016-17,9,0,115,16,38,13,29,3,9,5,7,8,14,22,9,2,4,3,8,40,0.421052631579,0.448275862069,0.333333333333,0.714285714286,0.460526315789
Jarvis Varnado,24,TOT,NBA,2012-13,13,0,58,3,7,3,7,0,0,2,4,2,7,9,3,1,2,6,10,8,0.428571428571,0.428571428571,0.0,0.5,0.428571428571
Jaylen Brown,20,BOS,NBA,2016-17,78,20,1341,192,423,146,288,46,135,85,124,45,175,220,64,35,18,68,142,515,0.45390070922,0.506944444444,0.340740740741,0.685483870968,0.508274231678
Jeff Foote,24,NOH,NBA,2011-12,4,0,39,2,6,2,6,0,0,0,0,1,5,6,0,0,1,2,5,4,0.333333333333,0.333333333333,0.0,0.0,0.333333333333
Jeff Withey,23,NOP,NBA,2013-14,58,4,684,69,129,69,128,0,1,52,73,49,101,150,26,15,50,20,73,190,0.53488372093,0.5390625,0.0,0.712328767123,0.53488372093
Jeffery Taylor,23,CHA,NBA,2012-13,77,29,1507,172,399,119,245,53,154,75,103,51,99,150,63,47,15,48,136,472,0.431077694236,0.485714285714,0.344155844156,0.728155339806,0.497493734336
Jerami Grant,20,PHI,NBA,2014-15,65,11,1377,124,352,75,196,49,156,114,193,49,149,198,79,40,68,85,144,411,0.352272727273,0.382653061224,0.314102564103,0.59067357513,0.421875
Jeremy Evans,23,UTA,NBA,2010-11,49,3,463,76,115,76,114,0,1,26,37,36,61,97,24,17,17,19,50,178,0.660869565217,0.666666666667,0.0,0.702702702703,0.660869565217
Jeremy Lamb,20,OKC,NBA,2012-13,23,0,147,24,68,15,38,9,30,14,14,5,13,18,5,2,2,6,13,71,0.352941176471,0.394736842105,0.3,1.0,0.419117647059
Jeremy Lin,22,GSW,NBA,2010-11,29,0,285,28,72,27,67,1,5,19,25,12,22,34,42,33,9,18,31,76,0.388888888889,0.402985074627,0.2,0.76,0.395833333333
Jerian Grant,23,NYK,NBA,2015-16,76,6,1265,154,391,132,291,22,100,96,123,23,120,143,177,50,10,87,97,426,0.393861892583,0.453608247423,0.22,0.780487804878,0.42199488491
Jerome Dyson,24,NOH,NBA,2011-12,9,1,180,19,48,18,40,1,8,28,36,2,17,19,18,11,2,20,19,67,0.395833333333,0.45,0.125,0.777777777778,0.40625
Jerome Jordan,25,NYK,NBA,2011-12,21,0,108,17,33,17,33,0,0,8,10,14,13,27,4,1,6,2,15,42,0.515151515152,0.515151515152,0.0,0.8,0.515151515152
Jerrelle Benimon,23,UTA,NBA,2014-15,2,0,3,0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Jerry Smith,24,NJN,NBA,2011-12,5,0,46,3,14,2,8,1,6,0,0,2,5,7,4,5,0,0,5,7,0.214285714286,0.25,0.166666666667,0.0,0.25
Jimmer Fredette,22,SAC,NBA,2011-12,61,7,1135,172,446,94,230,78,216,40,48,17,56,73,108,30,3,67,73,462,0.385650224215,0.408695652174,0.361111111111,0.833333333333,0.473094170404
Jimmy Butler,22,CHI,NBA,2011-12,42,0,359,32,79,30,68,2,11,43,56,23,33,56,14,11,5,14,20,109,0.405063291139,0.441176470588,0.181818181818,0.767857142857,0.417721518987
Joe Harris,23,CLE,NBA,2014-15,51,1,493,48,120,17,36,31,84,9,15,7,34,41,26,7,2,27,62,136,0.4,0.472222222222,0.369047619048,0.6,0.529166666667
Joel Bolomboy,23,UTA,NBA,2016-17,12,0,53,9,16,8,12,1,4,3,6,4,13,17,2,1,2,2,1,22,0.5625,0.666666666667,0.25,0.5,0.59375
Joel Embiid,22,PHI,NBA,2016-17,31,31,786,200,429,164,331,36,98,191,244,61,182,243,66,27,76,117,112,627,0.4662004662,0.495468277946,0.367346938776,0.782786885246,0.508158508159
John Henson,22,MIL,NBA,2012-13,63,9,827,162,336,162,333,0,3,56,105,116,181,297,31,19,42,47,83,380,0.482142857143,0.486486486486,0.0,0.533333333333,0.482142857143
John Jenkins,21,ATL,NBA,2012-13,61,2,902,131,294,78,156,53,138,59,70,17,77,94,56,12,10,40,37,374,0.445578231293,0.5,0.384057971014,0.842857142857,0.535714285714
John Wall,20,WAS,NBA,2010-11,69,64,2606,398,972,364,857,34,115,301,393,35,282,317,574,121,35,261,175,1131,0.409465020576,0.424737456243,0.295652173913,0.765903307888,0.42695473251
Johnny O'Bryant,21,MIL,NBA,2014-15,34,15,368,44,120,44,120,0,0,12,27,26,38,64,17,5,4,25,44,100,0.366666666667,0.366666666667,0.0,0.444444444444,0.366666666667
Jon Leuer,22,MIL,NBA,2011-12,46,12,555,97,191,94,182,3,9,21,28,45,75,120,25,14,17,18,67,218,0.507853403141,0.516483516484,0.333333333333,0.75,0.515706806283
Jonathan Gibson,29,DAL,NBA,2016-17,17,0,231,35,95,20,50,15,45,21,29,1,21,22,26,8,0,21,21,106,0.368421052632,0.4,0.333333333333,0.724137931034,0.447368421053
Jonathon Simmons,26,SAS,NBA,2015-16,55,2,813,122,242,104,195,18,47,69,92,16,80,96,58,24,5,53,103,331,0.504132231405,0.533333333333,0.382978723404,0.75,0.54132231405
Jordan Adams,20,MEM,NBA,2014-15,30,0,248,35,86,25,61,10,25,14,23,9,19,28,16,16,7,14,24,94,0.406976744186,0.409836065574,0.4,0.608695652174,0.46511627907
Jordan Clarkson,22,LAL,NBA,2014-15,59,38,1476,267,596,229,475,38,121,131,158,56,135,191,206,51,12,96,109,703,0.447986577181,0.482105263158,0.314049586777,0.829113924051,0.479865771812
Jordan Crawford,22,TOT,NBA,2010-11,42,18,1027,192,500,159,372,33,128,73,84,31,74,105,117,39,3,83,63,490,0.384,0.427419354839,0.2578125,0.869047619048,0.417
Jordan Hamilton,21,DEN,NBA,2011-12,26,2,258,48,111,31,64,17,47,2,5,11,51,62,20,4,3,16,15,115,0.432432432432,0.484375,0.36170212766,0.4,0.509009009009
Jordan McRae,24,TOT,NBA,2015-16,22,1,195,34,78,24,56,10,22,21,28,4,16,20,25,3,1,15,17,99,0.435897435897,0.428571428571,0.454545454545,0.75,0.5
Jordan Mickey,21,BOS,NBA,2015-16,16,0,57,8,22,8,22,0,0,5,10,6,7,13,1,0,11,1,5,21,0.363636363636,0.363636363636,0.0,0.5,0.363636363636
Jordan Williams,21,NJN,NBA,2011-12,43,5,635,77,152,77,152,0,0,43,66,66,90,156,11,21,15,23,61,197,0.506578947368,0.506578947368,0.0,0.651515151515,0.506578947368
Jorge Gutierrez,25,BRK,NBA,2013-14,15,2,244,25,54,22,42,3,12,9,12,3,19,22,30,10,1,14,37,62,0.462962962963,0.52380952381,0.25,0.75,0.490740740741
Josh Harrellson,22,NYK,NBA,2011-12,37,4,540,63,149,43,90,20,59,16,26,47,97,144,11,23,20,20,48,162,0.422818791946,0.477777777778,0.338983050847,0.615384615385,0.489932885906
Josh Huestis,24,OKC,NBA,2015-16,5,0,55,5,12,1,6,4,6,0,4,2,8,10,0,1,2,3,3,14,0.416666666667,0.166666666667,0.666666666667,0.0,0.583333333333
Josh Richardson,22,MIA,NBA,2015-16,52,2,1107,123,272,70,157,53,115,42,63,21,86,107,73,36,25,35,107,341,0.452205882353,0.445859872611,0.460869565217,0.666666666667,0.549632352941
Josh Selby,20,MEM,NBA,2011-12,28,0,237,25,72,23,57,2,15,11,14,2,13,15,30,7,0,29,17,63,0.347222222222,0.40350877193,0.133333333333,0.785714285714,0.361111111111
Julius Randle,20,LAL,NBA,2014-15,1,0,14,1,3,1,3,0,0,0,2,0,0,0,0,0,0,1,1,2,0.333333333333,0.333333333333,0.0,0.0,0.333333333333
Julyan Stone,23,DEN,NBA,2011-12,22,2,179,13,31,11,20,2,11,8,11,5,20,25,37,8,6,11,18,36,0.41935483871,0.55,0.181818181818,0.727272727273,0.451612903226
Justin Anderson,22,DAL,NBA,2015-16,55,9,647,71,175,49,92,22,83,44,55,18,114,132,29,19,25,24,45,208,0.405714285714,0.532608695652,0.265060240964,0.8,0.468571428571
Justin Hamilton,23,TOT,NBA,2013-14,8,0,72,9,20,6,11,3,9,5,5,4,3,7,0,5,0,4,8,26,0.45,0.545454545455,0.333333333333,1.0,0.525
Justin Harper,22,ORL,NBA,2011-12,14,0,84,9,31,7,18,2,13,0,1,3,9,12,2,2,3,6,5,20,0.290322580645,0.388888888889,0.153846153846,0.0,0.322580645161
Justin Holiday,23,PHI,NBA,2012-13,9,0,142,16,48,12,32,4,16,6,8,0,14,14,15,3,6,9,7,42,0.333333333333,0.375,0.25,0.75,0.375
Justise Winslow,19,MIA,NBA,2015-16,78,8,2232,195,462,163,346,32,116,80,117,81,322,403,117,68,26,95,184,502,0.422077922078,0.471098265896,0.275862068966,0.683760683761,0.45670995671
K.J. McDaniels,21,TOT,NBA,2014-15,62,15,1352,172,434,129,284,43,150,100,133,65,135,200,72,44,70,105,126,487,0.396313364055,0.454225352113,0.286666666667,0.751879699248,0.445852534562
Kalin Lucas,25,MEM,NBA,2014-15,1,0,6,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Karl-Anthony Towns,20,MIN,NBA,2015-16,82,82,2627,625,1153,595,1065,30,88,223,275,229,629,858,161,58,138,183,245,1503,0.542064180399,0.558685446009,0.340909090909,0.810909090909,0.555073720729
Kawhi Leonard,20,SAS,NBA,2011-12,64,39,1534,199,404,158,295,41,109,68,88,104,223,327,70,85,24,44,88,507,0.492574257426,0.535593220339,0.376146788991,0.772727272727,0.543316831683
Kay Felder,21,CLE,NBA,2016-17,42,0,386,62,158,55,136,7,22,35,49,3,38,41,58,18,7,31,38,166,0.392405063291,0.404411764706,0.318181818182,0.714285714286,0.414556962025
Keith Appling,23,ORL,NBA,2015-16,5,0,27,2,8,2,5,0,3,2,2,0,1,1,1,1,0,3,5,6,0.25,0.4,0.0,1.0,0.25
Keith Benson,23,GSW,NBA,2011-12,3,0,9,0,1,0,1,0,0,0,0,2,1,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kelly Olynyk,22,BOS,NBA,2013-14,70,9,1400,234,502,194,388,40,114,99,122,140,225,365,109,35,27,106,227,607,0.466135458167,0.5,0.350877192982,0.811475409836,0.505976095618
Kelly Oubre,20,WAS,NBA,2015-16,63,9,671,90,211,65,132,25,79,31,49,25,108,133,13,22,7,34,100,236,0.42654028436,0.492424242424,0.316455696203,0.632653061224,0.485781990521
Kemba Walker,21,CHA,NBA,2011-12,66,25,1792,281,767,212,541,69,226,168,213,30,204,234,289,60,20,119,79,799,0.366362451108,0.391866913124,0.305309734513,0.788732394366,0.411342894394
Kendall Marshall,21,PHO,NBA,2012-13,48,3,702,56,151,33,78,23,73,8,14,4,38,42,143,22,4,57,48,143,0.370860927152,0.423076923077,0.315068493151,0.571428571429,0.44701986755
Kenneth Faried,22,DEN,NBA,2011-12,46,39,1037,181,309,181,309,0,0,109,164,142,210,352,36,34,47,54,116,471,0.585760517799,0.585760517799,0.0,0.664634146341,0.585760517799
Kent Bazemore,23,GSW,NBA,2012-13,61,0,267,43,116,33,82,10,34,27,44,5,17,22,22,17,4,18,27,123,0.370689655172,0.40243902439,0.294117647059,0.613636363636,0.413793103448
Kentavious Caldwell-Pope,20,DET,NBA,2013-14,80,41,1583,182,460,123,275,59,185,47,61,38,118,156,55,75,12,28,145,470,0.395652173913,0.447272727273,0.318918918919,0.770491803279,0.459782608696
Kevin Jones,23,CLE,NBA,2012-13,32,0,334,43,107,43,107,0,0,9,15,38,40,78,10,9,5,8,25,95,0.401869158879,0.401869158879,0.0,0.6,0.401869158879
Kevin Murphy,22,UTA,NBA,2012-13,17,0,52,7,28,6,23,1,5,0,0,0,4,4,2,1,0,3,4,15,0.25,0.260869565217,0.2,0.0,0.267857142857
Kevon Looney,19,GSW,NBA,2015-16,5,0,21,4,7,3,5,1,2,0,0,4,6,10,0,0,0,1,2,9,0.571428571429,0.6,0.5,0.0,0.642857142857
Khris Middleton,21,DET,NBA,2012-13,27,0,475,62,141,48,96,14,45,27,32,4,46,50,28,15,4,11,53,165,0.439716312057,0.5,0.311111111111,0.84375,0.489361702128
Kim English,24,DET,NBA,2012-13,41,0,407,42,112,28,62,14,50,21,29,8,29,37,26,16,3,19,46,119,0.375,0.451612903226,0.28,0.724137931034,0.4375
Klay Thompson,21,GSW,NBA,2011-12,66,29,1608,318,718,207,450,111,268,79,91,24,137,161,133,49,20,103,155,826,0.442896935933,0.46,0.414179104478,0.868131868132,0.520194986072
Kris Dunn,22,MIN,NBA,2016-17,78,7,1333,118,313,97,240,21,73,36,59,24,142,166,188,78,36,89,178,293,0.376996805112,0.404166666667,0.287671232877,0.610169491525,0.41054313099
Kris Joseph,24,TOT,NBA,2012-13,10,0,54,2,14,2,11,0,3,5,8,1,6,7,1,3,0,2,3,9,0.142857142857,0.181818181818,0.0,0.625,0.142857142857
Kyle Anderson,21,SAS,NBA,2014-15,33,8,358,31,89,28,78,3,11,9,14,5,67,72,28,15,7,10,28,74,0.348314606742,0.358974358974,0.272727272727,0.642857142857,0.365168539326
Kyle O'Quinn,22,ORL,NBA,2012-13,57,5,638,101,197,101,196,0,1,30,45,65,144,209,52,11,26,37,107,232,0.51269035533,0.515306122449,0.0,0.666666666667,0.51269035533
Kyle Singler,24,DET,NBA,2012-13,82,74,2293,275,642,205,442,70,200,100,124,109,221,330,77,57,37,98,217,720,0.428348909657,0.463800904977,0.35,0.806451612903,0.482866043614
Kyle Wiltjer,24,HOU,NBA,2016-17,14,0,44,4,14,0,1,4,13,1,2,4,6,10,2,3,1,5,4,13,0.285714285714,0.0,0.307692307692,0.5,0.428571428571
Kyrie Irving,19,CLE,NBA,2011-12,51,51,1558,350,747,277,564,73,183,171,196,44,147,191,275,54,20,160,110,944,0.468540829987,0.491134751773,0.398907103825,0.872448979592,0.517402945114
Lamar Patterson,24,ATL,NBA,2015-16,35,0,395,28,80,16,31,12,49,16,22,4,46,50,39,9,2,23,45,84,0.35,0.516129032258,0.244897959184,0.727272727273,0.425
Lance Stephenson,20,IND,NBA,2010-11,12,0,115,13,39,13,34,0,5,11,14,1,17,18,21,4,0,16,14,37,0.333333333333,0.382352941176,0.0,0.785714285714,0.333333333333
Lance Thomas,23,NOH,NBA,2011-12,42,10,630,57,126,57,125,0,1,52,62,49,77,126,12,10,7,24,78,166,0.452380952381,0.456,0.0,0.838709677419,0.452380952381
Landry Fields,22,NYK,NBA,2010-11,82,81,2541,299,602,213,383,86,219,113,147,105,416,521,155,80,17,107,114,797,0.496677740864,0.556135770235,0.392694063927,0.768707482993,0.568106312292
Langston Galloway,23,NYK,NBA,2014-15,45,41,1457,204,511,142,335,62,176,63,78,37,153,190,150,52,12,61,129,533,0.399217221135,0.423880597015,0.352272727273,0.807692307692,0.45988258317
Larry Drew,24,PHI,NBA,2014-15,12,1,219,20,58,16,32,4,26,2,3,1,14,15,45,6,0,25,13,46,0.344827586207,0.5,0.153846153846,0.666666666667,0.379310344828
Larry Sanders,22,MIL,NBA,2010-11,60,12,872,116,268,116,268,0,0,28,50,59,119,178,16,22,72,38,117,260,0.432835820896,0.432835820896,0.0,0.56,0.432835820896
Lavoy Allen,22,PHI,NBA,2011-12,41,15,624,79,167,79,167,0,0,11,14,47,124,171,34,13,18,20,73,169,0.473053892216,0.473053892216,0.0,0.785714285714,0.473053892216
Lazar Hayward,24,MIN,NBA,2010-11,42,0,419,55,154,38,94,17,60,33,42,23,47,70,28,12,7,19,44,160,0.357142857143,0.404255319149,0.283333333333,0.785714285714,0.412337662338
Lorenzo Brown,23,PHI,NBA,2013-14,26,0,224,26,86,23,56,3,30,9,13,8,20,28,41,13,3,16,19,64,0.302325581395,0.410714285714,0.1,0.692307692308,0.31976744186
Luke Babbitt,21,POR,NBA,2010-11,24,0,137,15,55,12,39,3,16,3,9,6,24,30,6,2,2,8,15,36,0.272727272727,0.307692307692,0.1875,0.333333333333,0.3
Luke Harangody,23,TOT,NBA,2010-11,49,0,640,79,206,63,140,16,66,19,26,40,103,143,30,15,17,16,80,193,0.383495145631,0.45,0.242424242424,0.730769230769,0.422330097087
Maalik Wayns,21,TOT,NBA,2012-13,27,1,202,26,88,19,57,7,31,17,19,1,6,7,27,6,0,15,26,76,0.295454545455,0.333333333333,0.225806451613,0.894736842105,0.335227272727
Malachi Richardson,21,SAC,NBA,2016-17,22,0,198,28,68,20,40,8,28,15,19,3,20,23,11,5,1,8,23,79,0.411764705882,0.5,0.285714285714,0.789473684211,0.470588235294
Malcolm Brogdon,24,MIL,NBA,2016-17,75,28,1982,290,635,212,442,78,193,109,126,47,166,213,317,84,12,113,140,767,0.456692913386,0.47963800905,0.40414507772,0.865079365079,0.51811023622
Malcolm Delaney,27,ATL,NBA,2016-17,73,2,1248,145,388,119,278,26,110,75,93,11,113,124,193,39,1,95,112,391,0.373711340206,0.428057553957,0.236363636364,0.806451612903,0.407216494845
Malcolm Lee,21,MIN,NBA,2011-12,19,0,243,23,59,21,49,2,10,14,17,9,17,26,31,8,4,17,22,62,0.389830508475,0.428571428571,0.2,0.823529411765,0.406779661017
Malcolm Thomas,23,SAS,NBA,2011-12,3,0,15,0,3,0,3,0,0,1,2,1,2,3,1,1,1,0,0,1,0.0,0.0,0.0,0.5,0.0
Malik Beasley,20,DEN,NBA,2016-17,22,1,165,33,73,24,45,9,28,8,10,5,12,17,11,7,0,8,10,83,0.452054794521,0.533333333333,0.321428571429,0.8,0.513698630137
Manny Harris,21,CLE,NBA,2010-11,54,15,933,108,289,74,197,34,92,71,93,36,104,140,85,31,7,63,65,321,0.373702422145,0.375634517766,0.369565217391,0.763440860215,0.432525951557
Marcus Georges-Hunt,22,ORL,NBA,2016-17,5,0,48,2,7,1,5,1,2,9,10,1,8,9,3,1,0,2,5,14,0.285714285714,0.2,0.5,0.9,0.357142857143
Marcus Morris,22,HOU,NBA,2011-12,17,0,126,16,54,14,37,2,17,6,8,5,11,16,3,2,2,4,12,40,0.296296296296,0.378378378378,0.117647058824,0.75,0.314814814815
Marcus Smart,20,BOS,NBA,2014-15,67,38,1808,175,477,84,205,91,272,82,127,61,161,222,208,99,18,90,176,523,0.366876310273,0.409756097561,0.334558823529,0.645669291339,0.462264150943
Markel Brown,23,BRK,NBA,2014-15,47,29,781,76,210,59,146,17,64,47,57,16,91,107,39,31,12,27,57,216,0.361904761905,0.404109589041,0.265625,0.824561403509,0.402380952381
Markieff Morris,22,PHO,NBA,2011-12,63,7,1227,174,436,131,312,43,124,76,106,69,210,279,65,41,42,70,179,467,0.399082568807,0.419871794872,0.346774193548,0.716981132075,0.448394495413
