Player,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,eFG%,TS%,3PAr,FTr
A.J. Guyton,96,3260,559,1240,355,736,204,504,241,302,0,0,317,285,91,44,218,111,1563,0,8.2,3.6,11.9,0,0,0,0,0,0,0,13.6,0,0,0,0,6.858895706,15.21472393,4.355828221,9.030674847,2.503067485,6.18404908,2.957055215,3.705521472,0,0,3.889570552,3.496932515,1.116564417,0.539877301,2.674846626,1.36196319,19.17791411,0.533064516,56.9241303,0.406451613,0.243548387
A.J. Hammons,132,3201,613,1138,607,1115,6,23,361,523,314,616,930,104,50,343,271,325,1593,1448,6.9,6.8,13.8,25.47482037,11.3265542,21.72930334,16.59309591,7.49740706,0.96972821,11.14033115,16.42189941,26.14707904,1.183786317,6.818275539,7.977507029,7.660106217,14.22055608,7.585129647,13.93314589,0.07497657,0.287410184,4.511090284,6.535457669,3.923773821,7.697594502,11.62136832,1.299593877,0.624804749,4.286160575,3.386441737,4.061230865,19.90627929,0.541300527,58.21857732,0.020210896,0.459578207
Aaron Brooks,115,3759,500,1164,295,616,205,548,306,367,0,0,397,470,127,16,0,0,1511,0,7.7,4.5,12.2,0,0,0,0,0,0,0,0,0,0,0,0,5.32056398,12.38627294,3.139132748,6.554934823,2.181431232,5.831338122,3.256185156,3.905293961,0,0,4.2245278,5.001330141,1.351423251,0.170258047,0,0,16.07874435,0.517611684,56.99821951,0.470790378,0.315292096
Aaron Gordon,38,1187,189,382,173,337,16,45,76,180,102,201,303,75,34,39,55,90,470,469,2.1,3.3,5.4,20.4,10.4,19.3,14.9,13,1.8,3.4,10.5,23.2,2.8,6.7,9.6,6.368997473,12.87278854,5.829823083,11.35636057,0.539174389,1.51642797,2.561078349,6.065711879,3.437236731,6.773378265,10.210615,2.527379949,1.145745577,1.314237574,1.853411963,3.032855939,15.83824768,0.515706806,50.95403296,0.117801047,0.471204188
Aaron Gray,113,2360,434,789,434,789,0,0,241,405,0,0,790,147,41,130,0,0,1109,0,5.6,9.3,15,0,0,0,0,0,0,0,0,0,0,0,0,7.355932203,13.37288136,7.355932203,13.37288136,0,0,4.084745763,6.86440678,0,0,13.38983051,2.491525424,0.694915254,2.203389831,0,0,18.79661017,0.550063371,57.33043838,0,0.513307985
Aaron Harrison,79,2307,320,781,199,420,121,361,218,277,40,178,218,129,86,18,100,146,979,887,5.8,4.3,10.3,17.44815778,2.12592111,8.409276116,5.461118336,11.38240139,2.304638058,0.769440832,9.902730819,22.3574339,5.312960555,2.413914174,7.726874729,5.548331166,13.54139575,3.450368444,7.282184655,2.097962722,6.259211097,3.779800607,4.802774166,0.693541396,3.086259211,3.779800607,2.236671001,1.491114001,0.312093628,1.733853489,2.531426095,16.97442566,0.487195903,54.21539961,0.462227913,0.354673496
Acie Law,122,3760,605,1298,491,979,114,319,345,454,0,0,379,545,156,2,0,0,1669,0,7.9,5.7,13.6,0,0,0,0,0,0,0,0,0,0,0,0,6.436170213,13.80851064,5.223404255,10.41489362,1.212765957,3.393617021,3.670212766,4.829787234,0,0,4.031914894,5.79787234,1.659574468,0.021276596,0,0,17.75531915,0.510015408,55.71653669,0.245762712,0.349768875
Adam Harrington,91,2435,363,928,168,371,195,557,215,294,0,0,295,167,105,21,0,0,1136,0,4.3,3.3,7.6,0,0,0,0,0,0,0,0,0,0,0,0,5.963039014,15.24435318,2.759753593,6.094455852,3.203285421,9.149897331,3.531827515,4.829568789,0,0,4.845995893,2.743326489,1.724845996,0.344969199,0,0,18.66119097,0.496228448,53.71869562,0.600215517,0.316810345
Adam Morrison,95,2908,669,1329,541,981,128,348,401,527,0,0,485,188,66,35,0,0,1867,0,10.5,3.6,14.1,0,0,0,0,0,0,0,0,0,0,0,0,9.202200825,18.28060523,7.441540578,13.49381018,1.760660248,4.786795048,5.515818432,7.248968363,0,0,6.671251719,2.585969739,0.90784044,0.481430536,0,0,25.68088033,0.551542513,59.80600687,0.261851016,0.396538751
Adonis Thomas,55,1511,223,523,182,397,41,126,102,137,69,153,222,84,35,39,82,76,589,557,2.4,2.2,4.6,15.80966248,4.702250165,12.20966248,8.650562541,8.276637988,1.369887492,2.959099934,13.09774983,20.94315023,0.878424884,1.659099934,2.537524818,5.903375248,13.84513567,4.818001324,10.50959629,1.085373925,3.335539378,2.700198544,3.62673726,1.826604897,4.050297816,5.876902713,2.223692919,0.926538716,1.032428855,2.170747849,2.011912641,15.59232296,0.465583174,50.49033054,0.240917782,0.261950287
Adreian Payne,138,2759,447,850,386,701,61,149,277,367,211,524,735,85,76,141,187,297,1232,1117,7,6.2,13.2,20.87549837,10.48568322,21.50065241,16.06067416,5.171221457,1.831061979,7.067741935,17.02098586,20.71649148,1.359514317,5.295070678,6.654584995,6.480608916,12.32330555,5.596230518,10.16310257,0.884378398,2.160202972,4.015947807,5.320768394,3.059079377,7.596955419,10.6560348,1.232330555,1.101848496,2.04421892,2.71112722,4.305907938,17.86154404,0.561764706,60.90085815,0.175294118,0.431764706
Al Horford,109,2798,424,724,424,720,0,4,275,444,0,0,864,187,94,189,0,0,1123,0,7,10,17.1,0,0,0,0,0,0,0,0,0,0,0,0,6.06147248,10.35025018,6.06147248,10.29306648,0,0.057183703,3.931379557,6.347390994,0,0,12.35167977,2.673338099,1.343817012,2.70192995,0,0,16.05432452,0.585635359,61.07509572,0.005524862,0.613259669
Al Thornton,124,2723,546,1034,483,890,63,144,366,522,0,0,641,87,103,740,0,0,1521,0,8.9,4.6,13.6,0,0,0,0,0,0,0,0,0,0,0,0,8.020565553,15.18912964,7.095115681,13.07381564,0.925449871,2.115313992,5.376423063,7.668013221,0,0,9.4160852,1.278002203,1.513037091,10.87036357,0,0,22.34300404,0.558510638,60.18137503,0.13926499,0.50483559
Al-Farouq Aminu,31,970,167,374,149,308,18,66,139,199,133,199,332,41,44,44,99,91,491,488,2,2.2,4.3,24.4,14.6,20.5,17.6,9.1,2.6,4.5,17.4,27.5,0,0,0,6.886597938,15.42268041,6.144329897,12.70103093,0.742268041,2.721649485,5.731958763,8.206185567,5.484536082,8.206185567,13.69072165,1.690721649,1.81443299,1.81443299,4.082474227,3.75257732,20.24742268,0.470588235,53.1891845,0.176470588,0.532085561
Alan Anderson,126,3380,384,763,336,632,48,131,379,456,0,0,524,307,101,23,0,0,1195,0,8.4,4.4,12.9,0,0,0,0,0,0,0,0,0,0,0,0,4.544378698,9.029585799,3.976331361,7.479289941,0.568047337,1.550295858,4.485207101,5.396449704,0,0,6.201183432,3.633136095,1.195266272,0.272189349,0,0,14.14201183,0.534731324,62.004483,0.171690695,0.597640891
Alan Williams,112,3026,637,1295,637,1292,0,3,458,649,403,722,1125,117,108,216,196,310,1732,1653,10.2,6.7,16.9,30.56553206,17.06999339,27.6629544,22.41278916,9.49322538,2.177032386,8.208195638,10.72752809,30.51354924,1.315994712,3.38215466,4.698149372,8.420356907,17.118308,8.420356907,17.07865169,0,0.039656312,6.05419696,8.578982155,5.327164574,9.543952412,14.87111699,1.546596167,1.427627231,2.855254461,2.590879048,4.097818903,22.89491077,0.491891892,54.79070709,0.002316602,0.501158301
Alando Tucker,134,4297,798,1663,697,1334,101,329,520,817,0,0,769,213,104,29,0,0,2217,0,9.3,9.2,18.4,0,0,0,0,0,0,0,0,0,0,0,0,7.428438445,15.48056784,6.488247615,12.41796602,0.940190831,3.062601815,4.840586456,7.605306027,0,0,7.158482662,1.982778683,0.968117291,0.269955783,0,0,20.63765418,0.510222489,54.80894743,0.197835238,0.491280818
Alec Burks,68,2100,423,855,376,705,47,150,398,495,149,248,397,165,76,24,157,163,1291,1260,9.2,1.6,10.8,27.84514286,8.811285714,13.67704762,11.32257143,17.00857143,2.086380952,1.172761905,12.5272381,30.05409524,4.147095238,-0.056809524,4.090285714,8.057142857,16.28571429,7.161904762,13.42857143,0.895238095,2.857142857,7.580952381,9.428571429,2.838095238,4.723809524,7.561904762,3.142857143,1.447619048,0.457142857,2.99047619,3.104761905,24.59047619,0.522222222,60.16964952,0.175438596,0.578947368
Alex Acker,88,3023,449,983,329,691,120,292,255,310,0,0,495,249,133,38,0,0,1273,0,5.9,3.1,9,0,0,0,0,0,0,0,0,0,0,0,0,5.941118095,13.00694674,4.353291432,9.143235197,1.587826662,3.863711545,3.374131657,4.101885544,0,0,6.549784982,3.294740324,1.759841217,0.502811776,0,0,16.84419451,0.517802645,56.8608183,0.297049847,0.315361139
Alex Kirk,101,2552,386,791,351,652,35,139,203,297,191,494,685,64,36,168,132,229,1010,934,4.7,5.3,9.9,18.78855799,9.142907524,22.26559561,15.86367555,5.137695925,0.939890282,6.522413793,12.59753135,20.96559561,0.241810345,4.040987461,4.262852665,6.05015674,12.39811912,5.501567398,10.21943574,0.548589342,2.178683386,3.181818182,4.655172414,2.993730408,7.742946708,10.73667712,1.003134796,0.564263323,2.63322884,2.068965517,3.589341693,15.830721,0.51011378,54.79125076,0.175726928,0.375474083
Alex Len,60,1470,225,418,224,409,1,9,132,199,145,272,417,50,12,125,93,155,583,565,3.5,2.6,6.1,22.12244898,11.80517007,21.22190476,16.53428571,7.229387755,0.5,8.634013605,15.9847619,20.7077551,1.463673469,5.204897959,6.668571429,6.12244898,11.37414966,6.095238095,11.1292517,0.027210884,0.244897959,3.591836735,5.414965986,3.945578231,7.401360544,11.34693878,1.360544218,0.326530612,3.401360544,2.530612245,4.217687075,15.86394558,0.539473684,57.65883377,0.0215311,0.476076555
Alex Poythress,112,2480,356,646,327,550,29,96,225,328,201,396,597,51,44,76,149,302,966,902,5.8,4.3,10.1,16.87524194,9.968629032,15.75298387,12.98629032,3.961532258,1.061854839,4.362419355,15.64612903,18.8983871,1.801370968,3.176451613,5.00733871,5.741935484,10.41935484,5.274193548,8.870967742,0.467741935,1.548387097,3.629032258,5.290322581,3.241935484,6.387096774,9.629032258,0.822580645,0.709677419,1.225806452,2.403225806,4.870967742,15.58064516,0.573529412,61.11448527,0.148606811,0.507739938
Alex Scales,62,1909,343,799,239,477,104,322,157,207,0,0,317,176,70,36,0,0,947,0,3.5,2.9,6.4,0,0,0,0,0,0,0,0,0,0,0,0,7.187008905,16.74174961,5.007857517,9.994761655,2.179151388,6.746987952,3.289680461,4.337349398,0,0,6.642221058,3.687794657,1.466736511,0.754321634,0,0,19.84284966,0.49436796,53.1974654,0.403003755,0.259073842
Alex Stepheson,62,1841,233,450,233,450,0,0,103,204,204,310,514,14,17,83,101,143,569,572,2.3,3.7,6,17.33927213,14.47202607,19.24942966,16.86072787,2.071645845,0.517816404,5.621835959,15.91455731,20.01493753,-0.196360674,1.021075502,0.824714829,5.062466051,9.777294948,5.062466051,9.777294948,0,0,2.237914177,4.43237371,4.43237371,6.735469853,11.16784356,0.30418251,0.369364476,1.803367735,2.194459533,3.107007061,12.36284628,0.517777778,52.70861123,0,0.453333333
Alexander Johnson,92,1935,306,589,294,550,12,39,276,414,0,0,482,64,81,66,0,0,900,0,4.7,4.3,9,0,0,0,0,0,0,0,0,0,0,0,0,6.325581395,12.17571059,6.07751938,11.36950904,0.248062016,0.80620155,5.705426357,8.558139535,0,0,9.963824289,1.322997416,1.674418605,1.364341085,0,0,18.60465116,0.529711375,58.35364905,0.066213922,0.702886248
Allan Ray,130,4020,658,1618,346,768,312,850,397,484,0,0,419,255,138,18,0,0,2025,0,8.9,5.1,14,0,0,0,0,0,0,0,0,0,0,0,0,6.547263682,16.09950249,3.44278607,7.641791045,3.104477612,8.457711443,3.950248756,4.815920398,0,0,4.169154229,2.537313433,1.373134328,0.179104478,0,0,20.14925373,0.503090235,55.29885961,0.525339926,0.299134734
Allen Crabbe,98,3402,533,1195,324,648,209,547,262,320,85,474,559,219,84,57,182,165,1537,1380,8.6,4.9,13.6,19.90455614,3.051940035,16.57757202,10.00097002,13.43339212,1.454232804,1.725455614,11.74226925,22.94979424,5.264638448,2.135126396,7.398677249,6.266901822,14.0505585,3.80952381,7.619047619,2.457378013,6.431510876,3.080540858,3.762492651,0.999412111,5.57319224,6.57260435,2.574955908,0.987654321,0.670194004,2.139917695,1.940035273,18.07172252,0.533472803,57.53106753,0.457740586,0.267782427
Alton Ford,26,663,95,220,86,186,9,34,81,133,0,0,154,17,5,19,66,97,280,0,0.5,0.7,1.2,0,0,0,0,0,0,0,18.9,0,0,0,0,5.731523379,13.27300151,5.188536953,11.22171946,0.542986425,2.051282051,4.886877828,8.02413273,0,0,9.291101056,1.025641026,0.301659125,1.146304676,3.981900452,5.852187029,16.89291101,0.452272727,50.26569008,0.154545455,0.604545455
Alvin Jones,91,2871,370,760,370,757,0,3,348,603,0,0,855,142,70,284,269,273,1088,0,3.4,7.4,10.8,0,0,0,0,0,0,0,20.4,0,0,0,0,5.154998258,10.58864507,5.154998258,10.54684779,0,0.041797283,4.848484848,8.401253919,0,0,11.91222571,1.978404737,0.975269941,3.956809474,3.747823058,3.803552769,15.15848137,0.486842105,53.05660672,0.003947368,0.793421053
Andre Barrett,122,4296,626,1510,382,814,244,696,365,472,0,0,446,662,173,11,0,0,1861,0,7.8,6.5,14.3,0,0,0,0,0,0,0,20.4,0,0,0,0,5.82867784,14.05959032,3.55679702,7.579143389,2.271880819,6.480446927,3.398510242,4.394785847,0,0,4.152700186,6.163873371,1.610800745,0.102420857,0,0,17.32774674,0.495364238,54.17190629,0.460927152,0.312582781
Andre Brown,107,3100,448,893,448,891,0,2,250,478,0,0,855,55,77,70,0,0,1146,0,2.9,5.5,8.4,0,0,0,0,0,0,0,0,0,0,0,0,5.780645161,11.52258065,5.780645161,11.49677419,0,0.025806452,3.225806452,6.167741935,0,0,11.03225806,0.709677419,0.993548387,0.903225806,0,0,14.78709677,0.501679731,51.93416235,0.002239642,0.535274356
Andre Dawkins,142,2468,330,763,99,195,231,568,123,160,32,194,226,66,61,13,88,200,1014,834,6.3,3.2,9.5,16.56211507,1.470421394,9.105429498,5.293841167,5.149027553,1.545137763,0.595259319,9.176094003,19.81057536,4.682860616,-0.354619125,4.328241491,5.348460292,12.36628849,1.604538088,3.160453809,3.743922204,9.205834684,1.993517018,2.593192869,0.518638574,3.144246353,3.662884927,1.069692058,0.988654781,0.210696921,1.426256078,3.241491086,16.43435981,0.583879423,60.83513319,0.744429882,0.209698558
Andre Drummond,34,967,157,292,157,290,0,2,26,88,114,143,257,15,28,92,52,75,340,328,1.4,1.5,2.9,21.9,14.2,17,15.6,3.4,1.8,9.9,13.5,20.9,0.7,5.3,6,6.494312306,12.07859359,6.494312306,11.9958635,0,0.082730093,1.07549121,3.640124095,4.715615305,5.915201655,10.63081696,0.620475698,1.158221303,3.805584281,2.15098242,3.10237849,14.06411582,0.537671233,51.40299952,0.006849315,0.301369863
Andre Emmett,128,4140,882,1765,828,1592,54,173,438,623,0,0,765,201,164,43,0,0,2256,0,9.4,8.2,17.6,0,0,0,0,0,0,0,0,0,0,0,0,8.52173913,17.0531401,8,15.38164251,0.52173913,1.671497585,4.231884058,6.019323672,0,0,7.391304348,1.942028986,1.584541063,0.415458937,0,0,21.79710145,0.515014164,55.31798031,0.098016997,0.352974504
Andre Iguodala,62,1576,205,483,173,366,32,117,152,206,0,0,409,213,95,29,0,0,594,0,1.4,4,5.4,0,0,0,0,0,0,0,0,0,0,0,0,5.203045685,12.25888325,4.390862944,9.289340102,0.812182741,2.969543147,3.85786802,5.228426396,0,0,10.38071066,5.406091371,2.411167513,0.736040609,0,0,15.07614213,0.457556936,51.77463217,0.242236025,0.426501035
Andre Owens,117,3539,518,1346,270,617,248,729,263,357,0,0,486,258,121,17,0,0,1547,0,4.3,4.3,8.5,0,0,0,0,0,0,0,0,0,0,0,0,5.854761232,15.2133371,3.051709522,6.97372139,2.80305171,8.239615711,2.972591127,4.035038146,0,0,5.49307714,2.916077988,1.367617971,0.192144674,0,0,17.4851653,0.476968796,51.46100008,0.541604755,0.265230312
Andre Roberson,105,2970,382,741,332,598,50,143,198,340,309,736,1045,119,164,150,183,274,1012,1058,6.2,7.6,13.7,23.54744108,12.64383838,29.20276094,21.05757576,8.438922559,3.31013468,5.449494949,16.90996633,18.94986532,3.052996633,6.498888889,9.551885522,5.144781145,9.97979798,4.471380471,8.053872054,0.673400673,1.925925926,2.666666667,4.579124579,4.161616162,9.912457912,14.07407407,1.602693603,2.208754209,2.02020202,2.464646465,3.69023569,13.62962963,0.54925776,56.81562991,0.192982456,0.458839406
Andrew Bogut,68,2226,449,744,436,708,13,36,215,319,0,0,753,155,48,109,0,0,1126,0,9.4,7.7,17.1,0,0,0,0,0,0,0,0,0,0,0,0,8.068283917,13.36927224,7.834681042,12.72237197,0.233602875,0.64690027,3.863432165,5.732255166,0,0,13.5309973,2.785265049,0.862533693,1.958670261,0,0,20.23360288,0.612231183,63.66185716,0.048387097,0.428763441
Andrew Goudelock,71,2512,568,1253,340,684,228,569,171,208,50,241,291,288,71,20,187,124,1535,1472,9.2,2,11.3,25.09323248,2.35183121,10.36648089,6.559156051,24.17125796,1.655493631,0.759156051,11.84140127,31.07914013,3.130971338,-1.252388535,1.926751592,9.044585987,19.9522293,5.414012739,10.89171975,3.630573248,9.060509554,2.722929936,3.312101911,0.796178344,3.837579618,4.633757962,4.585987261,1.130573248,0.318471338,2.977707006,1.974522293,24.44267516,0.544293695,57.08356886,0.454110136,0.166001596
Andrew Harrison,79,2261,222,597,153,409,69,188,285,367,45,168,213,298,61,17,173,189,798,861,4.4,3.9,8.3,15.58204334,2.271517028,8.1,5.36377709,25.03281734,1.840557276,0.812074303,17.72229102,21.3120743,3.844891641,2.737151703,6.582043344,3.927465723,10.56169836,2.706766917,7.2357364,1.220698806,3.325961964,5.042016807,6.492702344,0.796107917,2.972136223,3.76824414,5.272003538,1.07916851,0.30075188,3.060592658,3.343653251,14.11764706,0.429648241,52.60521042,0.314907873,0.614740369
Andrew Nicholson,93,2918,655,1151,626,1075,29,76,388,522,207,500,707,80,44,163,234,272,1727,1499,10.2,4.1,14.4,27.61291981,9.027964359,20.47179575,14.89705278,7.205209047,0.883207676,6.070185058,14.03046607,28.78666895,2.625154215,0.989033585,3.55013708,8.97875257,15.77793009,8.581220014,14.73612063,0.397532557,1.041809459,5.318711446,7.155586018,2.837559973,6.854009596,9.691569568,1.096641535,0.603152844,2.234407128,3.207676491,3.72858122,23.67374914,0.581668115,62.54164615,0.06602954,0.453518679
Andrew Wiggins,35,1148,189,422,146,296,43,126,176,227,76,129,205,54,41,34,80,94,597,564,3.2,1.7,4.9,21.4,8.4,12.3,10.4,9.2,2.1,3.1,13.1,26.3,5.4,3,8.5,6.585365854,14.70383275,5.087108014,10.31358885,1.49825784,4.390243902,6.132404181,7.909407666,2.648083624,4.494773519,7.142857143,1.881533101,1.428571429,1.18466899,2.787456446,3.275261324,20.80139373,0.498815166,57.19705679,0.298578199,0.537914692
Andy Rautins,35,1137,130,297,32,56,98,241,66,81,18,100,118,171,69,8,98,76,424,441,2.9,2.1,4.9,18.5,2,8.8,5.8,23.9,3.4,0.8,22.6,18.4,0,0,0,4.573438874,10.44854881,1.125769569,1.970096746,3.447669305,8.478452067,2.321899736,2.849604222,0.633245383,3.518029903,4.151275286,6.015831135,2.427440633,0.281442392,3.447669305,2.673702726,14.91644679,0.602693603,63.73256373,0.811447811,0.272727273
Anthony Bennett,35,950,202,379,166,283,36,96,124,177,86,199,285,34,24,43,65,80,564,488,3.5,2.2,5.7,28.3,10.3,24,17.1,8.8,1.5,4.6,12.3,27.5,5.3,3.2,8.5,8.505263158,15.95789474,6.989473684,11.91578947,1.515789474,4.042105263,5.221052632,7.452631579,3.621052632,8.378947368,12,1.431578947,1.010526316,1.810526316,2.736842105,3.368421053,23.74736842,0.580474934,61.72299072,0.253298153,0.46701847
Anthony Brown,144,4200,518,1211,300,670,218,541,308,410,139,552,691,231,99,23,228,257,1562,1478,8.1,5.9,13.9,16.2,3.9,15.8,9.8,11.4,1.4,0.6,14,20.1,3.3,1.7,5,4.933333333,11.53333333,2.857142857,6.380952381,2.076190476,5.152380952,2.933333333,3.904761905,1.323809524,5.257142857,6.580952381,2.2,0.942857143,0.219047619,2.171428571,2.447619048,14.87619048,0.517753922,56.13051603,0.446738233,0.338563171
Anthony Davis,40,1281,210,337,207,317,3,20,144,203,119,296,415,50,54,186,41,78,567,550,5.9,4.1,9.9,35.1,11.6,25.6,19,7.5,2.5,13.7,8.6,18.8,7.8,10.8,18.7,6.557377049,10.52302888,6.463700234,9.898516784,0.093676815,0.6245121,4.496487119,6.338797814,3.715846995,9.242779079,12.95862607,1.56128025,1.68618267,5.807962529,1.280249805,2.43559719,17.70491803,0.627596439,66.49934322,0.059347181,0.602373887
Anthony Grundy,121,3556,589,1362,425,869,164,493,299,422,0,0,538,356,239,29,0,0,1641,0,5.7,6.6,12.3,0,0,0,0,0,0,0,0,0,0,0,0,6.625421822,15.32058493,4.780652418,9.775028121,1.844769404,5.545556805,3.363329584,4.746906637,0,0,6.051743532,4.004499438,2.688413948,0.326209224,0,0,18.45894263,0.492657856,53.01483511,0.361967695,0.309838473
Anthony Morrow,123,2906,473,1082,215,469,258,613,196,226,0,0,403,119,99,26,0,0,1400,0,7.7,2.8,10.5,0,0,0,0,0,0,0,8.1,0,0,0,0,6.510667584,14.89332416,2.959394357,6.455609085,3.551273228,8.437715072,2.697866483,3.110805231,0,0,5.54714384,1.637990365,1.362697866,0.357880248,0,0,19.27047488,0.556377079,59.24972914,0.566543438,0.208872458
Anthony Randolph,31,1016,183,394,181,375,2,19,115,166,0,0,263,38,35,70,92,0,483,0,1.1,2.3,3.5,0,0,0,0,0,0,0,16.3,0,0,0,0,7.204724409,15.51181102,7.125984252,14.76377953,0.078740157,0.748031496,4.527559055,6.535433071,0,0,10.35433071,1.496062992,1.377952756,2.755905512,3.622047244,0,19.01574803,0.467005076,51.70863309,0.04822335,0.421319797
Anthony Roberson,29,620,50,94,48,86,2,8,33,64,63,83,146,19,19,17,22,77,135,153,0.9,1.2,2.1,14.8,11.7,16.1,13.8,6.1,1.9,3.2,15,12.4,-1,2.5,1.5,3.225806452,6.064516129,3.096774194,5.548387097,0.129032258,0.516129032,2.129032258,4.129032258,4.064516129,5.35483871,9.419354839,1.225806452,1.225806452,1.096774194,1.419354839,4.967741935,8.709677419,0.542553191,55.25540275,0.085106383,0.680851064
Anthony Tolliver,124,2662,354,721,333,658,21,63,275,410,0,0,603,135,77,136,0,0,1004,0,4.6,9,13.6,0,0,0,0,0,0,0,0,0,0,0,0,5.31930879,10.83395943,5.003756574,9.88730278,0.315552216,0.946656649,4.132231405,6.160781367,0,0,9.060856499,2.028549962,1.157024793,2.043576258,0,0,15.0864012,0.50554785,55.6911471,0.087378641,0.568654646
Antoine Wright,87,2793,467,1134,286,652,181,482,223,344,0,0,487,184,95,50,0,0,1338,0,3.8,4.6,8.5,0,0,0,0,0,0,0,0,0,0,0,0,6.688148944,16.2406015,4.095954171,9.337629789,2.592194773,6.902971715,3.193698532,4.92660222,0,0,6.974579305,2.635159327,1.360544218,0.716075904,0,0,19.16219119,0.491622575,52.04767536,0.425044092,0.30335097
Antonio Burks,91,2786,391,834,328,677,63,157,183,272,0,0,233,487,177,15,0,0,1028,0,4.2,6.6,10.7,0,0,0,0,0,0,0,0,0,0,0,0,5.613783202,11.9741565,4.709260589,9.720028715,0.904522613,2.254127782,2.627422828,3.905240488,0,0,3.345297918,6.992103374,2.541277818,0.215362527,0,0,14.75951184,0.506594724,53.89648519,0.1882494,0.326139089
Archie Goodwin,33,1048,157,357,140,293,17,64,135,212,48,104,152,88,36,15,101,97,466,467,1.6,1.5,3.1,16.9,5.6,11.2,8.5,16.8,2.1,1.4,18.1,27.2,1.2,1.2,2.4,5.992366412,13.6259542,5.34351145,11.18320611,0.648854962,2.442748092,5.152671756,8.091603053,1.832061069,3.969465649,5.801526718,3.358778626,1.374045802,0.572519084,3.854961832,3.702290076,17.78625954,0.463585434,51.74558053,0.179271709,0.593837535
Arinze Onuaku,32,728,153,229,153,229,0,0,30,70,67,97,164,20,29,35,43,85,336,285,1.9,1.5,3.4,22.8,11.5,13.3,12.5,5.1,2.2,5.2,14.1,20.2,0,0,0,8.406593407,12.58241758,8.406593407,12.58241758,0,0,1.648351648,3.846153846,3.681318681,5.32967033,9.010989011,1.098901099,1.593406593,1.923076923,2.362637363,4.67032967,18.46153846,0.668122271,64.66512702,0,0.305676856
Armon Johnson,34,1172,219,442,202,371,17,71,80,118,26,89,115,189,28,12,114,61,535,574,2.5,0.5,3,18.8,2.6,8,5.5,30.4,1.4,0.9,18.6,25.7,0,0,0,7.47440273,15.08532423,6.894197952,12.66211604,0.580204778,2.423208191,2.730375427,4.027303754,0.887372014,3.037542662,3.924914676,6.450511945,0.955631399,0.409556314,3.890784983,2.081911263,18.25938567,0.514705882,54.15856819,0.160633484,0.266968326
Arnett Moultrie,63,2028,311,604,294,546,17,58,178,242,175,359,534,76,70,50,143,139,817,805,4.4,3.7,8.1,21,10.3,20.6,15.5,7.5,2,2.6,16.7,21.9,4,0.9,4.8,6.134122288,11.91321499,5.798816568,10.76923077,0.33530572,1.143984221,3.510848126,4.773175542,3.451676529,7.08086785,10.53254438,1.499013807,1.380670611,0.986193294,2.820512821,2.741617357,16.11439842,0.52897351,57.4963405,0.09602649,0.400662252
Arron Afflalo,104,3396,519,1135,310,575,209,560,293,375,0,0,360,202,64,20,0,0,1540,0,9.7,4.1,13.8,0,0,0,0,0,0,0,0,0,0,0,0,6.113074205,13.36866902,3.651354535,6.772673734,2.46171967,6.595995289,3.451118963,4.416961131,0,0,4.240282686,2.379269729,0.753828033,0.23557126,0,0,18.13898704,0.549339207,59.23076923,0.49339207,0.330396476
Austin Rivers,34,1129,174,402,116,243,58,159,121,184,21,94,115,71,33,1,79,76,527,488,2.4,1,3.5,16.9,2.2,10,6,13,1.7,0.1,13.9,25.2,3.7,0,3.7,6.164747564,14.24269265,4.109831709,8.60938884,2.054915855,5.633303809,4.286979628,6.519043401,0.744021258,3.330380868,4.074402126,2.515500443,1.169176262,0.035429584,2.798937112,2.692648361,18.67139061,0.504975124,54.5593838,0.395522388,0.457711443
Avery Bradley,34,1003,159,368,117,256,42,112,36,66,33,65,98,71,44,18,52,80,396,374,1.6,1.6,3.2,14.9,3.5,6.6,5.1,12.4,2.4,1.6,11.5,20.4,0,0,0,6.340977069,14.67597208,4.666001994,10.20937188,1.674975075,4.466600199,1.435692921,2.632103689,1.316051844,2.59222333,3.908275174,2.831505484,1.754735793,0.717846461,2.073778664,3.190428714,15.79262213,0.489130435,49.86903083,0.304347826,0.179347826
Awvee Storey,85,1951,354,766,352,757,2,9,149,237,0,0,602,250,60,11,0,0,859,0,1.4,4.5,5.9,0,0,0,0,0,0,0,0,0,0,0,0,7.257816504,15.70476679,7.216811891,15.52024603,0.041004613,0.184520759,3.05484367,4.859046643,0,0,12.34238852,5.125576627,1.230138391,0.225525372,0,0,17.61148129,0.463446475,49.35193271,0.011749347,0.309399478
Ben Bentil,69,1928,321,705,260,517,61,188,251,330,173,261,434,61,39,48,107,186,954,886,4.9,2.8,7.7,17.7406639,11.07188797,15.10871369,13.02136929,6.570850622,1.027178423,2.416493776,13.40103734,22.20570539,2.538796681,1.551452282,4.090248963,6.659751037,14.62655602,5.394190871,10.72614108,1.265560166,3.900414938,5.20746888,6.846473029,3.589211618,5.414937759,9.004149378,1.265560166,0.809128631,0.995850622,2.219917012,3.858921162,19.79253112,0.49858156,56.10444601,0.266666667,0.468085106
