Player,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,eFG%,TS%,3PAr,FTr
Kawhi Leonard,70,2236,377,840,336,676,41,164,195,262,230,486,716,156,98,45,153,174,990,1015,6.1,5.7,11.8,24.92969589,12.58962433,24.9627907,18.95241503,14.42969589,2.747584973,2.233094812,13.82271914,26.02969589,2.044186047,2.725581395,4.769767442,6.744186047,15.02683363,6.010733453,12.09302326,0.733452594,2.933810376,3.488372093,4.686940966,4.114490161,8.694096601,12.80858676,2.790697674,1.75313059,0.805008945,2.737030411,3.112701252,17.71019678,0.473214286,51.81726824,0.195238095,0.311904762
Kay Felder,101,3626,554,1300,411,885,143,415,514,625,67,369,436,788,164,19,350,287,1765,2024,11.1,2.6,13.6,20.99271925,2.092829564,12.20573635,7.051792609,42.4122449,2.509100938,0.570159956,19.33745174,25.7815775,3.83524545,-1.179481522,2.655763927,6.11141754,14.34087148,4.533921677,9.762824049,1.577495863,4.578047435,5.670159956,6.894649752,0.739106453,4.070601213,4.809707667,8.692774407,1.809156095,0.209597352,3.861003861,3.166023166,19.4704909,0.481153846,56.03174603,0.319230769,0.480769231
Keith Appling,142,4229,491,1140,353,727,138,413,389,520,63,368,431,465,151,65,296,345,1509,1532,7.9,6.7,14.7,15.99508158,1.815441003,10.26296997,6.129605108,21.15433909,2.199456136,1.743367226,17.87346891,20.72137621,3.155166706,2.74183022,5.923055096,4.644123906,10.78269094,3.338850792,6.876330102,1.305273114,3.906360842,3.679356822,4.91842043,0.595885552,3.480728305,4.076613857,4.398202885,1.428233625,0.614802554,2.799716245,3.263182786,14.27287775,0.49122807,55.12127411,0.362280702,0.456140351
Keith Benson,70,2228,439,812,428,784,11,28,346,505,204,517,721,66,43,242,124,212,1235,1145,8.4,3.7,12.1,29.46108618,10.36449731,25.16790844,17.91193896,5.844030521,1.094883303,9.850852783,10.49317774,24.84914722,0.786355476,1.76929982,2.555655296,7.881508079,14.57809695,7.684021544,14.07540395,0.197486535,0.502692998,6.211849192,9.066427289,3.662477558,9.281867145,12.9443447,1.18491921,0.771992819,4.34470377,2.226211849,3.806104129,22.17235189,0.547413793,59.70798685,0.034482759,0.621921182
Keith Bogans,135,3913,671,1535,417,792,254,743,327,475,0,0,552,314,154,15,304,264,1923,0,8.2,6.8,14.9,0,0,0,0,0,0,0,14.7,0,0,0,0,6.859187324,15.69128546,4.26271403,8.096089957,2.596473294,7.595195502,3.342703808,4.855609507,0,0,5.642729364,3.209813442,1.574239714,0.153335037,3.107590084,2.698696652,19.65755175,0.519869707,55.13188073,0.484039088,0.309446254
Keith Langford,136,3932,671,1356,569,1045,102,311,368,567,0,0,584,322,129,68,0,0,1812,0,8.2,7.2,15.4,0,0,0,0,0,0,0,0,0,0,0,0,6.826042726,13.79450661,5.788402848,10.63072228,1.037639878,3.163784334,3.743641913,5.768056968,0,0,5.940996948,3.275686673,1.312309257,0.691759919,0,0,18.43336724,0.532448378,56.43172135,0.229351032,0.418141593
Keith McLeod,111,3568,572,1343,373,844,199,499,552,698,0,0,355,296,176,14,316,293,1895,0,9.7,2.8,12.5,0,0,0,0,0,0,0,15.9,0,0,0,0,6.412556054,15.05605381,4.18161435,9.461883408,2.230941704,5.594170404,6.188340807,7.825112108,0,0,3.979820628,3.31838565,1.97309417,0.156950673,3.542600897,3.284753363,21.24439462,0.5,57.42006642,0.371556217,0.519731943
Kelenna Azubuike,97,2174,354,730,259,475,95,255,167,222,0,0,363,98,71,29,0,0,970,0,5.6,4.3,9.9,0,0,0,0,0,0,0,0,0,0,0,0,6.513339466,13.43146274,4.765409384,8.739650414,1.747930083,4.691812328,3.072677093,4.084636615,0,0,6.678932843,1.803127875,1.306347746,0.533578657,0,0,17.84728611,0.55,58.59752561,0.349315068,0.304109589
Kelly Olynyk,101,1735,338,569,313,494,25,75,202,285,152,309,461,107,52,46,140,197,903,851,6.6,3.6,10.3,27.00835735,11.12080692,20.44801153,16.02363112,13.09342939,1.790201729,3.099423631,16.71804035,24.94824207,5.02443804,2.804841499,7.829279539,7.792507205,13.11815562,7.216138329,11.38904899,0.576368876,1.729106628,4.657060519,6.570605187,3.504322767,7.123919308,10.62824207,2.46685879,1.198847262,1.060518732,3.227665706,4.541786744,20.8184438,0.61599297,65.02016129,0.131810193,0.500878735
Kelly Oubre,36,756,110,248,76,153,34,95,79,110,41,138,179,28,41,13,43,71,333,303,1.7,1.7,3.4,21.1,6.4,19.2,13.2,8.1,3.3,1.8,12.5,23.1,4.8,3.7,8.6,5.82010582,13.12169312,4.021164021,8.095238095,1.798941799,5.026455026,4.17989418,5.82010582,2.169312169,7.301587302,9.470899471,1.481481481,2.169312169,0.687830688,2.275132275,3.756613757,17.61904762,0.512096774,56.17408907,0.383064516,0.443548387
Kemba Walker,75,2740,468,1116,355,777,113,339,413,517,85,283,368,356,147,22,192,115,1462,1451,10,4.3,14.3,25.66244526,3.550510949,10.62627737,7.288394161,28.52423358,3.231058394,0.80580292,12.90751825,28.46824818,5.744014599,1.520474453,7.264489051,6.832116788,16.2919708,5.182481752,11.34306569,1.649635037,4.948905109,6.02919708,7.547445255,1.240875912,4.131386861,5.372262774,5.197080292,2.145985401,0.321167883,2.802919708,1.678832117,21.34306569,0.469982079,54.4109328,0.303763441,0.463261649
