Player,Tm,Season,Class,Offensive Points Added,Defensive Points Saved,TPA
Dyshawn Pierre,Dayton,2014,SO,71.9,26.75,98.65
Boris Bojanovsky,Florida State,2016,SR,19.3,79.33,98.63
Alex Robinson,Texas Christian,2017,SO,46.01,52.58,98.59
Michael Craion,Oral Roberts,2012,SR,45.25,53.33,98.58
Tai Webster,Nebraska,2017,SR,72.53,26.04,98.57
Jesse Sanders,Liberty,2012,SR,111.81,-13.27,98.54
Tony Bradley,North Carolina,2017,FR,58.29,40.2,98.49
Jordan McRae,Tennessee,2013,JR,74.78,23.71,98.49
Dewayne Dedmon,Southern California,2013,JR,-2.4,100.88,98.48
Matt Bohannon,Northern Iowa,2016,SR,83.03,15.45,98.48
Rhamel Brown,Manhattan,2013,JR,-12.3,110.73,98.43
Khem Birch,Nevada-Las Vegas,2013,SO,7.03,91.36,98.39
Victor Sanders,Idaho,2017,JR,107.3,-8.94,98.36
Marcos Knight,Middle Tennessee,2013,SR,43.88,54.47,98.35
Emmy Andujar,Manhattan,2015,SR,36.42,61.91,98.33
Kevin Larsen,George Washington,2015,JR,45.38,52.95,98.33
Wayne Blackshear,Louisville,2013,SO,56.57,41.76,98.33
Alex Olah,Northwestern,2015,JR,25.31,72.96,98.27
Thomas Welsh,UCLA,2017,JR,52.07,46.12,98.19
Jarron Cumberland,Cincinnati,2017,FR,67.61,30.53,98.14
Jarrett Allen,Texas,2017,FR,14.54,83.58,98.12
Dorian Pickens,Stanford,2017,JR,73.98,24.13,98.11
Joe Jackson,Memphis,2014,SR,77.63,20.43,98.06
Bryn Forbes,Michigan State,2015,JR,84,14,98
Elliott Eliason,Minnesota,2014,JR,-8.17,106.16,97.99
Daxter Miles,West Virginia,2016,SO,54.56,43.37,97.93
Domantas Sabonis,Gonzaga,2015,FR,57.92,39.99,97.91
Adreian Payne,Michigan State,2014,SR,66.74,31.14,97.88
Davante Gardner,Marquette,2014,SR,86.01,11.86,97.87
Erik Thomas,New Orleans,2017,SR,85.17,12.69,97.86
Nana Foulland,Bucknell,2017,JR,23.21,74.61,97.82
Jemerrio Jones,New Mexico State,2017,JR,29.2,68.61,97.81
Elston Turner,Texas A&M,2013,SR,108.86,-11.07,97.79
Elijah Stewart,Southern California,2017,JR,73.34,24.45,97.79
Malik Beasley,Florida State,2016,FR,87.3,10.48,97.78
Donte Poole,Murray State,2012,SR,73.33,24.44,97.77
Kenny Boynton,Florida,2011,SO,105.92,-8.15,97.77
Reggie Willhite,Yale,2012,SR,31.54,66.23,97.77
Keith Clanton,Central Florida,2013,SR,43.24,54.52,97.76
Kyle Barone,Idaho,2013,SR,109.36,-11.6,97.76
Gabriel McCulley,Texas-El Paso,2012,SR,63.78,33.93,97.71
Coty Clarke,Arkansas,2013,JR,45.96,51.71,97.67
James Robinson,Pittsburgh,2016,SR,66.27,31.39,97.66
Troy Caupain,Cincinnati,2016,JR,64.47,33.16,97.63
Jordan Heath,Canisius,2014,SR,47.12,50.49,97.61
Maodo Lo,Columbia,2015,JR,99.09,-1.48,97.61
Kenny Kadji,Miami (FL),2013,SR,47.94,49.65,97.59
Michael Frazier,Florida,2013,FR,58.13,39.44,97.57
J'Covan Brown,Texas,2011,SO,65.04,32.52,97.56
Christian Wood,Nevada-Las Vegas,2015,SO,39.73,57.79,97.52
Rakim Sanders,Fairfield,2012,SR,63.68,33.83,97.51
Patricio Garino,George Washington,2014,SO,50.7,46.8,97.5
Deontae Hawkins,Illinois State,2017,SR,61.33,36.17,97.5
Chris Udofia,Denver,2012,SO,45.11,52.38,97.49
James Thompson IV,Eastern Michigan,2016,FR,77.96,19.49,97.45
Justin Cobbs,University of California,2014,SR,107.69,-10.36,97.33
Shawn Long,Louisiana-Lafayette,2015,JR,53.88,43.45,97.33
Lazeric Jones,UCLA,2012,SR,76.07,21.23,97.3
Andrew Smith,Butler,2011,SO,53.2,44.08,97.28
Jake Bittle,South Dakota State,2015,JR,72.95,24.32,97.27
Majok Deng,Louisiana-Monroe,2016,SR,68.62,28.59,97.21
Sim Bhullar,New Mexico State,2013,FR,34.3,62.88,97.18
Quincy Acy,Baylor,2011,JR,32.92,64.19,97.11
Matt Carlino,Marquette,2015,SR,90.92,6.16,97.08
Gary Flowers,Southern Mississippi,2011,SR,65.8,31.26,97.06
Shavon Shields,Nebraska,2016,SR,71.6,25.46,97.06
William Lee,Alabama-Birmingham,2016,SO,8.56,88.47,97.03
Nick Duncan,Boise State,2016,JR,58.5,38.39,96.89
Dustin Hogue,Iowa State,2015,SR,63.52,33.35,96.87
Levan Shawn Alston,Temple,2017,FR,82.99,13.83,96.82
Shawn Long,Louisiana-Lafayette,2016,SR,61.6,35.2,96.8
Wayne Blackshear,Louisville,2014,JR,49.64,47.16,96.8
Chace Stanback,Nevada-Las Vegas,2012,SR,83.15,13.58,96.73
Lewis Jackson,Purdue,2011,JR,54.4,42.31,96.71
Traevon Jackson,Wisconsin,2014,JR,58.75,37.9,96.65
Tekele Cotton,Wichita State,2013,SO,41.42,55.22,96.64
BeeJay Anya,North Carolina State,2015,SO,0,96.61,96.61
Mike McCall,Saint Louis,2014,SR,35.78,60.83,96.61
Travis McKie,Wake Forest,2013,JR,54.44,42.14,96.58
Dominique Hawkins,Kentucky,2017,SR,54.39,42.15,96.54
Tobias Harris,Tennessee,2011,FR,56.86,39.63,96.49
Dogus Balbay,Texas,2011,SR,33.77,62.71,96.48
Delvon Johnson,Arkansas,2011,SR,3.11,93.36,96.47
Will Yeguete,Florida,2014,SR,5.84,90.58,96.42
Jamie Vanderbeken,Iowa State,2011,SR,48.19,48.19,96.38
Murphy Holloway,Mississippi,2012,JR,32.7,63.68,96.38
Ricardo Ratliffe,Missouri,2011,JR,57.5,38.85,96.35
James Southerland,Syracuse,2012,JR,56.6,39.72,96.32
Andre Drummond,Connecticut,2012,FR,11.24,85.07,96.31
Tonye Jekiri,Miami (FL),2016,SR,18.94,77.32,96.26
J.J. Mann,Belmont,2014,SR,98.47,-2.24,96.23
Khalif Wyatt,Temple,2011,SO,74.84,21.38,96.22
Dion Dixon,Cincinnati,2011,JR,76.35,19.85,96.2
Festus Ezeli,Vanderbilt,2011,JR,39.03,57.15,96.18
Tracy Abrams,Illinois,2017,SR,46.63,49.55,96.18
Hugh Greenwood,New Mexico,2012,FR,38.97,57.16,96.13
Michale Kyser,Louisiana Tech,2013,SO,-21.35,117.41,96.06
Quinton Stephens,Georgia Tech,2017,SR,6.4,89.65,96.05
Elfrid Payton,Louisiana-Lafayette,2013,SO,61.89,34.14,96.03
Xeyrius Williams,Dayton,2017,SO,40.42,55.58,96
Mark Tollefsen,San Francisco,2014,SO,74.84,21.15,95.99
Isaiah Williams,Iona,2014,SO,90.22,5.73,95.95
Damion Lee,Drexel,2012,FR,78.05,17.89,95.94
Shake Milton,Southern Methodist,2016,FR,74.43,21.5,95.93
Tyler Wideman,Butler,2017,JR,39.42,56.5,95.92
Vashil Fernandez,Valparaiso,2016,SR,-47.26,143.17,95.91
Terry Allen,Richmond,2016,SR,67.68,28.2,95.88
Luke Kennard,Duke,2016,FR,89.68,6.08,95.76
Taylor Braun,North Dakota State,2014,SR,97.52,-1.77,95.75
D'Angelo Harrison,St. John's (NY),2014,JR,88.04,7.66,95.7
Jerian Grant,Notre Dame,2013,JR,81.12,14.56,95.68
Alan Williams,UC-Santa Barbara,2014,JR,39.98,55.69,95.67
Daniel Mullings,New Mexico State,2014,JR,59.02,36.63,95.65
Octavius Ellis,Cincinnati,2016,SR,9.84,85.77,95.61
Griffan Callahan,South Dakota State,2012,SR,84.96,10.62,95.58
Jordan Sibert,Dayton,2014,JR,100.44,-4.86,95.58
Bryce Washington,Louisiana-Lafayette,2017,JR,61.59,33.98,95.57
Spencer Dinwiddie,Colorado,2014,JR,80.08,15.47,95.55
Marcus Foster,Kansas State,2014,FR,80.7,14.82,95.52
Lindsey Drew,Nevada,2017,SO,25.87,69.64,95.51
Nic Moore,Southern Methodist,2015,JR,114.6,-19.1,95.5
Ryan Arcidiacono,Villanova,2014,SO,61.78,33.7,95.48
Ryan Olander,Fairfield,2011,JR,3.35,92.13,95.48
Reeves Nelson,UCLA,2011,SO,55.08,40.39,95.47
Kyle Dranginis,Gonzaga,2015,JR,44.98,50.46,95.44
Armani Moore,Tennessee,2015,JR,21.88,73.46,95.34
Maurice Watson Jr.,Boston University,2014,SO,67.28,28.04,95.32
Danjel Purifoy,Auburn,2017,FR,74.99,20.31,95.3
Geron Johnson,Memphis,2013,JR,37.42,57.83,95.25
Austin Hollins,Minnesota,2012,SO,77.27,17.97,95.24
Toarlyn Fitzpatrick,South Florida,2012,JR,28.56,66.64,95.2
Travis Wear,UCLA,2014,SR,45.38,49.78,95.16
Joshua Smith,UCLA,2011,FR,56.81,38.29,95.1
Casey Prather,Florida,2013,JR,36.75,58.33,95.08
Raphiael Putney,Massachusetts,2012,SO,25.02,70.06,95.08
T.J. Price,Western Kentucky,2015,SR,104.33,-9.32,95.01
Chris Warren,Mississippi,2011,SR,159.01,-64.02,94.99
Herb Pope,Seton Hall,2012,SR,10.55,84.43,94.98
Matt Carlino,Brigham Young,2014,JR,73,21.9,94.9
Shane Johannsen,Northern Arizona,2011,SR,25.04,69.85,94.89
Josh Okogie,Georgia Tech,2017,FR,41.51,53.37,94.88
Marcus Capers,Washington State,2012,SR,35.76,59,94.76
Dion Dixon,Cincinnati,2012,SR,61.05,33.68,94.73
Jamil Wilson,Marquette,2012,SO,14.8,79.92,94.72
Marshall Moses,Oklahoma State,2011,SR,67.16,27.55,94.71
Derrick Marks,Boise State,2013,SO,52.07,42.61,94.68
Nikola Gajic,Stephen F. Austin,2014,SR,54.04,40.53,94.57
D'Aundray Brown,Cleveland State,2012,SR,35.28,59.22,94.5
Avry Holmes,Clemson,2017,SR,88.47,6,94.47
Juvonte Reddic,Virginia Commonwealth,2014,SR,7.13,87.32,94.45
JayVaughn Pinkston,Villanova,2015,SR,20.46,73.98,94.44
Jeff Newberry,Oklahoma State,2016,SR,37.44,56.98,94.42
Darryl Bryant,West Virginia,2012,SR,96.46,-2.1,94.36
Antonio Campbell,Ohio,2016,JR,71.17,23.17,94.34
Shawn Jones,Middle Tennessee,2014,SR,26.72,67.6,94.32
Ryan Pearson,George Mason,2012,SR,71.16,23.13,94.29
Jahenns Manigat,Creighton,2012,SO,88.79,5.46,94.25
Anthony Barber,North Carolina State,2015,SO,79.46,14.78,94.24
Hollis Thompson,Georgetown,2011,SO,69.44,24.8,94.24
Tim Quarterman,Louisiana State,2016,JR,80.01,14.22,94.23
Cade Davis,Oklahoma,2011,SR,79.68,14.49,94.17
Kentrell Barkley,East Carolina,2016,FR,54.68,39.49,94.17
Edmond Sumner,Xavier,2017,SO,51.25,42.91,94.16
Javan Felix,Texas,2016,JR,76.49,17.65,94.14
Jordan Parks,North Carolina Central,2014,JR,51.94,42.2,94.14
Willie Cauley-Stein,Kentucky,2013,FR,22.34,71.74,94.08
Levi Knutson,Colorado,2011,SR,128.44,-34.37,94.07
David Kravish,University of California,2012,FR,30.87,63.14,94.01
Micah Mason,Duquesne,2016,SR,135.79,-41.78,94.01
Alan Herndon,Wyoming,2017,JR,8.74,85.18,93.92
Brandon Taylor,Utah,2016,SR,58.68,35.21,93.89
Mikh McKinney,Sacramento State,2015,SR,128.37,-34.49,93.88
Chehales Tapscott,Portland State,2012,SR,58.44,35.42,93.86
Egidijus Mockevicius,Evansville,2016,SR,5.75,88.09,93.84
Andre Stringer,Louisiana State,2014,SR,104.94,-11.13,93.81
Marshawn Powell,Arkansas,2013,JR,56.58,37.23,93.81
Rahlir Jefferson,Temple,2011,SO,13.61,80.14,93.75
Melo Trimble,Maryland,2017,JR,79.33,14.42,93.75
Josh Huestis,Stanford,2012,SO,13.02,80.72,93.74
Ian Clark,Belmont,2012,JR,101.93,-8.22,93.71
James Farr,Xavier,2016,SR,35.76,57.95,93.71
Ian Hummer,Princeton,2013,SR,61.49,32.21,93.7
Samme Givens,Drexel,2012,SR,32.34,61.27,93.61
Josh Reaves,Penn State,2017,SO,16.28,77.33,93.61
Nick Kellogg,Ohio,2014,SR,114.4,-20.8,93.6
Phil Forte,Oklahoma State,2013,FR,87.66,5.84,93.5
Richaun Holmes,Bowling Green State,2014,JR,3.53,89.96,93.49
JayVaughn Pinkston,Villanova,2013,SO,52.97,40.51,93.48
John Bohannon,Texas-El Paso,2013,JR,23.08,70.39,93.47
Chris Crawford,Memphis,2014,SR,47.63,45.8,93.43
Jordan Hulls,Indiana,2011,SO,91.74,1.67,93.41
James Bell,Villanova,2013,JR,40.75,52.64,93.39
Justin Jackson,Cincinnati,2012,SO,-2.59,95.98,93.39
Hernst Laroche,New Mexico State,2012,SR,75.99,17.37,93.36
Chane Behanan,Louisville,2012,FR,26.93,66.42,93.35
Reggie Hamilton,Oakland,2011,JR,141.89,-48.54,93.35
Gregory Echenique,Creighton,2012,JR,47.39,45.95,93.34
Tim Jarmusz,Wisconsin,2011,SR,62.59,30.71,93.3
Trent Weideman,College of Charleston,2011,FR,49.98,43.32,93.3
LaRon Dendy,Middle Tennessee,2012,SR,36.96,56.25,93.21
Phil Pressey,Missouri,2013,JR,62.81,30.39,93.2
J.J. Avila,Colorado State,2014,JR,77.06,16.13,93.19
Travis Taylor,Xavier,2013,SR,33.73,59.42,93.15
Zach Brown,Wichita State,2017,JR,48.54,44.6,93.14
Steven Cook,Princeton,2017,SR,60.61,32.53,93.14
Malik Dime,Washington,2016,JR,11.12,82.01,93.13
Orlando Sanchez,St. John's (NY),2014,SR,26.42,66.67,93.09
Kendall Marshall,North Carolina,2012,SO,84.17,8.86,93.03
Jamari Traylor,Kansas,2014,SO,35.85,57.17,93.02
Jordan Loveridge,Utah,2016,SR,82.08,10.94,93.02
Jordan Tolbert,Southern Methodist,2016,SR,60.66,32.35,93.01
Gorgui Dieng,Louisville,2011,FR,13.5,79.4,92.9
Anthony Cowan,Maryland,2017,FR,53.77,39.1,92.87
Jamari Traylor,Kansas,2015,JR,9.77,83.03,92.8
Maurice Walker,Minnesota,2015,SR,23.9,68.89,92.79
Nasir Robinson,Pittsburgh,2012,SR,63.67,29.1,92.77
Brian Conklin,Saint Louis,2012,SR,52.06,40.68,92.74
JeQuan Lewis,Virginia Commonwealth,2016,JR,58.38,34.34,92.72
Jermaine Marshall,Arizona State,2014,SR,81.81,10.91,92.72
Justin Gray,Texas Tech,2016,SO,60.2,32.51,92.71
Zeke Marshall,Akron,2012,JR,7.72,84.87,92.59
Caris LeVert,Michigan,2016,SR,73.13,19.45,92.58
Tyler Cavanaugh,George Washington,2017,SR,102,-9.44,92.56
Rotnei Clarke,Arkansas,2011,JR,120.47,-27.94,92.53
Harper Kamp,University of California,2012,SR,44.54,47.96,92.5
Isaiah Sykes,Central Florida,2013,JR,49.95,42.55,92.5
Edmond Sumner,Xavier,2016,FR,49.68,42.78,92.46
Jon Ekey,Illinois State,2013,JR,41.54,50.92,92.46
Tyrone Wallace,University of California,2015,JR,33.44,59.01,92.45
Nick Faust,Maryland,2014,SO,35.42,56.98,92.4
Zak Irvin,Michigan,2017,SR,53.72,38.68,92.4
Sam Dower,Gonzaga,2014,SR,52.29,39.99,92.28
Erick Green,Virginia Tech,2011,SO,51.99,40.25,92.24
Damontre Harris,South Carolina,2012,SO,14.09,78.14,92.23
Tim Kamczyc,Cleveland State,2012,JR,69.17,23.06,92.23
Isaiah Canaan,Murray State,2013,SR,125.57,-33.35,92.22
Devon Lamb,Lamar,2012,SR,70.88,21.26,92.14
Nick Victor,Yale,2016,SR,13.35,78.77,92.12
Tonny Trocha-Morelos,Texas A&M,2016,SO,40.37,51.75,92.12
Jordan Heath,Canisius,2013,JR,48.93,43.17,92.1
Trey Thompkins,Georgia,2011,JR,30.17,61.93,92.1
Jon Harris,Cleveland State,2014,SR,54.64,37.39,92.03
Tony Wroblicky,American,2014,SR,-1.64,93.65,92.01
Toure' Murry,Wichita State,2012,SR,38.46,53.5,91.96
Daniel Miller,Georgia Tech,2012,SO,-10.55,102.48,91.93
Canyon Barry,Florida,2017,SR,68.27,23.63,91.9
Marc Trasolini,Santa Clara,2013,SR,61.23,30.62,91.85
Anthony Marshall,Nevada-Las Vegas,2012,JR,29.28,62.46,91.74
Dallas Lauderdale,Ohio State,2011,SR,19.52,72.22,91.74
Kyle Davis,Dayton,2015,SO,22.49,69.2,91.69
Jarvis Summers,Mississippi,2014,JR,115.42,-23.82,91.6
Isaiah Johnson,Akron,2016,JR,39,52.5,91.5
Sheldon Jeter,Pittsburgh,2017,SR,30.48,60.97,91.45
Dante Jackson,Xavier,2011,SR,49.5,41.89,91.39
Pierce Hornung,Colorado State,2011,SO,33.84,57.53,91.37
Tim Williams,New Mexico,2016,JR,61.57,29.79,91.36
Jordan Reves,Texas-Arlington,2013,SR,-31.56,122.91,91.35
Miles Plumlee,Duke,2012,SR,46.28,45.07,91.35
Wenyen Gabriel,Kentucky,2017,FR,22.5,68.75,91.25
Connor Lammert,Texas,2015,JR,38.19,52.98,91.17
Rotnei Clarke,Butler,2013,SR,105.68,-14.58,91.1
Mark Lyons,Arizona,2013,SR,92.87,-1.82,91.05
James Woodard,Tulsa,2015,JR,71.67,19.37,91.04
Jonathan Gilling,Arizona State,2014,JR,59.01,32.03,91.04
Reggie Lynch,Illinois State,2015,SO,-3.64,94.61,90.97
Jerami Grant,Syracuse,2014,SO,51.74,39.2,90.94
Rashawn Thomas,Texas A&M-Corpus Christi,2017,SR,26.27,64.67,90.94
Scottie Lindsey,Northwestern,2017,JR,64.94,25.97,90.91
Malcolm Miller,Holy Cross,2014,JR,20.58,70.32,90.9
Pierria Henry,Charlotte,2014,JR,36.36,54.54,90.9
Drew Barham,Gonzaga,2014,GR,68.17,22.72,90.89
Tyler Davis,Texas A&M,2017,SO,56.95,33.9,90.85
Tony Johnson,Lafayette,2013,SR,92.74,-1.93,90.81
Milton Doyle,Loyola (IL),2017,SR,34.92,55.87,90.79
De'Monte Buckingham,Richmond,2017,FR,32.68,58.1,90.78
Maurice Jones,Southern California,2011,FR,23.17,67.59,90.76
Xavier Cooks,Winthrop,2017,JR,18.82,71.87,90.69
Javon McCrea,Buffalo,2012,SO,49.46,41.22,90.68
Wayne Selden,Kansas,2015,SO,52.58,38.07,90.65
Alex Kirk,New Mexico,2014,JR,0,90.64,90.64
Michael Dixon,Missouri,2011,SO,71.98,18.66,90.64
Keith Wright,Harvard,2011,JR,44.52,46.11,90.63
Vashil Fernandez,Valparaiso,2015,SR,-19.22,109.84,90.62
Admon Gilder,Texas A&M,2016,FR,44.69,45.86,90.55
Dejounte Murray,Washington,2016,FR,32.33,58.19,90.52
LaQuinton Ross,Ohio State,2014,JR,47.82,42.7,90.52
Martavious Newby,Mississippi,2015,JR,25.33,65.12,90.45
Austin Nichols,Memphis,2015,SO,2.7,87.69,90.39
Andre Hollins,Minnesota,2015,JR,86.83,3.54,90.37
Remy Abell,Xavier,2015,JR,71.22,19.11,90.33
Justin Bibbs,Virginia Tech,2016,SO,80.68,9.61,90.29
JaJuan Johnson,Marquette,2017,SR,45.85,44.41,90.26
Quentin Snider,Louisville,2017,JR,79.71,10.53,90.24
Richard Solomon,University of California,2014,SR,12.02,78.16,90.18
Derrick Walton,Michigan,2014,FR,66.44,23.73,90.17
Kenny Chery,Baylor,2014,JR,88.4,1.77,90.17
Kris Jenkins,Villanova,2015,SO,63.11,27.05,90.16
Trae Golden,Tennessee,2012,SO,92,-1.84,90.16
Durand Scott,Miami (FL),2011,SO,66.1,24.04,90.14
Vaughn Duggins,Wright State,2011,SR,80.92,9.2,90.12
Evan Bradds,Belmont,2016,JR,90.07,0,90.07
Holden Greiner,Lehigh,2013,SR,56.71,33.36,90.07
Kyle Collinsworth,Brigham Young,2011,FR,11.89,78.15,90.04
Dean Wade,Kansas State,2016,FR,48.83,41.2,90.03
Luke Fischer,Marquette,2016,JR,50.2,39.81,90.01
Tre' McLean,Chattanooga,2016,JR,31.23,58.78,90.01
Toure' Murry,Wichita State,2011,JR,35.35,54.64,89.99
Devon Hall,Virginia,2017,JR,29.52,60.45,89.97
Sam Thompson,Ohio State,2014,JR,17.4,72.5,89.9
Tyrone Watson,New Mexico State,2011,SO,57.78,32.1,89.88
Mangok Mathiang,Louisville,2014,FR,10.52,79.35,89.87
Justin Cobbs,University of California,2013,JR,73.85,15.97,89.82
Kourtney Roberson,Texas A&M,2013,SO,36.96,52.8,89.76
Riley LaChance,Vanderbilt,2015,FR,101.18,-11.45,89.73
Kyle Davis,Dayton,2016,JR,29.4,60.27,89.67
Nick Emery,Brigham Young,2016,FR,84.06,5.6,89.66
Jared Brownridge,Santa Clara,2015,SO,123.44,-33.82,89.62
Gary Bell,Gonzaga,2012,FR,73.31,16.29,89.6
Kevin Hartley,Gardner-Webb,2013,SR,52.13,37.47,89.6
Matthew Dellavedova,Saint Mary's (CA),2012,JR,109.94,-20.36,89.58
Kenny Chery,Baylor,2015,SR,59.2,30.36,89.56
Yogi Ferrell,Indiana,2013,FR,43.9,45.66,89.56
J.R. Cadot,Texas Christian,2011,JR,53.16,36.37,89.53
Doug Brooks,Virginia Commonwealth,2016,JR,19.88,69.58,89.46
Jermaine Marshall,Penn State,2013,JR,64.4,25.05,89.45
Alex Kirk,New Mexico,2013,SO,15.18,74.23,89.41
Hugh Greenwood,New Mexico,2015,SR,40.32,49.08,89.4
Will Kelly,Navy,2016,SR,-19.05,108.41,89.36
Earnest Ross,Missouri,2013,JR,52.99,36.34,89.33
Justin Sears,Yale,2015,JR,4.87,84.45,89.32
Rapheal Davis,Purdue,2016,SR,26.18,63.14,89.32
Troy Caupain,Cincinnati,2015,SO,52.9,36.37,89.27
Brian Williams,Tennessee,2011,SR,29.33,59.93,89.26
Arnett Moultrie,Mississippi State,2012,JR,72.84,16.39,89.23
Luke Kornet,Vanderbilt,2015,SO,68.09,21.05,89.14
Emmitt Holt,Providence,2017,JR,43.08,46.05,89.13
Anthony Hickey,Louisiana State,2014,JR,60.05,29.06,89.11
Christian Watford,Indiana,2012,JR,66.39,22.71,89.1
Kenyon McNeaill,Louisiana Tech,2014,SR,81.41,7.68,89.09
Jaye Crockett,Texas Tech,2014,GR,75.26,13.82,89.08
Chinanu Onuaku,Louisville,2015,FR,-2.09,91.09,89
Gary McGhee,Pittsburgh,2011,SR,29.23,59.74,88.97
Chimezie Metu,Southern California,2017,SO,29.65,59.3,88.95
Marvelle Harris,Fresno State,2015,JR,85.05,3.87,88.92
Levi Randolph,Alabama,2013,SO,41.81,47.03,88.84
Ben Lammers,Georgia Tech,2016,SO,20.11,68.72,88.83
Angel Rodriguez,Miami (FL),2015,JR,53.24,35.5,88.74
Josh Brown,Temple,2016,JR,17.75,70.99,88.74
Kelvin Martin,Charleston Southern,2011,JR,51.99,36.7,88.69
Ralph Sampson,Minnesota,2011,JR,16.53,72.14,88.67
Kareem Jamar,Montana,2012,SO,49.04,39.61,88.65
Kevin Anderson,Richmond,2011,SR,84.32,4.32,88.64
Matt Gatens,Iowa,2011,JR,66.88,21.74,88.62
Terran Petteway,Nebraska,2014,JR,66.46,22.15,88.61
Eric Wise,Southern California,2013,SR,52.82,35.78,88.6
Matisse Thybulle,Washington,2016,FR,20.57,68.03,88.6
Hassan Martin,Rhode Island,2016,JR,12.3,76.26,88.56
Jon Ekey,Illinois,2014,GR,53.1,35.4,88.5
Josh Richardson,Tennessee,2013,SO,26.7,61.75,88.45
Michael Morrison,George Mason,2011,JR,15.2,73.25,88.45
Mindaugas Kacinas,South Carolina,2016,SR,48.52,39.86,88.38
Terry Rozier,Louisville,2014,FR,44.17,44.17,88.34
Aaron Holiday,UCLA,2017,SO,77.7,10.6,88.3
Jordan Bell,Oregon,2016,SO,12.21,76.06,88.27
Josten Crow,Sam Houston State,2011,SR,71.9,16.34,88.24
Isaiah Armwood,George Washington,2014,SR,12.86,75.32,88.18
Bruce Massey,Middle Tennessee,2013,SR,29.39,58.78,88.17
K.J. McDaniels,Clemson,2013,SO,24.48,63.65,88.13
Brandon Triche,Syracuse,2012,JR,78.23,9.78,88.01
Terry Allen,Richmond,2015,JR,35.2,52.8,88
Giddy Potts,Middle Tennessee,2016,SO,76.15,11.82,87.97
Marcus Thornton,Georgia,2015,SR,26.2,61.64,87.84
Adam Smith,Georgia Tech,2016,SR,106.76,-18.94,87.82
Ehab Amin,Texas A&M-Corpus Christi,2017,JR,42.82,44.96,87.78
Neil Watson,Southern Mississippi,2013,JR,83.75,3.99,87.74
Andrew Goudelock,College of Charleston,2011,SR,145.99,-58.4,87.59
Bradford Burgess,Virginia Commonwealth,2012,SR,73.87,13.61,87.48
Melvin Johnson,Virginia Commonwealth,2015,JR,94.39,-6.99,87.4
Jarrod Uthoff,Iowa,2014,SO,41.5,45.86,87.36
Melvin Goins,Tennessee,2011,SR,39,48.36,87.36
Nick Dixon,Texas-Rio Grande Valley,2017,JR,102.45,-15.12,87.33
Corey Raji,Boston College,2011,SR,97.49,-10.19,87.3
Danuel House,Texas A&M,2015,JR,64.72,22.51,87.23
Brandon Edwards,Texas-Arlington,2013,JR,34.6,52.59,87.19
Darrun Hilliard,Villanova,2013,SO,42.7,44.48,87.18
Devin Oliver,Dayton,2013,JR,39.08,48.1,87.18
Daniel Bejarano,Colorado State,2014,JR,72.64,14.53,87.17
Mark Lyons,Xavier,2012,JR,68.22,18.95,87.17
Jaylen Johnson,Louisville,2017,JR,45.36,41.78,87.14
Duane Notice,South Carolina,2016,JR,75.81,11.29,87.1
Perry Jones,Baylor,2012,SO,52.26,34.84,87.1
Chad Tomko,North Carolina-Wilmington,2011,SR,81.63,5.44,87.07
George Beamon,Manhattan,2012,JR,88.9,-1.85,87.05
Zach Brown,Wichita State,2016,SO,39.26,47.75,87.01
Lester Medford,Baylor,2016,SR,77.74,9.26,87
DaVonte Lacy,Washington State,2014,JR,99.76,-12.79,86.97
Peyton Aldridge,Davidson,2015,FR,58.52,28.42,86.94
Tanner Samson,Elon,2016,SR,78.72,8.2,86.92
Kurt Steidl,Vermont,2017,SR,44.28,42.64,86.92
Chris Silva,South Carolina,2017,SO,5.43,81.49,86.92
Devin Williams,West Virginia,2016,JR,34.14,52.77,86.91
James Webb,Boise State,2016,JR,44.3,42.6,86.9
Malcolm Grant,Miami (FL),2011,JR,120.48,-33.58,86.9
Angel Delgado,Seton Hall,2016,SO,16.29,70.59,86.88
Darius Johnson-Odom,Marquette,2011,JR,98.43,-11.58,86.85
Markel Starks,Georgetown,2013,JR,63.79,23.04,86.83
Harper Kamp,University of California,2011,JR,61.73,25.08,86.81
Nate Wolters,South Dakota State,2011,SO,112.1,-25.31,86.79
Rob Brandenberg,Virginia Commonwealth,2014,SR,47.63,39.12,86.75
Michael Dixon,Memphis,2014,SR,81.14,5.6,86.74
Sean Kilpatrick,Cincinnati,2011,FR,69.15,17.58,86.73
Coron Williams,Wake Forest,2014,GR,95.37,-8.67,86.7
Anson Winder,Brigham Young,2015,SR,77.18,9.48,86.66
D.J. Byrd,Purdue,2011,SO,46.29,40.36,86.65
Evan Smotrycz,Maryland,2014,JR,51.68,34.96,86.64
D.J. Newbill,Southern Mississippi,2011,FR,61.64,24.99,86.63
Eli Holman,Detroit Mercy,2011,SR,46.65,39.98,86.63
Bryce Pressley,Portland,2016,SR,90.34,-3.76,86.58
Johnathan Williams,Missouri,2014,FR,11.02,75.55,86.57
Joseph Chartouny,Fordham,2017,SO,30.46,56.11,86.57
Rapheal Davis,Purdue,2015,JR,45.08,41.47,86.55
Quinton Hooker,North Dakota,2017,SR,97.05,-10.55,86.5
Bryant McIntosh,Northwestern,2016,SO,69.16,17.29,86.45
Kory Brown,North Dakota State,2014,SO,52.74,33.7,86.44
Jamaal Franklin,San Diego State,2012,SO,56.51,29.92,86.43
