Player,Tm,Season,Class,Offensive Points Added,Defensive Points Saved,TPA
Klay Thompson,Washington State,2011,JR,142.32,66.98,209.3
Cody Zeller,Indiana,2013,SO,112.42,95.84,208.26
Rondae Hollis-Jefferson,Arizona,2015,SO,81.75,126.34,208.09
Josh Jackson,Kansas,2017,FR,98.18,109.73,207.91
Andrew Andrews,Washington,2016,SR,183.62,24.05,207.67
Frank Kaminsky,Wisconsin,2014,JR,125.4,81.93,207.33
Jerian Grant,Notre Dame,2015,SR,186.16,20.94,207.1
Ben Hansbrough,Notre Dame,2011,SR,192.67,14.05,206.72
Marshon Brooks,Providence,2011,SR,180.77,25.82,206.59
Devonte' Graham,Kansas,2016,SO,132.86,73.37,206.23
Seth Tuttle,Northern Iowa,2015,SR,123.4,82.26,205.66
DeAndre Kane,Iowa State,2014,SR,124.74,80.85,205.59
E'Twaun Moore,Purdue,2011,SR,138.88,66.5,205.38
Fred VanVleet,Wichita State,2015,JR,135.83,68.8,204.63
Michael Frazier,Florida,2014,SO,141.34,63.03,204.37
Devonte' Graham,Kansas,2017,JR,154.25,49.9,204.15
Kevin Pangos,Gonzaga,2015,SR,158.66,45.02,203.68
Joel Berry,North Carolina,2017,JR,144.85,58.78,203.63
Fred VanVleet,Wichita State,2014,SO,133,70.3,203.3
Khyri Thomas,Creighton,2017,SO,103.58,99.6,203.18
Kris Dunn,Providence,2016,JR,93.95,108.98,202.93
J.J. Frazier,Georgia,2016,JR,168.42,34.41,202.83
Jamal Murray,Kentucky,2016,FR,179.18,23.19,202.37
Edrice Adebayo,Kentucky,2017,FR,89.45,112.87,202.32
Markieff Morris,Kansas,2011,JR,109.95,91.9,201.85
Dorian Finney-Smith,Florida,2016,SR,116.35,85.45,201.8
Mike Muscala,Bucknell,2013,SR,98.27,103.44,201.71
Monte Morris,Iowa State,2015,SO,137.48,63.61,201.09
Justin Jackson,Cincinnati,2014,SR,29.32,171.27,200.59
C.J. McCollum,Lehigh,2012,JR,139.06,61.35,200.41
Justise Winslow,Duke,2015,FR,98.28,102.13,200.41
Pierce Hornung,Colorado State,2013,SR,117.88,82.52,200.4
Bonzie Colson,Notre Dame,2017,JR,113.65,86.21,199.86
Kennedy Meeks,North Carolina,2017,SR,91.96,107.87,199.83
Malcolm Brogdon,Virginia,2016,SR,157.5,42,199.5
DeAndre Bembry,Saint Joseph's,2016,JR,98.3,100.58,198.88
Tyrel Reed,Kansas,2011,SR,125.45,73.34,198.79
Jacob Evans,Cincinnati,2017,SO,124.28,74.2,198.48
Taylor Smith,Stephen F. Austin,2013,SR,61.6,136.88,198.48
Gary Clark,Cincinnati,2016,SO,76.32,122.11,198.43
Kenneth Faried,Morehead State,2011,SR,80.12,118.18,198.3
Terrence Jones,Kentucky,2012,SO,89.11,108.07,197.18
T.J. McConnell,Arizona,2014,JR,79.95,116.85,196.8
Marcus Paige,North Carolina,2014,SO,166.14,30.6,196.74
Jarnell Stokes,Tennessee,2014,JR,112.64,83.51,196.15
Demetrius Jackson,Notre Dame,2015,SO,154.64,41.38,196.02
Erick Green,Virginia Tech,2013,SR,232.55,-37.04,195.51
Chandler Parsons,Florida,2011,SR,106.91,88.41,195.32
Royce O'Neale,Baylor,2015,SR,123.26,71.9,195.16
Reginald Buckner,Mississippi,2013,SR,43.15,151.96,195.11
Nathan Adrian,West Virginia,2017,SR,90.17,104.2,194.37
Matt Howard,Butler,2011,SR,138.24,55.68,193.92
Jae Crowder,Marquette,2011,JR,124.39,69.3,193.69
Damian Saunders,Duquesne,2011,SR,38.68,154.72,193.4
Ron Baker,Wichita State,2014,SO,121.72,71.6,193.32
Marcus Denmon,Missouri,2012,SR,184.59,8.2,192.79
Michael Kidd-Gilchrist,Kentucky,2012,FR,105.85,86.8,192.65
Jarrod Uthoff,Iowa,2015,JR,91.11,101.42,192.53
Nerlens Noel,Kentucky,2013,FR,38.22,154.21,192.43
John Jenkins,Vanderbilt,2012,JR,204.25,-11.9,192.35
Frank Mason,Kansas,2016,JR,115.37,76.91,192.28
Montrezl Harrell,Louisville,2015,JR,94.99,97.06,192.05
Ron Baker,Wichita State,2016,SR,98.27,93.1,191.37
Markel Brown,Oklahoma State,2014,SR,128.27,63.05,191.32
Tai Wesley,Utah State,2011,SR,95.93,94.31,190.24
Ron Baker,Wichita State,2015,JR,126.2,64.02,190.22
Austin Hollins,Minnesota,2014,SR,122.55,67.62,190.17
Briante Weber,Virginia Commonwealth,2014,JR,59.07,131.07,190.14
Brad Wanamaker,Pittsburgh,2011,SR,102.54,87.41,189.95
Erik Murphy,Florida,2013,SR,119.34,70.38,189.72
John Flowers,West Virginia,2011,SR,64.76,124.66,189.42
Aaron Craft,Ohio State,2013,JR,93.65,95.73,189.38
Sam Dekker,Wisconsin,2015,JR,155.23,34.07,189.3
Nazareth Mitrou-Long,Iowa State,2017,SR,147.92,41.09,189.01
Nik Stauskas,Michigan,2014,SO,184.5,4.1,188.6
Aaron Gordon,Arizona,2014,FR,55.58,133,188.58
TJ Leaf,UCLA,2017,FR,130.25,58.32,188.57
Chris Boucher,Oregon,2016,JR,86.29,102.27,188.56
Kelly Olynyk,Gonzaga,2013,JR,122.41,66.13,188.54
Kyle Wiltjer,Gonzaga,2015,JR,146.08,42.24,188.32
Tu Holloway,Xavier,2011,JR,161.38,26.9,188.28
