Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Yr
D. Fischer,ROA,24.0,26,0,513,65,112,0.58,0,0,0.0,65,112,0.58,0.58,24,29,0.828,39,92,131,16,6,34,23,74,154,2006
G. Fitch,AUS,23.0,3,1,69,11,39,0.282,2,11,0.182,9,28,0.321,0.308,11,11,1.0,5,8,13,6,2,1,6,5,35,2006
M. Fizer,AUS,27.0,35,35,1210,286,557,0.513,17,53,0.321,269,504,0.534,0.529,207,279,0.742,70,202,272,116,29,17,93,121,796,2006
S. Ford,FAY,24.0,15,8,411,73,139,0.525,0,3,0.0,73,136,0.537,0.525,49,75,0.653,33,93,126,16,10,21,44,60,195,2006
B. Freeman,ARK,23.0,4,0,48,12,22,0.545,2,4,0.5,10,18,0.556,0.591,6,7,0.857,2,9,11,3,2,0,2,7,32,2006
K. Frey,ABQ,25.0,3,0,25,4,12,0.333,0,0,0.0,4,12,0.333,0.333,1,5,0.2,2,4,6,1,1,0,1,4,9,2006
H. Fuller,FLO,24.0,24,20,711,109,245,0.445,0,0,0.0,109,245,0.445,0.445,71,105,0.676,67,151,218,29,14,22,72,84,289,2006
A. Fuqua,AUS,22.0,24,0,162,7,18,0.389,0,0,0.0,7,18,0.389,0.389,21,34,0.618,16,19,35,2,2,5,12,24,35,2006
O. George,TUL,23.0,47,35,1187,182,355,0.513,0,0,0.0,182,355,0.513,0.513,121,177,0.684,115,177,292,35,36,17,70,177,485,2006
A. Glyniadakis,ROA,24.0,15,10,275,36,78,0.462,0,0,0.0,36,78,0.462,0.462,42,51,0.824,20,37,57,8,0,16,20,53,114,2006
A. Glyniadakis,ABQ,24.0,23,12,624,111,197,0.563,0,0,0.0,111,197,0.563,0.563,73,90,0.811,51,82,133,6,13,32,56,101,295,2006
A. Glyniadakis,TOT,24.0,38,22,899,147,275,0.535,0,0,0.0,147,275,0.535,0.535,115,141,0.816,71,119,190,14,13,48,76,154,409,2006
D. Gonner,FTW,,6,0,57,2,7,0.286,0,1,0.0,2,6,0.333,0.286,9,14,0.643,2,4,6,6,4,0,1,5,13,2006
G. Green,FLO,20.0,1,0,15,3,6,0.5,0,0,0.0,3,6,0.5,0.5,0,2,0.0,0,1,1,0,1,1,2,0,6,2006
G. Green,FAY,20.0,8,5,211,40,93,0.43,5,11,0.455,35,82,0.427,0.457,16,20,0.8,15,28,43,14,11,2,26,23,101,2006
G. Green,TOT,20.0,9,5,226,43,99,0.434,5,11,0.455,38,88,0.432,0.46,16,22,0.727,15,29,44,14,12,3,28,23,107,2006
Q. Greer,TUL,24.0,11,0,91,21,43,0.488,0,2,0.0,21,41,0.512,0.488,14,18,0.778,5,16,21,3,5,2,5,15,56,2006
J. Gross,FLO,22.0,6,0,87,15,28,0.536,3,5,0.6,12,23,0.522,0.589,10,14,0.714,1,8,9,2,4,2,5,9,43,2006
A. Grundy,ROA,26.0,44,43,1753,340,787,0.432,101,256,0.395,239,531,0.45,0.496,231,292,0.791,61,176,237,193,109,7,144,119,1012,2006
J. Hagen,AUS,23.0,44,3,637,52,121,0.43,0,0,0.0,52,121,0.43,0.43,37,50,0.74,66,82,148,32,16,27,42,115,141,2006
T. Hamilton,TUL,27.0,5,3,129,23,50,0.46,2,2,1.0,21,48,0.438,0.48,8,10,0.8,11,25,36,5,1,1,8,10,56,2006
C. Hawkins,FAY,24.0,14,9,387,51,119,0.429,5,21,0.238,46,98,0.469,0.45,26,42,0.619,14,16,30,85,28,1,44,58,133,2006
C. Hayes,ABQ,22.0,15,13,483,65,120,0.542,0,0,0.0,65,120,0.542,0.542,32,47,0.681,57,114,171,36,21,11,39,53,162,2006
M. Hill,TUL,27.0,15,0,179,18,55,0.327,3,15,0.2,15,40,0.375,0.355,6,7,0.857,7,20,27,14,4,3,7,23,45,2006
J. Hodge,AUS,22.0,11,4,331,66,134,0.493,5,11,0.455,61,123,0.496,0.511,58,78,0.744,17,44,61,30,9,4,38,34,195,2006
C. Hurt,FAY,22.0,11,10,346,27,102,0.265,17,53,0.321,10,49,0.204,0.348,19,21,0.905,7,39,46,48,6,1,17,25,90,2006
E. Ilyasova,TUL,18.0,46,19,1297,218,536,0.407,68,195,0.349,150,341,0.44,0.47,70,99,0.707,60,264,324,46,33,38,90,151,574,2006
B. Jackson,ARK,25.0,47,46,1402,224,445,0.503,1,5,0.2,223,440,0.507,0.504,142,180,0.789,73,204,277,61,43,41,88,198,591,2006
A. Johnson,FAY,18.0,18,12,508,119,178,0.669,1,1,1.0,118,177,0.667,0.671,70,97,0.722,54,74,128,21,16,27,42,67,309,2006
J. Johnson,FAY,22.0,6,1,98,6,25,0.24,1,8,0.125,5,17,0.294,0.26,2,2,1.0,0,4,4,13,3,0,9,14,15,2006
K. Johnson,ABQ,27.0,26,16,801,106,205,0.517,0,0,0.0,106,205,0.517,0.517,62,73,0.849,45,116,161,18,2,60,48,85,274,2006
K. Johnson,FAY,25.0,38,15,843,140,285,0.491,22,58,0.379,118,227,0.52,0.53,81,132,0.614,42,84,126,39,24,3,66,96,383,2006
S. Johnson,TOT,25.0,47,11,882,135,217,0.622,0,0,0.0,135,217,0.622,0.622,82,159,0.516,80,123,203,44,15,27,100,142,352,2006
S. Johnson,ARK,25.0,22,5,441,68,113,0.602,0,0,0.0,68,113,0.602,0.602,38,82,0.463,41,66,107,15,10,11,49,63,174,2006
S. Johnson,TUL,25.0,25,6,441,67,104,0.644,0,0,0.0,67,104,0.644,0.644,44,77,0.571,39,57,96,29,5,16,51,79,178,2006
D. Jones,FLO,22.0,26,25,808,76,163,0.466,0,1,0.0,76,162,0.469,0.466,80,124,0.645,118,186,304,32,8,52,52,84,232,2006
