Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Yr
Q. Acy,TEX,26.0,12,12,383,68,136,0.5,16,41,0.39,52,95,0.547,0.559,55,72,0.764,18,80,98,14,19,24,33,41,207,2017
C. Alexander,TOT,21.0,40,13,1082,257,497,0.517,8,33,0.242,249,464,0.537,0.525,110,150,0.733,75,280,355,54,18,40,106,93,632,2017
C. Alexander,LIN,21.0,18,6,544,150,262,0.573,8,27,0.296,142,235,0.604,0.588,62,82,0.756,38,141,179,32,10,14,50,40,370,2017
C. Alexander,ERI,21.0,22,7,538,107,235,0.455,0,6,0.0,107,229,0.467,0.455,48,68,0.706,37,139,176,22,8,26,56,53,262,2017
D. Alexander,NAS,25.0,15,4,193,22,56,0.393,9,27,0.333,13,29,0.448,0.473,3,4,0.75,6,35,41,13,8,3,10,33,56,2017
C. Anderson,GRR,24.0,39,19,668,82,147,0.558,3,11,0.273,79,136,0.581,0.568,43,62,0.694,86,105,191,25,26,37,34,137,210,2017
M. Anderson,SWR,25.0,28,6,427,21,64,0.328,12,43,0.279,9,21,0.429,0.422,10,14,0.714,10,43,53,34,12,3,17,56,64,2017
R. Arcidiacono,AUS,22.0,47,34,1293,108,229,0.472,40,95,0.421,68,134,0.507,0.559,48,59,0.814,24,152,176,177,41,5,76,97,304,2017
J. Avila,TEX,25.0,20,2,275,52,107,0.486,7,30,0.233,45,77,0.584,0.519,14,19,0.737,24,64,88,34,15,6,12,35,125,2017
J. Avila,WCB,25.0,21,16,582,89,201,0.443,23,63,0.365,66,138,0.478,0.5,21,25,0.84,36,88,124,42,24,14,27,76,222,2017
J. Avila,TOT,25.0,41,18,857,141,308,0.458,30,93,0.323,111,215,0.516,0.506,35,44,0.795,60,152,212,76,39,20,39,111,347,2017
C. Ayers,REN,25.0,7,0,109,7,27,0.259,5,22,0.227,2,5,0.4,0.352,4,4,1.0,1,4,5,3,2,0,2,6,23,2017
C. Ayers,MAI,25.0,26,4,535,40,130,0.308,34,106,0.321,6,24,0.25,0.438,6,7,0.857,14,39,53,25,13,3,15,21,120,2017
C. Ayers,TOT,25.0,33,4,644,47,157,0.299,39,128,0.305,8,29,0.276,0.424,10,11,0.909,15,43,58,28,15,3,17,27,143,2017
J. Ayres,LOS,29.0,22,10,504,108,162,0.667,2,5,0.4,106,157,0.675,0.673,64,69,0.928,48,110,158,16,7,15,30,74,282,2017
R. Baker,WES,23.0,4,4,144,17,40,0.425,8,18,0.444,9,22,0.409,0.525,8,14,0.571,3,18,21,28,11,2,14,11,50,2017
G. Bakumanya,NAS,19.0,40,13,416,48,102,0.471,0,0,0.0,48,102,0.471,0.471,13,18,0.722,52,78,130,13,12,10,21,72,109,2017
W. Baldwin,IOW,20.0,33,22,931,153,353,0.433,23,74,0.311,130,279,0.466,0.466,98,131,0.748,22,120,142,175,44,12,104,88,427,2017
C. Barber,SWR,22.0,19,18,717,137,324,0.423,22,69,0.319,115,255,0.451,0.457,62,85,0.729,8,45,53,105,22,0,58,46,358,2017
C. Barber,DEL,22.0,21,21,654,111,254,0.437,17,45,0.378,94,209,0.45,0.47,59,87,0.678,8,67,75,81,22,3,66,56,298,2017
C. Barber,TOT,22.0,40,39,1371,248,578,0.429,39,114,0.342,209,464,0.45,0.463,121,172,0.703,16,112,128,186,44,3,124,102,656,2017
P. Bass,ERI,,15,0,178,23,68,0.338,6,15,0.4,17,53,0.321,0.382,6,14,0.429,16,25,41,12,3,10,16,25,58,2017
M. Beasley,SFL,20.0,16,12,497,108,236,0.458,30,81,0.37,78,155,0.503,0.521,56,63,0.889,23,98,121,41,17,2,34,31,302,2017
B. Beech,LIN,22.0,36,12,695,87,236,0.369,52,142,0.366,35,94,0.372,0.479,39,50,0.78,23,77,100,44,39,5,37,102,265,2017
C. Behanan,SLS,24.0,16,0,257,53,98,0.541,0,1,0.0,53,97,0.546,0.541,31,44,0.705,46,46,92,14,13,2,19,36,137,2017
C. Behanan,REN,24.0,19,4,321,65,130,0.5,1,5,0.2,64,125,0.512,0.504,36,56,0.643,36,48,84,11,15,2,30,47,167,2017
C. Behanan,TOT,24.0,35,4,578,118,228,0.518,1,6,0.167,117,222,0.527,0.52,67,100,0.67,82,94,176,25,28,4,49,83,304,2017
D. Bembry,SLS,22.0,6,5,189,40,74,0.541,6,16,0.375,34,58,0.586,0.581,11,20,0.55,9,29,38,21,9,6,15,10,97,2017
A. Bennett,LIN,23.0,2,2,70,14,28,0.5,6,13,0.462,8,15,0.533,0.607,2,4,0.5,6,10,16,7,4,2,6,4,36,2017
K. Benson,SFL,28.0,50,50,1597,418,694,0.602,3,7,0.429,415,687,0.604,0.604,185,240,0.771,166,360,526,35,32,111,80,196,1024,2017
B. Bentil,FOR,21.0,20,4,434,77,212,0.363,27,87,0.31,50,125,0.4,0.427,60,75,0.8,24,67,91,12,15,5,27,40,241,2017
D. Bertans,AUS,24.0,4,4,124,16,42,0.381,13,33,0.394,3,9,0.333,0.536,14,14,1.0,3,11,14,9,7,7,10,11,59,2017
G. Beverly,CAN,23.0,40,1,464,74,125,0.592,2,5,0.4,72,120,0.6,0.6,40,59,0.678,66,70,136,4,8,17,10,63,190,2017
D. Blair,TOT,27.0,19,3,364,91,185,0.492,0,1,0.0,91,184,0.495,0.492,28,48,0.583,50,62,112,14,11,5,28,70,210,2017
D. Blair,TEX,27.0,6,0,98,29,60,0.483,0,1,0.0,29,59,0.492,0.483,6,12,0.5,12,21,33,3,2,3,7,24,64,2017
D. Blair,LOS,27.0,13,3,266,62,125,0.496,0,0,0.0,62,125,0.496,0.496,22,36,0.611,38,41,79,11,9,2,21,46,146,2017
J. Bland,SLS,23.0,39,10,736,72,230,0.313,63,198,0.318,9,32,0.281,0.45,13,19,0.684,6,74,80,31,25,2,21,62,220,2017
V. Blue,LOS,24.0,47,46,1638,359,826,0.435,85,242,0.351,274,584,0.469,0.486,363,450,0.807,43,197,240,141,76,3,99,100,1166,2017
M. Bolden,AUS,27.0,26,0,227,32,79,0.405,5,21,0.238,27,58,0.466,0.437,16,20,0.8,17,40,57,14,8,7,11,26,85,2017
J. Bolomboy,SLS,23.0,24,22,826,137,252,0.544,22,47,0.468,115,205,0.561,0.587,103,146,0.705,112,207,319,43,16,30,53,59,399,2017
J. Bond,WES,23.0,45,4,837,149,314,0.475,14,36,0.389,135,278,0.486,0.497,26,56,0.464,114,171,285,59,31,9,37,122,338,2017
A. Booker,NAS,23.0,42,40,1333,230,586,0.392,76,221,0.344,154,365,0.422,0.457,112,158,0.709,38,133,171,224,50,4,104,109,648,2017
J. Branch,REN,24.0,25,0,342,45,115,0.391,4,17,0.235,41,98,0.418,0.409,18,21,0.857,5,35,40,53,15,3,42,39,112,2017
D. Brooks,WCB,24.0,3,0,36,2,13,0.154,0,4,0.0,2,9,0.222,0.154,1,2,0.5,0,6,6,8,1,2,3,3,5,2017
D. Brooks,TOT,24.0,15,1,278,31,94,0.33,4,22,0.182,27,72,0.375,0.351,20,25,0.8,9,26,35,50,14,3,20,34,86,2017
D. Brooks,LIN,24.0,12,1,242,29,81,0.358,4,18,0.222,25,63,0.397,0.383,19,23,0.826,9,20,29,42,13,1,17,31,81,2017
A. Brown,WCB,24.0,50,47,1168,215,452,0.476,56,154,0.364,159,298,0.534,0.538,47,58,0.81,104,157,261,44,37,95,53,162,533,2017
A. Brown,ERI,24.0,24,24,906,165,354,0.466,57,122,0.467,108,232,0.466,0.547,101,125,0.808,15,115,130,75,24,4,76,65,488,2017
J. Brown,SAN,24.0,9,0,243,61,117,0.521,28,51,0.549,33,66,0.5,0.641,51,58,0.879,4,30,34,27,3,2,22,16,201,2017
L. Brown,GRR,26.0,11,9,393,96,203,0.473,18,51,0.353,78,152,0.513,0.517,50,64,0.781,21,64,85,44,19,5,19,21,260,2017
N. Brussino,TEX,23.0,5,5,179,27,43,0.628,13,25,0.52,14,18,0.778,0.779,16,19,0.842,8,30,38,24,8,6,9,12,83,2017
M. Bryson,NAS,22.0,46,2,824,82,215,0.381,50,132,0.379,32,83,0.386,0.498,20,27,0.741,20,92,112,37,19,39,20,85,234,2017
A. Burks,SLS,25.0,1,1,21,5,17,0.294,1,8,0.125,4,9,0.444,0.324,2,3,0.667,2,3,5,3,1,0,3,2,13,2017
T. Burrell,LIN,24.0,49,36,1492,255,518,0.492,44,124,0.355,211,394,0.536,0.535,86,115,0.748,117,214,331,163,69,28,106,136,640,2017
D. Byars,DEL,32.0,13,0,226,20,61,0.328,4,33,0.121,16,28,0.571,0.361,4,6,0.667,6,26,32,13,2,3,6,12,48,2017
W. Bynum,WCB,34.0,22,20,595,100,246,0.407,26,87,0.299,74,159,0.465,0.459,81,88,0.92,8,51,59,142,37,3,52,63,307,2017
B. Caboclo,RAP,21.0,34,33,920,133,323,0.412,52,157,0.331,81,166,0.488,0.492,19,29,0.655,38,147,185,43,34,42,44,76,337,2017
J. Calliste,MAI,27.0,19,0,319,27,61,0.443,21,46,0.457,6,15,0.4,0.615,17,18,0.944,6,37,43,23,6,0,17,19,92,2017
K. Capers,WES,23.0,48,16,1100,135,361,0.374,28,95,0.295,107,266,0.402,0.413,132,167,0.79,15,84,99,112,70,9,78,143,430,2017
A. Caruso,OKL,22.0,50,46,1513,204,444,0.459,61,152,0.401,143,292,0.49,0.528,125,167,0.749,42,153,195,260,108,28,156,132,594,2017
Q. Chievous,IOW,24.0,48,17,1165,167,310,0.539,21,60,0.35,146,250,0.584,0.573,62,122,0.508,65,175,240,83,24,18,69,135,417,2017
D. Christmas,DEL,30.0,31,31,980,157,360,0.436,62,169,0.367,95,191,0.497,0.522,86,107,0.804,18,89,107,99,27,7,81,75,462,2017
R. Christmas,FOR,25.0,9,8,207,32,68,0.471,0,0,0.0,32,68,0.471,0.471,21,33,0.636,20,32,52,5,2,12,15,34,85,2017
S. Christon,OKL,24.0,4,4,133,24,64,0.375,2,4,0.5,22,60,0.367,0.391,22,28,0.786,2,13,15,21,7,1,15,10,72,2017
D. Clifford,SAN,24.0,38,34,990,171,289,0.592,0,0,0.0,171,289,0.592,0.592,111,172,0.645,79,230,309,77,23,39,101,120,453,2017
K. Collinsworth,TEX,25.0,36,16,983,97,225,0.431,12,41,0.293,85,184,0.462,0.458,28,51,0.549,97,156,253,139,63,32,46,92,234,2017
D. Cooke Jr.,NAS,25.0,50,10,1069,165,297,0.556,0,3,0.0,165,294,0.561,0.556,44,96,0.458,168,209,377,39,43,28,56,123,374,2017
E. Cook,SAN,24.0,20,1,465,116,207,0.56,8,24,0.333,108,183,0.59,0.58,84,108,0.778,40,65,105,19,20,9,31,63,324,2017
Q. Cook,CAN,23.0,39,38,1502,352,740,0.476,97,261,0.372,255,479,0.532,0.541,213,238,0.895,20,138,158,260,44,3,142,95,1014,2017
T. Cooney,LIN,24.0,22,4,293,29,77,0.377,13,45,0.289,16,32,0.5,0.461,7,9,0.778,3,19,22,16,5,5,11,21,78,2017
R. Cooper,MAI,23.0,3,0,13,0,1,0.0,0,1,0.0,0,0,0.0,0.0,0,0,0.0,1,3,4,1,1,0,1,1,0,2017
M. Costello,IOW,23.0,23,14,582,85,166,0.512,7,38,0.184,78,128,0.609,0.533,41,53,0.774,80,154,234,43,13,38,38,72,218,2017
I. Cousins,REN,22.0,50,50,1744,332,730,0.455,41,141,0.291,291,589,0.494,0.483,144,182,0.791,52,236,288,201,92,10,116,150,849,2017
J. Cousins,TOT,23.0,31,12,383,49,107,0.458,0,0,0.0,49,107,0.458,0.458,61,92,0.663,33,59,92,3,10,20,30,90,159,2017
J. Cousins,TEX,23.0,15,0,158,17,38,0.447,0,0,0.0,17,38,0.447,0.447,17,29,0.586,13,15,28,1,4,6,14,42,51,2017
J. Cousins,REN,23.0,16,12,225,32,69,0.464,0,0,0.0,32,69,0.464,0.464,44,63,0.698,20,44,64,2,6,14,16,48,108,2017
C. Crawford,IOW,24.0,3,0,50,9,23,0.391,3,11,0.273,6,12,0.5,0.457,1,2,0.5,1,2,3,11,2,2,7,4,22,2017
J. Crawford,GRR,28.0,37,17,1103,316,668,0.473,97,273,0.355,219,395,0.554,0.546,140,161,0.87,15,108,123,129,43,6,71,68,869,2017
J. Crawford,WES,26.0,31,9,728,124,282,0.44,27,64,0.422,97,218,0.445,0.488,66,87,0.759,8,55,63,89,32,1,45,60,341,2017
J. Crawford,TOT,26.0,46,12,987,154,373,0.413,36,97,0.371,118,276,0.428,0.461,83,107,0.776,12,74,86,125,48,1,72,84,427,2017
J. Crawford,CAN,26.0,15,3,259,30,91,0.33,9,33,0.273,21,58,0.362,0.379,17,20,0.85,4,19,23,36,16,0,27,24,86,2017
S. Croone,SFL,,3,0,22,1,6,0.167,1,4,0.25,0,2,0.0,0.25,4,7,0.571,1,2,3,1,1,0,1,3,7,2017
M. Cummings,SFL,28.0,7,0,62,7,14,0.5,1,5,0.2,6,9,0.667,0.536,2,2,1.0,2,5,7,0,2,1,3,10,17,2017
B. Dallo,LIN,22.0,46,19,1082,142,336,0.423,24,93,0.258,118,243,0.486,0.458,54,77,0.701,35,162,197,179,34,2,130,58,362,2017
A. Davis,TOT,25.0,51,39,1256,142,312,0.455,15,38,0.395,127,274,0.464,0.479,100,146,0.685,96,152,248,47,33,78,74,174,399,2017
A. Davis,NAS,25.0,23,21,560,61,136,0.449,4,13,0.308,57,123,0.463,0.463,46,64,0.719,49,64,113,23,18,44,33,81,172,2017
A. Davis,ERI,25.0,28,18,696,81,176,0.46,11,25,0.44,70,151,0.464,0.491,54,82,0.659,47,88,135,24,15,34,41,93,227,2017
D. Davis,IOW,,11,10,306,55,100,0.55,0,0,0.0,55,100,0.55,0.55,6,9,0.667,33,62,95,5,10,26,9,28,116,2017
M. Davis,WES,28.0,24,0,312,44,77,0.571,0,1,0.0,44,76,0.579,0.571,11,15,0.733,25,45,70,15,8,8,9,35,99,2017
T. Davis,CAN,23.0,1,0,19,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,0.0,0,1,1,2,0,0,1,1,0,2017
W. Davis,REN,24.0,42,6,763,176,288,0.611,0,0,0.0,176,288,0.611,0.611,57,76,0.75,84,98,182,16,11,48,32,63,409,2017
A. Dawkins,TOT,25.0,42,3,956,174,403,0.432,115,277,0.415,59,126,0.468,0.574,39,52,0.75,19,82,101,37,26,5,37,70,502,2017
A. Dawkins,TEX,25.0,28,3,653,124,278,0.446,86,193,0.446,38,85,0.447,0.601,29,34,0.853,15,64,79,22,20,5,28,46,363,2017
A. Dawkins,WCB,25.0,14,0,303,50,125,0.4,29,84,0.345,21,41,0.512,0.516,10,18,0.556,4,18,22,15,6,0,9,24,139,2017
B. Dawson,ERI,23.0,33,13,877,189,384,0.492,0,4,0.0,189,380,0.497,0.492,48,90,0.533,94,141,235,53,55,21,62,68,426,2017
E. Dawson,SLS,32.0,2,2,51,4,12,0.333,0,0,0.0,4,12,0.333,0.333,5,6,0.833,5,15,20,3,3,2,6,6,13,2017
C. DeBerry,WCB,22.0,12,0,113,13,28,0.464,0,0,0.0,13,28,0.464,0.464,7,12,0.583,9,18,27,5,4,4,8,20,33,2017
D. Deng,TEX,25.0,3,0,28,5,16,0.313,0,2,0.0,5,14,0.357,0.313,3,4,0.75,4,8,12,2,0,1,3,5,13,2017
T. Devries,LOS,34.0,48,20,1139,172,398,0.432,106,244,0.434,66,154,0.429,0.565,41,54,0.759,13,85,98,84,36,4,54,92,491,2017
C. Diallo,TOT,20.0,26,21,724,167,333,0.502,0,4,0.0,167,329,0.508,0.502,55,73,0.753,46,174,220,18,14,63,43,90,389,2017
C. Diallo,SWR,20.0,15,15,479,109,224,0.487,0,3,0.0,109,221,0.493,0.487,39,50,0.78,30,127,157,13,8,42,31,58,257,2017
C. Diallo,LIN,20.0,2,0,35,11,17,0.647,0,0,0.0,11,17,0.647,0.647,2,4,0.5,1,8,9,1,1,2,2,9,24,2017
C. Diallo,AUS,20.0,9,6,210,47,92,0.511,0,1,0.0,47,91,0.516,0.511,14,19,0.737,15,39,54,4,5,19,10,23,108,2017
S. Dinwiddie,WCB,23.0,9,9,337,57,119,0.479,12,29,0.414,45,90,0.5,0.529,49,61,0.803,3,30,33,73,20,5,25,28,175,2017
Q. Douby,WES,32.0,2,1,34,3,13,0.231,1,5,0.2,2,8,0.25,0.269,2,2,1.0,0,1,1,3,3,0,1,4,9,2017
L. Drew,SFL,26.0,10,1,237,31,65,0.477,14,35,0.4,17,30,0.567,0.585,5,7,0.714,4,23,27,59,7,1,22,23,81,2017
T. Drisdom,SAN,24.0,43,17,770,84,184,0.457,13,44,0.295,71,140,0.507,0.492,37,47,0.787,36,120,156,60,31,24,27,56,218,2017
D. Dukan,WCB,25.0,25,7,530,79,180,0.439,40,93,0.43,39,87,0.448,0.55,43,67,0.642,25,60,85,20,9,2,23,57,241,2017
K. Dunham,IOW,23.0,35,16,598,60,144,0.417,30,83,0.361,30,61,0.492,0.521,20,21,0.952,11,59,70,21,17,6,30,28,170,2017
M. Dunigan,CAN,25.0,39,11,653,101,237,0.426,0,2,0.0,101,235,0.43,0.426,91,124,0.734,57,96,153,18,34,43,42,114,293,2017
C. Early,SAN,25.0,14,0,248,52,105,0.495,13,30,0.433,39,75,0.52,0.557,23,36,0.639,15,45,60,10,8,14,15,31,140,2017
J. Eddie,WCB,25.0,20,13,601,127,254,0.5,68,138,0.493,59,116,0.509,0.634,33,39,0.846,13,76,89,40,10,11,27,40,355,2017
J. Eddie,TOT,25.0,45,27,1273,222,483,0.46,114,275,0.415,108,208,0.519,0.578,75,87,0.862,26,151,177,69,26,18,78,83,633,2017
J. Eddie,AUS,25.0,25,14,672,95,229,0.415,46,137,0.336,49,92,0.533,0.515,42,48,0.875,13,75,88,29,16,7,51,43,278,2017
A. Edwards,MAI,24.0,47,3,967,119,288,0.413,60,181,0.331,59,107,0.551,0.517,56,73,0.767,27,150,177,57,40,33,78,86,354,2017
S. Edwards,DEL,,8,1,204,35,76,0.461,2,15,0.133,33,61,0.541,0.474,21,31,0.677,8,48,56,3,1,9,10,13,93,2017
H. Ellenson,GRR,20.0,21,21,740,127,305,0.416,38,116,0.328,89,189,0.471,0.479,83,103,0.806,33,154,187,28,12,18,40,55,375,2017
P. Ellis,SWR,23.0,50,12,1122,179,395,0.453,41,109,0.376,138,286,0.483,0.505,90,117,0.769,80,157,237,46,29,8,38,74,489,2017
C. Evans,CAN,26.0,33,28,1137,203,451,0.45,56,156,0.359,147,295,0.498,0.512,121,171,0.708,63,108,171,78,64,20,78,103,583,2017
K. Felder,CAN,21.0,11,11,396,119,255,0.467,20,55,0.364,99,200,0.495,0.506,71,86,0.826,8,29,37,66,17,4,46,33,329,2017
C. Felicio,WCB,24.0,1,1,38,8,16,0.5,0,0,0.0,8,16,0.5,0.5,4,5,0.8,5,7,12,1,1,2,6,4,20,2017
