Player,Season,Age,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,TS%,FTr,3PAr,FG%,2P%,3P%,FT%,eFG%,S_R_H,S_R_W,cm_per_kg
Brandon Ingram,2016-17,19,36,1246,214,484,134,289,80,195,116,170,67,177,244,72,41,49,72,74,624,591,3.4,1.5,4.9,22.5,6,15.5,10.8,11.4,1.9,3.6,11.3,25.6,114.7,104.4,4.6,2.9,7.5,6.869983949,15.53772071,4.30176565,9.277688604,2.568218299,6.260032103,3.723916533,5.457463884,2.150882825,5.682182986,7.833065811,2.311396469,1.316211878,1.573033708,2.311396469,2.375601926,20.03210273,55.83392985,0.351239669,0.402892562,0.44214876,0.46366782,0.41025641,0.682352941,0.524793388,206,86,2.395348837
Brandon Knight,2011-12,20,38,1363,217,513,130,282,87,231,136,171,25,128,153,159,25,8,120,83,657,652,3.6,1.8,5.3,19.3,2.2,10.2,6.3,23.4,1.1,0.6,16.8,27,109.9,101.5,5.4,0.5,5.9,6.368305209,15.05502568,3.81511372,8.275862069,2.553191489,6.77916361,3.991195891,5.018341893,0.733675715,3.756419663,4.490095378,4.66617755,0.733675715,0.234776229,3.521643434,2.435803375,19.2809978,55.84455324,0.333333333,0.450292398,0.423001949,0.460992908,0.376623377,0.795321637,0.507797271,190,83,2.289156627
Briante Weber,2015-16,23,127,2965,296,695,256,549,40,146,230,299,103,320,423,378,374,26,186,280,862,977,4.6,8.7,13.4,20.97456998,3.526003373,13.78887015,8.199696459,25.21993255,7.753659359,1.024789207,18.07386172,17.2772344,108.4742664,84.90215852,3.205025295,7.494671164,10.69969646,3.993254637,9.376053963,3.453625632,7.406408094,0.539629005,1.969645868,3.102866779,4.033726813,1.389544688,4.31703204,5.706576729,5.099494098,5.045531197,0.350758853,2.509274874,3.777403035,11.62900506,52.14382501,0.430215827,0.210071942,0.425899281,0.466302368,0.273972603,0.769230769,0.454676259,188,74,2.540540541
Bryce Cotton,2014-15,22,130,4314,611,1452,345,716,266,736,487,581,70,298,368,384,118,11,193,157,1975,1836,14.1,2.9,17.1,19.71675939,1.79930459,8.230482151,4.899721836,19.45431154,1.642049142,0.271488178,9.928048215,22.24527121,121.4760547,108.675452,6.86956421,-1.226866018,5.671302735,5.665275846,13.46314325,3.198887344,6.638850255,2.466388503,6.824293,4.51553083,5.387111729,0.649049606,2.763096894,3.4121465,3.560500695,1.094112193,0.10199351,1.789522485,1.455725545,18.31247102,57.8283479,0.400137741,0.506887052,0.420798898,0.481843575,0.361413043,0.838209983,0.512396694,185,74,2.5
Bryce Dejean-Jones,2015-16,23,117,2888,441,1028,321,671,120,357,264,386,116,355,471,272,110,29,212,250,1266,1240,5,4.9,9.9,17.94702216,4.589958449,13.40207756,9.085387812,19.65283934,2.240581717,0.989265928,14.91772853,25.04923823,105.0583102,97.71911357,2.911288089,2.150900277,5.035872576,6.108033241,14.23822715,4.44598338,9.293628809,1.662049862,4.944598338,3.656509695,5.346260388,1.606648199,4.916897507,6.523545706,3.767313019,1.523545706,0.40166205,2.936288089,3.462603878,17.53462604,52.84512122,0.375486381,0.347276265,0.428988327,0.478390462,0.336134454,0.683937824,0.487354086,198,95,2.084210526
Bryn Forbes,2016-17,23,138,4010,565,1258,241,513,324,745,288,351,67,272,339,182,87,8,164,219,1742,1469,10.9,3.9,14.7,17.54560429,2.148764292,8.785179384,5.3878344,9.295136958,1.35503996,0.212607787,10.34818032,21.06352323,121.2136946,106.4225243,4.966807962,-1.375880578,3.663448051,5.635910224,12.54862843,2.403990025,5.117206983,3.2319202,7.431421446,2.872817955,3.501246883,0.668329177,2.713216958,3.381546135,1.815461347,0.867830424,0.079800499,1.635910224,2.184538653,17.3765586,61.66633627,0.279014308,0.592209857,0.449125596,0.469785575,0.434899329,0.820512821,0.577901431,190,79,2.405063291
Buddy Hield,2016-17,23,132,4182,783,1748,434,854,349,894,376,450,209,452,661,254,168,38,285,259,2291,2092,12.2,6.2,18.5,21.45743663,5.965423242,11.70511717,8.922931612,13.22604017,2.415064562,0.953347681,13.15174558,25.91410808,111.97011,99.8199187,6.572381636,1.96372549,8.536107126,7.489239598,16.71927308,4.151123864,8.168340507,3.338115734,8.550932568,3.596365375,4.304160689,1.99904352,4.323290292,6.322333812,2.429459589,1.606886657,0.363462458,2.725968436,2.477283596,21.91296031,58.8643371,0.257437071,0.511441648,0.447940503,0.508196721,0.390380313,0.835555556,0.547768879,193,94,2.053191489
C.J. McCollum,2013-14,22,111,3657,767,1746,550,1170,217,576,610,739,167,529,696,304,228,51,267,195,2361,2203,13.9,6.7,20.5,30.61394586,5.071424665,17.59617173,11.25537326,21.33502871,3.629149576,1.5496035,11.54446267,34.04320481,114.5623462,95.20448455,5.512934099,1.027782335,6.569483183,8.389390211,19.097621,6.015859995,12.7973749,2.373530216,6.300246103,6.67213563,8.083128247,1.826633853,5.786163522,7.612797375,3.325129888,2.493847416,0.55783429,2.920426579,2.132895816,25.82444627,56.99704513,0.42325315,0.329896907,0.439289805,0.47008547,0.376736111,0.825439783,0.501431844,190,81,2.345679012
C.J. Wilcox,2014-15,24,131,3735,640,1478,339,705,301,773,299,356,110,331,441,214,112,98,178,250,1880,1672,11.8,3.8,15.4,20.96891566,3.424069612,10.45103079,6.838768407,11.38323963,1.689022758,2.364497992,9.37601071,23.49502008,121.7080321,104.5821419,6.585381526,0.571111111,7.124792503,6.854082999,15.82864793,3.630522088,7.550200803,3.22356091,8.278447122,3.202141901,3.812583668,1.178045515,3.544846051,4.722891566,2.291834003,1.199464525,1.049531459,1.906291834,2.677376171,20.13386881,57.5050164,0.240866035,0.52300406,0.433017591,0.480851064,0.389391979,0.83988764,0.534844384,196,88,2.227272727
Cameron Payne,2015-16,21,69,2238,435,1007,279,573,156,434,253,324,31,221,252,394,125,37,197,168,1279,1315,8,3.3,11.3,25.26568365,1.646067918,10.95250223,6.448927614,37.0792672,3.297855228,1.650357462,14.61572833,30.4424933,115.4499553,101.4171582,5.377122431,0.04821269,5.425335121,7.774798928,17.99821269,4.986595174,10.24128686,2.788203753,7.756925827,4.521894549,5.790884719,0.55406613,3.949955317,4.504021448,7.042001787,2.234137623,0.661304736,3.521000894,3.002680965,22.85969616,55.62998017,0.321747766,0.430983118,0.431976167,0.486910995,0.359447005,0.780864198,0.509433962,188,81,2.320987654
Caris LeVert,2016-17,22,103,2721,366,843,232,509,134,334,204,265,39,325,364,275,97,22,136,151,1070,1067,6.4,3.7,10,21.94935685,1.964939361,16.33057699,9.121168688,25.52047042,2.180705623,0.838184491,11.7429254,23.60011025,115.8939728,101.9837927,6.064829107,2.517971334,8.595810364,5.380374862,12.39250276,3.410510842,7.482543183,1.969864021,4.909959574,2.998897464,3.895626608,0.573318633,4.777655274,5.350973907,4.042631386,1.425946343,0.323410511,1.999264976,2.219772143,15.72951121,55.75239683,0.314353499,0.396204033,0.434163701,0.455795678,0.401197605,0.769811321,0.513641756,201,90,2.233333333
Casper Ware,2013-14,24,101,3430,488,1220,290,665,198,555,394,494,49,221,270,423,171,14,285,231,1568,1562,7.7,4.7,12.4,18.53810496,1.626501458,7.472332362,4.517434402,25.1261516,2.887609329,0.433177843,16.55381924,25.09991254,107.9214869,100.653965,3.403265306,-0.472536443,2.930728863,5.690962099,14.22740525,3.381924198,7.755102041,2.309037901,6.472303207,4.594752187,5.760932945,0.571428571,2.577259475,3.148688047,4.932944606,1.994169096,0.163265306,3.32361516,2.693877551,18.28571429,54.54444259,0.404918033,0.454918033,0.4,0.436090226,0.356756757,0.79757085,0.481147541,178,79,2.253164557
Chandler Parsons,2011-12,23,70,2283,296,609,215,386,81,223,154,248,151,361,512,224,73,20,148,137,827,861,5.7,3.9,9.7,20.66898817,7.784494087,18.00801577,12.91550591,18.74686816,1.969163382,0.86933859,16.81568112,19.73832676,115.4684625,97.34581691,2.400700832,1.985194919,4.385895751,5.186158563,10.67017083,3.766973281,6.763031099,1.419185283,3.907139728,2.698204117,4.345159877,2.6456417,6.325010951,8.97065265,3.924660534,1.279018835,0.350416119,2.593079282,2.400350416,14.48970653,57.5809057,0.407224959,0.366174056,0.486042693,0.556994819,0.3632287,0.620967742,0.552545156,206,97,2.12371134
Charles Jenkins,2011-12,22,67,2466,484,1013,355,702,129,311,351,431,56,209,265,292,118,41,181,155,1448,1365,10.2,2.7,12.9,27.50316302,2.44947283,9.44947283,5.899513382,28.25263585,2.9,1.750121655,12.8485807,28.6000811,120.206326,103.7532847,5.00405515,-0.550446067,4.453609084,7.850770479,16.43146796,5.758313058,11.38686131,2.092457421,5.04460665,5.693430657,6.99107867,0.908353609,3.390105434,4.298459043,4.736415247,1.914030819,0.665044607,2.935928629,2.514193025,23.48742903,60.20089137,0.425468904,0.307008885,0.477788746,0.505698006,0.414790997,0.814385151,0.541461007,190,99,1.919191919
