Player,School,Yr,Version
Alfonzo McKinnie,Eastern Illinois,4023,1
Alfonzo McKinnie,Green Bay,4029,1
Allan Saint-Gelais,Grambling,2010,1
Allan Saint-Gelais,South Dakota,2012,1
Allen Huddleston,Fresno State,4027,1
Allen Huddleston,Pacific,4021,1
Allen Jiles,Cal State Northridge,4023,1
Allen Jiles,Idaho,2014,1
Allen Roberts,Miami (OH),6034,1
Allen Roberts,Penn State,2014,1
Alonzo Nelson-Ododa,Pittsburgh,2016,1
Alonzo Nelson-Ododa,Richmond,6042,1
Alwayne Bigby,Northeastern,6033,1
Alwayne Bigby,Rhode Island,2013,1
Amara Thompson,Central Florida,4021,1
Amara Thompson,Stetson,2012,1
Amath M'Baye,Oklahoma,2013,1
Amath M'Baye,Wyoming,4021,1
Ambrose Mosley,North Carolina-Wilmington,2017,1
Ambrose Mosley,Old Dominion,6045,1
Ameen Tanksley,Hofstra,4031,1
Ameen Tanksley,Niagara,4025,1
Amir Bell,Delaware State,2010,1
Amir Bell,Princeton,6048,2
Amos Olatayo,Louisiana-Monroe,4027,1
Amos Olatayo,Stephen F. Austin,2011,1
Anali Okoloji,Eastern Michigan,2015,1
Anali Okoloji,George Mason,4027,1
Anali Okoloji,Seton Hall,2011,1
Anders Broman,South Dakota State,4029,1
Anders Broman,Winthrop,2017,1
Andre Adams,Arizona State,2017,1
Andre Adams,Prairie View,2014,1
Andre Brown,Arkansas-Little Rock,2015,1
Andre Brown,DePaul,8010,2
Andre Jones,Arkansas-Little Rock,2017,1
Andre Jones,Winthrop,6033,2
Andre Malone,Auburn,4021,1
Andre Malone,Rhode Island,4025,1
Andre Owens,Houston,6012,1
Andre Owens,Indiana,2001,1
Andre Walker,Hofstra,6048,1
Andre Walker,Loyola (MD),6048,2
Andre Walker,Vanderbilt,4021,3
Andre Walker,Xavier,2012,3
Andre Washington,East Carolina,2017,1
Andre Washington,Illinois State,2017,2
Andre Washington,Wake Forest,6042,1
Andre Yates,Cleveland State,4031,1
Andre Yates,Creighton,2013,1
Andrew Bock,Creighton,2010,1
Andrew Bock,Pacific,6039,1
Andrew Fleming,Iowa,2016,1
Andrew Fleming,Long Beach State,2010,2
Andrew Fleming,Maine,2017,3
Andrew Jones,Missouri,2012,1
Andrew Jones,Penn State,4021,2
Andrew Jones,Texas,2017,3
Andrew McCarthy,Brown,6033,1
Andrew McCarthy,Massachusetts,2012,2
Andrew Poulter,Arkansas-Little Rock,4027,1
Andrew Poulter,IPFW,2016,1
Andrew Rowsey,Marquette,2017,1
Andrew Rowsey,North Carolina-Asheville,4029,1
Andrew Smith,Butler,8046,1
Andrew Smith,Florida A&M,2017,2
Andrew Smith,Liberty,8054,3
