Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Yr
Will Bynum,WCB,34.0,22,20.0,595.0,6.1,14.9,0.407,1.6,5.3,0.299,4.5,9.6,0.465,4.9,5.3,0.92,0.5,3.1,3.6,8.6,2.2,0.2,3.1,3.8,18.6,2017
Bruno Caboclo,RAP,21.0,34,33.0,920.0,5.2,12.6,0.412,2.0,6.1,0.331,3.2,6.5,0.488,0.7,1.1,0.655,1.5,5.8,7.2,1.7,1.3,1.6,1.7,3.0,13.2,2017
Jason Calliste,MAI,27.0,19,0.0,319.0,3.0,6.9,0.443,2.4,5.2,0.457,0.7,1.7,0.4,1.9,2.0,0.944,0.7,4.2,4.9,2.6,0.7,0.0,1.9,2.1,10.4,2017
Kevin Capers,WES,23.0,48,16.0,1100.0,4.4,11.8,0.374,0.9,3.1,0.295,3.5,8.7,0.402,4.3,5.5,0.79,0.5,2.7,3.2,3.7,2.3,0.3,2.6,4.7,14.1,2017
Alex Caruso,OKL,22.0,50,46.0,1513.0,4.9,10.6,0.459,1.5,3.6,0.401,3.4,6.9,0.49,3.0,4.0,0.749,1.0,3.6,4.6,6.2,2.6,0.7,3.7,3.1,14.1,2017
Quinton Chievous,IOW,24.0,48,17.0,1165.0,5.2,9.6,0.539,0.6,1.9,0.35,4.5,7.7,0.584,1.9,3.8,0.508,2.0,5.4,7.4,2.6,0.7,0.6,2.1,4.2,12.9,2017
Dionte Christmas,DEL,30.0,31,31.0,980.0,5.8,13.2,0.436,2.3,6.2,0.367,3.5,7.0,0.497,3.2,3.9,0.804,0.7,3.3,3.9,3.6,1.0,0.3,3.0,2.8,17.0,2017
Rakeem Christmas,FOR,,25,9.0,8.0,207.0,5.6,11.8,0.471,0.0,0.0,5.6,11.8,0.471,3.7,5.7,0.636,3.5,5.6,9.0,0.9,0.3,2.1,2.6,5.9,14.8,2017
Semaj Christon,OKL,24.0,4,4.0,133.0,6.5,17.3,0.375,0.5,1.1,0.5,6.0,16.2,0.367,6.0,7.6,0.786,0.5,3.5,4.1,5.7,1.9,0.3,4.1,2.7,19.5,2017
Dennis Clifford,SAN,,24,38.0,34.0,990.0,6.2,10.5,0.592,0.0,0.0,6.2,10.5,0.592,4.0,6.3,0.645,2.9,8.4,11.2,2.8,0.8,1.4,3.7,4.4,16.5,2017
Kyle Collinsworth,TEX,25.0,36,16.0,983.0,3.6,8.2,0.431,0.4,1.5,0.293,3.1,6.7,0.462,1.0,1.9,0.549,3.6,5.7,9.3,5.1,2.3,1.2,1.7,3.4,8.6,2017
Derek Cooke Jr.,NAS,25.0,50,10.0,1069.0,5.6,10.0,0.556,0.0,0.1,0.0,5.6,9.9,0.561,1.5,3.2,0.458,5.7,7.0,12.7,1.3,1.4,0.9,1.9,4.1,12.6,2017
Elgin Cook,SAN,24.0,20,1.0,465.0,9.0,16.0,0.56,0.6,1.9,0.333,8.4,14.2,0.59,6.5,8.4,0.778,3.1,5.0,8.1,1.5,1.5,0.7,2.4,4.9,25.1,2017
Quinn Cook,CAN,23.0,39,38.0,1502.0,8.4,17.7,0.476,2.3,6.3,0.372,6.1,11.5,0.532,5.1,5.7,0.895,0.5,3.3,3.8,6.2,1.1,0.1,3.4,2.3,24.3,2017
Trevor Cooney,LIN,24.0,22,4.0,293.0,3.6,9.5,0.377,1.6,5.5,0.289,2.0,3.9,0.5,0.9,1.1,0.778,0.4,2.3,2.7,2.0,0.6,0.6,1.4,2.6,9.6,2017
Rodney Cooper,MAI,23.0,3,0.0,13.0,0.0,2.8,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,2.8,8.3,11.1,2.8,2.8,0.0,2.8,2.8,0.0,,,2017
Matt Costello,IOW,23.0,23,14.0,582.0,5.3,10.3,0.512,0.4,2.4,0.184,4.8,7.9,0.609,2.5,3.3,0.774,4.9,9.5,14.5,2.7,0.8,2.4,2.4,4.5,13.5,2017
Isaiah Cousins,REN,22.0,50,50.0,1744.0,6.9,15.1,0.455,0.8,2.9,0.291,6.0,12.2,0.494,3.0,3.8,0.791,1.1,4.9,5.9,4.1,1.9,0.2,2.4,3.1,17.5,2017
Jaleel Cousins,TEX,,23,15.0,0.0,158.0,3.9,8.7,0.447,0.0,0.0,3.9,8.7,0.447,3.9,6.6,0.586,3.0,3.4,6.4,0.2,0.9,1.4,3.2,9.6,11.6,2017
Jaleel Cousins,REN,,23,16.0,12.0,225.0,5.1,11.0,0.464,0.0,0.0,5.1,11.0,0.464,7.0,10.1,0.698,3.2,7.0,10.2,0.3,1.0,2.2,2.6,7.7,17.3,2017
Jaleel Cousins,TOT,,23,31.0,12.0,383.0,4.6,10.1,0.458,0.0,0.0,4.6,10.1,0.458,5.7,8.6,0.663,3.1,5.5,8.6,0.3,0.9,1.9,2.8,8.5,14.9,2017
Chris Crawford,IOW,24.0,3,0.0,50.0,6.5,16.6,0.391,2.2,7.9,0.273,4.3,8.6,0.5,0.7,1.4,0.5,0.7,1.4,2.2,7.9,1.4,1.4,5.0,2.9,15.8,2017
Jordan Crawford,GRR,28.0,37,17.0,1103.0,10.3,21.8,0.473,3.2,8.9,0.355,7.1,12.9,0.554,4.6,5.3,0.87,0.5,3.5,4.0,4.2,1.4,0.2,2.3,2.2,28.4,2017
Jordon Crawford,TOT,26.0,46,12.0,987.0,5.6,13.6,0.413,1.3,3.5,0.371,4.3,10.1,0.428,3.0,3.9,0.776,0.4,2.7,3.1,4.6,1.8,0.0,2.6,3.1,15.6,2017
Jordon Crawford,CAN,26.0,15,3.0,259.0,4.2,12.6,0.33,1.3,4.6,0.273,2.9,8.1,0.362,2.4,2.8,0.85,0.6,2.6,3.2,5.0,2.2,0.0,3.8,3.3,12.0,2017
Jordon Crawford,WES,26.0,31,9.0,728.0,6.1,13.9,0.44,1.3,3.2,0.422,4.8,10.8,0.445,3.3,4.3,0.759,0.4,2.7,3.1,4.4,1.6,0.0,2.2,3.0,16.9,2017
Stephen Croone,SFL,,3,0.0,22.0,1.6,9.8,0.167,1.6,6.5,0.25,0.0,3.3,0.0,6.5,11.5,0.571,1.6,3.3,4.9,1.6,1.6,0.0,1.6,4.9,11.5,2017
