Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Yr
Aleksander Czyz,FOR,,12,9.0,268.0,6.0,15.0,0.402,0.4,1.5,0.273,5.6,13.6,0.416,3.2,5.1,0.632,3.5,4.6,8.1,2.0,1.5,0.7,2.8,3.5,15.7,2014
Troy Daniels,RIO,22.0,48,37.0,1697.0,6.9,16.2,0.422,5.1,12.7,0.401,1.8,3.5,0.497,3.1,3.8,0.816,1.0,3.7,4.7,1.9,1.1,0.2,2.0,2.9,21.9,2014
A.J. Davis,SFL,26.0,47,22.0,1093.0,5.6,11.9,0.467,1.4,4.6,0.317,4.1,7.3,0.561,3.0,3.9,0.763,1.7,4.2,6.0,1.6,1.4,0.3,2.7,3.0,15.5,2014
Bryan Davis,REN,,50,8.0,1006.0,6.0,12.2,0.494,0.0,0.1,0.0,6.0,12.1,0.499,5.0,7.4,0.675,4.8,6.1,10.9,2.0,1.5,1.0,4.0,5.8,17.1,2014
Ricky Davis,ERI,34.0,40,31.0,1203.0,5.7,12.7,0.452,1.4,3.4,0.4,4.4,9.3,0.471,2.8,3.3,0.845,0.7,4.8,5.5,2.9,1.0,0.4,2.3,3.1,15.7,2014
Eric Dawson,AUS,29.0,21,18.0,658.0,6.5,13.2,0.488,0.3,0.9,0.313,6.2,12.4,0.5,3.0,4.1,0.72,4.0,7.3,11.3,2.3,1.4,1.5,2.4,2.9,16.1,2014
Austin Daye,AUS,25.0,1,1.0,40.0,6.3,15.3,0.412,0.9,3.6,0.25,5.4,11.7,0.462,10.8,11.7,0.923,1.8,9.9,11.7,2.7,0.0,1.8,3.6,4.5,24.3,2014
Nando De Colo,AUS,26.0,8,8.0,298.0,8.1,15.5,0.523,1.4,5.0,0.293,6.6,10.5,0.632,4.8,5.3,0.909,1.2,4.7,5.9,5.7,2.7,0.2,4.0,3.1,22.5,2014
Dewayne Dedmon,SAN,24.0,15,15.0,505.0,7.3,13.5,0.54,0.0,0.1,0.0,7.3,13.4,0.543,1.7,2.5,0.686,4.7,9.8,14.5,1.4,1.6,2.5,2.2,4.9,16.3,2014
Jordan Demercy,BAK,,5,0.0,34.0,1.1,5.3,0.2,0.0,2.1,0.0,1.1,3.2,0.333,0.0,2.1,0.0,3.2,5.3,8.5,2.1,3.2,2.1,3.2,2.1,2.1,2014
Ike Diogu,BAK,,42,33.0,1310.0,8.2,14.8,0.553,0.8,2.4,0.333,7.4,12.4,0.596,4.3,5.3,0.819,3.4,7.9,11.3,1.7,0.5,1.0,3.0,3.4,21.5,2014
Quincy Douby,SFL,29.0,2,2.0,69.0,6.3,15.1,0.414,2.1,5.2,0.4,4.2,9.9,0.421,6.8,7.8,0.867,0.5,0.5,1.0,2.6,4.7,1.0,1.6,1.6,21.4,2014
Chris Douglas-Roberts,TEX,27.0,7,7.0,237.0,6.4,13.4,0.477,1.7,3.3,0.5,4.7,10.0,0.47,5.6,6.5,0.86,1.1,3.9,5.0,3.0,1.2,0.6,3.0,2.4,20.1,2014
Micah Downs,ERI,,25,21.0,833.0,6.4,14.3,0.444,2.7,7.4,0.363,3.7,6.9,0.531,1.7,1.9,0.867,0.7,3.9,4.6,3.7,1.3,0.9,2.1,2.9,17.1,2014
Larry Drew,SFL,23.0,41,36.0,1458.0,4.2,8.9,0.474,1.3,3.2,0.411,2.9,5.7,0.509,1.8,2.5,0.709,0.6,2.9,3.5,7.1,1.7,0.1,2.6,2.2,11.5,2014
Ramon Dyer,TEX,,17,1.0,166.0,3.5,8.9,0.39,0.4,1.3,0.333,3.0,7.6,0.4,0.9,1.7,0.5,5.4,6.5,11.9,1.3,0.9,1.1,1.1,4.3,8.2,2014
Devin Ebanks,TOT,24.0,45,38.0,1647.0,8.2,17.9,0.457,2.1,6.3,0.337,6.1,11.7,0.522,4.1,5.1,0.811,2.0,5.6,7.6,2.3,1.2,0.6,2.0,2.1,22.6,2014
Devin Ebanks,TEX,24.0,33,30.0,1237.0,8.3,18.5,0.447,2.0,6.6,0.308,6.2,11.9,0.523,4.5,5.6,0.808,2.3,6.3,8.6,2.4,1.3,0.8,2.0,2.1,23.1,2014
Devin Ebanks,SPR,24.0,12,8.0,410.0,8.0,16.2,0.492,2.4,5.4,0.443,5.6,10.9,0.516,2.9,3.5,0.825,1.1,3.7,4.7,2.0,0.9,0.1,2.1,2.1,21.2,2014
Shane Edwards,CAN,,46,38.0,1329.0,7.3,13.2,0.551,0.1,0.4,0.286,7.2,12.8,0.559,3.0,4.4,0.691,2.5,4.3,6.7,1.7,1.2,0.5,2.5,3.8,17.7,2014
Moses Ehambe,IOW,,50,32.0,1369.0,6.6,14.8,0.445,4.4,10.5,0.424,2.2,4.3,0.497,1.9,2.3,0.826,0.3,4.5,4.8,1.2,1.0,0.1,1.4,2.0,19.5,2014
Akeem Ellis,RIO,,32,10.0,634.0,4.1,10.6,0.387,2.7,7.7,0.356,1.4,2.9,0.471,1.4,2.2,0.615,1.5,3.9,5.3,1.8,0.7,0.1,1.2,3.2,12.3,2014
Jason Ellis,IDA,,46,13.0,863.0,3.1,6.5,0.484,0.0,0.2,0.0,3.1,6.3,0.497,1.3,1.6,0.789,4.8,5.2,10.0,2.0,1.3,0.4,1.5,4.6,7.5,2014
Melvin Ely,TEX,,35,41.0,39.0,1183.0,7.7,12.7,0.606,0.0,0.0,7.7,12.7,0.606,4.4,5.8,0.755,2.3,4.6,6.8,1.6,0.9,1.7,2.4,3.5,19.7,2014
Carlos Emory,IOW,,5,0.0,18.0,4.0,18.0,0.222,0.0,8.0,0.0,4.0,10.0,0.4,4.0,4.0,1.0,2.0,4.0,6.0,2.0,4.0,0.0,6.0,10.0,12.0,2014
Micheal Eric,TEX,,25,6.0,0.0,118.0,7.0,12.2,0.575,0.0,0.0,7.0,12.2,0.575,1.8,3.1,0.6,3.4,6.4,9.8,0.6,0.9,3.7,3.7,3.4,15.9,2014
Ryan Evans,SFL,,33,17.0,712.0,5.5,14.3,0.383,1.3,4.6,0.275,4.2,9.7,0.435,2.0,3.9,0.513,2.4,4.9,7.3,1.7,1.2,1.0,2.2,3.9,14.2,2014
Vitor Faverani,MAI,25.0,4,4.0,129.0,7.5,14.0,0.54,2.0,3.6,0.538,5.6,10.3,0.541,4.2,5.3,0.789,2.5,9.8,12.3,3.3,0.6,1.4,4.2,4.5,21.2,2014
Carrick Felix,CAN,23.0,9,9.0,259.0,4.7,10.3,0.459,1.0,2.9,0.333,3.8,7.4,0.509,3.3,5.1,0.649,1.0,5.6,6.5,2.5,1.8,0.4,3.3,3.8,13.8,2014
Courtney Fells,AUS,27.0,47,41.0,1680.0,7.2,15.1,0.475,2.1,5.6,0.376,5.1,9.5,0.533,1.7,2.1,0.79,0.9,4.0,4.8,3.0,1.7,0.9,2.3,2.0,18.2,2014
Kyrylo Fesenko,DEL,,27,16.0,5.0,282.0,5.7,9.2,0.625,0.0,0.0,5.7,9.2,0.625,3.3,5.5,0.605,3.8,6.1,10.0,2.0,1.1,2.8,4.2,5.6,14.8,2014
Kyrylo Fesenko,CAN,,27,9.0,8.0,251.0,5.9,10.5,0.562,0.0,0.0,5.9,10.5,0.562,4.3,6.6,0.652,3.9,7.3,11.2,3.4,0.1,1.4,3.0,3.3,16.1,2014
Kyrylo Fesenko,TOT,,27,25.0,13.0,533.0,5.8,9.8,0.593,0.0,0.0,5.8,9.8,0.593,3.8,6.0,0.629,3.8,6.7,10.5,2.7,0.7,2.2,3.6,4.5,15.4,2014
Jeff Foote,SPR,26.0,50,34.0,1440.0,4.7,9.6,0.491,0.0,0.0,0.0,4.7,9.5,0.493,1.9,3.7,0.507,3.7,6.4,10.1,1.8,1.3,1.7,2.4,3.4,11.3,2014
Gary Forbes,SPR,28.0,11,10.0,370.0,7.0,15.7,0.447,1.4,3.9,0.35,5.6,11.8,0.479,3.6,4.5,0.804,0.7,4.7,5.4,2.2,1.7,0.3,3.4,3.0,19.0,2014
Kevin Foster,REN,,15,0.0,127.0,4.5,11.9,0.381,1.1,3.7,0.308,3.4,8.2,0.414,2.6,4.0,0.643,3.7,5.1,8.8,2.0,1.7,1.4,4.0,7.1,12.8,2014
Jamaal Franklin,FOR,22.0,16,0.0,450.0,5.9,13.7,0.433,1.9,5.2,0.369,4.0,8.5,0.472,6.5,7.4,0.88,1.7,5.5,7.2,5.5,2.2,0.2,3.8,3.0,20.2,2014
Austin Freeman,IOW,,41,1.0,779.0,7.3,15.9,0.461,2.9,7.8,0.373,4.4,8.0,0.546,2.8,3.6,0.769,0.5,3.7,4.2,4.5,1.1,0.3,2.5,2.6,20.3,2014
William Frisby,FOR,32.0,48,30.0,854.0,6.4,13.3,0.483,0.1,0.2,0.5,6.3,13.1,0.482,2.1,2.7,0.794,3.6,5.0,8.6,2.8,1.0,1.0,2.7,6.5,15.0,2014
Abdul Gaddy,MAI,,46,32.0,1251.0,4.6,9.4,0.489,1.4,3.2,0.42,3.3,6.2,0.526,1.4,2.4,0.576,1.4,2.8,4.2,6.6,1.1,0.3,3.1,3.6,12.0,2014
Frank Gaines,MAI,23.0,48,34.0,1699.0,7.5,16.1,0.464,2.4,6.1,0.397,5.0,10.0,0.504,5.5,7.2,0.757,0.7,3.0,3.7,1.6,1.4,0.2,2.6,3.0,22.8,2014
Sundiata Gaines,REN,27.0,18,15.0,520.0,6.7,14.6,0.46,2.1,4.8,0.435,4.6,9.8,0.472,3.7,4.8,0.771,1.5,4.6,6.1,6.6,1.9,0.1,2.3,1.9,19.2,2014
Tiny Gallon,DEL,23.0,34,26.0,939.0,10.0,17.9,0.562,0.2,1.5,0.158,9.8,16.4,0.598,4.3,6.2,0.698,3.8,8.2,11.9,2.0,0.9,1.1,4.0,3.9,24.7,2014
Gideon Gamble,LOS,23.0,20,0.0,191.0,7.7,14.1,0.547,3.0,7.0,0.432,4.7,7.2,0.658,1.1,1.3,0.857,0.9,4.1,5.1,2.1,2.1,0.2,2.1,7.2,19.6,2014
Greg Gantt,AUS,22.0,13,1.0,289.0,4.7,11.5,0.413,2.9,8.2,0.348,1.9,3.2,0.577,1.4,1.7,0.786,0.2,3.1,3.4,1.7,0.7,0.1,0.4,3.0,13.7,2014
Kiwi Gardner,SAN,20.0,35,0.0,479.0,6.9,15.3,0.451,0.9,3.3,0.273,6.0,12.0,0.5,3.2,4.4,0.741,2.0,2.9,4.9,7.7,3.5,0.2,4.8,4.6,18.0,2014
Augustus Gilchrist,IOW,,46,0.0,792.0,6.2,11.1,0.559,0.0,0.5,0.083,6.2,10.6,0.584,4.6,7.0,0.662,3.5,6.5,10.0,0.6,0.6,2.5,2.5,5.3,17.1,2014
Mickell Gladness,REN,,27,38.0,37.0,906.0,5.2,8.9,0.58,0.0,0.0,5.2,8.9,0.58,2.1,3.8,0.568,3.1,6.5,9.6,0.8,0.6,3.0,2.2,3.7,12.5,2014
Rudy Gobert,BAK,,21,8.0,8.0,216.0,6.7,9.0,0.741,0.0,0.0,6.7,9.0,0.741,5.2,7.3,0.705,6.0,9.2,15.2,0.5,0.8,4.0,1.8,3.0,18.5,2014
Archie Goodwin,BAK,19.0,5,2.0,177.0,8.9,18.1,0.494,2.0,5.3,0.385,6.9,12.8,0.54,6.9,8.5,0.81,1.6,3.7,5.3,1.2,1.4,0.0,4.3,3.5,26.8,2014
Lance Goulbourne,SAN,,14,6.0,361.0,6.6,14.0,0.471,0.0,1.1,0.0,6.6,12.9,0.512,4.4,5.8,0.759,3.5,7.8,11.3,2.2,0.9,0.3,2.4,2.4,17.6,2014
Jorge Gutierrez,CAN,25.0,35,35.0,1146.0,5.2,11.2,0.461,0.3,0.8,0.375,4.9,10.4,0.467,4.7,6.2,0.766,1.1,5.2,6.3,7.6,1.4,0.3,3.0,4.0,15.3,2014
Jamelle Hagins,RIO,16.0,7,249.0,4.6,7.8,0.593,0.0,0.0,4.6,7.8,0.593,1.4,1.9,0.769,3.2,4.9,8.1,0.4,1.3,2.5,3.8,6.5,10.7,,,2014
PJ Hairston,TEX,21.0,26,15.0,839.0,7.9,17.3,0.453,3.1,8.8,0.358,4.7,8.6,0.55,5.4,6.3,0.87,1.4,2.5,3.9,0.9,1.7,0.4,2.0,3.0,24.3,2014
Justin Hamilton,SFL,23.0,39,39.0,1389.0,7.3,14.9,0.491,0.8,2.1,0.378,6.5,12.8,0.51,4.0,5.0,0.801,3.5,5.9,9.4,1.5,0.9,2.0,2.3,2.1,19.4,2014
Reggie Hamilton,IDA,,6,0.0,80.0,3.6,14.0,0.258,0.5,6.3,0.071,3.2,7.7,0.412,9.5,11.3,0.84,1.8,1.8,3.6,3.6,2.7,0.5,4.5,5.4,17.1,2014
Stefhon Hannah,SAN,,28,1.0,0.0,26.0,4.2,19.4,0.214,1.4,6.9,0.2,2.8,12.5,0.222,0.0,0.0,0.0,2.8,2.8,8.3,1.4,0.0,2.8,5.5,9.7,2014
Anthony Harris,TOT,28.0,14,0.0,195.0,5.2,11.6,0.444,0.4,1.1,0.333,4.8,10.5,0.456,2.0,3.5,0.579,0.9,3.0,3.9,5.9,1.3,0.0,5.7,4.6,12.7,2014
Anthony Harris,FOR,28.0,8,0.0,162.0,5.6,12.0,0.463,0.4,1.1,0.4,5.1,10.9,0.469,1.8,3.3,0.533,0.9,3.1,4.0,6.0,1.3,0.0,5.6,4.4,13.3,2014
Anthony Harris,CAN,28.0,3,0.0,16.0,4.5,11.3,0.4,0.0,2.3,0.0,4.5,9.0,0.5,4.5,6.8,0.667,0.0,4.5,4.5,2.3,0.0,0.0,9.0,6.8,13.5,2014
Anthony Harris,BAK,,28,3.0,0.0,17.0,2.1,8.5,0.25,0.0,0.0,2.1,8.5,0.25,2.1,2.1,1.0,2.1,0.0,2.1,8.5,2.1,0.0,4.2,4.2,6.4,2014
Elias Harris,LOS,24.0,1,1.0,28.0,7.7,12.9,0.6,0.0,1.3,0.0,7.7,11.6,0.667,7.7,9.0,0.857,1.3,1.3,2.6,2.6,0.0,1.3,2.6,7.7,23.1,2014
Manny Harris,LOS,24.0,22,22.0,852.0,9.9,21.0,0.472,1.6,5.5,0.302,8.2,15.5,0.531,8.0,9.0,0.883,1.9,5.4,7.3,3.5,1.9,0.2,3.0,1.5,29.4,2014
Ramon Harris,FOR,25.0,40,0.0,678.0,4.3,11.1,0.388,3.1,8.2,0.383,1.2,2.9,0.4,1.4,2.5,0.553,1.5,5.4,6.9,1.8,1.6,0.7,1.4,2.6,13.1,2014
Terrel Harris,TOT,26.0,49,48.0,1514.0,4.7,11.0,0.426,1.9,5.1,0.379,2.8,5.9,0.468,2.7,3.5,0.764,1.3,4.2,5.5,2.6,1.6,0.5,2.5,4.0,14.0,2014
Terrel Harris,TEX,26.0,31,30.0,899.0,4.2,10.6,0.4,1.8,4.8,0.364,2.5,5.8,0.431,3.3,4.2,0.774,1.6,4.7,6.3,2.7,1.7,0.6,2.7,4.1,13.5,2014
Terrel Harris,BAK,26.0,18,18.0,615.0,5.3,11.5,0.462,2.2,5.4,0.398,3.2,6.1,0.519,1.8,2.5,0.738,0.8,3.5,4.2,2.5,1.6,0.3,2.3,3.9,14.6,2014
Reggie Hearn,IDA,22.0,41,36.0,1136.0,3.9,10.3,0.382,1.5,5.1,0.292,2.4,5.2,0.47,1.9,2.7,0.694,1.0,4.7,5.7,1.2,1.1,0.4,1.9,3.6,11.2,2014
Brandon Heath,REN,,32,23.0,968.0,5.3,12.5,0.423,1.6,4.1,0.382,3.7,8.4,0.442,2.6,3.7,0.69,0.9,3.3,4.2,6.8,1.9,0.1,3.4,2.6,14.7,2014
Esian Henderson,IOW,2.0,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,12.0,0.0,0.0,0.0,12.0,6.0,0.0,,,,,2014
Jordan Henriquez,RIO,,29,3.0,262.0,4.8,12.1,0.398,0.0,1.2,0.0,4.8,10.9,0.443,2.5,5.1,0.486,4.1,5.6,9.8,1.8,0.7,3.4,3.4,7.0,12.1,2014
Terrance Henry,FOR,4.0,0,79.0,5.0,13.2,0.379,0.5,2.7,0.167,4.6,10.5,0.435,0.0,0.0,0.9,4.1,5.0,2.3,2.3,1.4,1.4,1.4,10.5,,,2014
Xavier Henry,LOS,22.0,2,2.0,49.0,9.6,25.0,0.382,1.5,7.3,0.2,8.1,17.6,0.458,4.4,6.6,0.667,0.7,2.2,2.9,2.2,5.1,0.0,2.2,1.5,25.0,2014
Solomon Hill,FOR,22.0,2,2.0,59.0,7.3,15.9,0.462,3.1,7.9,0.385,4.3,7.9,0.538,3.1,3.7,0.833,0.6,3.7,4.3,3.7,1.2,1.2,4.9,3.7,20.7,2014
Robert Hite,CAN,30.0,25,2.0,576.0,3.9,10.3,0.382,1.6,4.8,0.325,2.4,5.5,0.432,1.7,2.4,0.737,1.2,3.7,4.9,2.1,1.4,0.4,1.6,4.5,11.2,2014
Antoine Hood,IDA,30.0,17,0.0,193.0,3.5,10.1,0.352,1.5,5.0,0.296,2.1,5.0,0.407,1.3,2.1,0.636,1.9,3.9,5.8,1.7,1.7,0.4,1.9,2.8,9.9,2014
Dennis Horner,TOT,25.0,47,47.0,1489.0,5.7,12.0,0.479,0.8,2.4,0.343,4.9,9.6,0.513,3.7,4.8,0.769,2.3,5.5,7.8,1.4,0.7,0.7,1.8,2.5,16.0,2014
Dennis Horner,SPR,25.0,29,29.0,915.0,6.3,13.1,0.48,0.7,2.3,0.31,5.6,10.8,0.516,3.8,4.7,0.808,2.0,5.0,7.0,1.2,0.7,0.8,1.9,2.5,17.1,2014
Dennis Horner,BAK,25.0,18,18.0,574.0,4.8,10.2,0.475,1.0,2.6,0.39,3.8,7.6,0.504,3.5,5.0,0.709,2.8,6.3,9.0,1.8,0.8,0.6,1.7,2.6,14.2,2014
Josh Howard,AUS,,24,21.0,708.0,7.1,16.2,0.439,1.2,4.2,0.277,5.9,12.0,0.496,2.5,3.0,0.847,1.8,5.3,7.1,1.6,1.4,0.8,1.6,3.5,17.9,2014
Ron Howard,FOR,,49,49.0,1690.0,7.3,15.4,0.473,0.1,0.5,0.28,7.2,14.9,0.48,6.6,8.0,0.834,0.9,3.6,4.5,4.5,1.7,0.0,2.8,3.0,21.4,2014
Richard Howell,IDA,23.0,20,20.0,692.0,8.3,14.7,0.565,0.0,0.2,0.0,8.3,14.6,0.571,2.1,3.4,0.615,4.4,6.6,11.0,2.7,1.4,0.7,2.6,3.0,18.7,2014
Marcus Hubbard,SPR,,11,1.0,231.0,6.7,14.8,0.453,1.7,4.1,0.423,5.0,10.8,0.464,1.4,2.5,0.563,2.3,7.5,9.8,1.2,1.1,1.7,3.0,3.1,16.5,2014
Marcus Hubbard,TOT,,42,12.0,879.0,6.1,13.1,0.47,0.8,2.8,0.294,5.3,10.3,0.518,1.9,2.9,0.648,2.9,8.0,10.9,1.9,1.0,1.4,2.6,4.3,15.0,2014
Marcus Hubbard,TEX,,31,11.0,648.0,5.9,12.4,0.478,0.5,2.3,0.214,5.4,10.1,0.538,2.1,3.1,0.673,3.1,8.2,11.3,2.2,1.0,1.2,2.4,4.8,14.4,2014
Dario Hunt,RIO,41.0,19,872.0,5.7,11.0,0.521,0.0,0.0,5.7,11.0,0.521,2.0,3.6,0.545,5.6,6.3,11.8,1.2,0.8,1.7,2.0,5.0,13.5,,,2014
Chris Hunter,FOR,,29,4.0,4.0,69.0,8.3,16.2,0.516,0.0,0.0,8.3,16.2,0.516,1.6,1.6,1.0,2.6,6.8,9.4,0.5,0.0,1.6,3.7,3.7,18.3,2014
Kyle Hunt,AUS,10.0,1,111.0,4.9,11.7,0.417,0.0,0.0,4.9,11.7,0.417,2.6,4.2,0.615,3.6,3.9,7.5,1.6,1.6,0.6,2.9,5.2,12.3,,,2014
Lance Hurdle,SPR,,29,7.0,444.0,4.1,12.3,0.336,1.9,5.8,0.333,2.2,6.5,0.338,0.9,1.2,0.733,0.4,2.3,2.7,2.9,1.5,0.2,1.5,2.6,11.1,2014
Travis Hyman,LOS,,26,42.0,20.0,794.0,5.7,11.1,0.514,0.0,0.0,5.7,11.1,0.514,2.0,4.1,0.489,5.3,6.9,12.2,1.6,2.1,3.8,2.3,6.0,13.4,2014
Andre Ingram,LOS,28.0,45,11.0,1033.0,4.9,10.8,0.453,2.5,5.6,0.447,2.4,5.2,0.459,2.1,2.6,0.787,1.4,3.6,4.9,2.7,1.7,0.2,1.3,2.4,14.3,2014
JR Inman,DEL,26.0,16,14.0,417.0,5.2,10.8,0.48,0.4,1.1,0.385,4.7,9.7,0.491,2.4,4.0,0.609,2.5,6.1,8.6,1.6,0.8,1.0,2.0,3.5,13.2,2014
Lewis Jackson,ERI,24.0,36,22.0,1196.0,5.4,10.9,0.493,0.2,0.6,0.263,5.2,10.3,0.506,1.9,2.6,0.713,0.5,4.4,4.8,9.7,1.2,0.0,3.3,2.6,12.7,2014
Pierre Jackson,IDA,22.0,31,27.0,1286.0,8.8,19.6,0.449,2.5,7.3,0.349,6.3,12.3,0.509,5.1,6.9,0.737,0.5,2.6,3.1,5.4,1.7,0.1,3.5,2.3,25.3,2014
Bernard James,TEX,,28,1.0,1.0,37.0,17.5,19.5,0.9,0.0,0.0,17.5,19.5,0.9,1.9,5.8,0.333,9.7,7.8,17.5,1.0,1.9,3.9,1.9,1.9,37.0,2014
Damion James,BAK,26.0,27,17.0,840.0,6.2,13.6,0.457,0.6,2.7,0.222,5.6,10.9,0.516,3.0,4.5,0.67,1.9,5.9,7.8,2.1,1.0,1.3,3.7,3.1,16.1,2014
Damion James,TOT,26.0,41,31.0,1348.0,6.8,14.7,0.46,0.9,2.9,0.315,5.8,11.8,0.495,3.5,5.0,0.693,2.3,6.8,9.1,2.3,1.0,1.1,3.5,3.2,17.9,2014
Damion James,TEX,26.0,14,14.0,508.0,7.7,16.5,0.464,1.4,3.2,0.444,6.2,13.3,0.468,4.3,5.9,0.723,3.0,8.2,11.2,2.6,0.9,0.8,3.1,3.3,21.0,2014
Ra'shad James,REN,24.0,47,3.0,781.0,5.9,13.9,0.427,0.9,3.6,0.253,5.0,10.3,0.489,3.6,4.8,0.743,1.4,3.5,4.9,3.6,0.8,0.1,2.4,2.5,16.4,2014
Scoop Jardine,TUL,,23,1.0,448.0,6.3,15.2,0.413,0.6,1.9,0.292,5.7,13.3,0.43,1.4,2.5,0.548,0.9,3.5,4.3,8.4,1.7,0.1,4.3,3.4,14.5,2014
Othyus Jeffers,IOW,28.0,44,44.0,1658.0,7.1,14.5,0.491,0.6,1.9,0.292,6.5,12.5,0.522,5.2,7.1,0.729,2.6,6.8,9.4,3.5,2.1,0.2,3.3,2.5,20.0,2014
John Jenkins,BAK,22.0,4,4.0,145.0,7.0,16.6,0.418,1.5,6.7,0.222,5.5,9.9,0.55,6.0,7.4,0.8,0.7,5.5,6.2,3.5,2.0,0.5,2.5,1.5,21.4,2014
Terrence Jennings,ERI,25.0,45,14.0,997.0,6.9,12.3,0.557,0.0,0.2,0.2,6.8,12.1,0.563,1.8,3.5,0.521,3.1,6.4,9.5,1.8,1.0,2.3,2.3,5.6,15.6,2014
Grant Jerrett,TUL,20.0,27,25.0,790.0,6.7,15.5,0.431,2.2,6.0,0.364,4.5,9.5,0.474,3.1,3.7,0.817,1.6,5.9,7.5,0.9,0.8,1.0,1.6,3.3,18.6,2014
Aaron Johnson,BAK,,18,2.0,318.0,3.8,8.6,0.447,1.2,3.3,0.379,2.6,5.3,0.489,2.9,4.3,0.684,0.8,1.4,2.2,7.6,2.2,0.0,4.4,4.8,11.9,2014
Carldell Johnson,AUS,31.0,19,0.0,300.0,4.4,10.3,0.43,1.2,3.8,0.313,3.2,6.5,0.5,1.8,2.0,0.882,0.8,3.6,4.4,5.6,2.5,0.1,1.8,1.9,11.9,2014
Chris Johnson,RIO,23.0,20,20.0,744.0,6.4,13.6,0.47,2.6,7.1,0.367,3.8,6.5,0.582,3.3,4.0,0.841,2.5,4.1,6.5,2.4,1.5,1.0,1.6,2.2,18.7,2014
Darius Johnson-Odom,SPR,24.0,27,26.0,970.0,7.6,16.8,0.453,1.6,4.4,0.356,6.0,12.4,0.487,5.2,6.4,0.815,0.7,3.8,4.5,6.1,1.4,0.2,3.7,2.7,22.0,2014
James Johnson,RIO,26.0,10,10.0,299.0,8.3,16.7,0.496,1.6,5.4,0.289,6.7,11.3,0.596,4.1,5.3,0.773,3.1,7.8,11.0,5.8,2.3,4.1,4.8,4.3,22.3,2014
Justin Johnson,SPR,25.0,29,9.0,621.0,6.1,13.9,0.442,0.7,2.1,0.324,5.4,11.8,0.463,3.2,3.9,0.809,0.9,3.7,4.6,3.3,0.8,0.1,2.3,3.5,16.2,2014
Orlando Johnson,FOR,24.0,3,3.0,86.0,6.7,20.1,0.333,2.1,6.3,0.333,4.6,13.8,0.333,1.7,2.9,0.571,1.7,6.7,8.4,2.1,1.3,1.3,2.1,2.9,17.2,2014
Reggie Johnson,DEL,7.0,5,131.0,3.8,9.1,0.424,0.0,0.0,3.8,9.1,0.424,2.5,3.3,0.75,2.7,5.8,8.5,0.8,0.8,0.8,2.7,6.9,10.2,,,2014
Zane Johnson,CAN,,2,0.0,35.0,4.1,8.2,0.5,1.0,4.1,0.25,3.1,4.1,0.75,1.0,1.0,1.0,0.0,3.1,3.1,1.0,1.0,0.0,2.1,5.1,10.3,2014
Andre Jones,ERI,,7,3.0,125.0,4.3,12.1,0.357,0.6,2.0,0.286,3.7,10.1,0.371,4.3,6.0,0.714,1.2,4.6,5.8,3.2,1.2,0.3,1.4,3.5,13.5,2014
Cameron Jones,SAN,24.0,49,41.0,1750.0,7.1,15.3,0.46,1.3,3.3,0.399,5.8,12.1,0.476,4.2,4.9,0.85,1.0,3.1,4.1,3.4,1.3,0.1,2.6,2.9,19.6,2014
DeQuan Jones,REN,,49,38.0,1464.0,6.0,11.7,0.511,1.1,2.6,0.406,4.9,9.0,0.541,3.5,4.9,0.706,1.6,4.1,5.8,2.0,1.6,0.8,3.0,3.1,16.5,2014
Kevin Jones,CAN,24.0,38,37.0,1159.0,8.5,16.9,0.505,0.0,0.2,0.167,8.5,16.7,0.508,2.8,3.8,0.752,3.7,5.8,9.4,0.9,0.8,0.3,1.6,3.1,19.9,2014
Solomon Jones,ERI,,17,16.0,413.0,5.6,11.1,0.504,0.1,0.2,0.5,5.5,10.9,0.504,2.0,2.6,0.767,3.1,6.0,9.1,2.0,0.9,2.2,2.4,5.6,13.2,2014
Christian Kabongo,IDA,,8,3.0,184.0,6.3,13.1,0.478,0.8,2.3,0.333,5.5,10.8,0.509,2.7,4.9,0.56,1.0,5.5,6.5,2.9,0.6,0.2,4.1,3.9,16.0,2014
Myck Kabongo,AUS,22.0,45,37.0,1357.0,3.8,8.3,0.458,0.6,1.5,0.379,3.2,6.7,0.476,2.8,3.9,0.714,0.9,3.8,4.7,5.6,1.4,0.1,2.4,2.0,11.0,2014
Kenny Kadji,RIO,,19,2.0,274.0,5.4,14.3,0.376,1.6,7.0,0.226,3.8,7.4,0.518,3.8,5.1,0.744,2.4,6.7,9.1,1.7,1.1,1.8,3.2,4.6,16.2,2014
Sergey Karasev,CAN,20.0,18,18.0,539.0,5.3,11.8,0.452,2.5,5.9,0.416,2.9,5.9,0.489,3.1,3.7,0.836,0.8,5.2,6.0,2.9,1.2,0.3,2.1,3.1,16.2,2014
Tre Kelley,TOT,29.0,44,42.0,1655.0,6.2,13.2,0.467,2.1,4.8,0.438,4.1,8.5,0.483,3.0,3.6,0.83,0.3,2.7,3.0,4.9,1.3,0.2,2.1,1.7,17.4,2014
