Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
J. Crawford | R. Felton | W. Johnson | A. Rivers | M. Speights,LAC,2016-17,38,251.5,494,497,94.6,-4,+5,-.014,+14,+77,-.080,+.002,-10,-13,+.004,-4
L. Babbitt | G. Dragic | R. McGruder | D. Waiters | H. Whiteside,MIA,2016-17,27,246.4,484,484,94.3,-5,-16,+.006,+25,+32,+.100,+.037,-8,-9,-.017,+7
R. Foye | R. Hollis-Jefferson | C. LeVert | J. Lin | B. Lopez,BRK,2016-17,22,244.6,532,529,104.1,-20,-32,-.011,+16,+55,-.038,+.010,+36,+42,+.037,+12
K. Bazemore | T. Hardaway | D. Howard | P. Millsap | D. Schroder,ATL,2016-17,38,239.5,475,477,95.4,+1,-27,+.031,-20,-43,-.040,+.011,+29,+32,+.063,+11
D. Carroll | D. DeRozan | S. Ibaka | C. Joseph | J. Valanciunas,TOR,2016-17,16,232.9,442,444,91.3,+10,-13,+.038,-11,-31,+.001,+.026,-1,-6,+.050,+8
M. Harkless | D. Lillard | C. McCollum | J. Nurkic | N. Vonleh,POR,2016-17,19,229.5,449,450,94.0,+14,-11,+.045,+1,-20,+.081,+.048,-1,+8,-.076,+28
K. Irving | L. James | K. Love | I. Shumpert | T. Thompson,CLE,2016-17,30,226.9,456,458,96.7,0,-11,+.012,-3,-5,-.009,+.010,+17,+30,-.074,+14
S. Curry | K. Durant | D. Green | A. Iguodala | K. Thompson,GSW,2016-17,46,224.6,487,484,103.8,+36,-34,+.123,+18,+35,+.044,+.150,+25,+3,+.146,+115
N. Batum | F. Kaminsky | M. Kidd-Gilchrist | K. Walker | M. Williams,CHO,2016-17,32,219.0,433,435,95.1,-18,-35,-.005,-1,+9,-.029,+.001,+23,+16,+.121,-14
S. Adams | T. Gibson | V. Oladipo | A. Roberson | R. Westbrook,OKC,2016-17,15,207.6,415,417,96.2,+40,+37,+.061,-22,-29,-.109,+.027,-10,+11,-.231,+48
W. Chandler | D. Gallinari | G. Harris | N. Jokic | E. Mudiay,DEN,2016-17,19,207.1,420,414,96.6,+4,-19,+.037,0,+11,-.036,+.040,+13,+14,+.025,+21
K. Bazemore | D. Howard | K. Korver | P. Millsap | D. Schroder,ATL,2016-17,21,205.3,409,410,95.8,-7,0,-.018,-10,-8,-.066,-0.032,-11,-4,-.116,-35
E. Bledsoe | D. Booker | M. Chriss | A. Len | T. Warren,PHO,2016-17,20,204.9,426,425,99.7,-5,0,-.013,-28,-33,-.152,-0.049,-18,-20,-.025,-56
B. Beal | M. Gortat | K. Oubre | O. Porter | J. Wall,WAS,2016-17,39,199.9,410,415,99.1,+31,+25,+.054,+14,+15,+.077,+.069,-6,-11,+.032,+70
C. Joseph | K. Lowry | L. Nogueira | P. Patterson | T. Ross,TOR,2016-17,30,198.8,367,364,88.2,+15,+17,+.020,+23,+28,+.091,+.050,+2,+9,-.084,+55
W. Chandler | D. Gallinari | G. Harris | N. Jokic | J. Nelson,DEN,2016-17,20,197.7,410,402,98.6,+16,+21,+.016,-5,+19,-.100,+.006,-9,-31,+.167,+18
D. Augustin | B. Biyombo | E. Fournier | A. Gordon | S. Ibaka,ORL,2016-17,25,196.4,375,367,90.7,-12,-7,-.025,-1,+29,-.125,-0.026,-12,-3,-.149,-37
R. Anderson | T. Ariza | P. Beverley | J. Harden | M. Harrell,HOU,2016-17,31,195.7,404,400,98.6,-7,+4,-.025,+16,+42,+.008,-0.003,+4,-2,+.071,+6
T. Black | J. Clarkson | B. Ingram | L. Nance Jr. | L. Williams,LAL,2016-17,23,195.5,396,398,97.5,+15,-6,+.050,-10,-35,+.014,+.037,+10,+15,-.016,+30
R. Anderson | T. Ariza | E. Gordon | J. Harden | N. Hilario,HOU,2016-17,48,194.6,416,415,102.5,+5,+5,+.008,+15,+52,-.023,+.029,+26,+36,-.018,+51
J. Crowder | A. Horford | A. Johnson | M. Smart | I. Thomas,BOS,2016-17,29,192.2,365,369,91.7,+4,+5,+.005,+30,+61,+.076,+.050,+20,+19,+.060,+58
K. Caldwell-Pope | A. Drummond | J. Leuer | M. Morris | I. Smith,DET,2016-17,43,190.0,365,370,92.8,+1,+32,-.036,-1,-3,-.001,-0.042,-26,-25,-.138,-25
D. Cunningham | A. Davis | B. Hield | S. Hill | J. Holiday,NOP,2016-17,19,189.3,376,374,95.1,+9,0,+.026,+22,+13,+.164,+.059,+2,-5,+.101,+42
G. Antetokounmpo | M. Brogdon | J. Henson | J. Parker | T. Snell,MIL,2016-17,28,183.5,347,348,90.9,+3,-11,+.025,-8,-14,-.028,+.015,-5,-8,+.009,-7
K. Irving | L. James | D. Liggins | K. Love | T. Thompson,CLE,2016-17,12,181.1,365,365,96.7,+24,+9,+.060,+24,+18,+.140,+.094,+45,+56,+.042,+117
E. Fournier | J. Green | S. Ibaka | E. Payton | N. Vucevic,ORL,2016-17,26,180.6,365,361,96.5,-5,-7,-.006,-5,-13,-.008,-0.013,+16,+17,+.059,+1
B. Bogdanovic | T. Booker | S. Kilpatrick | B. Lopez | I. Whitehead,BRK,2016-17,25,178.7,372,363,98.7,-14,-27,-.003,-13,-14,-.073,-0.017,+23,+23,+.071,-18
S. Curry | D. Green | P. McCaw | Z. Pachulia | K. Thompson,GSW,2016-17,19,175.5,369,364,100.2,+11,+10,+.019,+28,+46,+.079,+.059,+1,-14,+.250,+51
R. Anderson | T. Ariza | E. Gordon | J. Harden | M. Harrell,HOU,2016-17,33,175.0,375,367,101.8,+11,-12,+.052,+22,+49,+.022,+.089,+40,+34,+.124,+84
C. Anthony | W. Hernangomez | C. Lee | K. Porzingis | D. Rose,NYK,2016-17,28,171.8,343,349,96.7,-6,-27,+.022,-13,-23,-.041,+.006,-15,-26,+.058,-40
N. Batum | R. Hibbert | M. Kidd-Gilchrist | K. Walker | M. Williams,CHO,2016-17,20,170.5,327,328,92.2,+1,-8,+.014,+2,-3,+.034,+.019,+20,+17,+.091,+24
K. Durant | A. Iguodala | S. Livingston | K. Thompson | D. West,GSW,2016-17,37,166.9,327,322,93.3,+28,-13,+.119,-8,-42,+.102,+.107,0,+2,-.025,+48
T. Allen | V. Carter | M. Conley | M. Gasol | J. Green,MEM,2016-17,34,165.5,304,304,88.2,+19,+7,+.057,+12,-7,+.149,+.077,+10,+9,+.041,+60
E. Davis | M. Harkless | D. Lillard | C. McCollum | M. Plumlee,POR,2016-17,13,164.5,325,321,94.3,-2,+28,-.055,-4,+21,-.142,-0.069,+2,-6,+.110,-6
J. Crawford | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,2016-17,43,162.7,329,322,96.0,+6,-4,+.030,+8,+11,+.044,+.046,+31,+34,+.045,+51
N. Batum | F. Kaminsky | M. Kidd-Gilchrist | K. Walker | C. Zeller,CHO,2016-17,32,162.4,316,322,94.3,+6,-5,+.028,-8,-17,-.023,+.015,+8,+26,-.184,+12
G. Dieng | K. Dunn | Z. LaVine | K. Towns | A. Wiggins,MIN,2016-17,28,159.2,308,315,93.9,-4,+33,-.076,-5,-21,+.057,-0.092,-12,-9,-.073,-25
E. Bledsoe | D. Booker | T. Chandler | P. Tucker | T. Warren,PHO,2016-17,28,156.6,336,320,100.6,0,+26,-.043,-2,-5,-.001,-0.052,+29,+25,+.080,+27
R. Anderson | T. Ariza | P. Beverley | J. Harden | N. Hilario,HOU,2016-17,34,156.5,334,336,102.7,-3,+15,-.035,+6,+37,-.051,-0.028,+10,+9,+.035,+10
G. Dieng | S. Muhammad | R. Rubio | K. Towns | A. Wiggins,MIN,2016-17,50,155.9,309,304,94.4,+16,+24,+.015,-7,-21,+.009,-0.002,+18,+27,-.024,+43
T. Allen | M. Conley | J. Ennis | M. Gasol | J. Green,MEM,2016-17,26,153.8,281,280,87.6,-3,+12,-.032,-10,-26,.000,-0.055,+1,+4,-.039,-15
D. Favors | R. Gobert | G. Hayward | G. Hill | R. Hood,UTA,2016-17,14,152.2,281,282,88.8,-16,-20,-.026,-1,+4,-.045,-0.024,+31,+37,+.104,-2
D. Favors | R. Gobert | G. Hayward | G. Hill | J. Ingles,UTA,2016-17,18,148.5,274,279,89.4,+18,-11,+.090,+8,+9,+.067,+.108,+14,+12,+.091,+58
D. Carroll | D. DeRozan | K. Lowry | P. Patterson | J. Valanciunas,TOR,2016-17,25,147.2,277,283,91.3,+22,-6,+.095,+11,-8,+.167,+.117,+21,+26,-.004,+76
