Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
H. Barnes | A. Bogut | S. Curry | D. Finney-Smith | W. Matthews,DAL,2016-17,8,34.1,63,63,88.7,-4,+8,-.120,-2,+2,-.160,-0.145,+6,+5,+.151,-4
H. Barnes | S. Curry | D. Harris | W. Matthews | D. Powell,DAL,2016-17,13,34.1,67,67,94.4,-4,+6,-.123,+1,+6,-.049,-0.120,+3,+2,+.075,-4
W. Chandler | D. Gallinari | N. Jokic | E. Mudiay | J. Nelson,DEN,2016-17,13,34.0,69,69,97.4,0,-10,+.090,0,0,.000,+.098,+7,+3,+.254,+7
W. Barton | W. Chandler | K. Faried | D. Gallinari | J. Nelson,DEN,2016-17,12,33.9,67,61,90.7,+1,+10,-.058,+1,0,+.056,-0.061,+8,+7,+.082,+11
C. Frye | L. James | R. Jefferson | K. Korver | D. Liggins,CLE,2016-17,4,33.9,67,66,94.2,-8,0,-.140,+1,+7,-.078,-0.132,-11,-11,-.157,-26
L. Babbitt | G. Dragic | W. Ellington | R. McGruder | H. Whiteside,MIA,2016-17,6,33.9,68,67,95.6,-5,-2,-.067,0,+8,-.205,-0.065,-6,-7,-.068,-16
G. Henderson | T. Luwawu-Cabarrot | N. Noel | S. Rodriguez | D. Saric,PHI,2016-17,9,33.9,73,67,99.2,-3,+4,-.077,-5,+3,-.302,-0.120,-6,-4,-.161,-17
V. Carter | M. Conley | M. Gasol | A. Harrison | Z. Randolph,MEM,2016-17,14,33.9,64,65,91.4,+14,+25,+.089,+6,+8,+.238,+.130,-11,-8,-.209,+23
M. Barnes | O. Casspi | W. Cauley-Stein | T. Lawson | G. Temple,SAC,2016-17,5,33.8,67,66,94.4,+6,-2,+.126,-7,-10,-.167,+.064,-9,-7,-.271,-4
T. Ariza | C. Capela | S. Dekker | E. Gordon | J. Harden,HOU,2016-17,17,33.8,69,74,101.5,-10,+2,-.175,-10,-7,-.293,-0.257,-3,-6,+.139,-33
R. Anderson | T. Ariza | C. Brewer | J. Harden | M. Harrell,HOU,2016-17,9,33.8,68,67,95.8,-8,-9,-.056,+7,+8,+.179,+.012,+8,+9,+.018,-1
H. Barnes | Y. Ferrell | W. Matthews | N. Noel | D. Nowitzki,DAL,2016-17,4,33.6,65,67,94.2,-9,-15,-.030,-4,-8,-.052,-0.049,+1,-2,+.333,-21
S. Adams | T. Gibson | D. McDermott | V. Oladipo | R. Westbrook,OKC,2016-17,6,33.6,64,64,91.5,-3,0,-.051,+5,+9,+.111,-0.008,+1,+2,-.026,0
N. Bjelica | G. Dieng | R. Rubio | B. Rush | A. Wiggins,MIN,2016-17,13,33.5,68,67,96.9,+9,+3,+.136,+5,0,+.357,+.179,+10,+11,+.090,+33
K. Durant | D. Green | S. Livingston | Z. Pachulia | K. Thompson,GSW,2016-17,7,33.5,68,68,97.3,+1,-1,+.023,+4,+1,+.186,+.056,+8,+6,+.275,+14
A. Abrines | S. Christon | J. Grant | E. Kanter | V. Oladipo,OKC,2016-17,9,33.5,62,63,89.7,-1,+1,-.026,-5,-3,-.206,-0.071,+2,+1,+.067,-5
D. DeRozan | S. Ibaka | C. Joseph | N. Powell | P. Tucker,TOR,2016-17,10,33.5,68,68,97.4,+6,-4,+.141,-1,-3,+.002,+.138,+3,+1,+.078,+14
J. Barea | D. Finney-Smith | D. Harris | S. Mejri | D. Nowitzki,DAL,2016-17,9,33.4,63,62,89.9,0,0,.000,0,+2,-.039,.000,+9,+8,+.583,+9
D. Arthur | W. Barton | D. Gallinari | E. Mudiay | J. Nurkic,DEN,2016-17,4,33.4,65,67,94.9,-11,-3,-.156,-3,-7,-.042,-0.179,-1,-1,-.022,-26
T. Allen | V. Carter | M. Gasol | A. Harrison | Z. Randolph,MEM,2016-17,15,33.4,61,60,86.9,+3,-2,+.075,-8,-10,-.300,.000,+4,+3,+.094,+2
A. Davis | S. Hill | J. Holiday | T. Jones | E. Moore,NOP,2016-17,13,33.4,75,71,105.0,-1,-5,+.022,0,-7,+.177,+.025,0,-3,+.122,-2
R. Covington | R. Holmes | T. Luwawu-Cabarrot | S. Rodriguez | N. Stauskas,PHI,2016-17,11,33.3,63,65,92.3,+14,+10,+.165,+4,+2,+.188,+.190,-6,-9,+.075,+26
G. Henderson | E. Ilyasova | J. Okafor | S. Rodriguez | N. Stauskas,PHI,2016-17,9,33.3,64,60,89.4,+5,+5,+.047,+8,+10,+.281,+.111,+1,-4,+.276,+19
H. Barnes | S. Curry | D. Finney-Smith | W. Matthews | D. Powell,DAL,2016-17,14,33.2,55,57,81.0,0,0,.000,+1,+6,-.142,+.010,+3,+2,+.150,+4
A. Aminu | A. Crabbe | D. Lillard | C. McCollum | J. Nurkic,POR,2016-17,14,33.2,69,63,95.5,+3,0,+.053,+2,-2,+.190,+.070,+13,+9,+.398,+21
W. Cauley-Stein | B. Hield | S. Labissiere | T. Lawson | G. Temple,SAC,2016-17,5,33.2,70,71,102.0,0,-1,+.008,-9,-13,-.196,-0.064,-2,-6,+.213,-11
G. Dragic | W. Ellington | J. Johnson | R. McGruder | H. Whiteside,MIA,2016-17,16,33.2,64,63,91.9,+9,+14,+.040,+6,+5,+.318,+.084,-12,-19,+.020,+12
K. Caldwell-Pope | A. Drummond | S. Johnson | J. Leuer | I. Smith,DET,2016-17,16,33.2,65,66,94.7,-11,+9,-.257,-5,+1,-.295,-0.311,-5,-4,-.081,-32
K. Bazemore | K. Korver | P. Millsap | D. Schroder | T. Sefolosha,ATL,2016-17,10,33.2,74,76,108.5,+3,+3,+.028,+2,0,+.095,+.042,-6,-8,-.004,+2
S. Adams | J. Grant | A. Roberson | D. Sabonis | R. Westbrook,OKC,2016-17,10,33.1,69,68,99.3,+5,-4,+.126,-2,-4,.000,+.113,-4,+3,-.538,+4
S. Dinwiddie | R. Hollis-Jefferson | C. LeVert | J. Lin | B. Lopez,BRK,2016-17,9,33.1,69,73,103.0,-6,+5,-.137,+3,+10,-.074,-0.117,0,+1,-.043,-9
C. Aldrich | N. Bjelica | K. Dunn | S. Muhammad | A. Wiggins,MIN,2016-17,14,33.1,64,68,95.9,-2,-5,+.009,-9,-18,-.154,-0.061,-2,-2,-.027,-15
M. Brogdon | G. Monroe | J. Parker | T. Snell | M. Teletovic,MIL,2016-17,12,33.0,70,69,101.1,0,-7,+.062,-4,-6,-.089,+.034,-5,-4,-.164,-9
E. Fournier | M. Hezonja | S. Ibaka | N. Vucevic | C. Watson,ORL,2016-17,2,33.0,70,72,103.2,-4,-17,+.074,-4,-7,-.065,+.056,+9,+8,+.262,-3
E. Bledsoe | J. Dudley | B. Knight | A. Len | P. Tucker,PHO,2016-17,14,33.0,70,73,104.0,-2,0,-.030,-3,+3,-.190,-0.053,-2,-1,-.051,-9
D. DeRozan | K. Lowry | L. Nogueira | P. Patterson | N. Powell,TOR,2016-17,9,32.9,64,67,95.5,+15,+1,+.233,+2,-6,+.148,+.248,+6,+3,+.207,+38
B. Beal | M. Morris | O. Porter | J. Smith | J. Wall,WAS,2016-17,21,32.8,73,71,105.5,-6,-1,-.099,-5,-6,-.164,-0.143,-4,-17,+.321,-21
A. Aminu | A. Crabbe | M. Harkless | D. Lillard | M. Plumlee,POR,2016-17,16,32.8,67,69,99.6,-11,-13,-.089,-1,-1,-.040,-0.087,+2,+7,-.185,-21
K. Irving | L. James | R. Jefferson | K. Love | T. Thompson,CLE,2016-17,8,32.8,68,66,98.1,-2,+1,-.037,-4,+2,-.266,-0.068,+9,+10,+.193,+1
J. Johnson | T. Johnson | W. Reed | J. Richardson | J. Winslow,MIA,2016-17,5,32.7,63,63,92.6,+3,+3,+.030,+1,0,+.048,+.035,-4,-1,-.208,+3
J. Butler | C. Felicio | D. McDermott | N. Mirotic | D. Wade,CHI,2016-17,11,32.6,62,60,89.7,+5,+13,-.002,0,-3,+.046,-0.018,+9,+10,-.016,+19
T. Ariza | C. Capela | E. Gordon | J. Harden | L. Williams,HOU,2016-17,14,32.5,72,71,105.7,-6,-10,-.019,+7,+9,+.170,+.052,+2,+5,-.120,-3
L. Aldridge | P. Gasol | K. Leonard | P. Mills | J. Simmons,SAS,2016-17,12,32.5,61,59,88.5,+1,+17,-.108,+8,+16,+.081,-0.059,-3,-7,+.235,+7
B. Griffin | D. Jordan | L. Mbah a Moute | C. Paul | A. Rivers,LAC,2016-17,19,32.5,65,73,102.1,-2,-3,-.008,-1,-5,+.027,-0.015,+8,+16,-.081,+3
G. Antetokounmpo | M. Beasley | M. Brogdon | G. Monroe | T. Snell,MIL,2016-17,14,32.4,64,66,96.2,+11,-4,+.234,+3,-7,+.310,+.265,0,-1,+.035,+25
L. Allen | A. Brooks | A. Jefferson | C. Miles | G. Robinson,IND,2016-17,7,32.4,65,62,94.2,-1,+3,-.043,0,0,.000,-0.045,+7,+9,+.045,+5
F. Kaminsky | M. Kidd-Gilchrist | J. Lamb | K. Walker | C. Zeller,CHO,2016-17,12,32.4,64,66,96.4,+10,-6,+.193,-4,-9,-.034,+.167,+4,+9,-.228,+20
D. Carroll | C. Joseph | K. Lowry | L. Nogueira | T. Ross,TOR,2016-17,10,32.3,65,65,96.6,+8,+10,+.056,+8,+11,+.194,+.112,-6,-7,-.013,+18
M. Hezonja | D. Rudez | C. Watson | C. Wilcox | S. Zimmerman,ORL,2016-17,8,32.3,66,67,98.9,-2,+9,-.103,+5,+16,+.024,-0.069,-6,-13,+.191,-5
P. Connaughton | J. Layman | S. Napier | T. Quarterman | N. Vonleh,POR,2016-17,10,32.2,65,65,97.0,+4,-7,+.119,+3,+5,+.080,+.151,-7,-2,-.341,+4
R. McGruder | J. Richardson | D. Waiters | H. Whiteside | D. Williams,MIA,2016-17,3,32.2,61,59,89.5,+4,+6,+.014,+4,+9,+.006,+.042,-4,-8,+.095,+8
T. Booker | J. Harris | S. Kilpatrick | J. Lin | B. Lopez,BRK,2016-17,6,32.2,70,71,105.1,+4,-1,+.081,+4,+9,+.048,+.119,-8,-9,-.019,+4
J. Crawford | R. Felton | D. Jordan | L. Mbah a Moute | J. Redick,LAC,2016-17,8,32.2,67,66,99.3,0,-11,+.087,-2,-2,-.098,+.078,+8,+15,-.160,+6
A. Afflalo | W. Cauley-Stein | T. Lawson | G. Temple | A. Tolliver,SAC,2016-17,9,32.2,58,60,88.1,-1,+5,-.064,+1,+6,-.083,-0.059,-3,-1,-.152,-4
G. Dieng | K. Dunn | B. Rush | K. Towns | A. Wiggins,MIN,2016-17,11,32.1,60,60,89.6,+5,-8,+.160,-3,-20,+.333,+.149,0,-3,+.222,+7
W. Chandler | K. Faried | N. Jokic | J. Murray | J. Nelson,DEN,2016-17,9,31.9,66,66,99.4,-6,-4,-.078,-3,0,-.176,-0.102,+4,+7,-.188,-11
T. Hardaway | P. Millsap | M. Muscala | D. Schroder | T. Sefolosha,ATL,2016-17,21,31.8,64,63,96.0,-6,+8,-.161,-7,-2,-.375,-0.225,-1,+1,-.126,-20
R. Gobert | G. Hayward | R. Hood | T. Lyles | S. Mack,UTA,2016-17,16,31.8,59,56,86.8,-2,+3,-.063,+2,+4,+.021,-0.048,0,+9,-.379,-2
O. Casspi | D. Collison | D. Cousins | R. Gay | G. Temple,SAC,2016-17,9,31.8,61,61,92.2,+5,+1,+.082,+2,-2,+.140,+.099,-1,0,-.059,+11
S. Dekker | E. Gordon | J. Harden | N. Hilario | L. Williams,HOU,2016-17,13,31.8,71,72,107.9,-1,-15,+.076,+3,+4,+.060,+.112,+9,+13,-.082,+10
K. Korver | P. Millsap | M. Muscala | D. Schroder | T. Sefolosha,ATL,2016-17,13,31.8,62,65,95.8,+3,+1,+.044,-3,+3,-.222,+.016,0,-3,+.205,+3
M. Carter-Williams | J. Lauvergne | B. Portis | D. Valentine | P. Zipser,CHI,2016-17,7,31.8,62,65,95.7,+4,+9,-.004,+2,0,+.111,+.001,-12,-14,-.157,-2
J. Crawford | D. Cunningham | A. Davis | S. Hill | J. Holiday,NOP,2016-17,8,31.7,63,62,94.6,+6,+4,+.068,+3,+1,+.098,+.087,+1,-1,+.108,+16
C. Anthony | B. Jennings | C. Lee | K. O'Quinn | K. Porzingis,NYK,2016-17,14,31.7,65,63,96.9,-2,+14,-.140,+7,+13,+.191,-0.091,-8,-10,+.133,-5
D. Howard | K. Korver | P. Millsap | D. Schroder | T. Sefolosha,ATL,2016-17,13,31.6,62,68,98.9,-4,-6,-.024,-3,-8,-.043,-0.046,+4,+6,-.167,-7
O. Asik | A. Davis | T. Frazier | B. Hield | S. Hill,NOP,2016-17,7,31.6,62,62,94.1,-6,+9,-.175,-2,-2,-.074,-0.201,-1,-1,-.067,-15
L. Aldridge | K. Anderson | P. Gasol | D. Green | T. Parker,SAS,2016-17,8,31.5,60,59,90.6,+5,+3,+.066,0,-5,+.159,+.064,-4,-5,+.091,+6
W. Barton | W. Chandler | N. Jokic | J. Murray | J. Nelson,DEN,2016-17,7,31.5,63,58,92.3,+3,+14,-.046,+5,+5,+.164,-0.015,+2,+3,-.067,+13
B. Beal | B. Bogdanovic | M. Gortat | O. Porter | J. Wall,WAS,2016-17,14,31.5,70,64,102.1,+2,+9,-.039,+5,+15,-.033,-0.007,-3,-7,+.073,+6
P. George | R. Stuckey | J. Teague | M. Turner | T. Young,IND,2016-17,11,31.5,61,65,96.1,-1,-2,-.002,-4,-9,-.058,-0.034,+3,+3,+.039,-3
J. Barea | H. Barnes | A. Bogut | W. Matthews | D. Williams,DAL,2016-17,5,31.5,65,61,95.9,+7,+3,+.107,+2,+5,+.033,+.123,-1,-1,-.016,+15
M. Carter-Williams | T. Gibson | J. Grant | R. Lopez | D. Wade,CHI,2016-17,2,31.4,56,57,86.5,+16,+3,+.272,-5,-14,-.017,+.223,+4,+7,-.071,+31
H. Barnes | S. Curry | Y. Ferrell | W. Matthews | N. Noel,DAL,2016-17,11,31.4,56,56,85.7,+3,+1,+.056,+4,+5,+.135,+.097,+1,0,+.071,+11
T. McConnell | J. Okafor | D. Saric | N. Stauskas | H. Thompson,PHI,2016-17,13,31.3,60,61,92.8,0,-7,+.055,+4,-2,+.260,+.098,-4,-5,-.155,0
A. Burks | R. Gobert | G. Hayward | G. Hill | J. Johnson,UTA,2016-17,13,31.3,60,60,91.9,-6,-2,-.100,-2,0,-.125,-0.118,+14,+16,+.034,0
Y. Ferrell | D. Finney-Smith | D. Harris | D. Nowitzki | D. Powell,DAL,2016-17,12,31.3,57,58,88.2,-5,-6,-.046,-2,-4,-.014,-0.056,+5,+4,+.367,-7
G. Antetokounmpo | M. Brogdon | G. Monroe | T. Snell | M. Teletovic,MIL,2016-17,12,31.3,60,62,93.4,+11,+15,+.065,0,-3,+.056,+.045,+7,+5,+.298,+29
L. Deng | B. Ingram | T. Mozgov | J. Randle | N. Young,LAL,2016-17,4,31.2,58,59,90.1,-8,-5,-.110,-3,-4,-.100,-0.133,-3,-5,+.250,-22
T. Booker | S. Dinwiddie | J. Hamilton | S. Kilpatrick | I. Whitehead,BRK,2016-17,5,31.2,66,66,101.4,+4,-3,+.086,0,+4,-.078,+.088,0,-1,+.058,+8
R. Covington | J. Embiid | G. Henderson | E. Ilyasova | T. McConnell,PHI,2016-17,15,31.1,69,69,106.4,-7,-21,+.032,-5,-15,.000,+.008,+18,+21,-.020,-1
J. Johnson | T. Johnson | R. McGruder | W. Reed | J. Winslow,MIA,2016-17,5,31.1,59,58,90.4,+1,+2,+.002,+2,0,+.200,+.018,-5,-6,-.050,-1
S. Curry | K. Durant | D. Green | P. McCaw | Z. Pachulia,GSW,2016-17,3,31.1,64,63,98.0,-5,-10,-.009,-1,-3,+.002,-0.007,-2,0,-.222,-13
T. Ariza | P. Beverley | E. Gordon | J. Harden | M. Harrell,HOU,2016-17,16,31.0,65,66,101.4,-2,-2,-.017,+4,+19,-.081,+.015,+5,+8,-.107,+5
L. Barbosa | D. Bender | B. Knight | A. Len | P. Tucker,PHO,2016-17,7,31.0,60,62,94.5,0,+7,-.051,0,-3,+.067,-0.055,-9,-10,+.056,-9
J. Barea | H. Barnes | W. Matthews | D. Nowitzki | D. Williams,DAL,2016-17,4,30.9,63,62,97.1,-3,+1,-.058,+1,+7,-.082,-0.051,-6,-6,-.167,-11
T. Ariza | P. Beverley | C. Capela | E. Gordon | L. Williams,HOU,2016-17,9,30.9,66,61,98.5,+3,+12,-.025,+4,+6,+.143,+.002,+5,+9,-.170,+15
I. Canaan | N. Mirotic | B. Portis | D. Valentine | D. Wade,CHI,2016-17,6,30.9,62,64,97.9,-1,-2,.000,+3,+2,+.167,+.029,-7,-5,-.180,-6
B. Beal | I. Mahinmi | M. Morris | O. Porter | J. Wall,WAS,2016-17,16,30.9,65,68,103.4,+6,-4,+.139,+1,-5,+.167,+.152,-4,-4,-.056,+9
J. Holiday | B. Jennings | M. Kuzminskas | K. O'Quinn | K. Porzingis,NYK,2016-17,11,30.8,62,59,94.4,+5,+12,-.015,0,-2,+.049,-0.030,+7,+5,+.345,+17
E. Bledsoe | D. Booker | J. Dudley | A. Len | T. Warren,PHO,2016-17,8,30.8,69,71,109.0,+7,+2,+.109,-5,-1,-.276,+.062,-12,-11,-.112,-3
G. Dragic | W. Ellington | J. Johnson | W. Reed | O. White,MIA,2016-17,7,30.8,58,56,89.0,+5,-1,+.110,+2,+8,-.092,+.131,+4,+3,+.146,+16
B. Bogdanovic | T. Booker | R. Hollis-Jefferson | J. Lin | B. Lopez,BRK,2016-17,4,30.8,65,64,100.7,-6,-7,-.043,-4,0,-.267,-0.071,+4,+4,+.034,-12
N. Batum | M. Kidd-Gilchrist | B. Roberts | M. Williams | C. Zeller,CHO,2016-17,3,30.7,61,61,95.4,-4,+1,-.083,-7,-7,-.318,-0.150,+2,+4,-.133,-13
A. Crabbe | M. Harkless | D. Lillard | J. Nurkic | N. Vonleh,POR,2016-17,16,30.7,64,61,97.7,+14,+1,+.258,0,-6,+.178,+.257,-8,-5,-.358,+20
J. Butler | I. Canaan | T. Gibson | R. Lopez | R. Rondo,CHI,2016-17,10,30.7,64,67,102.4,-1,+7,-.074,-2,-1,-.122,-0.098,+2,-1,+.136,-2
R. Anderson | T. Ariza | C. Capela | S. Dekker | J. Harden,HOU,2016-17,9,30.7,63,65,100.2,-2,-19,+.103,0,-5,+.085,+.125,+7,+12,-.045,+3
C. Miles | G. Robinson | J. Teague | M. Turner | T. Young,IND,2016-17,16,30.6,65,64,101.2,-1,+6,-.071,0,-1,+.025,-0.078,-11,-8,-.260,-13
R. Gobert | G. Hayward | J. Johnson | T. Lyles | S. Mack,UTA,2016-17,12,30.6,55,58,88.7,+6,+3,+.086,+6,+11,+.137,+.138,-1,-1,-.023,+17
K. Faried | D. Gallinari | G. Harris | J. Nelson | J. Nurkic,DEN,2016-17,3,30.6,62,63,98.1,-10,-12,-.088,0,-4,+.097,-0.081,+17,+17,+.252,-3
C. Brewer | J. Clarkson | J. Randle | D. Russell | I. Zubac,LAL,2016-17,4,30.5,62,62,97.7,-4,-11,+.015,-4,-7,-.092,-0.009,-7,-9,+.051,-19
D. Augustin | B. Biyombo | M. Hezonja | J. Meeks | C. Watson,ORL,2016-17,3,30.5,57,56,88.9,-5,+4,-.124,-2,+5,-.250,-0.148,-9,-9,-.257,-21
E. Ilyasova | T. McConnell | J. Okafor | N. Stauskas | H. Thompson,PHI,2016-17,10,30.5,62,62,97.7,-14,-9,-.170,-4,-6,-.084,-0.194,+3,+2,+.147,-29
E. Bledsoe | D. Booker | M. Chriss | P. Tucker | T. Warren,PHO,2016-17,8,30.5,63,60,96.7,-3,+7,-.135,-5,-4,-.271,-0.190,+3,+5,-.050,-8
A. Afflalo | W. Cauley-Stein | D. Collison | K. Koufos | T. Lawson,SAC,2016-17,2,30.4,55,54,86.1,+1,+7,-.047,-1,-8,+.150,-0.064,-4,-2,-.222,-3
L. Allen | M. Ellis | A. Jefferson | G. Robinson | R. Stuckey,IND,2016-17,6,30.4,58,61,94.0,-4,-5,-.029,-3,-8,+.167,-0.053,+2,-1,+.190,-9
M. Belinelli | S. Hawes | F. Kaminsky | J. Lamb | R. Sessions,CHO,2016-17,7,30.4,66,67,105.0,+3,+3,+.028,0,-2,+.054,+.025,-7,-7,-.071,-1
D. Cunningham | A. Davis | L. Galloway | S. Hill | J. Holiday,NOP,2016-17,10,30.3,59,63,96.6,+5,-3,+.138,+2,-6,+.271,+.164,0,+5,-.217,+12
D. DeRozan | S. Ibaka | C. Joseph | P. Patterson | P. Tucker,TOR,2016-17,12,30.3,58,59,92.6,+5,-7,+.143,0,-6,+.102,+.151,0,+3,-.159,+10
W. Barton | K. Faried | D. Gallinari | J. Murray | J. Nelson,DEN,2016-17,9,30.3,59,59,93.6,0,+1,-.009,+4,+7,+.146,+.029,+2,+5,-.083,+6
M. Belinelli | S. Hawes | R. Hibbert | J. Lamb | R. Sessions,CHO,2016-17,6,30.3,63,66,102.2,-7,-13,-.017,-4,-7,-.153,-0.045,+9,+12,+.042,-9
O. Asik | D. Cunningham | T. Frazier | T. Jones | E. Moore,NOP,2016-17,5,30.2,62,64,100.1,+2,+7,-.013,+2,-3,+.174,-0.002,+5,+8,-.063,+11
J. Hamilton | R. Hollis-Jefferson | S. Kilpatrick | C. LeVert | I. Whitehead,BRK,2016-17,5,30.2,65,65,103.4,+5,+11,.000,-3,-1,-.150,-0.036,-10,-16,+.300,-3
J. Brown | J. Crowder | A. Horford | J. Jerebko | I. Thomas,BOS,2016-17,8,30.1,61,62,98.1,-3,-16,+.071,+1,-3,+.095,+.093,-2,-6,+.267,-7
V. Carter | T. Daniels | T. Douglas | M. Gasol | Z. Randolph,MEM,2016-17,7,30.1,55,58,90.1,-3,+5,-.110,+3,+5,+.103,-0.084,-5,-5,-.074,-8
A. Afflalo | W. Cauley-Stein | D. Collison | B. Hield | K. Koufos,SAC,2016-17,3,30.1,57,59,92.6,-1,-3,+.008,+4,-1,+.324,+.046,+1,+4,-.375,+3
L. Babbitt | T. Johnson | R. McGruder | D. Waiters | H. Whiteside,MIA,2016-17,15,30.0,58,60,94.4,+9,-5,+.219,0,-5,+.067,+.223,+7,+9,+.015,+25
L. Aldridge | D. Dedmon | D. Green | K. Leonard | D. Murray,SAS,2016-17,3,30.0,56,56,89.6,-4,-2,-.055,-1,-3,.000,-0.063,+6,+3,+.375,-3
T. Luwawu-Cabarrot | J. Okafor | S. Rodriguez | D. Saric | N. Stauskas,PHI,2016-17,9,30.0,60,58,94.6,-2,-5,+.003,+1,+5,-.041,+.017,-1,-4,+.186,-4
G. Antetokounmpo | M. Dellavedova | J. Henson | K. Middleton | T. Snell,MIL,2016-17,7,30.0,58,61,95.3,+3,0,+.059,-5,-6,-.198,+.010,+11,+11,+.145,+12
K. Irving | R. Jefferson | K. Korver | K. Love | T. Thompson,CLE,2016-17,8,30.0,71,70,112.7,-1,-10,+.060,+3,+3,+.118,+.093,+2,0,+.125,+3
E. Bledsoe | D. Booker | M. Chriss | A. Len | P. Tucker,PHO,2016-17,12,29.9,65,64,103.5,0,+2,-.018,-1,-3,-.013,-0.029,-2,-5,+.083,-3
B. Diaw | R. Gobert | G. Hayward | J. Ingles | R. Neto,UTA,2016-17,12,29.8,54,56,88.6,+2,+3,+.013,-4,-6,-.178,-0.029,-7,-7,-.095,-7
M. Barnes | D. Collison | D. Cousins | R. Gay | G. Temple,SAC,2016-17,13,29.8,61,57,95.0,+6,+12,+.025,+1,+8,-.072,+.020,-7,-7,-.086,+6
J. Butler | C. Felicio | N. Mirotic | R. Rondo | D. Valentine,CHI,2016-17,8,29.8,61,60,97.4,+16,+16,+.179,+10,+11,+.311,+.257,-2,-4,+.071,+40
J. Calderon | L. Deng | B. Ingram | T. Mozgov | J. Randle,LAL,2016-17,4,29.7,56,56,90.6,-7,-1,-.126,-4,-3,-.247,-0.163,+5,+5,+.192,-13
D. Bertans | M. Ginobili | D. Lee | P. Mills | J. Simmons,SAS,2016-17,9,29.7,67,66,107.4,+3,-5,+.094,+4,-3,+.233,+.136,+11,+13,-.018,+21
D. Gallinari | G. Harris | N. Jokic | E. Mudiay | J. Nurkic,DEN,2016-17,4,29.7,59,61,97.0,-10,-13,-.069,-4,-2,-.280,-0.100,+6,+9,-.200,-18
R. Holmes | E. Ilyasova | T. McConnell | N. Stauskas | H. Thompson,PHI,2016-17,10,29.7,62,57,96.1,-2,-8,+.021,+2,+5,+.049,+.046,0,0,.000,-2
G. Dragic | J. Johnson | T. Johnson | H. Whiteside | J. Winslow,MIA,2016-17,6,29.6,58,59,94.8,-2,-1,-.027,-1,-5,+.165,-0.034,-5,-6,-.018,-10
O. Asik | A. Davis | T. Frazier | S. Hill | J. Holiday,NOP,2016-17,4,29.6,58,59,95.0,-1,-3,+.011,+1,-7,+.232,+.023,+7,+8,+.214,+6
J. Butler | M. Carter-Williams | T. Gibson | J. Grant | R. Lopez,CHI,2016-17,2,29.6,53,53,85.9,+2,+7,-.020,+1,-2,+.152,-0.014,+3,+2,+.175,+8
G. Dragic | W. Ellington | J. Johnson | D. Waiters | H. Whiteside,MIA,2016-17,13,29.6,58,56,92.6,+3,+3,+.035,+11,+16,+.300,+.146,-12,-11,-.342,+5
I. Clark | S. Curry | K. Durant | A. Iguodala | J. McGee,GSW,2016-17,16,29.5,61,62,100.2,+7,+6,+.075,+1,+6,-.036,+.078,+7,+6,+.232,+22
D. Arthur | W. Barton | J. Hernangomez | J. Murray | M. Plumlee,DEN,2016-17,5,29.5,55,55,89.6,+1,-3,+.041,+3,+7,+.035,+.070,+1,+1,.000,+6
G. Antetokounmpo | M. Brogdon | G. Monroe | T. Snell | J. Terry,MIL,2016-17,15,29.5,54,55,88.7,-2,+2,-.064,-3,-3,-.139,-0.099,-3,-3,-.092,-10
V. Carter | M. Conley | J. Ennis | J. Green | Z. Randolph,MEM,2016-17,13,29.4,52,51,84.1,+1,+10,-.086,-5,-3,-.183,-0.160,-3,-5,+.100,-6
S. Curry | K. Durant | D. Green | S. Livingston | K. Thompson,GSW,2016-17,13,29.3,68,62,106.5,+12,+10,+.135,+1,+11,-.196,+.133,+3,-3,+.316,+28
L. James | R. Jefferson | K. Korver | I. Shumpert | D. Williams,CLE,2016-17,5,29.2,55,54,89.6,0,-5,+.053,+2,+5,+.002,+.082,0,-2,+.333,+2
W. Chandler | K. Faried | D. Gallinari | G. Harris | J. Nelson,DEN,2016-17,6,29.2,66,60,103.7,+5,+18,-.064,+1,-4,+.186,-0.074,-3,-4,+.024,+8
G. Green | J. Jerebko | K. Olynyk | T. Rozier | M. Smart,BOS,2016-17,8,29.1,60,59,98.3,-2,+4,-.073,0,+9,-.084,-0.075,+2,+3,+.006,-2
J. Green | S. Ibaka | E. Payton | N. Vucevic | C. Watson,ORL,2016-17,15,29.0,60,57,97.0,-3,+19,-.234,-5,+3,-.325,-0.313,-9,-11,-.063,-20
E. Ilyasova | T. McConnell | J. Okafor | D. Saric | N. Stauskas,PHI,2016-17,7,29.0,59,59,97.8,-3,-7,+.001,+2,0,+.133,+.028,-3,-4,+.041,-7
L. Barbosa | D. Booker | B. Knight | A. Len | P. Tucker,PHO,2016-17,7,28.9,54,54,89.8,+7,+3,+.116,0,-4,+.143,+.113,-4,-4,-.054,+10
C. Anthony | B. Jennings | C. Lee | K. O'Quinn | L. Thomas,NYK,2016-17,12,28.8,58,56,94.9,+5,+1,+.086,0,-9,+.164,+.085,-8,-10,-.050,+2
J. Clarkson | B. Ingram | T. Mozgov | L. Nance Jr. | L. Williams,LAL,2016-17,13,28.8,61,61,101.7,+1,+8,-.066,-6,-6,-.236,-0.130,-6,-10,+.094,-10
M. Ellis | P. George | A. Jefferson | J. Teague | T. Young,IND,2016-17,16,28.7,53,54,89.4,+2,+1,+.034,-2,-5,-.033,+.011,-1,-1,-.028,+1
