,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Yr
121,T. Daniels,SG,25,MEM,67,3,1183,8.1,21.8,0.374,6.1,15.6,0.389,2.1,6.2,0.336,1.9,2.4,0.796,0.9,3.5,4.4,2.0,0.9,0.2,2.0,4.0,24.2,104.0,112.0,2017
122,A. Davis,C,23,NOP,75,75,2708,13.9,27.6,0.504,0.7,2.4,0.299,13.2,25.2,0.524,9.4,11.7,0.802,3.1,12.9,16.0,2.8,1.7,3.0,3.3,3.0,38.0,112.0,102.0,2017
123,D. Davis,C,20,MEM,36,0,238,5.2,10.3,0.511,0.0,0.0,5.2,10.3,0.511,2.2,3.9,0.556,4.4,8.7,13.1,0.4,0.7,3.7,1.7,8.7,12.7,107.0,105.0,,2017
124,E. Davis,PF,27,POR,46,12,789,4.7,8.9,0.528,0.0,0.0,4.7,8.9,0.528,3.1,5.1,0.617,6.0,9.3,15.3,1.7,0.9,1.4,2.3,8.6,12.6,116.0,110.0,,2017
125,D. Dedmon,C,27,SAS,76,37,1330,6.2,9.9,0.622,0.0,0.0,6.2,9.9,0.622,2.5,3.6,0.699,4.9,14.0,19.0,1.7,1.4,2.3,2.3,6.9,14.8,122.0,99.0,,2017
126,S. Dekker,SF,22,HOU,77,2,1419,6.9,14.5,0.473,2.0,6.3,0.321,4.8,8.2,0.591,1.3,2.3,0.559,3.2,6.4,9.6,2.6,1.3,0.7,1.4,2.8,17.0,115.0,110.0,2017
127,M. Delaney,PG,27,ATL,73,2,1248,5.7,15.3,0.374,1.0,4.3,0.236,4.7,11.0,0.428,3.0,3.7,0.806,0.4,4.5,4.9,7.6,1.5,0.0,3.8,4.4,15.4,92.0,109.0,2017
128,M. Dellavedova,PG,26,MIL,76,54,1986,5.3,13.7,0.39,2.0,5.5,0.367,3.3,8.2,0.404,2.1,2.5,0.854,0.6,3.1,3.8,9.1,1.4,0.0,3.4,3.9,14.8,102.0,114.0,2017
129,L. Deng,SF,31,LAL,56,49,1486,5.4,13.9,0.387,1.7,5.4,0.309,3.7,8.5,0.436,1.5,2.1,0.73,2.1,7.6,9.7,2.4,1.6,0.7,1.4,2.0,13.9,101.0,113.0,2017
130,D. DeRozan,SG,27,TOR,74,74,2620,13.9,29.9,0.467,0.6,2.4,0.266,13.3,27.5,0.484,10.5,12.5,0.842,1.4,6.1,7.5,5.6,1.5,0.3,3.5,2.6,39.1,113.0,110.0,2017
131,C. Diallo,PF,20,NOP,17,0,199,8.9,18.7,0.474,0.0,0.0,8.9,18.7,0.474,3.7,5.2,0.714,5.7,12.3,18.0,1.0,1.0,1.7,1.7,4.2,21.4,107.0,105.0,,2017
132,B. Diaw,PF,34,UTA,73,33,1283,6.0,13.4,0.446,0.8,3.3,0.247,5.1,10.1,0.512,1.1,1.4,0.743,1.9,4.6,6.5,6.9,0.7,0.4,3.6,3.4,13.8,99.0,109.0,2017
133,G. Dieng,PF,27,MIN,82,82,2653,6.3,12.6,0.502,0.3,0.8,0.372,6.0,11.8,0.511,2.6,3.2,0.814,3.6,8.8,12.4,3.0,1.7,1.8,2.0,4.9,15.6,114.0,110.0,2017
134,S. Dinwiddie,PG,23,BRK,59,18,1334,4.8,10.7,0.444,1.4,3.6,0.376,3.4,7.1,0.478,4.5,5.6,0.792,1.0,4.9,5.8,6.6,1.6,0.8,2.3,4.2,15.3,116.0,112.0,2017
135,T. Douglas,PG,30,MEM,24,0,394,5.7,15.4,0.368,0.9,5.5,0.167,4.8,9.9,0.48,3.2,3.8,0.828,1.7,6.3,8.1,7.4,2.4,0.7,2.8,6.6,15.4,99.0,106.0,2017
136,G. Dragic,PG,30,MIA,73,73,2459,10.9,23.0,0.475,2.4,5.9,0.405,8.5,17.1,0.499,6.1,7.7,0.79,1.3,4.4,5.7,8.7,1.8,0.3,4.3,4.1,30.4,112.0,109.0,2017
137,A. Drummond,C,23,DET,81,81,2409,10.1,19.1,0.53,0.0,0.1,0.286,10.1,19.0,0.532,2.9,7.4,0.386,7.2,16.2,23.4,1.9,2.6,1.9,3.2,5.0,23.2,104.0,99.0,2017
138,J. Dudley,PF,31,PHO,64,7,1362,5.5,12.2,0.454,2.7,7.1,0.379,2.8,5.0,0.559,1.5,2.3,0.662,1.1,6.8,7.9,4.3,1.5,0.6,2.5,5.4,15.3,110.0,113.0,2017
139,M. Dunleavy,SF,36,TOT,53,2,841,5.5,13.0,0.423,3.1,7.9,0.396,2.4,5.1,0.465,2.1,2.7,0.8,1.1,5.7,6.8,2.9,0.9,0.4,1.7,3.9,16.2,112.0,111.0,2017
