Player,Tm,FG%,2P%,3P%,FT%,eFG%,FG/36,FGA/36,2P/36,2PA/36,3P/36,3PA/36,FT/36,FTA/36,ORB/36,DRB/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,PTS/36,TS%,3PAr,FTr
Carmelo Anthony,NYK,0.433405328,0.465909091,0.358669834,0.832876712,0.487760979,8.539007092,19.70212766,6.397163121,13.73049645,2.141843972,5.971631206,4.312056738,5.177304965,0.879432624,5.304964539,6.184397163,3.021276596,0.85106383,0.482269504,2.170212766,2.808510638,23.53191489,53.52994321,0.303095752,0.262778978
Joel Anthony,SAS,0.625,0.625,0,0.625,0.625,2.950819672,4.721311475,2.950819672,4.721311475,0,0,1.475409836,2.360655738,2.360655738,6.786885246,9.147540984,0.885245902,0.590163934,1.770491803,1.180327869,3.245901639,7.37704918,64.03688525,0,0.5
Trevor Ariza,HOU,0.408521303,0.555555556,0.344144144,0.738095238,0.528195489,4.232239452,10.35989903,1.752614497,3.154706094,2.479624955,7.205192932,1.207356653,1.63577353,0.701045799,5.257843491,5.95888929,2.271907681,1.908402452,0.259646592,0.960692391,1.726649838,12.15146051,54.83689539,0.695488722,0.157894737
Darrell Arthur,DEN,0.441860465,0.428571429,0.452991453,0.863636364,0.565116279,5.352112676,12.11267606,2.366197183,5.521126761,2.985915493,6.591549296,1.070422535,1.23943662,1.408450704,4.901408451,6.309859155,2.366197183,1.070422535,1.183098592,2.028169014,4.281690141,14.76056338,58.3051451,0.544186047,0.102325581
Omer Asik,NOP,0.476923077,0.476923077,0,0.58974359,0.476923077,2.315352697,4.854771784,2.315352697,4.854771784,0,0,1.717842324,2.912863071,3.585062241,8.589211618,12.17427386,1.12033195,0.373443983,0.746887967,1.045643154,3.809128631,6.348547718,51.72833496,0,0.6
D.J. Augustin,ORL,0.377176015,0.411522634,0.346715328,0.813664596,0.469052224,4.564369311,12.10143043,2.340702211,5.687906372,2.2236671,6.413524057,3.066319896,3.768530559,0.351105332,2.387516255,2.738621586,4.89206762,0.725617685,0.023407022,2.10663199,2.364109233,14.41872562,52.39520958,0.529980658,0.311411992
Luke Babbitt,MIA,0.402135231,0.366197183,0.414285714,0.733333333,0.556939502,3.81971831,9.498591549,0.878873239,2.4,2.94084507,7.098591549,0.371830986,0.507042254,0.43943662,4.36056338,4.8,1.216901408,0.709859155,0.371830986,0.845070423,3.988732394,10.95211268,56.32823366,0.747330961,0.053380783
Ron Baker,NYK,0.377880184,0.450381679,0.26744186,0.651162791,0.430875576,3.444574096,9.115519253,2.478413069,5.502917153,0.966161027,3.6126021,1.176196033,1.80630105,0.504084014,3.6126021,4.116686114,4.494749125,1.42823804,0.336056009,2.352392065,3.108518086,9.031505251,45.56629366,0.396313364,0.198156682
Wade Baldwin,MEM,0.313043478,0.35483871,0.136363636,0.837837838,0.326086957,3.2,10.22222222,2.933333333,8.266666667,0.266666667,1.955555556,2.755555556,3.288888889,0.977777778,3.111111111,4.088888889,5.422222222,1.6,0.622222222,3.555555556,3.555555556,9.422222222,40.37172456,0.191304348,0.32173913
Leandro Barbosa,PHO,0.43877551,0.465986395,0.357142857,0.888888889,0.483418367,6.429906542,14.65420561,5.121495327,10.99065421,1.308411215,3.663551402,1.495327103,1.682242991,0.560747664,3.327102804,3.887850467,3.028037383,1.158878505,0.299065421,1.794392523,3.065420561,15.6635514,50.87421078,0.25,0.114795918
