Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%
Mario Hezonja,20,ORL,NBA,2015-16,79,9,1413,181,418,114,226,67,192,49,54,28,148,176,109,39,17,97,124,478,0.433014354,0.504424779,0.348958333,0.907407407,0.513157895
Mario Kasun,24,ORL,NBA,2004-05,45,0,356,47,98,47,97,0,1,24,43,52,76,128,8,8,13,26,86,118,0.479591837,0.484536082,0.0,0.558139535,0.479591837
Mario West,23,ATL,NBA,2007-08,64,2,269,21,49,21,45,0,4,17,26,26,22,48,13,12,4,9,61,59,0.428571429,0.466666667,0.0,0.653846154,0.428571429
Mark Blount,25,BOS,NBA,2000-01,64,50,1098,101,200,101,200,0,0,46,66,97,134,231,32,39,76,62,183,248,0.505,0.505,0.0,0.696969697,0.505
Mark Jones,29,ORL,NBA,2004-05,10,0,116,9,31,9,27,0,4,5,10,6,7,13,6,5,2,3,16,23,0.290322581,0.333333333,0.0,0.5,0.290322581
Mark Madsen,25,LAL,NBA,2000-01,70,3,641,55,113,54,112,1,1,26,37,74,78,152,24,8,8,27,111,137,0.486725664,0.482142857,1.0,0.702702703,0.491150442
Markel Brown,23,BRK,NBA,2014-15,47,29,781,76,210,59,146,17,64,47,57,16,91,107,39,31,12,27,57,216,0.361904762,0.404109589,0.265625,0.824561404,0.402380952
Markieff Morris,22,PHO,NBA,2011-12,63,7,1227,174,436,131,312,43,124,76,106,69,210,279,65,41,42,70,179,467,0.399082569,0.419871795,0.346774194,0.716981132,0.448394495
Marko Jaric,24,LAC,NBA,2002-03,66,12,1379,179,446,126,280,53,166,79,105,35,125,160,193,97,11,103,125,490,0.401345291,0.45,0.319277108,0.752380952,0.460762332
Marquese Chriss,19,PHO,NBA,2016-17,82,75,1743,284,632,212,408,72,224,113,181,96,252,348,60,67,70,108,263,753,0.449367089,0.519607843,0.321428571,0.624309392,0.506329114
Marquis Daniels,23,DAL,NBA,2003-04,56,15,1039,203,411,192,375,11,36,60,78,66,80,146,116,53,12,44,51,477,0.493917275,0.512,0.305555556,0.769230769,0.50729927
Marquis Teague,19,CHI,NBA,2012-13,48,0,392,43,113,39,90,4,23,9,16,3,41,44,63,9,7,35,47,99,0.380530973,0.433333333,0.173913043,0.5625,0.398230088
Marreese Speights,21,PHI,NBA,2008-09,79,2,1263,252,502,250,494,2,8,102,132,123,170,293,30,27,56,46,181,608,0.501992032,0.506072874,0.25,0.772727273,0.503984064
Marshall Plumlee,24,NYK,NBA,2016-17,21,1,170,16,30,16,30,0,0,8,19,23,28,51,10,4,4,12,23,40,0.533333333,0.533333333,0.0,0.421052632,0.533333333
Martell Webster,19,POR,NBA,2005-06,61,18,1070,139,348,74,166,65,182,61,71,29,101,130,34,21,14,43,90,404,0.399425287,0.445783133,0.357142857,0.85915493,0.492816092
Martynas Andriuskevicius,19,CLE,NBA,2005-06,6,0,9,0,1,0,1,0,0,0,0,1,3,4,0,2,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Marvin Williams,19,ATL,NBA,2005-06,79,7,1952,235,531,222,478,13,53,189,253,122,261,383,63,48,24,83,227,672,0.442561205,0.464435146,0.245283019,0.747035573,0.45480226
Mason Plumlee,23,BRK,NBA,2013-14,70,22,1275,199,302,199,299,0,3,122,195,99,209,308,60,49,55,77,171,520,0.658940397,0.665551839,0.0,0.625641026,0.658940397
Mateen Cleaves,23,DET,NBA,2000-01,78,8,1268,160,400,155,383,5,17,97,137,26,106,132,207,49,1,139,153,422,0.4,0.404699739,0.294117647,0.708029197,0.40625
Matt Barnes,23,LAC,NBA,2003-04,38,9,724,63,138,61,125,2,13,43,61,53,98,151,48,27,3,44,76,171,0.456521739,0.488,0.153846154,0.704918033,0.463768116
Matt Bonner,24,TOR,NBA,2004-05,82,0,1553,247,463,208,371,39,92,56,71,108,177,285,48,39,19,40,220,589,0.533477322,0.5606469,0.423913043,0.788732394,0.575593952
Matt Carroll,23,TOT,NBA,2003-04,16,0,70,7,16,6,13,1,3,4,6,1,5,6,2,1,0,6,8,19,0.4375,0.461538462,0.333333333,0.666666667,0.46875
Matt Freije,23,NOH,NBA,2004-05,23,11,441,37,127,23,73,14,54,5,8,16,45,61,20,13,2,17,40,93,0.291338583,0.315068493,0.259259259,0.625,0.346456693
Matt Walsh,23,MIA,NBA,2005-06,2,0,3,1,1,1,1,0,0,0,2,0,0,0,0,0,0,1,0,2,1.0,1.0,0.0,0.0,1.0
Matthew Dellavedova,23,CLE,NBA,2013-14,72,4,1271,122,296,65,141,57,155,38,48,29,94,123,187,33,5,60,121,339,0.412162162,0.460992908,0.367741935,0.791666667,0.508445946
Maurice Ager,22,DAL,NBA,2006-07,32,1,214,22,70,17,55,5,15,20,33,1,20,21,7,4,3,15,27,69,0.314285714,0.309090909,0.333333333,0.606060606,0.35
Maurice Baker,25,TOT,NBA,2004-05,5,0,19,0,1,0,1,0,0,0,0,1,1,2,1,1,0,1,3,0,0.0,0.0,0.0,0.0,0.0
Maurice Carter,27,TOT,NBA,2003-04,10,0,110,11,35,7,24,4,11,16,20,2,9,11,4,0,0,9,10,42,0.314285714,0.291666667,0.363636364,0.8,0.371428571
Maurice Evans,23,MIN,NBA,2001-02,10,0,45,9,19,9,16,0,3,3,4,3,1,4,4,0,0,2,9,21,0.473684211,0.5625,0.0,0.75,0.473684211
Maurice Harkless,19,ORL,NBA,2012-13,76,59,1974,260,564,228,447,32,117,73,128,122,213,335,50,88,62,69,144,625,0.460992908,0.510067114,0.273504274,0.5703125,0.489361702
Maurice Ndour,24,NYK,NBA,2016-17,32,4,331,39,86,38,79,1,7,19,26,22,42,64,8,15,8,12,30,98,0.453488372,0.481012658,0.142857143,0.730769231,0.459302326
Mehmet Okur,23,DET,NBA,2002-03,72,9,1366,180,423,142,311,38,112,96,131,117,218,335,71,25,39,66,167,494,0.425531915,0.45659164,0.339285714,0.732824427,0.470449173
Melvin Ely,24,LAC,NBA,2002-03,52,7,802,92,186,92,186,0,0,52,74,64,110,174,15,10,32,50,95,236,0.494623656,0.494623656,0.0,0.702702703,0.494623656
Melvin Sanders,25,SAS,NBA,2005-06,16,0,113,16,33,14,30,2,3,7,10,4,19,23,3,5,0,8,20,41,0.484848485,0.466666667,0.666666667,0.7,0.515151515
Mengke Bateer,26,DEN,NBA,2001-02,27,10,408,53,132,49,120,4,12,29,37,32,64,96,22,10,5,32,94,139,0.401515152,0.408333333,0.333333333,0.783783784,0.416666667
Meyers Leonard,20,POR,NBA,2012-13,69,9,1206,151,277,148,270,3,7,72,89,80,175,255,33,11,38,49,168,377,0.545126354,0.548148148,0.428571429,0.808988764,0.550541516
Michael Beasley,20,MIA,NBA,2008-09,81,19,2009,452,957,419,876,33,81,186,241,110,329,439,83,41,37,121,184,1123,0.4723093,0.478310502,0.407407407,0.771784232,0.489550679
Michael Bradley,22,TOR,NBA,2001-02,26,0,118,13,25,13,23,0,2,4,8,7,17,24,3,0,6,6,10,30,0.52,0.565217391,0.0,0.5,0.52
Michael Carter-Williams,22,PHI,NBA,2013-14,70,70,2414,427,1054,372,846,55,208,258,367,101,336,437,441,130,43,247,213,1167,0.40512334,0.439716312,0.264423077,0.702997275,0.431214421
Michael Gbinije,24,DET,NBA,2016-17,9,0,32,1,10,1,6,0,4,2,2,2,1,3,2,0,0,0,2,4,0.1,0.166666667,0.0,1.0,0.1
Michael Kidd-Gilchrist,19,CHA,NBA,2012-13,78,77,2025,281,613,279,604,2,9,140,187,131,324,455,117,54,70,101,164,704,0.458401305,0.46192053,0.222222222,0.748663102,0.460032626
Michael Redd,21,MIL,NBA,2000-01,6,0,35,5,19,5,16,0,3,3,6,3,1,4,1,1,0,1,2,13,0.263157895,0.3125,0.0,0.5,0.263157895
Mickael Gelabale,23,SEA,NBA,2006-07,70,14,1239,122,264,111,217,11,47,66,82,59,114,173,56,24,22,49,108,321,0.462121212,0.511520737,0.234042553,0.804878049,0.482954545
Mickael Pietrus,21,GSW,NBA,2003-04,53,22,748,96,231,61,126,35,105,52,75,48,71,119,27,32,12,40,100,279,0.415584416,0.484126984,0.333333333,0.693333333,0.491341991
Mickell Gladness,25,TOT,NBA,2011-12,26,7,252,25,59,25,59,0,0,6,12,14,44,58,5,4,20,7,32,56,0.423728814,0.423728814,0.0,0.5,0.423728814
Mike Batiste,25,MEM,NBA,2002-03,75,2,1248,197,467,179,386,18,81,69,88,82,175,257,52,42,16,69,120,481,0.421841542,0.46373057,0.222222222,0.784090909,0.44111349
Mike Conley,20,MEM,NBA,2007-08,53,46,1381,189,442,159,351,30,91,90,123,21,118,139,222,44,2,89,85,498,0.42760181,0.452991453,0.32967033,0.731707317,0.461538462
Mike Dunleavy,22,GSW,NBA,2002-03,82,3,1305,168,417,116,267,52,150,78,100,66,148,214,106,53,19,86,120,466,0.402877698,0.434456929,0.346666667,0.78,0.465227818
Mike Hall,22,WAS,NBA,2006-07,2,0,13,1,4,1,4,0,0,0,0,1,1,2,1,0,0,0,1,2,0.25,0.25,0.0,0.0,0.25
Mike Harris,24,HOU,NBA,2007-08,17,0,159,27,54,27,52,0,2,8,13,24,30,54,3,6,3,9,16,62,0.5,0.519230769,0.0,0.615384615,0.5
Mike James,26,MIA,NBA,2001-02,15,0,119,15,43,7,22,8,21,4,7,2,12,14,19,6,1,13,17,42,0.348837209,0.318181818,0.380952381,0.571428571,0.441860465
Mike Miller,20,ORL,NBA,2000-01,82,62,2390,368,845,220,481,148,364,91,128,66,261,327,140,51,19,97,200,975,0.435502959,0.457380457,0.406593407,0.7109375,0.523076923
Mike Muscala,22,ATL,NBA,2013-14,20,0,215,31,73,31,70,0,3,14,14,17,35,52,7,3,10,12,29,76,0.424657534,0.442857143,0.0,1.0,0.424657534
Mike Penberthy,26,LAL,NBA,2000-01,53,0,851,92,222,37,83,55,139,28,31,10,53,63,71,22,2,34,57,267,0.414414414,0.445783133,0.395683453,0.903225806,0.538288288
Mike Scott,24,ATL,NBA,2012-13,40,1,376,70,147,70,146,0,1,43,56,39,71,110,12,4,2,21,32,183,0.476190476,0.479452055,0.0,0.767857143,0.476190476
Mike Smith,24,WAS,NBA,2000-01,17,0,180,19,59,16,41,3,18,10,16,10,12,22,10,5,3,7,8,51,0.322033898,0.390243902,0.166666667,0.625,0.347457627
Mike Sweetney,21,NYK,NBA,2003-04,42,1,494,69,140,69,139,0,1,42,58,68,89,157,14,18,12,32,57,180,0.492857143,0.496402878,0.0,0.724137931,0.492857143
Mike Taylor,23,LAC,NBA,2008-09,51,5,771,110,267,97,227,13,40,56,81,22,65,87,106,36,0,73,84,289,0.411985019,0.427312775,0.325,0.691358025,0.436329588
Mike Tobey,22,CHO,NBA,2016-17,2,0,25,1,4,1,4,0,0,0,0,2,1,3,1,0,0,1,2,2,0.25,0.25,0.0,0.0,0.25
Mike Wilks,23,TOT,NBA,2002-03,46,7,688,50,148,40,113,10,35,37,47,20,51,71,92,27,4,28,69,147,0.337837838,0.353982301,0.285714286,0.787234043,0.371621622
Mile Ilic,22,NJN,NBA,2006-07,5,0,6,0,3,0,3,0,0,0,0,0,1,1,0,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0
Miles Plumlee,24,IND,NBA,2012-13,14,0,55,5,21,5,21,0,0,3,4,12,10,22,2,0,3,3,5,13,0.238095238,0.238095238,0.0,0.75,0.238095238
Mindaugas Kuzminskas,27,NYK,NBA,2016-17,68,5,1016,158,369,104,201,54,168,55,68,47,79,126,69,29,11,51,79,425,0.428184282,0.517412935,0.321428571,0.808823529,0.501355014
Miroslav Raduljica,26,MIL,NBA,2013-14,48,2,465,68,126,68,126,0,0,45,55,54,54,108,23,7,13,28,84,181,0.53968254,0.53968254,0.0,0.818181818,0.53968254
Mirza Teletovic,27,BRK,NBA,2012-13,53,0,499,71,185,34,77,37,108,9,11,33,62,95,23,13,8,20,53,188,0.383783784,0.441558442,0.342592593,0.818181818,0.483783784
Mitch McGary,22,OKC,NBA,2014-15,32,2,485,88,165,88,163,0,2,25,40,53,112,165,14,16,16,31,72,201,0.533333333,0.539877301,0.0,0.625,0.533333333
Mo Williams,21,UTA,NBA,2003-04,57,0,772,115,303,105,264,10,39,44,56,23,49,72,76,28,2,51,87,284,0.379537954,0.397727273,0.256410256,0.785714286,0.396039604
Monta Ellis,20,GSW,NBA,2005-06,49,3,886,132,318,104,236,28,82,42,59,22,83,105,78,32,11,58,69,334,0.41509434,0.440677966,0.341463415,0.711864407,0.459119497
Montrezl Harrell,22,HOU,NBA,2015-16,39,1,379,58,90,58,89,0,1,24,46,25,40,65,17,11,11,17,48,140,0.644444444,0.651685393,0.0,0.52173913,0.644444444
Morris Almond,22,UTA,NBA,2007-08,9,0,39,4,15,3,11,1,4,4,6,0,2,2,3,1,0,2,5,13,0.266666667,0.272727273,0.25,0.666666667,0.3
Morris Peterson,23,TOR,NBA,2000-01,80,49,1809,290,673,227,508,63,165,104,145,112,147,259,105,63,20,78,164,747,0.430906389,0.446850394,0.381818182,0.717241379,0.477711738
Mouhamed Sene,20,SEA,NBA,2006-07,28,3,169,18,49,18,49,0,0,17,29,16,29,45,0,3,12,11,33,53,0.367346939,0.367346939,0.0,0.586206897,0.367346939
Mustafa Shakur,26,WAS,NBA,2010-11,22,0,159,21,59,20,49,1,10,8,15,7,15,22,25,5,3,18,15,51,0.355932203,0.408163265,0.1,0.533333333,0.36440678
Mychel Thompson,23,CLE,NBA,2011-12,5,3,95,7,24,3,13,4,11,0,0,0,5,5,7,2,1,5,8,18,0.291666667,0.230769231,0.363636364,0.0,0.375
Myles Turner,19,IND,NBA,2015-16,60,30,1367,264,530,261,516,3,14,88,121,68,264,332,41,25,86,67,158,619,0.498113208,0.505813953,0.214285714,0.727272727,0.500943396
Nando De Colo,25,SAS,NBA,2012-13,72,6,920,105,241,74,159,31,82,35,44,23,115,138,138,41,6,81,87,276,0.435684647,0.465408805,0.37804878,0.795454545,0.5
Nate Huffman,27,TOR,NBA,2002-03,7,0,76,9,25,9,25,0,0,5,8,9,14,23,5,1,3,3,13,23,0.36,0.36,0.0,0.625,0.36
Nate Robinson,21,NYK,NBA,2005-06,72,26,1544,230,565,172,419,58,146,152,202,56,111,167,147,59,1,114,201,670,0.407079646,0.410501193,0.397260274,0.752475248,0.45840708
Nate Wolters,22,MIL,NBA,2013-14,58,31,1309,170,389,152,327,18,62,59,90,33,116,149,187,35,15,57,67,417,0.437017995,0.464831804,0.290322581,0.655555556,0.460154242
Nathan Jawai,22,TOR,NBA,2008-09,6,0,19,1,4,1,4,0,0,0,0,1,1,2,0,0,0,2,3,2,0.25,0.25,0.0,0.0,0.25
Ndudi Ebi,19,MIN,NBA,2003-04,17,0,32,6,14,6,14,0,0,1,4,2,1,3,3,0,4,3,6,13,0.428571429,0.428571429,0.0,0.25,0.428571429
Nemanja Bjelica,27,MIN,NBA,2015-16,60,0,1075,110,235,62,110,48,125,40,55,49,161,210,83,26,21,47,154,308,0.468085106,0.563636364,0.384,0.727272727,0.570212766
Nemanja Nedovic,22,GSW,NBA,2013-14,24,0,142,8,39,5,21,3,18,7,8,3,12,15,13,0,1,13,13,26,0.205128205,0.238095238,0.166666667,0.875,0.243589744
Nenad Krstic,21,NJN,NBA,2004-05,75,57,1965,281,570,281,568,0,2,185,255,161,240,401,77,32,63,112,280,747,0.492982456,0.49471831,0.0,0.725490196,0.492982456
Nene Hilario,20,DEN,NBA,2002-03,80,53,2258,321,619,321,616,0,3,197,341,208,283,491,149,127,65,181,295,839,0.518578352,0.521103896,0.0,0.57771261,0.518578352
Nerlens Noel,20,PHI,NBA,2014-15,75,71,2311,302,653,302,653,0,0,140,230,185,426,611,128,133,142,146,208,744,0.462480858,0.462480858,0.0,0.608695652,0.462480858
Nick Calathes,24,MEM,NBA,2013-14,71,7,1173,142,311,123,250,19,61,44,72,23,114,137,207,66,8,101,117,347,0.45659164,0.492,0.31147541,0.611111111,0.487138264
Nick Collison,24,SEA,NBA,2004-05,82,4,1396,190,354,190,351,0,3,83,118,156,220,376,32,34,50,62,252,463,0.536723164,0.541310541,0.0,0.703389831,0.536723164
Nick Fazekas,22,TOT,NBA,2007-08,26,0,269,46,82,46,80,0,2,15,22,34,55,89,11,8,11,13,25,107,0.56097561,0.575,0.0,0.681818182,0.56097561
Nick Johnson,22,HOU,NBA,2014-15,28,0,262,26,75,21,54,5,21,17,25,13,26,39,11,7,3,19,34,74,0.346666667,0.388888889,0.238095238,0.68,0.38
Nick Young,22,WAS,NBA,2007-08,75,2,1158,210,478,170,378,40,100,101,124,23,92,115,63,35,7,94,130,561,0.439330544,0.44973545,0.4,0.814516129,0.481171548
Nicolas Batum,20,POR,NBA,2008-09,79,76,1454,161,361,99,193,62,168,42,52,84,136,220,74,50,40,50,139,426,0.44598338,0.512953368,0.369047619,0.807692308,0.531855956
Nicolas Brussino,23,DAL,NBA,2016-17,54,2,521,52,141,23,46,29,95,17,22,26,69,95,47,17,8,26,43,150,0.368794326,0.5,0.305263158,0.772727273,0.471631206
Nicolas Laprovittola,27,SAS,NBA,2016-17,18,3,174,20,47,10,20,10,27,9,9,1,9,10,28,4,1,19,19,59,0.425531915,0.5,0.37037037,1.0,0.531914894
Nik Stauskas,21,SAC,NBA,2014-15,73,1,1127,108,296,60,147,48,149,55,64,11,77,88,67,20,17,40,92,319,0.364864865,0.408163265,0.322147651,0.859375,0.445945946
Nikola Jokic,20,DEN,NBA,2015-16,80,55,1733,307,600,279,516,28,84,154,190,181,379,560,189,79,50,104,208,796,0.511666667,0.540697674,0.333333333,0.810526316,0.535
Nikola Mirotic,23,CHI,NBA,2014-15,82,3,1654,253,624,154,311,99,313,228,284,63,341,404,97,54,54,89,172,833,0.405448718,0.495176849,0.31629393,0.802816901,0.484775641
Nikola Pekovic,25,MIN,NBA,2010-11,65,11,887,136,263,136,263,0,0,87,114,90,103,193,27,18,35,91,181,359,0.517110266,0.517110266,0.0,0.763157895,0.517110266
Nikola Vucevic,21,PHI,NBA,2011-12,51,15,812,131,291,128,283,3,8,18,34,88,158,246,31,20,34,33,111,283,0.450171821,0.45229682,0.375,0.529411765,0.45532646
Nikoloz Tskitishvili,19,DEN,NBA,2002-03,81,16,1320,115,393,78,241,37,152,48,65,64,117,181,91,31,29,84,136,315,0.292620865,0.323651452,0.243421053,0.738461538,0.339694656
Noah Vonleh,19,CHO,NBA,2014-15,25,0,259,30,76,25,63,5,13,18,26,28,58,86,4,4,9,11,20,83,0.394736842,0.396825397,0.384615385,0.692307692,0.427631579
Noel Felix,24,SEA,NBA,2005-06,12,0,82,6,25,5,22,1,3,5,8,3,10,13,2,2,3,8,13,18,0.24,0.227272727,0.333333333,0.625,0.26
Nolan Smith,23,POR,NBA,2011-12,44,4,541,67,180,54,135,13,45,20,28,17,39,56,62,18,3,42,55,167,0.372222222,0.4,0.288888889,0.714285714,0.408333333
Norm Richardson,22,TOT,NBA,2001-02,11,0,67,10,26,6,18,4,8,6,9,3,5,8,2,0,0,3,5,30,0.384615385,0.333333333,0.5,0.666666667,0.461538462
Norman Powell,22,TOR,NBA,2015-16,49,24,725,97,229,61,140,36,89,43,53,16,95,111,47,29,10,32,59,273,0.423580786,0.435714286,0.404494382,0.811320755,0.502183406
Norris Cole,23,MIA,NBA,2011-12,65,2,1260,177,450,156,374,21,76,66,85,21,70,91,133,44,2,105,124,441,0.393333333,0.417112299,0.276315789,0.776470588,0.416666667
O.J. Mayo,21,MEM,NBA,2008-09,82,82,3120,562,1283,417,905,145,378,247,281,56,252,308,262,91,13,226,204,1516,0.438035853,0.460773481,0.383597884,0.879003559,0.494544037
Ognjen Kuzmic,23,GSW,NBA,2013-14,21,0,92,5,13,5,13,0,0,5,11,10,11,21,2,3,4,10,17,15,0.384615385,0.384615385,0.0,0.454545455,0.384615385
Okaro White,24,MIA,NBA,2016-17,35,0,471,33,87,21,53,12,34,20,22,25,57,82,21,10,10,18,52,98,0.379310345,0.396226415,0.352941176,0.909090909,0.448275862
Oleksiy Pecherov,22,WAS,NBA,2007-08,35,0,320,44,125,27,65,17,60,20,31,21,45,66,7,6,5,17,30,125,0.352,0.415384615,0.283333333,0.64516129,0.42
Oliver Lafayette,25,BOS,NBA,2009-10,1,0,22,3,6,2,4,1,2,0,0,1,3,4,2,0,0,1,0,7,0.5,0.5,0.5,0.0,0.583333333
Olumide Oyedeji,19,SEA,NBA,2000-01,30,1,221,18,37,18,37,0,0,9,12,24,43,67,2,7,10,11,40,45,0.486486486,0.486486486,0.0,0.75,0.486486486
Omar Cook,22,POR,NBA,2003-04,17,0,139,7,27,7,26,0,1,0,0,3,3,6,24,10,0,10,14,14,0.259259259,0.269230769,0.0,0.0,0.259259259
Omer Asik,24,CHI,NBA,2010-11,82,0,989,78,141,78,141,0,0,73,145,112,194,306,32,20,56,64,153,229,0.553191489,0.553191489,0.0,0.503448276,0.553191489
Omri Casspi,21,SAC,NBA,2009-10,77,31,1931,300,672,225,469,75,203,117,174,75,274,349,95,54,17,98,125,792,0.446428571,0.479744136,0.369458128,0.672413793,0.502232143
Orien Greene,23,BOS,NBA,2005-06,80,5,1235,100,253,91,213,9,40,45,68,37,108,145,129,77,10,109,181,254,0.395256917,0.427230047,0.225,0.661764706,0.413043478
Orlando Johnson,23,IND,NBA,2012-13,51,0,619,72,180,36,86,36,94,23,32,20,90,110,47,11,9,29,51,203,0.4,0.418604651,0.382978723,0.71875,0.5
Oscar Torres,25,HOU,NBA,2001-02,65,13,1075,135,341,98,215,37,126,82,105,47,75,122,40,25,9,49,64,389,0.395894428,0.455813953,0.293650794,0.780952381,0.450146628
Othello Hunter,22,ATL,NBA,2008-09,16,0,92,11,20,11,20,0,0,0,5,9,15,24,1,2,5,2,11,22,0.55,0.55,0.0,0.0,0.55
Othyus Jeffers,24,UTA,NBA,2009-10,14,0,73,12,29,12,29,0,0,13,19,8,11,19,1,4,0,6,10,37,0.413793103,0.413793103,0.0,0.684210526,0.413793103
Otto Porter,20,WAS,NBA,2013-14,37,0,319,33,91,29,70,4,21,8,12,21,36,57,10,8,1,14,26,78,0.362637363,0.414285714,0.19047619,0.666666667,0.384615385
P.J. Hairston,22,CHO,NBA,2014-15,45,2,687,87,269,38,106,49,163,31,36,22,70,92,21,21,13,22,61,254,0.323420074,0.358490566,0.300613497,0.861111111,0.414498141
P.J. Tucker,21,TOR,NBA,2006-07,17,0,83,11,22,11,22,0,0,8,14,11,12,23,3,2,0,6,12,30,0.5,0.5,0.0,0.571428571,0.5
Pablo Prigioni,35,NYK,NBA,2012-13,78,18,1263,100,220,47,86,53,134,22,25,41,102,143,236,69,2,86,127,275,0.454545455,0.546511628,0.395522388,0.88,0.575
Pape Sow,23,TOR,NBA,2004-05,27,4,255,23,58,23,58,0,0,16,27,18,39,57,2,12,4,10,46,62,0.396551724,0.396551724,0.0,0.592592593,0.396551724
Pape Sy,22,ATL,NBA,2010-11,3,0,21,2,6,2,5,0,1,3,3,2,1,3,2,1,0,3,1,7,0.333333333,0.4,0.0,1.0,0.333333333
Pascal Siakam,22,TOR,NBA,2016-17,55,38,859,103,205,102,198,1,7,22,32,64,121,185,17,26,45,33,109,229,0.502439024,0.515151515,0.142857143,0.6875,0.504878049
Pat Burke,29,ORL,NBA,2002-03,62,8,783,113,296,112,289,1,7,40,58,57,89,146,23,19,25,47,99,267,0.381756757,0.387543253,0.142857143,0.689655172,0.383445946
Pat Connaughton,23,POR,NBA,2015-16,34,0,143,13,49,8,28,5,21,5,5,11,21,32,10,2,0,10,6,36,0.265306122,0.285714286,0.238095238,1.0,0.316326531
Patricio Garino,23,ORL,NBA,2016-17,5,0,43,0,7,0,2,0,5,0,0,1,6,7,0,0,0,3,4,0,0.0,0.0,0.0,0.0,0.0
Patrick Beverley,24,HOU,NBA,2012-13,41,0,713,79,189,43,93,36,96,34,41,45,64,109,117,37,21,44,83,228,0.417989418,0.462365591,0.375,0.829268293,0.513227513
Patrick Christopher,26,UTA,NBA,2014-15,4,1,29,3,12,3,8,0,4,0,0,2,4,6,0,1,0,1,6,6,0.25,0.375,0.0,0.0,0.25
Patrick Ewing,26,NOH,NBA,2010-11,7,0,19,0,5,0,3,0,2,3,4,1,1,2,2,0,1,1,1,3,0.0,0.0,0.0,0.75,0.0
Patrick McCaw,21,GSW,NBA,2016-17,71,20,1074,106,245,65,122,41,123,29,37,22,79,101,77,32,15,36,62,282,0.432653061,0.532786885,0.333333333,0.783783784,0.516326531
Patrick O'Bryant,20,GSW,NBA,2006-07,16,0,119,10,32,10,32,0,0,11,17,7,14,21,9,6,8,8,26,31,0.3125,0.3125,0.0,0.647058824,0.3125
Patrick Patterson,21,HOU,NBA,2010-11,52,6,868,149,267,149,265,0,2,30,42,86,114,200,41,17,37,31,77,328,0.558052434,0.562264151,0.0,0.714285714,0.558052434
Patty Mills,21,POR,NBA,2009-10,10,0,38,10,24,8,20,2,4,4,7,1,1,2,5,0,0,4,6,26,0.416666667,0.4,0.5,0.571428571,0.458333333
Pau Gasol,21,MEM,NBA,2001-02,82,79,3007,551,1064,550,1059,1,5,338,477,238,492,730,223,41,169,224,195,1441,0.517857143,0.519357885,0.2,0.708595388,0.518327068
Paul Davis,22,LAC,NBA,2006-07,31,0,180,22,52,22,52,0,0,7,10,21,23,44,7,6,5,8,28,51,0.423076923,0.423076923,0.0,0.7,0.423076923
Paul George,20,IND,NBA,2010-11,61,19,1265,179,395,138,257,41,138,77,101,37,187,224,65,62,26,70,127,476,0.453164557,0.536964981,0.297101449,0.762376238,0.505063291
Paul McPherson,22,TOT,NBA,2000-01,55,0,595,109,216,107,204,2,12,42,58,40,39,79,38,25,4,47,80,262,0.50462963,0.524509804,0.166666667,0.724137931,0.509259259
Paul Millsap,21,UTA,NBA,2006-07,82,1,1472,209,398,208,395,1,3,140,208,183,240,423,62,67,74,94,236,559,0.525125628,0.526582278,0.333333333,0.673076923,0.52638191
Paul Shirley,25,ATL,NBA,2002-03,2,0,5,0,4,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Paul Zipser,22,CHI,NBA,2016-17,44,18,843,88,221,55,122,33,99,31,40,15,110,125,36,15,16,40,78,240,0.398190045,0.450819672,0.333333333,0.775,0.472850679
Pavel Podkolzin,20,DAL,NBA,2004-05,5,0,10,0,0,0,0,0,0,1,2,0,2,2,0,0,0,2,4,1,0.0,0.0,0.0,0.5,0.0
Pepe Sanchez,23,TOT,NBA,2000-01,29,0,150,9,28,9,27,0,1,2,2,3,12,15,41,11,1,6,21,20,0.321428571,0.333333333,0.0,1.0,0.321428571
Pero Antic,31,ATL,NBA,2013-14,50,26,925,123,294,67,123,56,171,50,66,57,152,209,58,19,12,55,126,352,0.418367347,0.544715447,0.32748538,0.757575758,0.513605442
Perry Jones,21,OKC,NBA,2012-13,38,1,280,39,99,39,97,0,2,10,15,12,50,62,10,5,6,15,23,88,0.393939394,0.402061856,0.0,0.666666667,0.393939394
Peter John Ramos,19,WAS,NBA,2004-05,6,0,20,5,10,5,10,0,0,1,2,1,3,4,0,0,1,3,4,11,0.5,0.5,0.0,0.5,0.5
Peyton Siva,23,DET,NBA,2013-14,24,0,224,18,57,11,32,7,25,11,15,2,12,14,34,9,1,18,27,54,0.315789474,0.34375,0.28,0.733333333,0.377192982
Phil Pressey,22,BOS,NBA,2013-14,75,11,1132,78,253,50,147,28,106,29,45,20,85,105,241,68,5,87,97,213,0.308300395,0.340136054,0.264150943,0.644444444,0.363636364
Pierre Jackson,25,DAL,NBA,2016-17,8,1,84,13,39,10,28,3,11,6,7,1,8,9,19,2,0,3,5,35,0.333333333,0.357142857,0.272727273,0.857142857,0.371794872
