Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%
Manu Ginobili,25,SAS,NBA,2002-03,69,5,1431,174,397,123,249,51,148,126,171,47,114,161,138,96,17,100,170,525,0.438287154,0.493975904,0.344594595,0.736842105,0.502518892
MarShon Brooks,23,NJN,NBA,2011-12,56,47,1648,274,640,227,490,47,150,113,148,70,130,200,131,52,15,118,116,708,0.428125,0.463265306,0.313333333,0.763513514,0.46484375
Marc Gasol,24,MEM,NBA,2008-09,82,75,2521,350,661,350,660,0,1,275,375,201,404,605,143,63,90,164,265,975,0.529500756,0.53030303,0.0,0.733333333,0.529500756
Marc Jackson,26,GSW,NBA,2000-01,48,35,1410,237,508,232,485,5,23,154,192,119,242,361,59,34,27,93,138,633,0.466535433,0.478350515,0.217391304,0.802083333,0.471456693
Marcelo Huertas,32,LAL,NBA,2015-16,53,0,869,97,230,81,169,16,61,27,29,18,72,90,182,26,7,80,76,237,0.42173913,0.479289941,0.262295082,0.931034483,0.456521739
Marcin Gortat,23,ORL,NBA,2007-08,6,0,41,8,17,8,17,0,0,2,3,8,8,16,2,1,1,2,4,18,0.470588235,0.470588235,0.0,0.666666667,0.470588235
Marco Belinelli,21,GSW,NBA,2007-08,33,0,241,36,93,20,52,16,41,7,9,3,11,14,15,5,0,12,15,95,0.387096774,0.384615385,0.390243902,0.777777778,0.47311828
Marcus Banks,22,BOS,NBA,2003-04,81,2,1385,177,442,150,356,27,86,99,131,30,103,133,175,88,13,125,171,480,0.400452489,0.421348315,0.313953488,0.755725191,0.430995475
Marcus Cousin,24,UTA,NBA,2010-11,4,0,18,2,3,2,3,0,0,0,0,0,3,3,0,0,1,1,1,4,0.666666667,0.666666667,0.0,0.0,0.666666667
Marcus Fizer,22,CHI,NBA,2000-01,72,13,1580,278,646,268,607,10,39,117,161,76,237,313,76,30,19,124,175,683,0.430340557,0.441515651,0.256410256,0.726708075,0.438080495
Marcus Georges-Hunt,22,ORL,NBA,2016-17,5,0,48,2,7,1,5,1,2,9,10,1,8,9,3,1,0,2,5,14,0.285714286,0.2,0.5,0.9,0.357142857
Marcus Haislip,22,MIL,NBA,2002-03,39,8,441,66,153,63,141,3,12,26,38,21,32,53,9,7,18,21,55,161,0.431372549,0.446808511,0.25,0.684210526,0.441176471
Marcus Landry,24,TOT,NBA,2009-10,18,0,111,16,43,7,15,9,28,3,5,5,14,19,0,1,2,6,14,44,0.372093023,0.466666667,0.321428571,0.6,0.476744186
Marcus Morris,22,HOU,NBA,2011-12,17,0,126,16,54,14,37,2,17,6,8,5,11,16,3,2,2,4,12,40,0.296296296,0.378378378,0.117647059,0.75,0.314814815
Marcus Smart,20,BOS,NBA,2014-15,67,38,1808,175,477,84,205,91,272,82,127,61,161,222,208,99,18,90,176,523,0.36687631,0.409756098,0.334558824,0.645669291,0.462264151
Marcus Thornton,22,NOH,NBA,2009-10,73,17,1872,398,883,281,570,117,313,144,177,72,139,211,114,58,11,76,127,1057,0.450736127,0.492982456,0.373801917,0.813559322,0.516987542
Marcus Vinicius,22,NOK,NBA,2006-07,13,0,103,7,15,4,8,3,7,5,7,2,9,11,5,2,1,6,10,22,0.466666667,0.5,0.428571429,0.714285714,0.566666667
Marcus Williams,21,NJN,NBA,2006-07,79,2,1315,208,526,162,363,46,163,72,85,29,134,163,260,29,2,142,96,534,0.395437262,0.446280992,0.282208589,0.847058824,0.439163498
Marcus Williams,21,TOT,NBA,2007-08,11,0,36,5,20,5,20,0,0,0,0,4,8,12,3,1,1,0,3,10,0.25,0.25,0.0,0.0,0.25
Mardy Collins,22,NYK,NBA,2006-07,52,9,777,87,228,74,181,13,47,48,82,28,76,104,83,32,3,57,75,235,0.381578947,0.408839779,0.276595745,0.585365854,0.410087719
Mario Chalmers,22,MIA,NBA,2008-09,82,82,2626,278,662,164,351,114,311,148,193,37,191,228,403,160,8,165,240,818,0.419939577,0.467236467,0.366559486,0.766839378,0.506042296
